EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-383.548	-430.271	1.177	153.713	268.923	6.658	2.307
-383.224	-430.049	1.182	154.427	268.954	6.675	2.282
-382.308	-429.396	1.178	154.633	270.857	6.601	2.268
-381.780	-428.930	1.171	155.600	270.644	6.438	2.240
-381.136	-428.797	1.165	156.091	270.434	6.389	2.235
-379.900	-427.824	1.164	157.440	269.903	6.138	2.196
-379.715	-427.876	1.164	158.401	268.091	6.191	2.197
-379.053	-428.038	1.157	159.242	267.684	6.353	2.212
-378.453	-427.391	1.153	159.838	270.965	6.199	2.187
-377.833	-426.890	1.157	160.206	273.221	6.165	2.175
-376.963	-426.571	1.152	161.437	274.179	6.174	2.169
-377.072	-426.653	1.151	163.100	273.123	6.178	2.176
-376.008	-426.004	1.147	163.977	273.662	6.120	2.149
-375.700	-425.797	1.149	164.708	275.721	6.213	2.136
-374.822	-425.210	1.143	166.014	277.621	6.036	2.119
-374.212	-424.825	1.146	166.738	278.272	5.920	2.106
-374.010	-424.781	1.140	167.609	276.136	5.893	2.098
-373.466	-424.544	1.141	169.117	276.047	5.881	2.099
-372.224	-424.084	1.134	170.349	277.400	5.822	2.099
-371.548	-423.672	1.136	172.220	278.376	5.808	2.086
-371.255	-423.176	1.132	173.545	280.680	5.737	2.098
-370.533	-423.002	1.132	174.589	281.826	5.651	2.106
-370.378	-422.683	1.129	175.683	281.589	5.716	2.099
-370.004	-422.608	1.134	177.163	278.365	5.710	2.120
-368.965	-422.073	1.130	179.663	283.121	5.715	2.106
-368.783	-421.934	1.128	180.144	281.715	5.693	2.097
-368.067	-421.667	1.128	181.624	281.875	5.722	2.110
-367.503	-421.416	1.126	183.642	283.363	5.775	2.106
-366.969	-420.987	1.125	183.801	283.104	5.760	2.130
-366.178	-420.464	1.125	185.263	285.267	5.678	2.109
-366.259	-420.216	1.124	185.859	282.869	5.568	2.079
-365.660	-419.886	1.121	187.899	285.224	5.644	2.101
-365.300	-419.838	1.123	188.857	285.859	5.658	2.114
-364.783	-419.527	1.124	189.721	286.437	5.615	2.074
-364.793	-419.243	1.121	189.669	283.787	5.576	2.055
-364.478	-419.196	1.120	190.581	284.415	5.552	2.031
-364.101	-418.820	1.118	192.141	287.273	5.540	2.054
-363.508	-418.616	1.116	192.351	286.393	5.459	2.054
-363.304	-418.231	1.122	192.778	287.047	5.483	2.007
-363.128	-418.020	1.119	193.402	287.287	5.461	2.040
-362.511	-417.808	1.119	193.917	288.680	5.394	2.010
-362.437	-417.759	1.119	195.251	288.295	5.512	2.029
-362.148	-417.651	1.119	197.286	289.796	5.586	2.050
-361.764	-417.507	1.119	197.973	290.220	5.640	2.043
-361.931	-417.380	1.118	198.079	287.555	5.547	2.059
-361.541	-417.044	1.117	197.433	287.019	5.411	2.024
-361.150	-416.655	1.120	199.507	285.975	5.315	2.002
-361.359	-416.638	1.118	200.772	287.490	5.319	2.015
-360.963	-416.483	1.118	200.441	287.307	5.263	2.003
-360.673	-416.245	1.117	201.959	288.786	5.165	1.981
-360.373	-416.065	1.116	202.591	287.235	5.220	1.986
-360.462	-416.115	1.116	202.341	284.545	5.289	1.996
-360.543	-415.963	1.117	202.690	283.889	5.307	1.965
-359.792	-415.707	1.112	202.709	281.990	5.215	1.981
-359.860	-415.624	1.121	203.646	282.048	5.112	1.953
-359.618	-415.603	1.117	204.655	284.160	5.048	1.947
-359.647	-415.014	1.114	204.972	284.431	4.894	1.921
-359.642	-415.074	1.113	204.318	283.398	4.978	1.931
-359.450	-414.864	1.115	203.687	284.445	4.928	1.885
-359.400	-415.080	1.117	204.694	281.490	5.033	1.900
-359.233	-414.618	1.118	206.649	281.972	4.899	1.891
-359.223	-414.623	1.117	205.486	282.649	4.870	1.897
-359.201	-414.458	1.112	203.967	280.206	4.768	1.891
-358.612	-413.884	1.114	206.155	283.564	4.626	1.839
-359.059	-414.390	1.117	205.412	284.720	4.797	1.835
-359.027	-414.312	1.115	206.696	286.568	4.852	1.841
-358.508	-413.956	1.113	206.165	282.660	4.754	1.837
-358.427	-414.014	1.116	208.518	284.090	4.850	1.843
-358.613	-414.113	1.114	209.742	284.462	4.849	1.858
