symKL_DB_eta: 487.792,  symKL_DB_z: 482.726,  loss: -1842.123,  ess: 3.001,  kl_eta_ex: 1332.233,  kl_eta_in: 197.226,  kl_z_ex: 341.947,  kl_z_in: 38.711
symKL_DB_eta: 333.910,  symKL_DB_z: 274.452,  loss: -1395.579,  ess: 3.365,  kl_eta_ex: 829.191,  kl_eta_in: 181.398,  kl_z_ex: 185.579,  kl_z_in: 28.854
symKL_DB_eta: 229.410,  symKL_DB_z: 166.492,  loss: -1120.394,  ess: 3.613,  kl_eta_ex: 535.229,  kl_eta_in: 172.366,  kl_z_ex: 103.610,  kl_z_in: 23.181
symKL_DB_eta: 163.944,  symKL_DB_z: 116.137,  loss: -957.275,  ess: 3.790,  kl_eta_ex: 369.854,  kl_eta_in: 167.391,  kl_z_ex: 65.918,  kl_z_in: 19.430
symKL_DB_eta: 123.748,  symKL_DB_z: 87.401,  loss: -862.833,  ess: 3.977,  kl_eta_ex: 274.249,  kl_eta_in: 169.513,  kl_z_ex: 45.506,  kl_z_in: 16.097
symKL_DB_eta: 99.606,  symKL_DB_z: 70.092,  loss: -801.988,  ess: 4.159,  kl_eta_ex: 218.367,  kl_eta_in: 175.746,  kl_z_ex: 34.353,  kl_z_in: 13.527
symKL_DB_eta: 85.806,  symKL_DB_z: 59.026,  loss: -761.239,  ess: 4.327,  kl_eta_ex: 183.326,  kl_eta_in: 182.448,  kl_z_ex: 27.866,  kl_z_in: 11.602
symKL_DB_eta: 75.614,  symKL_DB_z: 51.234,  loss: -729.389,  ess: 4.473,  kl_eta_ex: 159.040,  kl_eta_in: 190.608,  kl_z_ex: 23.663,  kl_z_in: 10.175
symKL_DB_eta: 69.798,  symKL_DB_z: 45.101,  loss: -707.212,  ess: 4.591,  kl_eta_ex: 142.752,  kl_eta_in: 203.725,  kl_z_ex: 21.091,  kl_z_in: 9.148
