EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-416.568	-495.288	5.372	255.750	584.208	45.428	26.850
-417.307	-495.389	5.377	255.858	589.745	44.571	27.291
-416.060	-495.009	5.381	256.011	591.087	45.397	27.259
-417.132	-495.946	5.385	257.150	592.458	45.253	27.752
-418.841	-497.528	5.384	256.707	587.563	45.234	27.094
-417.154	-496.208	5.385	255.936	591.277	45.087	27.274
-414.932	-493.978	5.391	255.699	595.100	44.981	27.421
-416.964	-495.660	5.392	255.210	592.198	45.883	27.589
-416.243	-494.538	5.397	254.920	595.780	45.016	27.377
-415.402	-494.447	5.400	256.492	590.918	45.348	27.694
-417.600	-495.534	5.399	256.860	594.858	45.222	27.670
-416.749	-494.799	5.403	255.705	605.345	45.759	27.116
-414.458	-493.403	5.407	256.355	602.331	45.511	28.263
-415.116	-492.878	5.407	255.032	600.998	44.377	27.513
-414.811	-492.542	5.407	255.417	600.678	43.724	27.481
-414.528	-493.335	5.414	257.096	606.728	44.945	28.212
-414.761	-491.562	5.415	254.417	600.853	43.921	28.357
-414.911	-492.282	5.414	254.366	602.807	43.491	27.736
-414.130	-491.360	5.421	254.271	606.873	44.460	28.446
-414.857	-492.724	5.420	252.704	599.803	44.581	27.565
-414.535	-491.864	5.422	254.013	604.604	44.352	28.486
-414.894	-492.691	5.427	254.897	607.160	44.497	28.534
-414.260	-490.721	5.424	253.059	605.901	42.768	27.793
-414.170	-492.147	5.428	253.525	601.083	45.081	28.413
-413.657	-491.686	5.433	255.244	605.099	45.130	29.045
-415.430	-492.886	5.430	255.215	608.012	45.146	29.139
-414.993	-492.564	5.431	252.493	600.975	44.259	29.144
-413.719	-490.063	5.434	251.224	604.231	42.008	28.074
-413.598	-489.435	5.434	252.712	600.690	42.746	28.340
-412.142	-488.525	5.436	251.562	604.991	43.120	29.365
-412.292	-489.507	5.441	251.732	601.050	43.560	29.016
-412.582	-490.095	5.440	251.890	604.388	43.945	29.236
-413.223	-490.031	5.440	253.840	605.320	44.544	29.592
-414.080	-491.080	5.442	251.709	602.487	43.955	29.902
-416.025	-492.831	5.445	252.459	605.301	43.717	28.924
-413.827	-490.640	5.446	252.576	608.930	44.506	30.188
-412.710	-489.207	5.449	251.977	603.245	44.544	29.911
-414.375	-491.056	5.449	252.555	606.075	43.737	29.628
-410.705	-487.620	5.451	251.088	612.918	42.787	29.690
-413.350	-489.738	5.454	251.823	604.118	43.707	29.403
-413.032	-489.161	5.452	252.117	604.530	44.262	29.838
-409.914	-485.870	5.453	249.964	605.455	43.176	30.385
-412.765	-489.123	5.453	252.308	609.789	44.661	30.138
-412.534	-488.976	5.455	251.192	606.846	43.166	30.184
-411.741	-487.800	5.460	250.176	603.313	42.607	29.909
-414.261	-490.240	5.459	250.981	606.997	43.091	30.152
-413.344	-489.927	5.457	252.553	605.779	44.460	31.345
-411.363	-488.025	5.459	250.059	599.200	42.350	30.305
-412.630	-488.260	5.459	251.867	603.548	42.594	30.553
-411.781	-488.480	5.459	250.097	599.946	43.659	30.526
-412.997	-489.685	5.462	251.585	594.799	43.670	30.254
-412.464	-487.985	5.464	251.051	600.472	43.355	30.993
-411.427	-487.558	5.463	250.909	601.455	43.106	30.917
-412.155	-488.324	5.465	250.376	596.767	43.379	31.197
-412.091	-487.839	5.467	250.474	600.545	43.176	30.981
-414.317	-489.755	5.470	251.994	600.325	42.785	30.821
-415.109	-491.220	5.466	251.461	594.930	42.973	30.248
-411.198	-487.526	5.469	250.655	594.522	44.369	32.262
-410.880	-487.373	5.469	250.532	595.547	43.548	31.391
-412.664	-488.833	5.470	251.531	597.543	44.819	31.354
-413.329	-489.936	5.472	251.222	598.751	44.582	31.169
-412.403	-488.337	5.469	252.822	601.238	44.645	31.424
-411.980	-487.403	5.472	250.579	595.215	43.201	30.904
-413.269	-488.780	5.473	251.722	598.449	43.160	31.267
-413.065	-488.834	5.475	252.049	594.137	43.342	31.793
-413.983	-489.731	5.470	249.992	590.478	43.354	30.309
-412.806	-488.263	5.475	249.730	592.793	43.830	31.740
-412.078	-487.454	5.479	251.318	600.824	44.148	31.810
-411.754	-487.652	5.476	249.463	597.450	42.094	31.335
-412.091	-487.397	5.479	248.661	595.708	42.800	31.155
-411.024	-487.890	5.479	250.661	594.310	43.733	31.752
-410.260	-486.347	5.478	251.603	602.195	44.561	32.676
-411.983	-487.847	5.482	248.208	586.850	42.158	31.474
-412.627	-488.491	5.481	250.302	603.495	43.063	31.393
-411.016	-486.868	5.480	249.657	601.584	43.813	32.429
-411.699	-487.430	5.479	249.914	597.171	43.449	32.097
-411.524	-487.539	5.479	249.878	587.152	44.117	32.456
-410.238	-485.980	5.481	248.655	600.064	42.578	32.173
-412.024	-487.865	5.484	250.761	597.427	43.637	32.703
-412.160	-488.510	5.485	249.986	592.954	44.071	33.365
-411.227	-486.909	5.483	249.245	590.814	43.077	32.040
-410.916	-486.279	5.483	249.251	598.363	43.708	31.893
-411.559	-487.375	5.483	249.117	590.780	42.715	32.259
-409.784	-485.325	5.484	250.102	592.142	43.348	32.776
-409.741	-485.002	5.485	248.549	586.623	41.651	32.120
-409.004	-484.798	5.486	249.601	596.075	42.860	33.695
-409.318	-484.093	5.489	249.056	593.638	41.586	32.727
-409.533	-484.912	5.488	248.951	594.912	44.015	33.580
-409.672	-485.804	5.488	249.826	598.602	44.040	33.826
-410.669	-487.877	5.487	250.431	591.455	43.988	33.685
-408.642	-484.849	5.488	249.108	589.109	43.923	33.857
-408.270	-483.795	5.490	247.634	593.725	42.370	33.940
-410.444	-486.675	5.492	249.661	586.042	43.894	32.406
-409.931	-485.153	5.490	249.840	591.775	43.092	33.625
-408.637	-484.953	5.491	250.266	597.821	42.791	33.159
-408.618	-484.807	5.497	248.746	591.177	43.860	33.456
-408.754	-483.954	5.492	248.980	591.640	42.852	33.526
-408.187	-483.646	5.492	247.645	589.255	43.341	33.831
-408.542	-483.844	5.494	249.818	596.718	44.177	33.325
-409.808	-485.398	5.496	250.280	591.436	43.058	33.773
-409.538	-485.268	5.494	249.357	579.640	42.666	32.857
-408.119	-483.856	5.497	249.532	587.613	43.205	34.203
-407.615	-483.426	5.492	247.558	582.143	43.577	34.498
-412.851	-487.830	5.494	248.815	587.127	44.127	33.805
-408.868	-484.374	5.496	247.430	581.160	43.038	33.649
-410.054	-485.415	5.494	248.659	584.555	43.572	32.896
-409.011	-484.661	5.492	248.366	577.773	42.995	33.497
-408.741	-483.472	5.498	247.711	575.391	44.241	33.529
-407.371	-483.642	5.497	248.777	579.668	44.127	34.635
-407.803	-483.590	5.496	248.086	579.734	43.326	34.751
-409.501	-485.937	5.499	249.015	581.512	43.610	34.039
-408.074	-483.641	5.498	248.777	575.824	42.671	34.213
-410.594	-486.012	5.498	248.468	578.519	42.516	34.044
-407.989	-484.003	5.498	248.483	575.047	44.140	34.756
-408.510	-484.699	5.496	248.545	570.095	43.715	34.857
-409.484	-486.238	5.498	250.843	578.763	44.213	35.309
-406.084	-482.209	5.501	248.689	577.971	43.115	35.581
-410.529	-485.936	5.499	248.419	576.463	43.129	34.478
-408.243	-484.777	5.498	250.039	580.278	43.431	34.591
-408.065	-484.419	5.502	249.598	569.254	43.506	34.300
-406.935	-482.903	5.501	248.614	566.306	43.939	34.653
-407.205	-482.921	5.504	246.149	573.467	42.785	34.989
-408.364	-485.446	5.498	248.777	571.808	45.346	35.531
-405.273	-483.407	5.499	248.576	570.175	44.402	35.489
-408.086	-484.097	5.499	249.770	572.637	44.303	34.723
