symKL_DB_eta: 2.126,  symKL_DB_z: 0.707,  loss: -440.972,  ess: 8.441,  kl_eta_ex: 0.016,  kl_eta_in: 0.014,  kl_z_ex: 0.136,  kl_z_in: 0.060
symKL_DB_eta: 2.117,  symKL_DB_z: 0.688,  loss: -440.988,  ess: 8.444,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.125,  kl_z_in: 0.057
symKL_DB_eta: 2.109,  symKL_DB_z: 0.685,  loss: -441.025,  ess: 8.454,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.124,  kl_z_in: 0.057
symKL_DB_eta: 2.116,  symKL_DB_z: 0.658,  loss: -440.916,  ess: 8.450,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.121,  kl_z_in: 0.055
symKL_DB_eta: 2.135,  symKL_DB_z: 0.686,  loss: -440.953,  ess: 8.451,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.117,  kl_z_in: 0.053
symKL_DB_eta: 2.117,  symKL_DB_z: 0.632,  loss: -441.001,  ess: 8.451,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.113,  kl_z_in: 0.053
symKL_DB_eta: 2.115,  symKL_DB_z: 0.680,  loss: -440.895,  ess: 8.449,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.108,  kl_z_in: 0.051
symKL_DB_eta: 2.138,  symKL_DB_z: 0.655,  loss: -440.881,  ess: 8.449,  kl_eta_ex: 0.016,  kl_eta_in: 0.014,  kl_z_ex: 0.111,  kl_z_in: 0.053
symKL_DB_eta: 2.096,  symKL_DB_z: 0.608,  loss: -440.983,  ess: 8.455,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.106,  kl_z_in: 0.050
symKL_DB_eta: 2.101,  symKL_DB_z: 0.661,  loss: -441.069,  ess: 8.456,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.105,  kl_z_in: 0.050
symKL_DB_eta: 2.145,  symKL_DB_z: 0.604,  loss: -440.933,  ess: 8.455,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.105,  kl_z_in: 0.048
symKL_DB_eta: 2.109,  symKL_DB_z: 0.598,  loss: -440.829,  ess: 8.449,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.099,  kl_z_in: 0.048
symKL_DB_eta: 2.136,  symKL_DB_z: 0.590,  loss: -440.985,  ess: 8.452,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.098,  kl_z_in: 0.047
symKL_DB_eta: 2.128,  symKL_DB_z: 0.602,  loss: -440.824,  ess: 8.457,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.096,  kl_z_in: 0.045
symKL_DB_eta: 2.113,  symKL_DB_z: 0.578,  loss: -441.073,  ess: 8.450,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.092,  kl_z_in: 0.045
symKL_DB_eta: 2.145,  symKL_DB_z: 0.570,  loss: -441.009,  ess: 8.451,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.094,  kl_z_in: 0.042
symKL_DB_eta: 2.081,  symKL_DB_z: 0.549,  loss: -440.749,  ess: 8.462,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.088,  kl_z_in: 0.041
symKL_DB_eta: 2.101,  symKL_DB_z: 0.592,  loss: -440.905,  ess: 8.459,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.085,  kl_z_in: 0.041
symKL_DB_eta: 2.101,  symKL_DB_z: 0.548,  loss: -440.938,  ess: 8.463,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.085,  kl_z_in: 0.040
symKL_DB_eta: 2.099,  symKL_DB_z: 0.519,  loss: -440.846,  ess: 8.457,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.081,  kl_z_in: 0.039
symKL_DB_eta: 2.093,  symKL_DB_z: 0.502,  loss: -440.973,  ess: 8.462,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.079,  kl_z_in: 0.038
symKL_DB_eta: 2.122,  symKL_DB_z: 0.530,  loss: -440.790,  ess: 8.464,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.079,  kl_z_in: 0.036
symKL_DB_eta: 2.110,  symKL_DB_z: 0.531,  loss: -440.903,  ess: 8.460,  kl_eta_ex: 0.019,  kl_eta_in: 0.015,  kl_z_ex: 0.077,  kl_z_in: 0.036
symKL_DB_eta: 2.115,  symKL_DB_z: 0.476,  loss: -440.959,  ess: 8.457,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.074,  kl_z_in: 0.036
symKL_DB_eta: 2.100,  symKL_DB_z: 0.485,  loss: -440.701,  ess: 8.456,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.071,  kl_z_in: 0.034
symKL_DB_eta: 2.150,  symKL_DB_z: 0.542,  loss: -440.877,  ess: 8.460,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.070,  kl_z_in: 0.034
symKL_DB_eta: 2.121,  symKL_DB_z: 0.507,  loss: -440.808,  ess: 8.455,  kl_eta_ex: 0.016,  kl_eta_in: 0.014,  kl_z_ex: 0.068,  kl_z_in: 0.033
symKL_DB_eta: 2.115,  symKL_DB_z: 0.493,  loss: -440.886,  ess: 8.458,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.068,  kl_z_in: 0.033
symKL_DB_eta: 2.100,  symKL_DB_z: 0.481,  loss: -440.953,  ess: 8.462,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.066,  kl_z_in: 0.032
symKL_DB_eta: 2.099,  symKL_DB_z: 0.482,  loss: -440.889,  ess: 8.460,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.064,  kl_z_in: 0.032
