SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
1409.255	112.958	-1702.618	1.568	115.495	494.324	0.000	-0.000
1402.603	104.803	-1706.506	1.570	115.492	491.524	0.000	-0.000
1396.166	98.397	-1704.690	1.568	115.299	489.700	0.000	-0.000
1401.443	97.627	-1711.506	1.569	115.393	492.061	0.000	-0.000
1411.520	110.721	-1709.939	1.569	115.026	489.572	0.000	-0.000
1412.445	110.622	-1709.983	1.571	115.207	495.190	0.000	-0.000
1393.009	92.929	-1707.875	1.567	115.115	489.811	0.000	-0.000
1409.105	101.167	-1716.527	1.570	115.060	487.346	0.000	-0.000
1404.276	99.337	-1711.952	1.570	115.038	486.372	0.000	-0.000
1399.640	103.792	-1703.724	1.571	115.150	490.060	0.000	-0.000
1399.832	104.953	-1702.981	1.572	115.172	489.304	0.000	-0.000
1389.692	91.535	-1703.162	1.572	114.878	490.182	0.000	-0.000
1406.597	107.727	-1708.747	1.566	115.154	487.031	0.000	-0.000
1406.231	103.610	-1711.446	1.566	114.916	491.123	0.000	-0.000
1391.343	98.216	-1703.656	1.569	114.906	488.640	0.000	-0.000
1392.781	92.843	-1706.256	1.574	114.830	487.218	0.000	-0.000
1396.342	103.801	-1699.494	1.570	114.798	483.994	0.000	-0.000
1397.854	101.091	-1706.632	1.568	114.973	484.525	0.000	-0.000
1409.578	113.596	-1705.158	1.572	114.758	486.166	0.000	-0.000
1403.865	102.259	-1709.477	1.572	114.743	487.731	0.000	-0.000
1406.804	109.906	-1706.103	1.570	114.878	485.881	0.000	-0.000
1399.815	102.337	-1706.559	1.572	114.681	486.500	0.000	-0.000
1406.400	104.371	-1711.317	1.569	114.676	482.771	0.000	-0.000
1405.108	98.518	-1710.733	1.571	115.027	490.838	0.000	-0.000
1401.397	97.502	-1711.820	1.571	114.997	484.504	0.000	-0.000
1402.687	98.076	-1712.919	1.568	115.023	489.668	0.000	-0.000
1398.096	92.052	-1712.403	1.567	114.886	486.573	0.000	-0.000
1402.087	101.395	-1708.060	1.569	115.144	488.558	0.000	-0.000
1402.010	113.040	-1698.468	1.567	114.732	488.567	0.000	-0.000
1397.643	102.699	-1703.808	1.566	114.936	485.563	0.000	-0.000
1400.696	101.187	-1709.958	1.569	114.663	485.029	0.000	-0.000
1413.080	119.559	-1704.104	1.574	114.377	486.457	0.000	-0.000
1403.719	108.808	-1706.346	1.570	114.526	484.462	0.000	-0.000
1398.028	101.994	-1706.301	1.576	114.751	484.639	0.000	-0.000
1400.823	101.899	-1709.452	1.570	114.745	484.052	0.000	-0.000
1392.587	90.108	-1708.203	1.574	114.626	485.910	0.000	-0.000
1396.885	96.869	-1706.162	1.571	114.804	484.038	0.000	-0.000
1403.651	106.359	-1705.089	1.573	114.726	484.187	0.000	-0.000
1397.644	94.339	-1710.686	1.572	114.659	485.338	0.000	-0.000
1396.265	94.045	-1708.377	1.573	114.873	483.281	0.000	-0.000
1399.069	96.380	-1712.137	1.572	114.432	486.340	0.000	-0.000
1404.491	101.434	-1709.934	1.570	114.712	483.718	0.000	-0.000
1398.455	100.883	-1707.083	1.570	114.723	478.861	0.000	-0.000
1394.129	93.075	-1710.277	1.572	114.532	486.153	0.000	-0.000
1399.678	96.821	-1711.397	1.573	114.653	482.847	0.000	-0.000
1394.909	94.755	-1706.988	1.571	114.667	484.537	0.000	-0.000
1415.567	123.213	-1706.375	1.565	114.841	484.095	0.000	-0.000
1407.381	107.879	-1709.118	1.572	114.649	481.907	0.000	-0.000
1398.450	106.598	-1702.300	1.573	114.762	484.019	0.000	-0.000
1390.999	87.508	-1709.162	1.571	114.755	482.603	0.000	-0.000
1399.642	102.799	-1705.343	1.569	114.669	484.126	0.000	-0.000
1393.567	91.750	-1705.999	1.569	114.468	477.584	0.000	-0.000
1405.384	106.447	-1707.099	1.570	114.654	481.233	0.000	-0.000
1399.937	99.517	-1713.512	1.570	114.439	482.668	0.000	-0.000
1408.380	108.736	-1708.683	1.576	114.322	483.551	0.000	-0.000
1398.716	97.667	-1705.628	1.572	114.399	484.927	0.000	-0.000
1402.496	106.586	-1706.999	1.571	114.411	484.491	0.000	-0.000
1392.780	90.568	-1707.145	1.575	114.667	483.750	0.000	-0.000
1406.209	115.945	-1701.642	1.568	114.508	484.049	0.000	-0.000
1399.798	100.880	-1708.856	1.570	114.589	481.924	0.000	-0.000
1403.942	106.282	-1707.269	1.573	114.786	482.034	0.000	-0.000
1383.459	78.440	-1711.372	1.573	114.647	481.875	0.000	-0.000
1404.348	103.978	-1707.973	1.570	114.292	478.860	0.000	-0.000
1395.376	94.819	-1708.681	1.570	114.641	476.412	0.000	-0.000
1406.302	106.938	-1708.791	1.569	114.209	481.683	0.000	-0.000
1393.518	90.321	-1712.477	1.569	114.794	486.283	0.000	-0.000
1398.893	98.490	-1708.162	1.572	114.169	483.211	0.000	-0.000
1399.701	98.853	-1707.363	1.573	114.434	483.663	0.000	-0.000
1390.939	98.236	-1704.373	1.577	114.546	481.489	0.000	-0.000
1405.007	103.045	-1709.359	1.570	114.417	482.233	0.000	-0.000
1398.134	90.057	-1716.957	1.569	114.797	485.523	0.000	-0.000
1400.442	97.027	-1713.725	1.570	114.943	483.881	0.000	-0.000
1391.672	94.382	-1706.713	1.571	114.485	481.445	0.000	-0.000
1402.826	107.558	-1707.067	1.570	114.675	481.169	0.000	-0.000
1400.709	95.541	-1712.468	1.568	114.646	481.234	0.000	-0.000
1389.433	86.666	-1706.683	1.573	114.726	482.683	0.000	-0.000
1398.930	102.177	-1704.345	1.572	114.679	481.893	0.000	-0.000
1399.404	104.547	-1703.296	1.569	114.313	484.648	0.000	-0.000
1390.108	90.074	-1705.898	1.575	114.496	477.727	0.000	-0.000
1401.054	109.817	-1699.448	1.572	114.545	480.595	0.000	-0.000
1402.489	108.052	-1700.965	1.577	114.720	480.068	0.000	-0.000
1412.033	113.443	-1706.096	1.572	114.585	481.712	0.000	-0.000
1404.289	108.490	-1702.796	1.570	114.725	481.832	0.000	-0.000
1396.883	102.838	-1703.033	1.573	114.488	483.704	0.000	-0.000
1390.314	97.868	-1699.344	1.576	114.105	478.229	0.000	-0.000
1403.555	105.615	-1707.590	1.574	114.236	479.635	0.000	-0.000
1398.629	101.897	-1701.262	1.574	114.575	481.946	0.000	-0.000
1395.479	98.936	-1704.816	1.575	114.350	486.579	0.000	-0.000
1408.623	114.111	-1705.226	1.572	114.443	482.781	0.000	-0.000
1401.181	104.907	-1703.319	1.572	114.434	479.211	0.000	-0.000
1401.385	108.357	-1704.053	1.574	114.176	477.669	0.000	-0.000
1400.408	106.617	-1702.697	1.572	114.325	481.804	0.000	-0.000
1406.342	111.800	-1701.903	1.576	114.092	479.177	0.000	-0.000
1394.805	101.998	-1701.387	1.573	114.487	479.219	0.000	-0.000
1398.864	104.720	-1699.533	1.576	114.305	474.807	0.000	-0.000
1403.613	107.842	-1707.937	1.571	114.192	479.910	0.000	-0.000
1394.741	99.260	-1703.858	1.578	114.429	479.447	0.000	-0.000
1401.065	95.428	-1709.737	1.574	114.798	479.637	0.000	-0.000
1407.332	108.809	-1709.408	1.572	114.607	480.561	0.000	-0.000
1403.401	107.509	-1707.674	1.570	114.497	478.164	0.000	-0.000
1397.104	92.715	-1713.694	1.571	114.546	481.174	0.000	-0.000
1392.704	89.957	-1708.962	1.572	114.859	483.088	0.000	-0.000
1392.639	94.143	-1706.433	1.569	114.331	481.314	0.000	-0.000
1410.272	104.725	-1711.890	1.574	114.571	482.665	0.000	-0.000
1394.900	93.447	-1708.882	1.573	114.614	484.988	0.000	-0.000
1391.647	93.980	-1704.635	1.573	114.382	478.694	0.000	-0.000
1397.479	96.576	-1708.829	1.571	114.407	481.821	0.000	-0.000
1399.216	90.565	-1711.472	1.574	114.554	485.389	0.000	-0.000
1393.504	94.541	-1708.448	1.570	114.286	479.363	0.000	-0.000
1402.018	101.979	-1714.037	1.571	114.456	485.375	0.000	-0.000
1388.834	80.979	-1712.457	1.569	114.591	485.346	0.000	-0.000
1393.913	92.221	-1709.584	1.572	114.821	481.476	0.000	-0.000
1401.895	98.292	-1712.096	1.576	114.479	483.139	0.000	-0.000
1394.434	96.655	-1703.220	1.571	114.119	483.806	0.000	-0.000
1387.567	93.432	-1702.674	1.574	114.600	478.662	0.000	-0.000
1413.449	119.634	-1702.304	1.572	114.167	476.485	0.000	-0.000
1394.629	95.744	-1710.769	1.570	114.165	482.933	0.000	-0.000
1386.622	91.499	-1701.893	1.570	114.122	480.742	0.000	-0.000
1398.263	99.064	-1707.590	1.576	114.258	483.398	0.000	-0.000
1390.434	93.505	-1706.483	1.573	114.668	486.113	0.000	-0.000
1397.525	92.540	-1712.503	1.572	114.261	484.102	0.000	-0.000
1402.153	101.934	-1707.633	1.568	114.329	480.260	0.000	-0.000
1388.275	92.492	-1703.805	1.576	114.541	478.599	0.000	-0.000
1401.041	105.678	-1701.099	1.573	114.488	480.561	0.000	-0.000
1398.663	104.438	-1703.165	1.573	114.325	479.214	0.000	-0.000
1397.350	104.157	-1703.525	1.570	114.462	482.610	0.000	-0.000
1411.671	114.605	-1710.172	1.575	114.584	478.497	0.000	-0.000
1403.257	103.667	-1705.227	1.570	114.350	480.617	0.000	-0.000
1409.607	111.017	-1707.717	1.573	114.743	481.432	0.000	-0.000
1394.567	91.788	-1710.696	1.573	114.510	482.426	0.000	-0.000
1407.754	106.046	-1712.632	1.567	114.652	480.414	0.000	-0.000
1397.953	93.135	-1713.084	1.571	114.691	479.964	0.000	-0.000
1408.660	108.577	-1709.627	1.570	114.488	482.583	0.000	-0.000
1401.616	93.742	-1716.088	1.567	114.541	480.170	0.000	-0.000
1403.969	104.813	-1713.006	1.569	114.715	481.102	0.000	-0.000
1407.441	107.137	-1705.960	1.572	114.795	480.926	0.000	-0.000
1402.427	96.383	-1717.300	1.570	114.722	483.142	0.000	-0.000
1402.067	93.109	-1717.167	1.567	114.710	485.964	0.000	-0.000
1398.397	95.388	-1714.233	1.571	114.548	480.768	0.000	-0.000
1400.604	102.884	-1710.101	1.573	114.503	479.669	0.000	-0.000
1395.930	92.133	-1709.916	1.567	114.651	482.944	0.000	-0.000
1403.216	104.714	-1706.926	1.571	114.223	480.650	0.000	-0.000
1392.891	86.409	-1710.010	1.570	114.394	480.312	0.000	-0.000
1392.545	96.797	-1702.769	1.572	114.604	482.255	0.000	-0.000
1402.313	97.907	-1711.463	1.570	114.250	482.722	0.000	-0.000
1395.187	94.319	-1709.362	1.574	114.601	481.006	0.000	-0.000
1407.260	103.910	-1713.559	1.572	114.799	486.304	0.000	-0.000
1396.084	88.556	-1717.732	1.574	114.794	480.886	0.000	-0.000
1402.451	99.720	-1713.235	1.569	114.645	477.838	0.000	-0.000
1408.874	103.793	-1712.633	1.570	114.613	477.665	0.000	-0.000
1389.097	85.916	-1713.744	1.574	114.624	481.912	0.000	-0.000
1399.617	97.693	-1712.506	1.571	114.766	477.435	0.000	-0.000
1396.936	95.495	-1711.438	1.565	114.518	481.704	0.000	-0.000
1400.224	97.349	-1711.696	1.567	114.489	480.151	0.000	-0.000
1401.514	92.429	-1720.692	1.574	114.690	477.607	0.000	-0.000
1401.581	97.635	-1710.107	1.571	114.754	482.770	0.000	-0.000
1388.745	88.907	-1705.459	1.568	114.685	480.011	0.000	-0.000
1395.136	98.161	-1704.399	1.574	114.987	480.657	0.000	-0.000
1393.244	94.920	-1706.286	1.569	114.595	477.090	0.000	-0.000
1396.776	95.501	-1710.475	1.568	114.543	477.510	0.000	-0.000
1408.860	101.181	-1714.903	1.566	114.876	480.110	0.000	-0.000
1398.278	91.296	-1715.867	1.569	114.593	478.815	0.000	-0.000
1402.745	95.697	-1715.866	1.571	114.635	478.622	0.000	-0.000
1396.420	99.667	-1704.005	1.570	114.761	477.564	0.000	-0.000
1401.130	104.731	-1707.927	1.574	114.456	476.337	0.000	-0.000
1396.125	88.168	-1713.976	1.571	114.222	479.173	0.000	-0.000
1392.519	92.735	-1709.068	1.571	114.394	477.599	0.000	-0.000
1400.185	97.073	-1709.790	1.571	114.295	483.293	0.000	-0.000
1404.927	100.954	-1711.674	1.575	114.517	478.123	0.000	-0.000
1381.263	77.637	-1709.429	1.576	114.615	479.486	0.000	-0.000
1401.467	100.816	-1707.913	1.573	114.613	478.925	0.000	-0.000
1397.398	95.798	-1710.473	1.572	114.585	482.534	0.000	-0.000
1401.623	96.669	-1712.051	1.570	114.646	482.727	0.000	-0.000
1407.656	101.376	-1716.465	1.569	114.833	485.631	0.000	-0.000
1403.213	98.881	-1712.440	1.568	115.056	482.087	0.000	-0.000
1392.882	84.913	-1714.670	1.568	114.658	479.940	0.000	-0.000
1399.351	99.849	-1706.940	1.573	114.669	483.462	0.000	-0.000
1394.688	96.301	-1706.104	1.570	114.541	479.070	0.000	-0.000
