eubo: -276.798,  elbo: -287.317,  ess: 1.812
eubo: -277.319,  elbo: -286.531,  ess: 1.817
eubo: -277.154,  elbo: -286.355,  ess: 1.807
eubo: -276.805,  elbo: -285.300,  ess: 1.830
eubo: -275.552,  elbo: -284.033,  ess: 1.818
eubo: -275.224,  elbo: -284.278,  ess: 1.763
eubo: -276.608,  elbo: -285.897,  ess: 1.752
eubo: -276.461,  elbo: -285.992,  ess: 1.785
eubo: -276.211,  elbo: -285.439,  ess: 1.824
eubo: -278.845,  elbo: -287.783,  ess: 1.814
eubo: -277.341,  elbo: -286.431,  ess: 1.838
eubo: -276.018,  elbo: -285.209,  ess: 1.849
eubo: -278.153,  elbo: -286.909,  ess: 1.873
eubo: -276.132,  elbo: -285.212,  ess: 1.864
eubo: -274.164,  elbo: -283.035,  ess: 1.883
eubo: -275.681,  elbo: -284.870,  ess: 1.765
eubo: -277.317,  elbo: -286.260,  ess: 1.819
eubo: -276.600,  elbo: -285.751,  ess: 1.784
eubo: -277.939,  elbo: -286.995,  ess: 1.867
eubo: -277.418,  elbo: -286.483,  ess: 1.798
eubo: -276.795,  elbo: -286.273,  ess: 1.764
eubo: -276.435,  elbo: -285.242,  ess: 1.801
eubo: -277.114,  elbo: -286.254,  ess: 1.779
eubo: -277.708,  elbo: -287.194,  ess: 1.780
eubo: -277.171,  elbo: -286.366,  ess: 1.884
eubo: -276.910,  elbo: -285.595,  ess: 1.845
eubo: -276.939,  elbo: -286.843,  ess: 1.796
eubo: -275.086,  elbo: -283.763,  ess: 1.796
eubo: -275.547,  elbo: -284.514,  ess: 1.824
eubo: -276.514,  elbo: -285.428,  ess: 1.827
eubo: -276.178,  elbo: -284.867,  ess: 1.821
eubo: -276.544,  elbo: -284.973,  ess: 1.809
eubo: -277.312,  elbo: -285.758,  ess: 1.839
eubo: -274.948,  elbo: -283.880,  ess: 1.821
eubo: -278.373,  elbo: -287.411,  ess: 1.833
eubo: -277.448,  elbo: -287.203,  ess: 1.818
eubo: -275.574,  elbo: -284.149,  ess: 1.821
eubo: -276.927,  elbo: -286.872,  ess: 1.793
eubo: -277.035,  elbo: -285.324,  ess: 1.917
eubo: -276.201,  elbo: -285.065,  ess: 1.838
eubo: -276.602,  elbo: -285.171,  ess: 1.873
eubo: -274.709,  elbo: -283.176,  ess: 1.881
eubo: -276.024,  elbo: -285.078,  ess: 1.799
eubo: -277.255,  elbo: -285.642,  ess: 1.870
eubo: -276.012,  elbo: -284.691,  ess: 1.860
eubo: -278.041,  elbo: -286.816,  ess: 1.814
eubo: -277.941,  elbo: -286.293,  ess: 1.928
eubo: -276.149,  elbo: -285.152,  ess: 1.864
eubo: -275.919,  elbo: -284.905,  ess: 1.850
eubo: -275.496,  elbo: -283.929,  ess: 1.849
eubo: -275.703,  elbo: -284.254,  ess: 1.887
eubo: -275.962,  elbo: -284.596,  ess: 1.886
eubo: -277.100,  elbo: -285.577,  ess: 1.810
eubo: -277.024,  elbo: -285.505,  ess: 1.925
eubo: -275.574,  elbo: -284.118,  ess: 1.870
eubo: -277.659,  elbo: -286.311,  ess: 1.818
eubo: -276.572,  elbo: -285.088,  ess: 1.867
eubo: -276.155,  elbo: -284.867,  ess: 1.859
eubo: -276.790,  elbo: -285.467,  ess: 1.871
eubo: -276.706,  elbo: -285.380,  ess: 1.872
eubo: -275.932,  elbo: -284.855,  ess: 1.813
eubo: -275.988,  elbo: -284.971,  ess: 1.804
eubo: -278.888,  elbo: -287.693,  ess: 1.829
eubo: -276.372,  elbo: -285.008,  ess: 1.861
eubo: -276.855,  elbo: -285.277,  ess: 1.814
eubo: -276.741,  elbo: -286.028,  ess: 1.844
eubo: -274.635,  elbo: -283.266,  ess: 1.776
eubo: -276.754,  elbo: -285.895,  ess: 1.889
eubo: -277.407,  elbo: -285.990,  ess: 1.833
eubo: -276.384,  elbo: -285.000,  ess: 1.806
eubo: -274.367,  elbo: -282.620,  ess: 1.894
eubo: -276.676,  elbo: -285.209,  ess: 1.818
eubo: -275.660,  elbo: -283.917,  ess: 1.849
eubo: -275.743,  elbo: -284.381,  ess: 1.840
eubo: -277.349,  elbo: -286.425,  ess: 1.895
eubo: -276.861,  elbo: -286.459,  ess: 1.816
eubo: -276.672,  elbo: -286.174,  ess: 1.783
eubo: -276.871,  elbo: -285.677,  ess: 1.857
eubo: -276.773,  elbo: -285.522,  ess: 1.843
eubo: -277.559,  elbo: -286.294,  ess: 1.753
eubo: -275.653,  elbo: -284.287,  ess: 1.923
eubo: -275.726,  elbo: -283.928,  ess: 1.910
eubo: -276.778,  elbo: -285.163,  ess: 1.821
eubo: -276.634,  elbo: -286.084,  ess: 1.877
eubo: -276.805,  elbo: -285.208,  ess: 1.825
eubo: -276.332,  elbo: -285.239,  ess: 1.808
eubo: -274.980,  elbo: -284.524,  ess: 1.910
eubo: -276.638,  elbo: -285.063,  ess: 1.911
eubo: -276.176,  elbo: -285.189,  ess: 1.822
eubo: -274.924,  elbo: -283.234,  ess: 1.827
eubo: -277.951,  elbo: -286.639,  ess: 1.779
eubo: -275.243,  elbo: -283.711,  ess: 1.820
eubo: -274.356,  elbo: -282.845,  ess: 1.919
eubo: -276.269,  elbo: -284.886,  ess: 1.873
eubo: -277.182,  elbo: -286.311,  ess: 1.856
eubo: -277.652,  elbo: -286.451,  ess: 1.894
eubo: -274.237,  elbo: -282.314,  ess: 1.898
eubo: -276.513,  elbo: -284.887,  ess: 1.879
eubo: -276.232,  elbo: -284.514,  ess: 1.898
eubo: -277.064,  elbo: -285.292,  ess: 1.899
eubo: -276.594,  elbo: -285.337,  ess: 1.812
eubo: -274.281,  elbo: -282.915,  ess: 1.867
eubo: -276.929,  elbo: -286.061,  ess: 1.796
eubo: -275.969,  elbo: -284.384,  ess: 1.888
eubo: -277.353,  elbo: -285.971,  ess: 1.880
eubo: -275.982,  elbo: -284.947,  ess: 1.867
eubo: -277.611,  elbo: -285.762,  ess: 1.869
eubo: -276.739,  elbo: -285.631,  ess: 1.878
eubo: -277.471,  elbo: -285.950,  ess: 1.888
eubo: -276.934,  elbo: -286.025,  ess: 1.854
eubo: -275.428,  elbo: -284.139,  ess: 1.781
eubo: -277.071,  elbo: -286.273,  ess: 1.899
eubo: -275.553,  elbo: -284.238,  ess: 1.875
eubo: -276.090,  elbo: -284.470,  ess: 1.859
eubo: -278.767,  elbo: -287.606,  ess: 1.808
eubo: -275.423,  elbo: -283.945,  ess: 1.887
eubo: -275.955,  elbo: -284.491,  ess: 1.842
eubo: -277.042,  elbo: -286.156,  ess: 1.825
eubo: -277.809,  elbo: -286.921,  ess: 1.843
eubo: -278.151,  elbo: -286.679,  ess: 1.833
eubo: -276.390,  elbo: -284.917,  ess: 1.851
eubo: -278.423,  elbo: -287.212,  ess: 1.844
eubo: -275.577,  elbo: -283.867,  ess: 1.879
eubo: -277.269,  elbo: -285.622,  ess: 1.868
eubo: -275.350,  elbo: -284.048,  ess: 1.861
eubo: -275.672,  elbo: -284.063,  ess: 1.898
eubo: -276.517,  elbo: -285.819,  ess: 1.797
eubo: -275.620,  elbo: -284.123,  ess: 1.800
eubo: -276.115,  elbo: -284.627,  ess: 1.836
eubo: -276.439,  elbo: -284.950,  ess: 1.869
eubo: -276.365,  elbo: -285.686,  ess: 1.892
eubo: -275.131,  elbo: -283.483,  ess: 1.875
eubo: -274.732,  elbo: -282.819,  ess: 1.821
eubo: -276.750,  elbo: -286.122,  ess: 1.814
eubo: -276.007,  elbo: -285.192,  ess: 1.795
eubo: -276.801,  elbo: -286.713,  ess: 1.825
eubo: -276.575,  elbo: -285.118,  ess: 1.850
eubo: -277.241,  elbo: -286.126,  ess: 1.799
eubo: -275.319,  elbo: -284.303,  ess: 1.855
eubo: -276.688,  elbo: -285.269,  ess: 1.935
eubo: -276.805,  elbo: -285.672,  ess: 1.777
eubo: -276.415,  elbo: -284.944,  ess: 1.897
eubo: -274.963,  elbo: -283.232,  ess: 1.874
eubo: -278.880,  elbo: -287.692,  ess: 1.810
eubo: -274.583,  elbo: -282.776,  ess: 1.888
eubo: -275.852,  elbo: -284.838,  ess: 1.902
eubo: -277.447,  elbo: -286.933,  ess: 1.822
eubo: -275.431,  elbo: -284.231,  ess: 1.828
eubo: -276.615,  elbo: -285.228,  ess: 1.856
eubo: -275.065,  elbo: -283.456,  ess: 1.856
eubo: -277.248,  elbo: -285.920,  ess: 1.820
eubo: -275.465,  elbo: -283.736,  ess: 1.852
eubo: -276.765,  elbo: -284.914,  ess: 1.886
eubo: -278.133,  elbo: -286.940,  ess: 1.885
eubo: -277.809,  elbo: -286.665,  ess: 1.834
eubo: -275.340,  elbo: -283.568,  ess: 1.836
eubo: -276.112,  elbo: -284.696,  ess: 1.853
eubo: -276.313,  elbo: -285.122,  ess: 1.910
eubo: -275.680,  elbo: -285.477,  ess: 1.798
eubo: -275.707,  elbo: -284.540,  ess: 1.846
eubo: -276.682,  elbo: -284.854,  ess: 1.892
eubo: -276.721,  elbo: -285.536,  ess: 1.860
eubo: -277.304,  elbo: -285.974,  ess: 1.869
eubo: -276.357,  elbo: -284.441,  ess: 1.888
eubo: -277.273,  elbo: -285.417,  ess: 1.813
eubo: -276.296,  elbo: -284.681,  ess: 1.880
eubo: -276.647,  elbo: -285.506,  ess: 1.804
eubo: -276.439,  elbo: -285.115,  ess: 1.833
eubo: -275.740,  elbo: -284.369,  ess: 1.927
eubo: -276.141,  elbo: -284.433,  ess: 1.858
eubo: -275.921,  elbo: -284.416,  ess: 1.873
eubo: -277.093,  elbo: -285.768,  ess: 1.799
eubo: -276.802,  elbo: -285.219,  ess: 1.849
eubo: -276.314,  elbo: -284.805,  ess: 1.912
eubo: -273.709,  elbo: -282.168,  ess: 1.854
eubo: -276.959,  elbo: -285.655,  ess: 1.846
eubo: -274.818,  elbo: -283.113,  ess: 1.894
eubo: -276.801,  elbo: -286.630,  ess: 1.862
eubo: -275.279,  elbo: -283.451,  ess: 1.891
eubo: -277.040,  elbo: -285.447,  ess: 1.898
eubo: -274.847,  elbo: -283.697,  ess: 1.796
eubo: -277.107,  elbo: -285.360,  ess: 1.931
eubo: -276.086,  elbo: -284.523,  ess: 1.892
eubo: -278.514,  elbo: -286.847,  ess: 1.932
eubo: -277.255,  elbo: -285.896,  ess: 1.856
eubo: -276.320,  elbo: -285.193,  ess: 1.837
eubo: -824.045,  elbo: -1016.119,  ess: 1.045
eubo: -693.864,  elbo: -837.136,  ess: 1.075
eubo: -610.096,  elbo: -726.188,  ess: 1.091
eubo: -548.244,  elbo: -637.952,  ess: 1.139
eubo: -502.812,  elbo: -574.233,  ess: 1.138
eubo: -474.379,  elbo: -530.784,  ess: 1.178
eubo: -444.953,  elbo: -493.032,  ess: 1.199
eubo: -435.349,  elbo: -477.013,  ess: 1.248
eubo: -435.779,  elbo: -478.868,  ess: 1.249
eubo: -422.817,  elbo: -460.861,  ess: 1.240
eubo: -421.795,  elbo: -459.481,  ess: 1.275
eubo: -415.796,  elbo: -450.627,  ess: 1.337
eubo: -413.660,  elbo: -446.651,  ess: 1.311
eubo: -408.438,  elbo: -440.965,  ess: 1.324
eubo: -408.424,  elbo: -440.394,  ess: 1.343
eubo: -410.806,  elbo: -444.782,  ess: 1.348
eubo: -417.821,  elbo: -453.786,  ess: 1.341
eubo: -406.710,  elbo: -439.615,  ess: 1.364
eubo: -401.008,  elbo: -432.163,  ess: 1.348
eubo: -404.958,  elbo: -435.934,  ess: 1.401
eubo: -404.141,  elbo: -436.782,  ess: 1.359
eubo: -406.484,  elbo: -439.913,  ess: 1.355
eubo: -409.857,  elbo: -442.718,  ess: 1.386
eubo: -409.720,  elbo: -442.886,  ess: 1.392
eubo: -412.969,  elbo: -447.565,  ess: 1.368
eubo: -400.606,  elbo: -431.801,  ess: 1.414
eubo: -409.980,  elbo: -442.815,  ess: 1.375
eubo: -402.120,  elbo: -434.063,  ess: 1.396
eubo: -401.950,  elbo: -434.219,  ess: 1.380
eubo: -408.722,  elbo: -440.860,  ess: 1.382
eubo: -396.440,  elbo: -426.665,  ess: 1.423
eubo: -403.790,  elbo: -435.222,  ess: 1.358
eubo: -410.916,  elbo: -445.920,  ess: 1.368
eubo: -410.721,  elbo: -444.666,  ess: 1.367
eubo: -411.509,  elbo: -446.456,  ess: 1.367
eubo: -406.582,  elbo: -438.593,  ess: 1.386
eubo: -406.412,  elbo: -438.670,  ess: 1.390
eubo: -405.404,  elbo: -438.098,  ess: 1.379
eubo: -405.383,  elbo: -436.532,  ess: 1.363
eubo: -399.792,  elbo: -431.454,  ess: 1.385
eubo: -399.365,  elbo: -430.118,  ess: 1.404
eubo: -403.561,  elbo: -434.177,  ess: 1.390
eubo: -405.739,  elbo: -437.338,  ess: 1.369
eubo: -406.562,  elbo: -438.720,  ess: 1.369
eubo: -407.768,  elbo: -442.792,  ess: 1.364
eubo: -403.490,  elbo: -434.382,  ess: 1.344
eubo: -398.968,  elbo: -427.657,  ess: 1.399
eubo: -400.978,  elbo: -432.675,  ess: 1.415
eubo: -410.303,  elbo: -443.836,  ess: 1.354
eubo: -407.594,  elbo: -440.137,  ess: 1.374
eubo: -406.487,  elbo: -439.412,  ess: 1.400
eubo: -403.913,  elbo: -434.580,  ess: 1.408
eubo: -403.179,  elbo: -435.590,  ess: 1.372
eubo: -399.283,  elbo: -430.343,  ess: 1.404
eubo: -411.624,  elbo: -445.095,  ess: 1.411
eubo: -406.852,  elbo: -438.257,  ess: 1.393
eubo: -410.576,  elbo: -443.949,  ess: 1.398
eubo: -404.899,  elbo: -436.908,  ess: 1.378
eubo: -405.168,  elbo: -437.357,  ess: 1.416
eubo: -405.913,  elbo: -439.835,  ess: 1.376
eubo: -396.286,  elbo: -426.487,  ess: 1.400
eubo: -405.100,  elbo: -438.628,  ess: 1.397
eubo: -405.725,  elbo: -439.240,  ess: 1.393
eubo: -408.863,  elbo: -443.276,  ess: 1.393
eubo: -407.310,  elbo: -440.452,  ess: 1.369
eubo: -399.475,  elbo: -430.623,  ess: 1.389
eubo: -402.331,  elbo: -434.011,  ess: 1.393
eubo: -405.320,  elbo: -436.665,  ess: 1.373
eubo: -398.888,  elbo: -428.979,  ess: 1.385
eubo: -400.312,  elbo: -431.828,  ess: 1.381
eubo: -406.171,  elbo: -438.949,  ess: 1.430
eubo: -407.726,  elbo: -442.589,  ess: 1.422
eubo: -403.991,  elbo: -436.015,  ess: 1.359
eubo: -404.987,  elbo: -436.576,  ess: 1.383
eubo: -409.061,  elbo: -441.433,  ess: 1.418
eubo: -411.492,  elbo: -446.368,  ess: 1.408
eubo: -399.349,  elbo: -431.149,  ess: 1.370
eubo: -407.126,  elbo: -441.008,  ess: 1.383
eubo: -408.397,  elbo: -441.241,  ess: 1.382
eubo: -407.855,  elbo: -441.154,  ess: 1.391
eubo: -387.984,  elbo: -416.214,  ess: 1.401
eubo: -412.746,  elbo: -446.552,  ess: 1.394
eubo: -406.720,  elbo: -440.783,  ess: 1.398
eubo: -402.328,  elbo: -433.938,  ess: 1.424
eubo: -400.075,  elbo: -431.949,  ess: 1.393
eubo: -406.054,  elbo: -440.660,  ess: 1.375
eubo: -401.947,  elbo: -434.323,  ess: 1.437
eubo: -407.654,  elbo: -441.821,  ess: 1.379
eubo: -398.183,  elbo: -430.429,  ess: 1.426
eubo: -405.484,  elbo: -439.504,  ess: 1.381
eubo: -411.794,  elbo: -448.451,  ess: 1.368
eubo: -407.317,  elbo: -442.621,  ess: 1.381
eubo: -399.016,  elbo: -430.531,  ess: 1.392
eubo: -405.500,  elbo: -440.899,  ess: 1.373
eubo: -394.911,  elbo: -426.737,  ess: 1.418
eubo: -401.527,  elbo: -434.894,  ess: 1.393
eubo: -408.768,  elbo: -443.838,  ess: 1.374
eubo: -405.058,  elbo: -437.811,  ess: 1.397
eubo: -399.767,  elbo: -432.619,  ess: 1.389
eubo: -405.075,  elbo: -438.395,  ess: 1.382
eubo: -406.638,  elbo: -440.769,  ess: 1.390
eubo: -399.309,  elbo: -431.702,  ess: 1.346
eubo: -406.577,  elbo: -442.945,  ess: 1.360
eubo: -398.613,  elbo: -429.801,  ess: 1.417
eubo: -399.534,  elbo: -432.244,  ess: 1.385
eubo: -401.016,  elbo: -434.019,  ess: 1.420
eubo: -405.006,  elbo: -439.194,  ess: 1.373
eubo: -395.304,  elbo: -426.719,  ess: 1.394
eubo: -396.755,  elbo: -428.734,  ess: 1.381
eubo: -406.630,  elbo: -441.776,  ess: 1.352
eubo: -397.851,  elbo: -431.716,  ess: 1.407
eubo: -409.429,  elbo: -446.738,  ess: 1.332
eubo: -399.956,  elbo: -433.322,  ess: 1.341
eubo: -402.625,  elbo: -436.657,  ess: 1.374
eubo: -408.228,  elbo: -446.799,  ess: 1.344
eubo: -398.469,  elbo: -432.055,  ess: 1.342
eubo: -402.823,  elbo: -437.949,  ess: 1.380
eubo: -401.447,  elbo: -435.004,  ess: 1.419
eubo: -400.886,  elbo: -435.521,  ess: 1.373
eubo: -403.985,  elbo: -439.115,  ess: 1.358
eubo: -399.908,  elbo: -432.844,  ess: 1.401
eubo: -404.545,  elbo: -444.448,  ess: 1.376
eubo: -401.839,  elbo: -436.896,  ess: 1.340
eubo: -400.508,  elbo: -437.931,  ess: 1.330
eubo: -401.630,  elbo: -439.168,  ess: 1.388
eubo: -396.388,  elbo: -431.455,  ess: 1.346
eubo: -404.110,  elbo: -442.298,  ess: 1.360
eubo: -394.487,  elbo: -427.936,  ess: 1.383
eubo: -399.171,  elbo: -435.569,  ess: 1.339
eubo: -397.293,  elbo: -435.109,  ess: 1.326
eubo: -393.881,  elbo: -429.083,  ess: 1.348
eubo: -401.900,  elbo: -441.597,  ess: 1.311
eubo: -400.548,  elbo: -438.577,  ess: 1.325
eubo: -405.124,  elbo: -444.301,  ess: 1.351
eubo: -393.485,  elbo: -429.608,  ess: 1.338
eubo: -403.320,  elbo: -446.296,  ess: 1.337
eubo: -392.901,  elbo: -429.099,  ess: 1.331
eubo: -402.713,  elbo: -441.749,  ess: 1.344
eubo: -396.755,  elbo: -435.119,  ess: 1.305
eubo: -395.218,  elbo: -434.695,  ess: 1.309
eubo: -400.245,  elbo: -440.621,  ess: 1.292
eubo: -397.624,  elbo: -437.522,  ess: 1.334
eubo: -396.660,  elbo: -436.501,  ess: 1.304
eubo: -390.755,  elbo: -427.628,  ess: 1.293
eubo: -397.697,  elbo: -439.228,  ess: 1.300
eubo: -396.236,  elbo: -436.368,  ess: 1.291
eubo: -395.660,  elbo: -434.902,  ess: 1.302
eubo: -395.490,  elbo: -436.368,  ess: 1.295
eubo: -400.665,  elbo: -444.398,  ess: 1.265
eubo: -396.403,  elbo: -437.005,  ess: 1.297
eubo: -398.253,  elbo: -441.147,  ess: 1.254
eubo: -394.464,  elbo: -436.291,  ess: 1.286
eubo: -397.478,  elbo: -440.805,  ess: 1.281
eubo: -398.205,  elbo: -441.646,  ess: 1.262
eubo: -399.449,  elbo: -443.533,  ess: 1.262
eubo: -391.086,  elbo: -431.602,  ess: 1.297
eubo: -389.938,  elbo: -429.812,  ess: 1.258
eubo: -395.675,  elbo: -437.863,  ess: 1.284
eubo: -389.708,  elbo: -430.198,  ess: 1.245
eubo: -393.700,  elbo: -436.722,  ess: 1.264
eubo: -393.148,  elbo: -436.394,  ess: 1.263
eubo: -394.118,  elbo: -437.637,  ess: 1.220
eubo: -390.100,  elbo: -435.038,  ess: 1.257
eubo: -394.360,  elbo: -440.593,  ess: 1.222
eubo: -392.032,  elbo: -433.345,  ess: 1.235
eubo: -392.023,  elbo: -436.264,  ess: 1.256
eubo: -383.978,  elbo: -424.815,  ess: 1.243
eubo: -393.369,  elbo: -439.760,  ess: 1.247
eubo: -393.893,  elbo: -439.089,  ess: 1.253
eubo: -395.294,  elbo: -438.244,  ess: 1.218
eubo: -392.582,  elbo: -437.592,  ess: 1.237
eubo: -391.022,  elbo: -438.348,  ess: 1.223
eubo: -395.206,  elbo: -442.041,  ess: 1.229
eubo: -393.964,  elbo: -439.433,  ess: 1.198
eubo: -387.981,  elbo: -430.948,  ess: 1.236
eubo: -393.632,  elbo: -438.396,  ess: 1.226
eubo: -387.464,  elbo: -429.469,  ess: 1.225
eubo: -385.709,  elbo: -431.621,  ess: 1.237
eubo: -389.636,  elbo: -433.783,  ess: 1.199
eubo: -388.398,  elbo: -435.082,  ess: 1.201
eubo: -392.838,  elbo: -438.343,  ess: 1.198
eubo: -389.993,  elbo: -437.011,  ess: 1.203
eubo: -385.228,  elbo: -426.344,  ess: 1.206
eubo: -385.814,  elbo: -431.667,  ess: 1.187
eubo: -386.328,  elbo: -431.157,  ess: 1.202
eubo: -390.740,  elbo: -438.873,  ess: 1.195
eubo: -393.137,  elbo: -440.185,  ess: 1.170
eubo: -383.904,  elbo: -430.883,  ess: 1.217
eubo: -392.262,  elbo: -441.405,  ess: 1.181
eubo: -389.167,  elbo: -438.882,  ess: 1.200
eubo: -391.738,  elbo: -440.854,  ess: 1.171
eubo: -385.978,  elbo: -435.170,  ess: 1.165
eubo: -387.985,  elbo: -436.313,  ess: 1.176
eubo: -388.998,  elbo: -437.019,  ess: 1.176
eubo: -389.081,  elbo: -439.375,  ess: 1.169
eubo: -389.704,  elbo: -436.561,  ess: 1.178
eubo: -387.380,  elbo: -437.720,  ess: 1.174
eubo: -387.893,  elbo: -437.804,  ess: 1.188
eubo: -388.141,  elbo: -438.955,  ess: 1.166
