(181s) loss: 33.672,  ess: 8.746,  kl_eta_ex: 0.036,  kl_eta_in: 0.036,  kl_z_ex: 0.025,  kl_z_in: 0.007
(198s) loss: 33.530,  ess: 8.846,  kl_eta_ex: 0.029,  kl_eta_in: 0.027,  kl_z_ex: 0.024,  kl_z_in: 0.007
(198s) loss: 33.741,  ess: 8.905,  kl_eta_ex: 0.024,  kl_eta_in: 0.022,  kl_z_ex: 0.024,  kl_z_in: 0.007
(197s) loss: 33.578,  ess: 8.943,  kl_eta_ex: 0.020,  kl_eta_in: 0.017,  kl_z_ex: 0.022,  kl_z_in: 0.006
(197s) loss: 33.651,  ess: 8.993,  kl_eta_ex: 0.016,  kl_eta_in: 0.013,  kl_z_ex: 0.022,  kl_z_in: 0.006
(195s) loss: 33.551,  ess: 9.019,  kl_eta_ex: 0.014,  kl_eta_in: 0.011,  kl_z_ex: 0.021,  kl_z_in: 0.006
(197s) loss: 33.660,  ess: 9.026,  kl_eta_ex: 0.013,  kl_eta_in: 0.009,  kl_z_ex: 0.020,  kl_z_in: 0.006
(197s) loss: 33.594,  ess: 9.074,  kl_eta_ex: 0.010,  kl_eta_in: 0.007,  kl_z_ex: 0.019,  kl_z_in: 0.005
(197s) loss: 33.508,  ess: 9.054,  kl_eta_ex: 0.010,  kl_eta_in: 0.006,  kl_z_ex: 0.019,  kl_z_in: 0.005
(196s) loss: 33.509,  ess: 9.085,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.017,  kl_z_in: 0.005
(183s) loss: 33.376,  ess: 9.073,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.017,  kl_z_in: 0.005
(172s) loss: 33.160,  ess: 9.085,  kl_eta_ex: 0.008,  kl_eta_in: 0.004,  kl_z_ex: 0.016,  kl_z_in: 0.005
(172s) loss: 33.060,  ess: 9.103,  kl_eta_ex: 0.007,  kl_eta_in: 0.004,  kl_z_ex: 0.016,  kl_z_in: 0.005
(175s) loss: 33.015,  ess: 9.099,  kl_eta_ex: 0.007,  kl_eta_in: 0.004,  kl_z_ex: 0.015,  kl_z_in: 0.004
(172s) loss: 33.139,  ess: 9.125,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.015,  kl_z_in: 0.004
(173s) loss: 33.148,  ess: 9.106,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.014,  kl_z_in: 0.004
(173s) loss: 33.146,  ess: 9.120,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.014,  kl_z_in: 0.004
(188s) loss: 33.095,  ess: 9.109,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.013,  kl_z_in: 0.004
