(349s) loss: 27.101,  ess: 6.836,  kl_eta_ex: 1.280,  kl_eta_in: 0.673,  kl_z_ex: 0.015,  kl_z_in: 0.004
(350s) loss: 27.134,  ess: 6.849,  kl_eta_ex: 1.248,  kl_eta_in: 0.655,  kl_z_ex: 0.015,  kl_z_in: 0.004
(352s) loss: 27.139,  ess: 6.861,  kl_eta_ex: 1.206,  kl_eta_in: 0.638,  kl_z_ex: 0.013,  kl_z_in: 0.004
(347s) loss: 27.142,  ess: 6.877,  kl_eta_ex: 1.176,  kl_eta_in: 0.620,  kl_z_ex: 0.013,  kl_z_in: 0.004
(348s) loss: 27.230,  ess: 6.891,  kl_eta_ex: 1.135,  kl_eta_in: 0.603,  kl_z_ex: 0.012,  kl_z_in: 0.004
(346s) loss: 27.068,  ess: 6.902,  kl_eta_ex: 1.108,  kl_eta_in: 0.590,  kl_z_ex: 0.011,  kl_z_in: 0.004
(350s) loss: 27.146,  ess: 6.915,  kl_eta_ex: 1.067,  kl_eta_in: 0.574,  kl_z_ex: 0.011,  kl_z_in: 0.004
(351s) loss: 27.077,  ess: 6.926,  kl_eta_ex: 1.041,  kl_eta_in: 0.557,  kl_z_ex: 0.011,  kl_z_in: 0.004
(404s) loss: 27.182,  ess: 6.939,  kl_eta_ex: 1.005,  kl_eta_in: 0.544,  kl_z_ex: 0.010,  kl_z_in: 0.003
(560s) loss: 27.069,  ess: 6.950,  kl_eta_ex: 0.977,  kl_eta_in: 0.528,  kl_z_ex: 0.010,  kl_z_in: 0.003
