SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
2809.324	-143.569	-3358.721	1.460	240.625	412.185	35.941	28.711
2776.746	-174.213	-3354.198	1.459	238.983	413.375	34.874	27.265
2784.092	-147.930	-3338.769	1.460	237.610	415.052	35.504	27.814
2763.738	-164.813	-3336.635	1.461	236.217	425.536	34.085	28.171
2752.638	-175.766	-3337.377	1.462	235.173	428.795	34.807	27.261
2748.085	-172.890	-3329.448	1.463	233.306	428.541	33.846	25.718
2735.655	-188.012	-3331.797	1.458	232.001	433.646	33.260	25.862
2714.744	-211.437	-3331.175	1.467	232.333	439.914	33.051	27.383
2696.079	-227.130	-3329.439	1.464	230.386	449.443	33.117	25.513
2703.406	-210.913	-3322.455	1.467	228.810	450.490	32.932	25.388
2686.528	-233.188	-3327.185	1.464	228.548	452.049	32.639	25.227
2659.839	-253.358	-3321.111	1.466	227.555	461.378	31.553	26.682
2671.927	-242.018	-3325.193	1.465	226.472	464.232	31.668	25.338
2643.223	-276.814	-3327.581	1.465	225.121	469.522	31.592	24.860
2610.516	-302.132	-3321.477	1.467	224.725	478.179	32.168	25.613
2623.741	-306.918	-3338.166	1.466	223.610	482.806	31.283	25.373
2607.588	-308.438	-3324.599	1.467	222.708	481.568	30.859	24.324
2604.052	-322.594	-3332.224	1.469	222.029	488.802	30.088	24.282
2600.340	-334.788	-3342.768	1.468	221.455	494.455	30.482	24.520
2586.136	-335.028	-3330.756	1.468	220.598	500.465	29.925	24.396
2582.837	-345.094	-3338.452	1.469	218.900	501.631	29.943	23.696
2562.153	-371.912	-3344.447	1.469	219.712	511.050	30.238	24.737
2564.299	-370.600	-3345.763	1.466	217.782	512.673	29.489	23.063
2564.872	-367.627	-3342.198	1.469	218.296	514.722	29.787	24.473
2531.979	-407.092	-3346.343	1.471	216.749	524.422	28.812	23.295
2522.543	-424.271	-3351.966	1.470	216.912	526.596	28.720	22.982
2516.879	-423.694	-3347.456	1.470	215.642	534.481	28.021	22.709
