SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
1510.627	38.253	-1882.096	1.627	154.277	369.414	22.052	18.843
1495.486	28.733	-1879.149	1.624	152.975	371.523	21.875	18.476
1493.344	13.582	-1885.950	1.623	152.892	374.728	22.233	19.171
1489.701	10.673	-1887.612	1.632	151.434	375.094	22.112	18.415
1484.463	9.040	-1881.312	1.628	151.078	377.159	21.856	18.656
1489.979	8.658	-1892.405	1.627	150.697	381.286	21.472	17.840
1458.071	-19.577	-1888.846	1.623	149.480	382.197	21.358	17.621
1456.027	-24.982	-1886.923	1.627	148.551	383.910	21.008	17.926
1461.530	-25.684	-1897.114	1.628	148.007	389.576	20.797	18.017
1448.352	-40.382	-1893.898	1.629	147.137	390.840	20.807	17.191
1446.599	-40.094	-1896.116	1.623	147.136	396.565	21.066	17.936
1419.318	-70.895	-1896.378	1.628	146.122	391.692	20.384	16.997
1426.406	-57.438	-1892.669	1.625	145.938	403.173	20.125	16.775
1431.168	-61.597	-1902.441	1.628	145.202	405.515	20.578	18.010
1414.047	-78.715	-1903.429	1.631	145.251	410.819	20.345	17.653
1412.707	-80.177	-1903.719	1.629	143.760	410.229	19.965	17.493
1395.518	-110.740	-1909.412	1.625	142.988	413.894	19.541	16.969
1401.185	-100.543	-1911.348	1.624	142.265	417.439	19.350	17.198
1392.203	-112.593	-1912.887	1.624	142.955	421.512	19.869	16.777
1389.282	-120.371	-1918.559	1.622	141.988	423.119	19.781	16.973
1375.430	-133.663	-1915.576	1.623	141.790	423.260	19.989	16.918
1379.185	-130.401	-1917.185	1.623	141.407	423.958	19.734	16.833
1375.978	-142.473	-1924.792	1.619	141.601	430.347	19.596	16.971
1369.891	-145.529	-1923.989	1.622	140.648	436.157	19.138	16.599
1370.851	-147.846	-1928.457	1.620	141.090	441.708	19.252	16.280
1368.054	-156.003	-1932.101	1.619	140.458	438.318	19.479	16.980
1353.747	-171.086	-1931.433	1.618	139.921	448.109	18.816	16.965
1353.813	-173.915	-1937.172	1.621	139.623	446.694	19.950	17.790
1346.922	-184.312	-1937.907	1.615	139.275	450.249	19.104	16.309
1348.706	-177.290	-1938.409	1.623	139.089	452.069	19.674	17.061
1341.223	-187.414	-1935.127	1.623	138.446	450.768	18.747	15.762
1333.751	-198.424	-1937.900	1.619	138.916	458.516	19.726	16.719
1336.924	-200.965	-1947.012	1.618	137.589	453.543	18.583	15.544
1327.535	-217.353	-1951.306	1.620	138.212	465.458	18.876	16.152
1340.423	-196.386	-1946.603	1.616	137.832	460.389	18.650	15.922
1338.910	-200.823	-1948.820	1.619	137.749	468.107	18.601	15.866
1324.741	-215.131	-1946.287	1.616	137.196	471.677	18.706	16.676
1320.313	-224.039	-1949.656	1.616	137.192	472.512	18.957	16.916
1330.597	-207.676	-1947.662	1.612	136.580	463.683	18.507	15.683
1321.120	-222.974	-1952.126	1.615	136.180	468.442	18.404	15.703
1316.563	-226.867	-1951.696	1.617	136.685	471.005	18.612	15.550
1315.367	-233.611	-1954.736	1.611	136.383	476.624	18.512	15.825
1312.983	-229.046	-1947.666	1.613	135.893	480.268	18.551	15.755
1310.556	-240.158	-1955.115	1.611	136.395	482.765	19.001	16.120
1292.534	-257.940	-1956.498	1.616	135.391	479.648	18.401	16.065
1318.517	-232.549	-1962.694	1.611	135.497	484.777	18.664	15.853
1309.459	-233.350	-1948.631	1.613	135.755	478.425	18.636	15.908
1307.932	-245.604	-1963.169	1.610	135.514	484.173	18.509	15.875
1307.872	-241.819	-1957.679	1.614	136.159	485.380	18.561	16.631
1307.834	-241.581	-1958.422	1.607	135.160	483.953	18.342	16.622
1296.705	-252.652	-1954.991	1.613	135.284	491.056	18.773	16.185
1307.178	-247.362	-1966.571	1.614	135.253	493.953	18.494	14.757
1303.756	-244.318	-1959.777	1.602	134.541	494.400	18.184	15.486
1309.472	-241.872	-1961.408	1.608	135.099	497.440	18.840	16.116
1304.487	-244.892	-1958.100	1.609	134.908	492.481	18.907	15.872
1302.186	-247.191	-1959.839	1.611	134.867	497.363	18.675	15.801
1303.549	-242.100	-1956.459	1.605	134.951	493.920	18.808	15.388
1301.074	-251.414	-1961.694	1.607	134.418	498.189	18.516	16.740
1280.951	-270.542	-1957.532	1.609	134.070	494.164	18.740	16.041
1296.875	-246.736	-1954.224	1.609	134.120	499.824	18.682	16.160
1288.716	-257.852	-1956.170	1.609	133.803	493.683	17.991	15.981
1290.595	-259.722	-1955.972	1.612	133.962	503.352	18.150	15.241
1289.040	-261.729	-1959.123	1.604	134.627	507.104	18.647	15.889
1288.308	-258.346	-1957.745	1.607	133.659	507.548	18.295	14.933
1278.560	-267.683	-1952.637	1.607	133.986	503.068	18.584	15.458
1286.598	-262.437	-1953.523	1.608	134.139	513.790	18.421	15.759
1289.969	-259.387	-1956.775	1.609	133.574	501.645	18.791	15.254
1291.197	-250.609	-1949.990	1.608	133.917	501.829	18.961	16.597
1288.358	-259.647	-1956.321	1.609	133.551	506.661	18.393	15.866
1286.293	-262.616	-1955.470	1.605	133.917	510.329	18.966	15.506
1291.928	-250.082	-1951.565	1.609	133.476	504.943	18.396	16.359
1283.150	-259.926	-1949.274	1.610	133.521	510.089	18.083	16.036
1281.250	-262.919	-1951.018	1.605	133.530	515.507	18.913	16.167
1288.154	-252.593	-1947.825	1.606	133.413	507.541	18.275	16.113
1287.054	-256.635	-1948.407	1.613	133.351	509.481	18.959	16.154
1283.587	-250.566	-1941.958	1.606	133.197	505.376	18.480	15.087
1288.684	-249.228	-1949.652	1.607	133.282	514.227	18.727	16.752
1283.647	-246.238	-1940.116	1.606	133.740	519.458	19.351	16.485
1289.846	-252.610	-1949.095	1.613	133.469	514.855	18.893	15.541
1284.668	-247.837	-1944.646	1.610	133.201	514.323	19.126	16.540
