SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
63.568	-8944.910	-9644.163	1.470	147.919	1357.328	5.445	4.961
63.363	-8930.157	-9627.146	1.475	146.682	1324.240	5.359	5.054
62.742	-8914.517	-9604.682	1.477	143.768	1310.306	5.054	4.620
62.798	-8889.716	-9580.491	1.476	143.413	1294.993	5.006	4.830
63.116	-8874.873	-9569.145	1.476	143.448	1261.765	5.201	5.555
62.610	-8851.536	-9540.249	1.475	142.820	1249.110	5.069	5.356
62.597	-8831.194	-9519.764	1.473	141.949	1234.535	5.195	5.451
61.849	-8813.166	-9493.510	1.479	139.383	1184.105	5.028	4.685
61.596	-8790.051	-9467.612	1.477	138.342	1173.245	5.016	5.253
61.611	-8757.065	-9434.789	1.480	135.289	1132.305	4.799	4.577
61.409	-8735.183	-9410.682	1.483	133.427	1106.762	4.618	4.446
60.608	-8708.389	-9375.081	1.484	131.717	1058.982	4.619	4.407
60.606	-8686.774	-9353.439	1.486	131.286	1024.742	4.923	4.765
60.115	-8659.836	-9321.096	1.488	127.977	988.742	4.571	4.476
59.863	-8640.529	-9299.018	1.488	127.072	959.690	4.691	4.837
59.969	-8602.503	-9262.165	1.488	125.324	917.417	4.441	4.591
59.271	-8576.405	-9228.384	1.489	122.446	894.509	4.496	4.575
59.613	-8545.333	-9201.078	1.493	121.438	854.930	4.601	4.945
59.904	-8517.333	-9176.282	1.495	120.430	828.735	4.541	4.721
59.591	-8489.800	-9145.304	1.496	120.125	797.664	4.814	5.101
58.280	-8460.485	-9101.564	1.495	115.036	757.910	4.397	4.582
58.063	-8430.482	-9069.172	1.497	113.277	724.442	4.512	4.551
57.825	-8400.285	-9036.358	1.500	112.239	692.290	4.575	4.843
57.388	-8371.086	-9002.358	1.506	108.796	656.564	4.440	4.672
57.002	-8339.850	-8966.867	1.505	105.031	613.600	4.296	4.691
56.687	-8308.723	-8932.278	1.511	102.343	582.935	4.402	5.038
55.674	-8273.777	-8886.189	1.516	97.674	539.171	4.172	4.761
54.826	-8241.152	-8844.234	1.523	93.603	498.135	4.225	5.043
54.141	-8206.596	-8802.147	1.527	88.774	448.320	4.207	5.065
53.581	-8168.726	-8758.112	1.538	84.075	407.740	4.246	5.215
52.789	-8127.755	-8708.437	1.548	79.016	366.610	4.392	5.399
52.309	-8079.732	-8655.135	1.557	74.349	328.892	4.561	5.737
51.449	-8039.182	-8605.125	1.574	69.302	298.451	4.714	5.874
50.862	-7992.466	-8551.944	1.595	65.626	275.562	4.889	6.218
49.718	-7947.236	-8494.135	1.617	61.762	256.538	4.907	6.239
48.496	-7902.330	-8435.784	1.649	58.751	247.368	4.758	6.093
47.715	-7854.068	-8378.935	1.690	55.926	238.907	4.603	5.948
46.702	-7802.823	-8316.544	1.740	53.787	237.889	4.487	5.822
45.689	-7747.130	-8249.704	1.814	52.084	238.515	4.473	5.923
44.584	-7695.289	-8185.718	1.898	51.029	238.264	4.567	5.938
43.477	-7642.351	-8120.601	1.970	49.885	234.755	4.715	6.057
42.404	-7589.974	-8056.422	2.051	49.176	231.066	5.034	6.527
41.521	-7535.921	-7992.651	2.136	48.501	222.405	5.396	6.847
40.678	-7471.128	-7918.590	2.221	47.877	216.110	5.865	7.591
40.053	-7406.811	-7847.395	2.296	47.798	211.856	6.079	7.572
38.949	-7350.520	-7778.964	2.378	47.457	203.798	7.023	8.773
38.424	-7281.096	-7703.755	2.429	46.987	196.451	7.426	9.126
37.162	-7214.010	-7622.796	2.482	47.178	192.528	8.214	10.140
36.203	-7140.146	-7538.375	2.535	46.876	184.024	8.951	10.851
35.055	-7062.133	-7447.740	2.586	46.425	176.546	9.259	11.303
33.946	-6981.089	-7354.494	2.611	46.107	171.019	9.800	11.791
32.939	-6889.929	-7252.263	2.648	45.499	164.492	10.143	12.045
31.530	-6808.048	-7154.878	2.665	45.349	160.310	10.946	13.349
30.109	-6718.468	-7049.673	2.700	43.921	153.272	10.020	12.121
28.531	-6639.864	-6953.705	2.731	43.392	147.940	10.503	12.391
27.030	-6575.186	-6872.521	2.753	43.200	143.645	11.110	13.655
25.405	-6540.013	-6819.473	2.776	42.168	135.551	11.425	13.702
24.620	-6526.630	-6797.447	2.786	41.796	132.935	11.372	13.149
24.391	-6520.009	-6788.304	2.778	41.509	128.925	11.627	14.221
24.021	-6517.047	-6781.279	2.793	39.936	124.817	10.836	13.139
23.615	-6514.084	-6773.854	2.792	39.584	122.392	11.065	13.493
23.253	-6510.170	-6765.955	2.798	38.428	117.404	10.605	12.627
22.889	-6507.567	-6759.344	2.805	38.438	114.620	11.196	13.129
22.627	-6502.716	-6751.610	2.815	38.203	113.146	11.100	13.565
22.260	-6499.829	-6744.689	2.806	38.098	110.408	11.655	13.462
21.994	-6496.766	-6738.700	2.810	36.794	108.006	10.713	12.685
21.687	-6493.970	-6732.525	2.815	36.453	103.519	11.037	13.458
21.276	-6492.940	-6726.980	2.821	37.309	103.182	12.092	14.170
21.090	-6487.433	-6719.426	2.829	35.738	100.348	10.787	12.848
20.747	-6486.390	-6714.606	2.831	36.163	99.485	11.395	13.848
20.361	-6484.589	-6708.564	2.842	35.919	96.387	11.802	13.932
20.284	-6479.525	-6702.652	2.851	35.239	95.214	11.506	13.692
19.880	-6479.279	-6697.958	2.852	35.750	94.969	12.061	14.539
19.595	-6477.003	-6692.551	2.861	35.290	92.407	11.641	13.473
19.465	-6473.240	-6687.356	2.870	35.403	92.999	11.936	13.998
19.226	-6471.106	-6682.589	2.886	35.228	91.303	11.957	14.587
18.795	-6471.110	-6677.853	2.909	35.438	91.557	12.229	14.875
18.620	-6467.410	-6672.230	2.935	34.883	88.983	11.770	14.230
18.383	-6464.624	-6666.843	2.963	34.706	87.052	12.314	14.541
18.026	-6464.676	-6662.965	3.008	35.161	85.794	13.053	15.696
17.697	-6462.791	-6657.457	3.046	34.196	82.516	12.483	14.973
17.406	-6461.763	-6653.225	3.099	34.233	82.715	12.922	15.563
17.168	-6459.892	-6648.736	3.156	34.053	82.800	13.143	16.430
16.890	-6459.971	-6645.760	3.217	33.606	80.556	13.227	16.235
16.763	-6457.401	-6641.795	3.284	33.688	79.040	13.976	16.958
16.465	-6456.288	-6637.401	3.374	31.609	72.638	13.012	15.843
15.918	-6456.690	-6631.784	3.502	29.182	64.162	12.450	14.708
15.493	-6455.072	-6625.497	3.669	27.764	56.491	13.647	16.501
14.926	-6455.259	-6619.445	3.888	23.460	45.900	12.068	14.407
14.373	-6455.919	-6614.025	4.150	21.724	37.832	12.846	14.984
14.200	-6454.573	-6610.770	4.406	20.073	31.351	12.974	14.913
13.818	-6456.906	-6608.902	4.607	20.360	29.226	14.657	16.621
13.606	-6459.722	-6609.385	4.755	20.228	28.300	15.550	17.455
13.661	-6458.585	-6608.851	4.860	20.921	27.889	17.144	18.531
13.426	-6461.267	-6608.952	4.973	19.602	27.688	16.367	18.387
13.530	-6460.973	-6609.808	5.038	22.120	30.093	19.041	21.467
13.454	-6461.548	-6609.542	5.081	22.083	29.386	18.913	20.785
13.644	-6460.273	-6610.358	5.116	23.852	32.077	21.068	23.255
13.549	-6461.871	-6610.914	5.140	22.924	30.746	19.930	21.524
13.530	-6462.046	-6610.876	5.139	23.936	32.529	21.357	22.963
13.576	-6461.908	-6611.243	5.152	23.375	31.221	20.541	22.532
13.559	-6462.458	-6611.603	5.163	24.009	32.662	21.481	24.017
13.565	-6462.337	-6611.548	5.169	23.763	31.485	21.387	23.033
13.475	-6462.685	-6610.913	5.178	24.661	32.460	22.034	23.568
13.551	-6462.338	-6611.399	5.182	23.354	31.063	20.743	22.392
13.540	-6462.868	-6611.812	5.173	24.287	32.567	21.924	23.992
13.419	-6463.916	-6611.529	5.182	24.550	32.694	22.093	23.821
13.527	-6462.361	-6611.163	5.190	24.116	32.777	21.634	24.079
13.539	-6461.674	-6610.602	5.193	24.251	32.604	22.014	23.839
13.392	-6463.351	-6610.660	5.194	24.589	32.749	22.034	23.676
13.497	-6461.672	-6610.144	5.195	25.252	33.482	22.709	25.217
13.406	-6463.631	-6611.092	5.190	24.136	32.797	21.843	24.615
13.323	-6464.545	-6611.103	5.203	24.249	31.655	21.725	23.791
13.472	-6462.896	-6611.092	5.188	23.979	32.078	21.527	23.322
13.561	-6460.289	-6609.455	5.176	24.702	32.768	22.294	24.544
13.354	-6462.600	-6609.497	5.180	23.827	32.195	21.168	23.403
13.359	-6463.782	-6610.728	5.184	23.992	32.806	21.785	23.727
13.433	-6462.187	-6609.952	5.182	23.498	32.391	21.095	23.559
13.465	-6462.222	-6610.333	5.176	23.313	31.750	20.633	23.118
13.428	-6461.770	-6609.480	5.161	23.756	32.190	21.403	23.375
13.435	-6460.775	-6608.565	5.156	22.798	31.099	20.218	22.383
13.511	-6459.649	-6608.271	5.145	23.000	30.729	20.416	22.640
13.500	-6459.561	-6608.058	5.121	23.545	32.109	21.149	23.303
13.278	-6460.543	-6606.597	5.117	21.448	29.809	18.827	21.502
13.347	-6460.222	-6607.043	5.092	22.159	30.797	19.600	22.238
13.246	-6460.339	-6606.041	5.087	20.054	28.606	17.513	20.069
13.378	-6458.892	-6606.046	5.062	21.725	30.052	18.991	21.566
13.319	-6459.286	-6605.800	5.045	21.035	29.655	18.269	20.705
13.236	-6459.920	-6605.513	5.035	20.536	28.905	18.018	20.400
13.286	-6459.070	-6605.214	5.037	19.992	28.511	17.209	19.642
13.184	-6460.281	-6605.310	5.024	19.634	27.668	16.858	19.287
13.346	-6458.157	-6604.962	5.023	20.015	28.344	17.245	19.908
13.300	-6458.356	-6604.657	5.013	19.277	27.383	16.527	19.286
13.368	-6457.292	-6604.337	4.999	19.359	28.249	16.598	19.332
13.408	-6456.403	-6603.889	4.985	19.634	28.184	16.848	19.408
13.256	-6458.392	-6604.209	4.992	18.672	26.878	15.992	18.871
13.410	-6455.973	-6603.483	4.984	20.615	29.070	17.955	19.670
13.437	-6456.439	-6604.244	4.987	19.651	27.982	16.842	19.321
13.184	-6459.517	-6604.537	4.996	17.911	25.808	15.126	17.731
13.337	-6457.415	-6604.121	4.986	19.571	27.828	16.784	19.115
13.448	-6456.876	-6604.807	4.972	20.089	27.947	17.184	19.410
13.350	-6457.872	-6604.725	4.979	19.356	27.970	16.480	19.122
13.297	-6457.920	-6604.188	4.972	19.721	28.239	16.819	19.347
13.432	-6456.946	-6604.694	4.973	18.803	27.118	15.901	18.147
13.250	-6458.295	-6604.047	4.977	18.888	27.282	16.091	18.463
13.439	-6456.034	-6603.863	4.974	18.955	27.662	16.255	18.870
13.326	-6457.545	-6604.133	4.973	19.400	27.834	16.541	19.256
13.378	-6457.189	-6604.344	4.973	18.810	27.131	15.709	18.448
13.348	-6457.384	-6604.208	4.973	19.921	28.807	16.972	19.473
13.392	-6456.682	-6603.994	4.974	18.974	26.996	16.104	18.114
13.308	-6457.892	-6604.283	4.980	18.228	26.068	15.452	17.612
13.385	-6456.666	-6603.897	4.981	19.071	27.843	16.184	18.929
13.375	-6457.325	-6604.452	4.977	19.161	27.669	16.331	19.084
13.362	-6457.398	-6604.378	4.974	19.779	28.571	16.862	19.543
13.331	-6457.059	-6603.699	4.978	18.968	27.167	16.327	18.630
13.419	-6455.997	-6603.603	4.979	19.849	27.981	16.999	18.823
13.274	-6458.319	-6604.337	4.971	20.157	29.125	17.294	19.903
13.276	-6457.982	-6604.017	4.982	18.647	26.592	15.913	18.566
13.250	-6458.338	-6604.091	4.992	18.832	27.285	16.089	18.652
13.310	-6457.730	-6604.141	4.989	19.670	28.677	16.869	19.717
13.549	-6455.925	-6604.966	4.974	18.644	26.636	15.980	18.168
13.326	-6457.613	-6604.204	4.975	18.515	27.005	15.633	17.987
13.607	-6454.765	-6604.437	4.966	18.937	27.413	16.158	18.886
13.430	-6456.422	-6604.149	4.956	19.476	28.339	16.556	18.937
13.412	-6456.929	-6604.461	4.974	19.417	27.814	16.481	18.811
13.287	-6458.807	-6604.969	4.966	18.640	28.157	15.631	18.643
13.277	-6457.726	-6603.777	4.963	19.093	27.395	16.219	18.883
13.346	-6457.493	-6604.299	4.963	18.989	27.703	15.955	18.572
13.453	-6456.004	-6603.990	4.976	18.400	26.295	15.487	17.844
13.472	-6456.140	-6604.327	4.957	19.421	27.832	16.578	18.971
13.462	-6455.771	-6603.857	4.962	18.497	26.699	15.586	18.109
13.477	-6455.891	-6604.135	4.963	18.873	26.708	15.956	18.332
13.486	-6454.893	-6603.245	4.965	18.871	27.470	16.037	17.838
13.466	-6456.405	-6604.529	4.957	18.979	27.329	16.253	18.628
13.446	-6456.027	-6603.936	4.964	19.482	27.626	16.619	18.582
13.350	-6457.772	-6604.623	4.964	19.466	27.753	16.561	18.936
13.372	-6457.179	-6604.272	4.981	19.265	27.103	16.416	18.648
13.442	-6457.569	-6605.431	4.970	19.351	27.076	16.614	18.844
13.328	-6457.720	-6604.328	4.967	18.465	26.558	15.584	17.907
13.373	-6457.117	-6604.223	4.973	18.924	26.922	16.215	18.364
13.430	-6457.007	-6604.738	4.966	19.191	27.627	16.348	18.702
13.374	-6457.038	-6604.152	4.969	19.182	27.396	16.319	18.679
13.287	-6458.321	-6604.482	4.977	19.250	27.786	16.434	18.654
13.393	-6457.337	-6604.663	4.975	18.807	26.810	15.716	18.226
13.168	-6458.658	-6603.504	4.986	18.593	27.135	15.817	18.184
13.396	-6455.682	-6603.040	4.978	19.443	28.002	16.443	19.197
13.341	-6457.908	-6604.661	4.983	19.011	28.032	16.157	19.184
13.364	-6457.242	-6604.247	4.988	19.426	28.192	16.564	19.184
13.286	-6457.246	-6603.393	4.981	19.054	27.500	16.373	18.549
13.281	-6457.869	-6603.965	4.990	18.658	27.364	15.789	18.357
13.421	-6456.173	-6603.809	4.974	19.026	27.590	16.067	18.746
13.509	-6455.626	-6604.222	4.965	19.200	28.177	16.392	19.465
13.005	-6461.987	-6605.038	4.987	19.526	27.976	16.654	19.368
13.275	-6458.062	-6604.086	4.992	19.223	27.556	16.448	18.629
13.418	-6456.300	-6603.900	4.985	19.641	28.011	16.845	19.250
13.381	-6457.124	-6604.314	4.978	19.322	27.729	16.548	19.056
13.209	-6458.566	-6603.867	4.975	19.245	27.678	16.489	18.656
13.266	-6458.084	-6604.005	4.980	19.707	28.315	16.782	19.621
13.401	-6456.609	-6604.023	4.978	19.234	27.018	16.407	18.658
13.301	-6457.652	-6603.967	4.994	19.293	28.157	16.568	19.344
13.345	-6458.201	-6604.998	4.982	19.222	27.878	16.485	19.305
13.411	-6456.725	-6604.250	4.973	18.992	27.118	16.129	18.813
13.331	-6456.748	-6603.388	4.962	18.812	26.848	15.979	18.341
13.322	-6458.294	-6604.839	4.984	18.825	26.942	15.971	18.212
13.504	-6455.755	-6604.298	4.960	18.570	27.437	15.456	18.008
13.350	-6456.464	-6603.311	4.966	19.050	27.232	16.082	18.392
13.467	-6456.233	-6604.375	4.950	19.297	27.195	16.342	18.570
13.345	-6457.069	-6603.867	4.953	19.903	28.402	16.986	19.255
13.381	-6457.162	-6604.351	4.959	19.568	28.336	16.868	19.577
13.288	-6458.693	-6604.862	4.969	19.362	27.444	16.424	18.542
13.469	-6456.662	-6604.818	4.957	18.909	27.207	16.013	18.540
13.379	-6456.495	-6603.669	4.965	18.100	26.060	15.272	17.629
13.578	-6454.165	-6603.526	4.956	18.532	26.759	15.586	17.946
13.418	-6455.964	-6603.562	4.970	18.299	26.503	15.385	17.690
13.466	-6455.932	-6604.056	4.967	18.489	25.520	15.788	17.480
13.293	-6457.453	-6603.678	4.965	19.718	28.453	16.825	19.456
13.330	-6457.431	-6604.061	4.965	19.365	27.807	16.616	19.256
13.288	-6458.231	-6604.399	4.983	19.528	27.479	16.686	18.799
13.324	-6456.992	-6603.555	4.987	19.427	27.980	16.772	19.054
13.315	-6458.768	-6605.239	4.977	19.059	27.220	16.201	18.556
13.431	-6456.375	-6604.114	4.982	19.872	27.970	16.913	19.505
13.289	-6458.293	-6604.477	4.982	19.448	28.516	16.549	19.547
13.209	-6458.780	-6604.074	4.993	19.127	27.498	16.331	18.632
13.432	-6456.664	-6604.410	4.963	19.471	27.445	16.483	19.092
13.409	-6456.342	-6603.836	4.977	18.792	27.206	15.992	18.592
13.474	-6456.845	-6605.061	4.971	18.945	27.165	16.225	18.579
13.325	-6457.514	-6604.094	4.968	19.310	27.949	16.481	19.180
13.473	-6456.199	-6604.407	4.969	18.320	26.318	15.349	17.457
13.372	-6457.280	-6604.378	4.971	18.915	27.488	15.944	18.477
13.413	-6456.969	-6604.517	4.961	19.138	27.840	16.311	18.773
13.387	-6456.038	-6603.296	4.962	19.252	28.160	16.354	18.969
13.374	-6456.629	-6603.738	4.965	18.180	25.980	15.264	17.224
13.525	-6455.812	-6604.591	4.952	18.792	27.331	16.028	18.668
13.249	-6459.145	-6604.888	4.957	20.125	28.381	17.124	19.392
13.317	-6457.557	-6604.049	4.981	18.979	27.118	16.225	18.325
13.304	-6457.988	-6604.332	4.964	18.292	27.075	15.414	18.148
13.606	-6454.771	-6604.434	4.964	18.662	27.140	15.872	18.180
13.317	-6457.556	-6604.041	4.964	19.890	28.236	17.025	19.248
13.290	-6457.840	-6604.033	4.977	18.443	26.350	15.635	18.367
13.312	-6457.637	-6604.066	4.972	18.568	27.144	15.789	18.407
13.351	-6457.601	-6604.463	4.969	19.487	28.153	16.508	18.914
13.250	-6458.369	-6604.118	4.973	17.976	26.088	15.139	17.553
13.179	-6458.728	-6603.699	4.983	19.775	28.108	16.964	19.377
13.314	-6458.792	-6605.251	4.972	19.145	27.111	16.298	18.340
13.421	-6456.435	-6604.063	4.981	19.034	27.373	16.055	18.616
13.367	-6457.599	-6604.634	4.979	19.285	27.958	16.508	19.363
13.319	-6457.324	-6603.837	4.976	19.587	28.091	16.784	19.506
13.457	-6455.870	-6603.899	4.979	19.268	28.117	16.206	19.097
13.339	-6457.088	-6603.815	4.968	19.570	28.294	16.661	19.141
13.349	-6458.377	-6605.214	4.965	18.935	27.113	16.112	18.642
13.233	-6458.273	-6603.834	4.980	19.070	26.428	16.406	18.220
13.262	-6458.361	-6604.241	4.984	18.864	28.026	16.063	18.737
13.423	-6456.874	-6604.528	4.966	19.617	27.490	16.844	19.049
13.635	-6453.842	-6603.829	4.967	18.552	26.845	15.657	18.288
13.289	-6458.270	-6604.446	4.966	19.376	27.622	16.591	19.034
13.345	-6458.454	-6605.249	4.974	19.660	28.250	16.762	19.059
13.372	-6457.408	-6604.496	4.974	19.327	27.284	16.501	18.991
13.317	-6457.745	-6604.228	4.987	18.612	26.936	15.815	18.245
13.434	-6456.542	-6604.321	4.969	19.476	28.269	16.642	19.466
13.239	-6458.904	-6604.531	4.979	19.070	26.795	16.267	17.873
13.260	-6458.057	-6603.921	4.980	19.836	29.032	16.773	19.672
13.425	-6456.161	-6603.835	4.965	19.225	27.403	16.412	18.735
13.426	-6456.690	-6604.372	4.983	18.436	26.502	15.540	17.853
13.296	-6458.708	-6604.966	4.970	19.590	27.809	16.760	19.085
13.452	-6455.802	-6603.776	4.972	19.096	27.932	16.247	18.989
13.214	-6458.867	-6604.224	4.972	18.870	26.791	16.111	18.341
13.331	-6457.753	-6604.394	4.987	19.543	27.748	16.690	18.970
13.344	-6457.676	-6604.456	4.980	18.386	26.523	15.637	18.393
13.450	-6457.085	-6605.040	4.992	19.090	27.416	16.294	18.583
13.421	-6455.988	-6603.622	4.983	19.814	28.101	17.117	19.721
13.411	-6456.492	-6604.009	4.963	18.927	27.274	16.081	18.845
13.293	-6458.036	-6604.262	4.986	20.073	28.833	17.351	20.085
13.322	-6457.055	-6603.601	4.981	19.973	28.535	17.337	19.665
13.436	-6456.533	-6604.333	4.974	20.442	28.797	17.502	19.874
13.391	-6456.951	-6604.251	4.977	18.760	26.427	16.028	18.054
13.334	-6457.126	-6603.804	4.976	20.117	28.211	17.236	19.529
13.236	-6458.143	-6603.741	4.984	20.000	29.093	17.096	20.044
13.335	-6457.788	-6604.474	4.979	19.088	27.662	16.420	18.919
13.500	-6455.385	-6603.882	4.971	19.129	27.472	16.415	18.464
13.291	-6457.692	-6603.889	4.987	19.004	27.536	16.313	18.466
13.334	-6457.366	-6604.036	4.986	18.368	26.737	15.470	17.528
13.368	-6456.978	-6604.023	4.973	18.064	26.556	15.259	17.473
13.410	-6457.220	-6604.728	4.981	20.108	28.854	17.157	19.417
13.305	-6457.951	-6604.309	4.964	19.117	27.716	16.234	18.830
13.319	-6457.195	-6603.703	4.976	19.434	28.349	16.539	19.328
13.336	-6457.627	-6604.328	4.984	19.178	27.439	16.364	18.653
13.299	-6457.247	-6603.540	4.990	19.201	27.517	16.403	18.749
13.500	-6455.032	-6603.535	4.968	19.383	27.997	16.375	19.606
13.437	-6456.077	-6603.885	4.965	18.454	26.535	15.618	17.914
13.300	-6457.982	-6604.287	4.963	19.387	27.703	16.488	18.952
13.477	-6455.633	-6603.878	4.955	18.819	26.612	15.846	18.341
13.351	-6457.783	-6604.645	4.960	19.052	27.361	16.062	18.411
13.393	-6457.100	-6604.423	4.972	19.488	28.132	16.654	19.008
13.352	-6457.236	-6604.104	4.978	18.996	27.377	16.163	18.499
13.253	-6458.560	-6604.348	4.975	18.188	27.141	15.402	18.499
13.387	-6457.755	-6605.012	4.981	18.878	27.026	15.922	18.370
13.529	-6454.937	-6603.756	4.958	19.470	29.173	16.635	19.869
13.367	-6457.895	-6604.934	4.975	19.312	27.404	16.469	18.373
