symKL_DB_eta: 8936.785,  symKL_DB_z: 26961.485,  gap: 12187.624,  loss: -22770.199,  ess: 5.061
symKL_DB_eta: 9195.083,  symKL_DB_z: 22973.617,  gap: 12195.243,  loss: -21975.198,  ess: 5.079
symKL_DB_eta: 9435.292,  symKL_DB_z: 20210.499,  gap: 12204.359,  loss: -22831.412,  ess: 5.098
symKL_DB_eta: 9780.662,  symKL_DB_z: 18264.634,  gap: 12333.237,  loss: -23566.702,  ess: 5.112
symKL_DB_eta: 9740.378,  symKL_DB_z: 16050.704,  gap: 12168.616,  loss: -20740.286,  ess: 5.130
symKL_DB_eta: 10346.127,  symKL_DB_z: 15253.855,  gap: 12532.373,  loss: -26336.071,  ess: 5.136
symKL_DB_eta: 9936.482,  symKL_DB_z: 13857.257,  gap: 11988.546,  loss: -22465.805,  ess: 5.157
symKL_DB_eta: 10567.105,  symKL_DB_z: 13027.230,  gap: 12409.311,  loss: -24495.304,  ess: 5.163
symKL_DB_eta: 10388.095,  symKL_DB_z: 12108.794,  gap: 12280.086,  loss: -24708.726,  ess: 5.170
symKL_DB_eta: 10715.082,  symKL_DB_z: 11452.769,  gap: 12577.094,  loss: -24962.866,  ess: 5.171
symKL_DB_eta: 10697.178,  symKL_DB_z: 10897.784,  gap: 12391.161,  loss: -24564.487,  ess: 5.182
symKL_DB_eta: 10861.903,  symKL_DB_z: 10436.846,  gap: 12551.935,  loss: -23963.953,  ess: 5.191
symKL_DB_eta: 10576.610,  symKL_DB_z: 10061.440,  gap: 12283.509,  loss: -22746.455,  ess: 5.186
symKL_DB_eta: 10733.016,  symKL_DB_z: 9472.261,  gap: 12233.424,  loss: -21694.597,  ess: 5.200
symKL_DB_eta: 10856.404,  symKL_DB_z: 9169.969,  gap: 12440.521,  loss: -21415.739,  ess: 5.204
symKL_DB_eta: 10753.651,  symKL_DB_z: 8744.260,  gap: 12285.937,  loss: -22465.246,  ess: 5.213
symKL_DB_eta: 10748.475,  symKL_DB_z: 8329.644,  gap: 12171.362,  loss: -22093.884,  ess: 5.220
symKL_DB_eta: 20985.629,  symKL_DB_z: 3821.739,  gap: 6989.077,  loss: -36444.504,  ess: 1.451
symKL_DB_eta: 14972.878,  symKL_DB_z: 3174.872,  gap: 6214.397,  loss: -34951.598,  ess: 1.530
symKL_DB_eta: 12876.080,  symKL_DB_z: 2969.411,  gap: 5766.915,  loss: -34401.381,  ess: 1.573
symKL_DB_eta: 11291.732,  symKL_DB_z: 2938.276,  gap: 5595.321,  loss: -30880.899,  ess: 1.598
symKL_DB_eta: 10230.608,  symKL_DB_z: 2851.408,  gap: 5266.289,  loss: -29016.647,  ess: 1.610
symKL_DB_eta: 10159.796,  symKL_DB_z: 2878.674,  gap: 5458.041,  loss: -31874.176,  ess: 1.622
symKL_DB_eta: 9700.223,  symKL_DB_z: 2917.223,  gap: 5413.769,  loss: -31227.986,  ess: 1.634
symKL_DB_eta: 9390.390,  symKL_DB_z: 2987.408,  gap: 5383.703,  loss: -29502.345,  ess: 1.627
symKL_DB_eta: 9317.046,  symKL_DB_z: 2993.471,  gap: 5401.106,  loss: -30726.400,  ess: 1.638
symKL_DB_eta: 9152.346,  symKL_DB_z: 2957.255,  gap: 5298.546,  loss: -28243.241,  ess: 1.639
symKL_DB_eta: 9067.386,  symKL_DB_z: 2999.997,  gap: 5269.800,  loss: -29009.913,  ess: 1.636
symKL_DB_eta: 9061.671,  symKL_DB_z: 2969.348,  gap: 5294.016,  loss: -29683.543,  ess: 1.648
symKL_DB_eta: 8806.101,  symKL_DB_z: 3029.244,  gap: 5206.461,  loss: -28891.975,  ess: 1.643
symKL_DB_eta: 9122.791,  symKL_DB_z: 2981.378,  gap: 5435.731,  loss: -30178.319,  ess: 1.643
symKL_DB_eta: 8865.008,  symKL_DB_z: 3017.082,  gap: 5399.035,  loss: -28131.186,  ess: 1.654
symKL_DB_eta: 2485149.044,  symKL_DB_z: 5451524.995,  gap: 7936261.125,  loss: -1504885.109,  ess: 2.248
symKL_DB_eta: 82274.831,  symKL_DB_z: 6565265.920,  gap: 6647446.330,  loss: -252468.683,  ess: 2.294
symKL_DB_eta: 62302.775,  symKL_DB_z: 6504056.045,  gap: 6566236.430,  loss: -183623.319,  ess: 2.370
symKL_DB_eta: 97593.661,  symKL_DB_z: 6001922.065,  gap: 5987189.589,  loss: -334727.284,  ess: 2.411
symKL_DB_eta: 331960.589,  symKL_DB_z: 4374662.418,  gap: 3695995.504,  loss: -1734981.893,  ess: 2.132
symKL_DB_eta: 220308.076,  symKL_DB_z: 3713888.947,  gap: 3211279.752,  loss: -1566358.549,  ess: 2.256
symKL_DB_eta: 375476.687,  symKL_DB_z: 5467642.235,  gap: 5842894.065,  loss: -294937.475,  ess: 2.554
