DB_eta: 19.489,  DB_z: 25.615,  DB_rad: 1100.834,  gap_eta: 95.017,  gap_z: 79.186,  gap_rad: 1021.012,  loss: -3248.368,  ess: 5.778
DB_eta: 24.212,  DB_z: 33.633,  DB_rad: 1194.162,  gap_eta: 95.299,  gap_z: 82.694,  gap_rad: 1108.690,  loss: -3236.719,  ess: 5.610
DB_eta: 30.876,  DB_z: 44.701,  DB_rad: 1177.571,  gap_eta: 98.086,  gap_z: 89.511,  gap_rad: 1089.443,  loss: -3229.542,  ess: 5.526
DB_eta: 26.268,  DB_z: 41.072,  DB_rad: 1224.519,  gap_eta: 96.685,  gap_z: 88.163,  gap_rad: 1135.298,  loss: -3224.342,  ess: 5.541
DB_eta: 24.388,  DB_z: 33.865,  DB_rad: 1122.645,  gap_eta: 95.704,  gap_z: 82.994,  gap_rad: 1044.440,  loss: -3225.463,  ess: 5.712
DB_eta: 25.239,  DB_z: 34.412,  DB_rad: 1188.219,  gap_eta: 97.281,  gap_z: 82.664,  gap_rad: 1101.077,  loss: -3221.023,  ess: 5.588
DB_eta: 27.357,  DB_z: 37.971,  DB_rad: 1146.879,  gap_eta: 96.059,  gap_z: 84.592,  gap_rad: 1065.321,  loss: -3219.124,  ess: 5.639
DB_eta: 24.483,  DB_z: 32.835,  DB_rad: 1154.413,  gap_eta: 94.746,  gap_z: 81.537,  gap_rad: 1068.650,  loss: -3213.172,  ess: 5.627
DB_eta: 24.561,  DB_z: 31.991,  DB_rad: 1124.903,  gap_eta: 94.919,  gap_z: 81.777,  gap_rad: 1042.260,  loss: -3215.523,  ess: 5.678
DB_eta: 27.950,  DB_z: 37.683,  DB_rad: 1169.560,  gap_eta: 96.134,  gap_z: 84.111,  gap_rad: 1085.197,  loss: -3205.128,  ess: 5.606
DB_eta: 27.468,  DB_z: 36.653,  DB_rad: 1186.178,  gap_eta: 95.476,  gap_z: 83.389,  gap_rad: 1097.068,  loss: -3197.521,  ess: 5.565
DB_eta: 24.092,  DB_z: 32.055,  DB_rad: 1123.950,  gap_eta: 93.708,  gap_z: 80.936,  gap_rad: 1041.420,  loss: -3198.550,  ess: 5.670
DB_eta: 27.834,  DB_z: 39.383,  DB_rad: 1174.318,  gap_eta: 95.035,  gap_z: 84.981,  gap_rad: 1090.899,  loss: -3195.798,  ess: 5.623
DB_eta: 27.195,  DB_z: 38.834,  DB_rad: 1191.052,  gap_eta: 94.516,  gap_z: 83.941,  gap_rad: 1102.510,  loss: -3185.609,  ess: 5.548
DB_eta: 22.411,  DB_z: 31.757,  DB_rad: 1118.551,  gap_eta: 91.719,  gap_z: 80.521,  gap_rad: 1035.113,  loss: -3190.652,  ess: 5.681
DB_eta: 21.072,  DB_z: 28.069,  DB_rad: 1063.475,  gap_eta: 91.339,  gap_z: 78.528,  gap_rad: 981.720,  loss: -3194.433,  ess: 5.744
DB_eta: 28.807,  DB_z: 38.768,  DB_rad: 1152.929,  gap_eta: 96.191,  gap_z: 83.734,  gap_rad: 1064.332,  loss: -3178.042,  ess: 5.556
DB_eta: 28.192,  DB_z: 38.975,  DB_rad: 1151.867,  gap_eta: 94.661,  gap_z: 84.434,  gap_rad: 1068.126,  loss: -3173.586,  ess: 5.610
DB_eta: 24.555,  DB_z: 33.318,  DB_rad: 1119.348,  gap_eta: 93.136,  gap_z: 81.234,  gap_rad: 1032.682,  loss: -3171.708,  ess: 5.639
DB_eta: 25.809,  DB_z: 33.261,  DB_rad: 1146.268,  gap_eta: 94.292,  gap_z: 80.694,  gap_rad: 1061.651,  loss: -3167.936,  ess: 5.635
DB_eta: 25.891,  DB_z: 34.929,  DB_rad: 1150.425,  gap_eta: 93.419,  gap_z: 82.057,  gap_rad: 1070.161,  loss: -3156.724,  ess: 5.687
