EUBO	ELBO	ESS
284306.252	-1545964.700	-7516395.830	1.005
250554.015	-1612357.380	-6873991.570	1.005
222962.074	-1642003.950	-6324207.390	1.005
201452.214	-1698652.539	-5929148.990	1.005
181830.858	-1727283.710	-5545731.665	1.005
161300.121	-1730214.805	-5117517.327	1.006
142954.085	-1685953.084	-4687988.805	1.006
125651.405	-1630387.859	-4269067.325	1.007
109504.375	-1599097.752	-3898689.592	1.007
95463.140	-1570261.597	-3574987.495	1.006
82342.980	-1546954.212	-3276156.763	1.006
71877.592	-1519166.774	-3028596.158	1.005
62326.067	-1490645.709	-2799493.084	1.005
54140.336	-1462794.569	-2599741.645	1.005
47515.976	-1419282.834	-2417118.295	1.004
41592.161	-1390322.186	-2263757.553	1.004
36547.619	-1360699.187	-2128199.200	1.004
32244.997	-1328059.181	-2005204.113	1.004
28460.577	-1294071.226	-1891743.320	1.003
25046.456	-1258095.540	-1784071.105	1.005
22327.332	-1224714.262	-1693588.225	1.005
19482.125	-1196184.617	-1605309.218	1.007
17075.636	-1171584.945	-1530173.298	1.008
15088.676	-1150182.454	-1467044.639	1.008
13276.584	-1137256.566	-1416064.821	1.008
11882.360	-1122756.441	-1372285.999	1.009
10497.625	-1117622.363	-1338072.497	1.010
9332.170	-1114606.058	-1310581.628	1.011
8390.240	-1112664.500	-1288859.526	1.011
7545.096	-1111233.325	-1269680.355	1.011
6795.524	-1111209.393	-1253915.403	1.012
6152.774	-1111029.133	-1240237.389	1.014
5555.671	-1110869.943	-1227539.023	1.016
5047.337	-1111640.961	-1217635.059	1.019
4606.358	-1112484.222	-1209217.742	1.022
4189.629	-1113713.806	-1201696.001	1.025
3786.299	-1115917.587	-1195429.857	1.027
3474.608	-1117359.119	-1190325.880	1.027
3193.987	-1118320.032	-1185393.773	1.031
2964.198	-1121303.336	-1183551.497	1.033
2695.683	-1126063.502	-1182672.846	1.034
2482.191	-1128213.089	-1180339.100	1.036
2293.287	-1130513.728	-1178672.756	1.040
2105.122	-1135030.990	-1179238.576	1.044
1956.686	-1137291.552	-1178381.948	1.049
1790.762	-1139692.734	-1177298.734	1.052
1680.978	-1142542.020	-1177842.564	1.056
1566.307	-1145262.359	-1178154.779	1.061
1464.009	-1148417.658	-1179161.856	1.065
1363.106	-1148729.602	-1177354.816	1.066
1302.483	-1149702.929	-1177055.073	1.071
1219.415	-1150820.659	-1176428.376	1.071
1162.534	-1150399.998	-1174813.189	1.071
1105.635	-1150604.014	-1173822.349	1.074
1038.750	-1148145.619	-1169959.364	1.077
974.047	-1146375.852	-1166830.832	1.079
919.953	-1147846.062	-1167165.070	1.079
880.934	-1148764.694	-1167264.285	1.084
858.567	-1144923.017	-1162952.931	1.082
833.480	-1140401.949	-1157905.009	1.081
791.171	-1137883.438	-1154498.032	1.082
754.223	-1134306.046	-1150144.729	1.080
723.449	-1132017.878	-1147210.293	1.081
693.009	-1131757.922	-1146311.104	1.081
668.895	-1129127.396	-1143174.175	1.084
622.770	-1131062.387	-1144140.546	1.081
628.302	-1128055.929	-1141250.263	1.083
577.678	-1124978.759	-1137110.004	1.087
568.996	-1122818.045	-1134766.964	1.088
545.251	-1120293.056	-1131743.327	1.088
557.976	-1120028.288	-1131745.770	1.086
535.194	-1116131.927	-1127371.023	1.090
496.878	-1116370.246	-1126804.668	1.089
499.082	-1111664.943	-1122145.664	1.089
483.066	-1109708.395	-1119852.782	1.090
464.272	-1110585.058	-1120334.781	1.091
459.550	-1108957.289	-1118607.844	1.093
443.046	-1108473.312	-1117777.276	1.092
427.575	-1112353.266	-1121332.347	1.095
425.360	-1107109.849	-1116042.417	1.094
423.188	-1099192.758	-1108079.694	1.097
411.177	-1099258.264	-1107892.982	1.097
399.406	-1098478.981	-1106866.509	1.096
410.380	-1095041.310	-1103659.281	1.101
408.836	-1094273.605	-1102859.169	1.101
388.595	-1093969.520	-1102130.011	1.101
391.785	-1094069.617	-1102297.100	1.102
372.850	-1094255.470	-1102085.301	1.105
375.113	-1092896.642	-1100774.026	1.105
372.945	-1094109.474	-1101941.303	1.106
363.525	-1093977.087	-1101611.124	1.111
369.426	-1090363.544	-1098121.491	1.113
366.115	-1088858.923	-1096547.336	1.113
375.194	-1081840.800	-1089719.850	1.114
354.064	-1081042.039	-1088477.377	1.116
357.642	-1082488.478	-1089998.958	1.119
349.698	-1079436.619	-1086780.279	1.117
354.982	-1077146.606	-1084601.226	1.120
347.475	-1080836.522	-1088133.497	1.121
351.269	-1078047.613	-1085424.272	1.122
345.897	-1078625.798	-1085889.654	1.123
346.222	-1079304.735	-1086575.396	1.125
337.417	-1072498.015	-1079583.782	1.128
330.771	-1067066.948	-1074013.156	1.129
328.290	-1064890.611	-1071784.686	1.130
343.207	-1055954.182	-1063161.539	1.134
344.580	-1049150.552	-1056386.714	1.134
330.342	-1046792.027	-1053729.217	1.133
337.149	-1047774.576	-1054854.704	1.135
328.403	-1045968.676	-1052865.131	1.139
335.940	-1045034.373	-1052089.126	1.141
326.390	-1045736.999	-1052591.184	1.144
325.853	-1047178.774	-1054021.688	1.147
326.688	-1042696.711	-1049557.159	1.148
336.542	-1035576.206	-1042643.588	1.153
320.161	-1032956.873	-1039680.264	1.151
321.330	-1033393.322	-1040141.244	1.153
316.922	-1032964.083	-1039619.429	1.161
322.901	-1030531.444	-1037312.359	1.161
319.232	-1029035.824	-1035739.689	1.167
325.797	-1030207.137	-1037048.869	1.170
324.362	-1027312.191	-1034123.796	1.168
318.847	-1026727.454	-1033423.236	1.178
330.256	-1026439.217	-1033374.583	1.177
319.542	-1025845.421	-1032555.796	1.184
317.783	-1019450.592	-1026124.041	1.185
315.362	-1016498.846	-1023121.459	1.189
318.728	-1019288.804	-1025982.083	1.196
310.087	-1017656.594	-1024168.421	1.193
315.500	-1014904.670	-1021530.165	1.193
312.176	-1011967.664	-1018523.367	1.197
316.625	-1012320.784	-1018969.886	1.199
309.589	-1011969.657	-1018471.030	1.199
306.857	-1012474.373	-1018918.377	1.204
309.267	-1012236.681	-1018731.270	1.207
310.968	-1012222.363	-1018752.692	1.214
314.204	-1011247.716	-1017845.980	1.211
311.556	-1008780.812	-1015323.471	1.209
310.885	-1010847.588	-1017376.167	1.213
309.007	-1010101.557	-1016590.698	1.211
312.372	-1008661.384	-1015221.193	1.210
308.325	-1009245.130	-1015719.971	1.212
308.271	-1010458.983	-1016932.669	1.215
299.465	-1011486.484	-1017775.251	1.217
311.194	-1013043.858	-1019578.930	1.217
300.921	-1010504.891	-1016824.237	1.219
302.672	-1011293.281	-1017649.396	1.220
301.644	-1010709.338	-1017043.850	1.221
303.500	-1010757.627	-1017131.128	1.222
303.858	-1010849.516	-1017230.531	1.218
302.417	-1009542.333	-1015893.109	1.222
316.160	-1010811.144	-1017450.512	1.222
305.512	-1012806.392	-1019222.141	1.219
308.573	-1013861.499	-1020341.519	1.221
304.731	-1013451.781	-1019851.118	1.225
310.255	-1013027.644	-1019543.002	1.218
313.969	-1012767.810	-1019361.167	1.220
307.912	-1012899.096	-1019365.245	1.221
313.395	-1012617.976	-1019199.269	1.218
295.939	-1014360.104	-1020574.818	1.221
302.137	-1017611.305	-1023956.169	1.221
303.545	-1019070.633	-1025445.073	1.219
303.484	-1019441.319	-1025814.494	1.221
305.932	-1023268.254	-1029692.831	1.225
307.968	-1026240.032	-1032707.345	1.227
310.024	-1024916.719	-1031427.229	1.224
297.523	-1027253.441	-1033501.420	1.224
305.736	-1029257.650	-1035678.116	1.223
305.314	-1029839.445	-1036251.034	1.220
307.814	-1030910.416	-1037374.503	1.221
304.643	-1030951.966	-1037349.474	1.223
311.054	-1032335.693	-1038867.818	1.224
307.258	-1029251.319	-1035703.728	1.221
309.734	-1029137.299	-1035641.736	1.223
301.922	-1027719.725	-1034060.095	1.223
304.198	-1028933.019	-1035321.176	1.225
304.898	-1029956.899	-1036359.759	1.225
300.896	-1032435.968	-1038754.770	1.223
296.878	-1034428.823	-1040663.254	1.226
300.356	-1036449.686	-1042757.139	1.222
302.382	-1039454.448	-1045804.469	1.226
296.111	-1040780.138	-1046998.449	1.225
301.816	-1039266.621	-1045604.762	1.225
296.360	-1038779.022	-1045002.589	1.224
302.135	-1043998.043	-1050342.891	1.231
300.662	-1047656.568	-1053970.468	1.226
302.525	-1045835.881	-1052188.936	1.229
