symKL_DB_eta: 6417.359,  symKL_DB_z: 487.343,  gap_eta: 6415.980,  gap_z: 467.238,  loss: -8470.523,  ess: 5.321
symKL_DB_eta: 6301.268,  symKL_DB_z: 434.262,  gap_eta: 6300.388,  gap_z: 414.259,  loss: -8337.646,  ess: 5.331
symKL_DB_eta: 6354.164,  symKL_DB_z: 385.580,  gap_eta: 6351.517,  gap_z: 364.062,  loss: -8190.411,  ess: 5.344
symKL_DB_eta: 6250.397,  symKL_DB_z: 343.703,  gap_eta: 6245.603,  gap_z: 324.299,  loss: -8113.822,  ess: 5.352
symKL_DB_eta: 6213.185,  symKL_DB_z: 314.514,  gap_eta: 6211.943,  gap_z: 293.684,  loss: -8166.592,  ess: 5.363
symKL_DB_eta: 6216.152,  symKL_DB_z: 285.486,  gap_eta: 6213.396,  gap_z: 265.112,  loss: -8104.253,  ess: 5.370
symKL_DB_eta: 6075.574,  symKL_DB_z: 261.528,  gap_eta: 6073.951,  gap_z: 242.884,  loss: -7994.616,  ess: 5.376
symKL_DB_eta: 5907.779,  symKL_DB_z: 243.790,  gap_eta: 5905.066,  gap_z: 224.171,  loss: -7814.093,  ess: 5.382
symKL_DB_eta: 5785.062,  symKL_DB_z: 229.962,  gap_eta: 5782.988,  gap_z: 209.285,  loss: -7632.036,  ess: 5.388
symKL_DB_eta: 6091.304,  symKL_DB_z: 214.914,  gap_eta: 6087.985,  gap_z: 194.690,  loss: -7788.586,  ess: 5.393
symKL_DB_eta: 5650.271,  symKL_DB_z: 197.898,  gap_eta: 5641.287,  gap_z: 179.802,  loss: -7463.875,  ess: 5.400
symKL_DB_eta: 5548.881,  symKL_DB_z: 187.753,  gap_eta: 5544.392,  gap_z: 169.063,  loss: -7468.008,  ess: 5.405
symKL_DB_eta: 5655.948,  symKL_DB_z: 180.191,  gap_eta: 5650.033,  gap_z: 162.099,  loss: -7389.386,  ess: 5.408
symKL_DB_eta: 5567.175,  symKL_DB_z: 172.985,  gap_eta: 5565.609,  gap_z: 153.990,  loss: -7207.031,  ess: 5.414
symKL_DB_eta: 5363.130,  symKL_DB_z: 163.702,  gap_eta: 5357.642,  gap_z: 146.011,  loss: -7287.358,  ess: 5.420
symKL_DB_eta: 5324.186,  symKL_DB_z: 155.908,  gap_eta: 5321.268,  gap_z: 137.474,  loss: -6932.039,  ess: 5.422
symKL_DB_eta: 5220.966,  symKL_DB_z: 151.706,  gap_eta: 5216.041,  gap_z: 133.056,  loss: -6931.214,  ess: 5.427
symKL_DB_eta: 4982.910,  symKL_DB_z: 146.377,  gap_eta: 4980.326,  gap_z: 128.572,  loss: -6759.403,  ess: 5.429
symKL_DB_eta: 4938.744,  symKL_DB_z: 136.949,  gap_eta: 4933.558,  gap_z: 118.891,  loss: -6795.275,  ess: 5.434
symKL_DB_eta: 4728.785,  symKL_DB_z: 136.485,  gap_eta: 4726.796,  gap_z: 116.950,  loss: -6616.754,  ess: 5.436
symKL_DB_eta: 4846.877,  symKL_DB_z: 133.704,  gap_eta: 4830.996,  gap_z: 114.982,  loss: -6639.101,  ess: 5.441
symKL_DB_eta: 4687.012,  symKL_DB_z: 127.342,  gap_eta: 4666.202,  gap_z: 109.014,  loss: -6581.811,  ess: 5.443
symKL_DB_eta: 4786.225,  symKL_DB_z: 119.049,  gap_eta: 4773.643,  gap_z: 102.681,  loss: -6474.886,  ess: 5.447
symKL_DB_eta: 4565.833,  symKL_DB_z: 118.926,  gap_eta: 4564.789,  gap_z: 101.540,  loss: -6433.067,  ess: 5.450
symKL_DB_eta: 4684.656,  symKL_DB_z: 115.723,  gap_eta: 4674.852,  gap_z: 97.792,  loss: -6365.052,  ess: 5.454
symKL_DB_eta: 4685.025,  symKL_DB_z: 113.159,  gap_eta: 4675.237,  gap_z: 93.242,  loss: -6398.513,  ess: 5.457
