symKL_DB_eta: 716.445,  symKL_DB_z: 389.388,  gap_eta: 375.326,  gap_z: 323.150,  loss: -8873.874,  ess: 5.513
symKL_DB_eta: 740.522,  symKL_DB_z: 398.667,  gap_eta: 372.765,  gap_z: 303.557,  loss: -8385.756,  ess: 5.528
symKL_DB_eta: 681.636,  symKL_DB_z: 357.895,  gap_eta: 371.973,  gap_z: 274.039,  loss: -8383.767,  ess: 5.534
symKL_DB_eta: 588.754,  symKL_DB_z: 402.106,  gap_eta: 365.654,  gap_z: 266.832,  loss: -8486.996,  ess: 5.542
symKL_DB_eta: 635.356,  symKL_DB_z: 318.786,  gap_eta: 359.154,  gap_z: 234.491,  loss: -8180.182,  ess: 5.555
symKL_DB_eta: 530.233,  symKL_DB_z: 298.116,  gap_eta: 366.749,  gap_z: 240.890,  loss: -8349.813,  ess: 5.552
symKL_DB_eta: 912.121,  symKL_DB_z: 336.076,  gap_eta: 368.913,  gap_z: 216.849,  loss: -8484.388,  ess: 5.561
symKL_DB_eta: 835.767,  symKL_DB_z: 318.796,  gap_eta: 370.719,  gap_z: 216.101,  loss: -8558.920,  ess: 5.564
symKL_DB_eta: 1072.481,  symKL_DB_z: 329.990,  gap_eta: 367.124,  gap_z: 208.753,  loss: -8410.675,  ess: 5.570
symKL_DB_eta: 743.280,  symKL_DB_z: 273.729,  gap_eta: 364.719,  gap_z: 196.433,  loss: -8519.127,  ess: 5.584
symKL_DB_eta: 627.988,  symKL_DB_z: 269.558,  gap_eta: 362.750,  gap_z: 190.176,  loss: -8352.526,  ess: 5.584
symKL_DB_eta: 739.682,  symKL_DB_z: 242.469,  gap_eta: 363.393,  gap_z: 178.388,  loss: -8312.149,  ess: 5.591
symKL_DB_eta: 676.257,  symKL_DB_z: 236.273,  gap_eta: 364.079,  gap_z: 158.664,  loss: -8331.457,  ess: 5.591
symKL_DB_eta: 927.575,  symKL_DB_z: 240.630,  gap_eta: 365.617,  gap_z: 157.101,  loss: -8567.699,  ess: 5.597
symKL_DB_eta: 793.669,  symKL_DB_z: 262.237,  gap_eta: 367.539,  gap_z: 150.805,  loss: -8296.280,  ess: 5.598
symKL_DB_eta: 643.140,  symKL_DB_z: 224.184,  gap_eta: 370.008,  gap_z: 150.720,  loss: -8555.221,  ess: 5.602
symKL_DB_eta: 707.877,  symKL_DB_z: 251.785,  gap_eta: 372.698,  gap_z: 142.773,  loss: -8668.864,  ess: 5.603
symKL_DB_eta: 637.267,  symKL_DB_z: 256.173,  gap_eta: 370.834,  gap_z: 136.571,  loss: -8491.850,  ess: 5.608
symKL_DB_eta: 963.502,  symKL_DB_z: 236.895,  gap_eta: 365.052,  gap_z: 129.307,  loss: -8444.790,  ess: 5.617
symKL_DB_eta: 840.645,  symKL_DB_z: 225.932,  gap_eta: 369.100,  gap_z: 125.045,  loss: -8493.967,  ess: 5.617
symKL_DB_eta: 723.132,  symKL_DB_z: 203.821,  gap_eta: 370.521,  gap_z: 123.486,  loss: -8642.954,  ess: 5.622
symKL_DB_eta: 826.913,  symKL_DB_z: 232.894,  gap_eta: 369.995,  gap_z: 120.188,  loss: -8673.471,  ess: 5.620
symKL_DB_eta: 702.637,  symKL_DB_z: 196.366,  gap_eta: 358.910,  gap_z: 115.301,  loss: -8299.439,  ess: 5.633
symKL_DB_eta: 633.452,  symKL_DB_z: 242.500,  gap_eta: 366.392,  gap_z: 110.984,  loss: -8495.403,  ess: 5.632
symKL_DB_eta: 833.476,  symKL_DB_z: 195.437,  gap_eta: 367.131,  gap_z: 110.145,  loss: -8413.789,  ess: 5.629
symKL_DB_eta: 992.653,  symKL_DB_z: 222.823,  gap_eta: 361.764,  gap_z: 108.413,  loss: -8467.098,  ess: 5.642
symKL_DB_eta: 759.473,  symKL_DB_z: 173.701,  gap_eta: 361.023,  gap_z: 104.514,  loss: -8273.147,  ess: 5.636
symKL_DB_eta: 693.621,  symKL_DB_z: 178.998,  gap_eta: 356.407,  gap_z: 100.243,  loss: -8270.357,  ess: 5.646
symKL_DB_eta: 616.042,  symKL_DB_z: 194.695,  gap_eta: 363.229,  gap_z: 102.395,  loss: -8448.036,  ess: 5.644
symKL_DB_eta: 706.319,  symKL_DB_z: 189.346,  gap_eta: 363.474,  gap_z: 99.392,  loss: -8324.598,  ess: 5.651
symKL_DB_eta: 659.633,  symKL_DB_z: 156.702,  gap_eta: 359.312,  gap_z: 92.508,  loss: -8272.420,  ess: 5.652
symKL_DB_eta: 762.647,  symKL_DB_z: 169.788,  gap_eta: 357.755,  gap_z: 91.175,  loss: -8409.783,  ess: 5.660
symKL_DB_eta: 578.726,  symKL_DB_z: 161.587,  gap_eta: 367.835,  gap_z: 86.612,  loss: -8312.515,  ess: 5.654
symKL_DB_eta: 759.460,  symKL_DB_z: 163.662,  gap_eta: 362.516,  gap_z: 86.801,  loss: -8149.361,  ess: 5.659
symKL_DB_eta: 768.493,  symKL_DB_z: 160.585,  gap_eta: 362.949,  gap_z: 85.854,  loss: -8479.833,  ess: 5.661
symKL_DB_eta: 714.483,  symKL_DB_z: 179.210,  gap_eta: 368.754,  gap_z: 87.962,  loss: -8555.177,  ess: 5.663
symKL_DB_eta: 808.877,  symKL_DB_z: 155.199,  gap_eta: 357.261,  gap_z: 81.345,  loss: -8366.668,  ess: 5.667
symKL_DB_eta: 876.730,  symKL_DB_z: 206.859,  gap_eta: 371.944,  gap_z: 79.673,  loss: -8463.120,  ess: 5.660
symKL_DB_eta: 543.709,  symKL_DB_z: 147.954,  gap_eta: 362.610,  gap_z: 77.165,  loss: -8332.988,  ess: 5.668
symKL_DB_eta: 835.173,  symKL_DB_z: 184.496,  gap_eta: 366.192,  gap_z: 77.633,  loss: -8414.289,  ess: 5.667
symKL_DB_eta: 587.859,  symKL_DB_z: 184.551,  gap_eta: 365.212,  gap_z: 74.573,  loss: -8441.492,  ess: 5.674
symKL_DB_eta: 518.107,  symKL_DB_z: 188.341,  gap_eta: 361.217,  gap_z: 74.336,  loss: -8629.092,  ess: 5.673
symKL_DB_eta: 791.959,  symKL_DB_z: 165.794,  gap_eta: 358.484,  gap_z: 74.901,  loss: -8446.324,  ess: 5.677
symKL_DB_eta: 780.413,  symKL_DB_z: 142.747,  gap_eta: 365.476,  gap_z: 71.851,  loss: -8470.415,  ess: 5.673
symKL_DB_eta: 823.007,  symKL_DB_z: 167.962,  gap_eta: 361.250,  gap_z: 69.743,  loss: -8225.200,  ess: 5.681
symKL_DB_eta: 683.166,  symKL_DB_z: 139.837,  gap_eta: 358.504,  gap_z: 70.391,  loss: -8363.859,  ess: 5.681
symKL_DB_eta: 640.204,  symKL_DB_z: 133.684,  gap_eta: 354.994,  gap_z: 69.900,  loss: -8361.167,  ess: 5.691
symKL_DB_eta: 670.140,  symKL_DB_z: 139.186,  gap_eta: 368.411,  gap_z: 68.342,  loss: -8417.669,  ess: 5.680
symKL_DB_eta: 890.451,  symKL_DB_z: 156.726,  gap_eta: 364.597,  gap_z: 66.022,  loss: -8478.176,  ess: 5.684
symKL_DB_eta: 635.441,  symKL_DB_z: 156.829,  gap_eta: 364.670,  gap_z: 70.432,  loss: -8755.448,  ess: 5.686
symKL_DB_eta: 749.428,  symKL_DB_z: 155.327,  gap_eta: 367.241,  gap_z: 70.048,  loss: -8545.622,  ess: 5.681
symKL_DB_eta: 859.216,  symKL_DB_z: 141.544,  gap_eta: 368.912,  gap_z: 64.869,  loss: -8500.214,  ess: 5.689
symKL_DB_eta: 766.467,  symKL_DB_z: 147.955,  gap_eta: 368.181,  gap_z: 63.131,  loss: -8555.231,  ess: 5.689
symKL_DB_eta: 890.332,  symKL_DB_z: 185.595,  gap_eta: 366.525,  gap_z: 60.931,  loss: -8517.497,  ess: 5.691
symKL_DB_eta: 869.492,  symKL_DB_z: 149.417,  gap_eta: 364.157,  gap_z: 61.196,  loss: -8451.203,  ess: 5.697
symKL_DB_eta: 618.606,  symKL_DB_z: 209.998,  gap_eta: 364.132,  gap_z: 67.465,  loss: -8392.832,  ess: 5.700
symKL_DB_eta: 815.191,  symKL_DB_z: 137.779,  gap_eta: 374.492,  gap_z: 66.916,  loss: -8724.248,  ess: 5.693
symKL_DB_eta: 612.170,  symKL_DB_z: 126.389,  gap_eta: 364.117,  gap_z: 56.662,  loss: -8439.282,  ess: 5.701
symKL_DB_eta: 816.514,  symKL_DB_z: 143.191,  gap_eta: 369.343,  gap_z: 62.164,  loss: -8496.392,  ess: 5.693
symKL_DB_eta: 869.870,  symKL_DB_z: 141.441,  gap_eta: 364.962,  gap_z: 58.142,  loss: -8456.555,  ess: 5.706
symKL_DB_eta: 1061.067,  symKL_DB_z: 141.060,  gap_eta: 368.911,  gap_z: 56.697,  loss: -8485.610,  ess: 5.704
symKL_DB_eta: 774.426,  symKL_DB_z: 166.910,  gap_eta: 362.757,  gap_z: 56.139,  loss: -8491.483,  ess: 5.706
symKL_DB_eta: 829.558,  symKL_DB_z: 124.142,  gap_eta: 369.039,  gap_z: 59.324,  loss: -8637.579,  ess: 5.701
symKL_DB_eta: 917.379,  symKL_DB_z: 163.767,  gap_eta: 366.268,  gap_z: 60.261,  loss: -8630.639,  ess: 5.707
symKL_DB_eta: 771.451,  symKL_DB_z: 122.469,  gap_eta: 356.610,  gap_z: 56.260,  loss: -8499.657,  ess: 5.710
symKL_DB_eta: 727.967,  symKL_DB_z: 101.749,  gap_eta: 362.164,  gap_z: 54.124,  loss: -8423.841,  ess: 5.710
