symKL_DB_eta: 675.077,  symKL_DB_z: 301.143,  gap_eta: 271.352,  gap_z: 189.440,  loss: -10265.086,  ess: 5.616
symKL_DB_eta: 501.984,  symKL_DB_z: 266.519,  gap_eta: 264.182,  gap_z: 180.942,  loss: -10473.025,  ess: 5.626
symKL_DB_eta: 662.309,  symKL_DB_z: 287.257,  gap_eta: 260.400,  gap_z: 165.174,  loss: -10088.801,  ess: 5.636
symKL_DB_eta: 568.227,  symKL_DB_z: 257.367,  gap_eta: 272.675,  gap_z: 157.744,  loss: -10332.525,  ess: 5.633
symKL_DB_eta: 682.378,  symKL_DB_z: 252.510,  gap_eta: 269.903,  gap_z: 149.076,  loss: -10134.886,  ess: 5.641
symKL_DB_eta: 633.648,  symKL_DB_z: 248.249,  gap_eta: 266.534,  gap_z: 139.553,  loss: -10165.998,  ess: 5.651
symKL_DB_eta: 831.155,  symKL_DB_z: 265.131,  gap_eta: 265.192,  gap_z: 136.562,  loss: -10215.125,  ess: 5.657
symKL_DB_eta: 489.466,  symKL_DB_z: 230.466,  gap_eta: 264.775,  gap_z: 128.320,  loss: -10162.576,  ess: 5.668
symKL_DB_eta: 675.065,  symKL_DB_z: 205.082,  gap_eta: 270.486,  gap_z: 119.311,  loss: -10305.388,  ess: 5.665
symKL_DB_eta: 420.993,  symKL_DB_z: 210.214,  gap_eta: 266.472,  gap_z: 115.922,  loss: -10336.082,  ess: 5.672
symKL_DB_eta: 435.422,  symKL_DB_z: 195.783,  gap_eta: 265.277,  gap_z: 108.921,  loss: -10350.216,  ess: 5.679
symKL_DB_eta: 673.380,  symKL_DB_z: 212.661,  gap_eta: 263.187,  gap_z: 104.521,  loss: -10075.075,  ess: 5.685
symKL_DB_eta: 641.751,  symKL_DB_z: 206.505,  gap_eta: 270.098,  gap_z: 102.982,  loss: -10397.722,  ess: 5.680
symKL_DB_eta: 691.947,  symKL_DB_z: 197.571,  gap_eta: 265.317,  gap_z: 97.947,  loss: -10151.019,  ess: 5.695
symKL_DB_eta: 543.443,  symKL_DB_z: 225.800,  gap_eta: 266.322,  gap_z: 92.520,  loss: -10374.720,  ess: 5.697
symKL_DB_eta: 537.428,  symKL_DB_z: 247.543,  gap_eta: 263.782,  gap_z: 93.586,  loss: -10133.303,  ess: 5.701
symKL_DB_eta: 785.583,  symKL_DB_z: 195.804,  gap_eta: 267.839,  gap_z: 84.710,  loss: -10015.444,  ess: 5.697
symKL_DB_eta: 743.690,  symKL_DB_z: 217.561,  gap_eta: 265.206,  gap_z: 85.457,  loss: -10289.727,  ess: 5.700
