symKL_DB_eta: 1479.330,  symKL_DB_z: 40.669,  gap: 1482.262,  loss: -5048.214,  ess: 5.398
symKL_DB_eta: 1476.858,  symKL_DB_z: 43.643,  gap: 1480.371,  loss: -5065.491,  ess: 5.398
symKL_DB_eta: 1467.880,  symKL_DB_z: 42.162,  gap: 1470.768,  loss: -5046.391,  ess: 5.403
symKL_DB_eta: 1458.976,  symKL_DB_z: 38.593,  gap: 1460.309,  loss: -5029.581,  ess: 5.404
symKL_DB_eta: 1428.534,  symKL_DB_z: 37.490,  gap: 1431.000,  loss: -5022.395,  ess: 5.406
symKL_DB_eta: 1431.153,  symKL_DB_z: 38.205,  gap: 1434.090,  loss: -5015.265,  ess: 5.409
symKL_DB_eta: 1425.338,  symKL_DB_z: 38.343,  gap: 1427.904,  loss: -4988.655,  ess: 5.410
symKL_DB_eta: 1421.047,  symKL_DB_z: 38.328,  gap: 1421.267,  loss: -4978.906,  ess: 5.411
symKL_DB_eta: 1396.043,  symKL_DB_z: 37.700,  gap: 1398.220,  loss: -4985.434,  ess: 5.413
symKL_DB_eta: 1402.258,  symKL_DB_z: 38.087,  gap: 1403.657,  loss: -4965.652,  ess: 5.414
symKL_DB_eta: 1401.849,  symKL_DB_z: 35.273,  gap: 1404.023,  loss: -4950.824,  ess: 5.417
symKL_DB_eta: 1391.392,  symKL_DB_z: 36.892,  gap: 1393.044,  loss: -4927.909,  ess: 5.419
symKL_DB_eta: 1378.860,  symKL_DB_z: 36.330,  gap: 1380.563,  loss: -4919.265,  ess: 5.419
symKL_DB_eta: 1382.415,  symKL_DB_z: 37.508,  gap: 1384.782,  loss: -4913.680,  ess: 5.421
symKL_DB_eta: 1374.393,  symKL_DB_z: 36.284,  gap: 1376.331,  loss: -4924.524,  ess: 5.422
symKL_DB_eta: 1358.443,  symKL_DB_z: 35.769,  gap: 1359.861,  loss: -4904.502,  ess: 5.425
symKL_DB_eta: 1354.877,  symKL_DB_z: 33.237,  gap: 1356.276,  loss: -4879.628,  ess: 5.425
symKL_DB_eta: 1336.576,  symKL_DB_z: 32.775,  gap: 1337.781,  loss: -4880.155,  ess: 5.428
symKL_DB_eta: 1343.637,  symKL_DB_z: 35.192,  gap: 1344.766,  loss: -4869.133,  ess: 5.429
symKL_DB_eta: 1329.128,  symKL_DB_z: 31.400,  gap: 1329.568,  loss: -4850.351,  ess: 5.430
symKL_DB_eta: 1335.407,  symKL_DB_z: 32.282,  gap: 1336.322,  loss: -4873.644,  ess: 5.431
symKL_DB_eta: 1317.381,  symKL_DB_z: 30.464,  gap: 1318.185,  loss: -4837.538,  ess: 5.432
symKL_DB_eta: 1325.553,  symKL_DB_z: 34.193,  gap: 1326.768,  loss: -4831.769,  ess: 5.433
symKL_DB_eta: 1331.767,  symKL_DB_z: 32.247,  gap: 1332.790,  loss: -4836.895,  ess: 5.434
symKL_DB_eta: 1319.388,  symKL_DB_z: 30.992,  gap: 1318.892,  loss: -4836.800,  ess: 5.434
symKL_DB_eta: 1320.953,  symKL_DB_z: 29.246,  gap: 1321.524,  loss: -4818.286,  ess: 5.434
symKL_DB_eta: 1305.781,  symKL_DB_z: 32.829,  gap: 1307.438,  loss: -4824.720,  ess: 5.436
symKL_DB_eta: 1314.382,  symKL_DB_z: 31.897,  gap: 1314.920,  loss: -4792.881,  ess: 5.437
symKL_DB_eta: 1289.554,  symKL_DB_z: 29.501,  gap: 1290.113,  loss: -4791.757,  ess: 5.438
symKL_DB_eta: 1298.221,  symKL_DB_z: 30.884,  gap: 1297.539,  loss: -4789.077,  ess: 5.439
symKL_DB_eta: 1303.509,  symKL_DB_z: 30.351,  gap: 1300.680,  loss: -4786.769,  ess: 5.439
symKL_DB_eta: 1288.583,  symKL_DB_z: 30.678,  gap: 1289.342,  loss: -4782.513,  ess: 5.440
symKL_DB_eta: 1296.207,  symKL_DB_z: 32.063,  gap: 1295.407,  loss: -4784.708,  ess: 5.442
symKL_DB_eta: 1285.261,  symKL_DB_z: 31.486,  gap: 1285.575,  loss: -4788.738,  ess: 5.441
symKL_DB_eta: 1290.793,  symKL_DB_z: 28.908,  gap: 1291.047,  loss: -4771.537,  ess: 5.443
symKL_DB_eta: 1279.920,  symKL_DB_z: 27.769,  gap: 1280.716,  loss: -4754.263,  ess: 5.444
symKL_DB_eta: 1275.228,  symKL_DB_z: 31.253,  gap: 1275.873,  loss: -4753.276,  ess: 5.444
symKL_DB_eta: 1294.377,  symKL_DB_z: 31.253,  gap: 1294.834,  loss: -4761.614,  ess: 5.444
symKL_DB_eta: 1280.315,  symKL_DB_z: 29.023,  gap: 1280.521,  loss: -4738.054,  ess: 5.446
symKL_DB_eta: 1274.462,  symKL_DB_z: 28.945,  gap: 1274.410,  loss: -4744.221,  ess: 5.446
symKL_DB_eta: 1274.550,  symKL_DB_z: 28.631,  gap: 1274.544,  loss: -4748.444,  ess: 5.446
symKL_DB_eta: 1276.972,  symKL_DB_z: 28.112,  gap: 1275.987,  loss: -4743.383,  ess: 5.447
symKL_DB_eta: 1270.284,  symKL_DB_z: 27.804,  gap: 1269.905,  loss: -4744.647,  ess: 5.447
symKL_DB_eta: 1273.520,  symKL_DB_z: 28.778,  gap: 1272.076,  loss: -4743.372,  ess: 5.448
symKL_DB_eta: 1284.867,  symKL_DB_z: 31.867,  gap: 1285.187,  loss: -4751.093,  ess: 5.446
symKL_DB_eta: 1277.007,  symKL_DB_z: 29.627,  gap: 1276.661,  loss: -4728.450,  ess: 5.449
symKL_DB_eta: 1281.257,  symKL_DB_z: 26.826,  gap: 1278.982,  loss: -4733.013,  ess: 5.449
symKL_DB_eta: 1281.086,  symKL_DB_z: 25.076,  gap: 1281.200,  loss: -4710.967,  ess: 5.449
symKL_DB_eta: 1287.691,  symKL_DB_z: 25.847,  gap: 1285.618,  loss: -4708.798,  ess: 5.451
symKL_DB_eta: 1271.479,  symKL_DB_z: 26.789,  gap: 1271.232,  loss: -4704.911,  ess: 5.451
symKL_DB_eta: 1263.551,  symKL_DB_z: 26.852,  gap: 1261.472,  loss: -4703.762,  ess: 5.452
symKL_DB_eta: 1287.564,  symKL_DB_z: 28.368,  gap: 1287.313,  loss: -4705.857,  ess: 5.451
symKL_DB_eta: 1273.066,  symKL_DB_z: 26.472,  gap: 1272.929,  loss: -4673.334,  ess: 5.451
symKL_DB_eta: 1266.665,  symKL_DB_z: 26.429,  gap: 1266.243,  loss: -4698.426,  ess: 5.452
symKL_DB_eta: 1288.485,  symKL_DB_z: 28.406,  gap: 1282.437,  loss: -4695.065,  ess: 5.452
symKL_DB_eta: 1266.781,  symKL_DB_z: 26.245,  gap: 1265.048,  loss: -4690.345,  ess: 5.452
symKL_DB_eta: 1281.348,  symKL_DB_z: 28.603,  gap: 1280.933,  loss: -4677.576,  ess: 5.452
symKL_DB_eta: 1267.351,  symKL_DB_z: 26.494,  gap: 1266.841,  loss: -4665.280,  ess: 5.454
symKL_DB_eta: 1284.343,  symKL_DB_z: 28.578,  gap: 1284.138,  loss: -4679.581,  ess: 5.453
symKL_DB_eta: 1283.835,  symKL_DB_z: 27.165,  gap: 1283.055,  loss: -4675.693,  ess: 5.454
symKL_DB_eta: 1282.647,  symKL_DB_z: 30.545,  gap: 1281.991,  loss: -4670.101,  ess: 5.454
symKL_DB_eta: 1257.373,  symKL_DB_z: 26.610,  gap: 1256.739,  loss: -4656.249,  ess: 5.454
symKL_DB_eta: 1251.252,  symKL_DB_z: 27.622,  gap: 1246.478,  loss: -4655.157,  ess: 5.454
symKL_DB_eta: 1264.374,  symKL_DB_z: 26.137,  gap: 1263.405,  loss: -4650.020,  ess: 5.456
symKL_DB_eta: 1270.277,  symKL_DB_z: 27.688,  gap: 1270.004,  loss: -4660.618,  ess: 5.456
symKL_DB_eta: 1262.637,  symKL_DB_z: 25.807,  gap: 1261.811,  loss: -4653.290,  ess: 5.457
symKL_DB_eta: 1244.728,  symKL_DB_z: 25.277,  gap: 1244.156,  loss: -4663.717,  ess: 5.457
symKL_DB_eta: 1258.992,  symKL_DB_z: 26.000,  gap: 1257.988,  loss: -4654.880,  ess: 5.457
symKL_DB_eta: 1263.020,  symKL_DB_z: 24.766,  gap: 1261.419,  loss: -4642.029,  ess: 5.457
symKL_DB_eta: 1266.857,  symKL_DB_z: 25.012,  gap: 1262.504,  loss: -4645.609,  ess: 5.457
symKL_DB_eta: 1267.113,  symKL_DB_z: 26.653,  gap: 1264.284,  loss: -4645.684,  ess: 5.457
symKL_DB_eta: 1248.420,  symKL_DB_z: 25.975,  gap: 1247.723,  loss: -4640.447,  ess: 5.457
