EUBO	ELBO	ESS
200.466	-747824.198	-750029.323	1.762
202.721	-742123.468	-744353.400	1.750
200.224	-742396.777	-744599.236	1.793
203.780	-730821.721	-733063.306	1.777
205.757	-739608.210	-741871.532	1.735
206.378	-730321.283	-732591.441	1.693
200.603	-755552.489	-757759.132	1.759
196.509	-746993.492	-749155.084	1.755
197.044	-745785.781	-747953.273	1.771
200.543	-726098.007	-728303.984	1.767
201.348	-726840.042	-729054.870	1.761
202.482	-704218.050	-706445.352	1.764
196.839	-724492.931	-726658.160	1.762
202.416	-733301.170	-735527.747	1.772
197.860	-732763.100	-734939.564	1.782
199.300	-728051.942	-730244.234	1.778
203.267	-722064.216	-724300.148	1.767
199.077	-723537.118	-725726.966	1.801
200.568	-733107.081	-735313.341	1.785
200.057	-737064.606	-739265.231	1.756
199.704	-739799.359	-741996.100	1.794
199.069	-729676.266	-731866.026	1.760
194.559	-742802.429	-744942.573	1.839
196.263	-735263.788	-737422.680	1.760
198.807	-722914.756	-725101.636	1.789
200.666	-737670.992	-739878.316	1.769
198.476	-736470.419	-738653.666	1.727
198.509	-728463.984	-730647.581	1.792
198.703	-719241.961	-721427.689	1.790
195.068	-728007.137	-730152.884	1.794
197.916	-726848.355	-729025.430	1.812
198.675	-719243.920	-721429.353	1.790
196.446	-722499.078	-724659.973	1.780
198.364	-729924.759	-732106.757	1.792
199.807	-718655.614	-720853.491	1.756
199.002	-715015.678	-717204.705	1.774
199.209	-744800.943	-746992.250	1.772
195.925	-736451.498	-738606.676	1.814
201.052	-733275.512	-735487.084	1.770
198.261	-728414.097	-730594.965	1.745
199.565	-729756.481	-731951.710	1.796
198.445	-749692.353	-751875.251	1.743
199.450	-739053.886	-741247.836	1.789
199.464	-725848.684	-728042.787	1.759
200.777	-714049.800	-716258.337	1.768
196.449	-722901.519	-725062.460	1.815
197.212	-746908.575	-749077.909	1.774
198.278	-739659.527	-741840.588	1.795
198.481	-748021.641	-750204.934	1.765
202.575	-761743.941	-763972.261	1.758
202.124	-750600.991	-752824.365	1.769
201.690	-744881.812	-747100.400	1.778
198.199	-744270.571	-746450.755	1.803
198.471	-756293.996	-758477.179	1.818
199.339	-749933.202	-752125.925	1.750
198.200	-758825.034	-761005.240	1.772
198.375	-751907.324	-754089.450	1.764
199.019	-770995.660	-773184.866	1.763
197.642	-768933.858	-771107.921	1.755
197.993	-755499.297	-757677.208	1.799
197.286	-777944.601	-780114.746	1.787
199.129	-746045.654	-748236.074	1.815
200.325	-743903.913	-746107.486	1.791
197.991	-757380.951	-759558.854	1.763
197.524	-789121.060	-791293.824	1.823
197.615	-772569.149	-774742.916	1.800
200.959	-787501.917	-789712.461	1.777
197.910	-802076.791	-804253.806	1.801
200.686	-817364.943	-819572.494	1.783
201.887	-809804.946	-812025.699	1.763
201.386	-820927.307	-823142.557	1.782
202.702	-813619.961	-815849.680	1.797
200.007	-812244.249	-814444.323	1.776
197.653	-829631.024	-831805.211	1.789
200.135	-826817.344	-829018.832	1.822
199.360	-845793.141	-847986.099	1.801
198.232	-870046.735	-872227.281	1.794
200.558	-871990.716	-874196.860	1.796
200.014	-897512.182	-899712.336	1.810
200.272	-874700.918	-876903.929	1.814
201.057	-909748.126	-911959.760	1.807
200.462	-941344.049	-943549.134	1.794
203.790	-915968.329	-918210.021	1.794
201.618	-917791.444	-920009.248	1.802
201.716	-916248.011	-918466.879	1.770
199.917	-956859.889	-959058.971	1.774
201.901	-987645.962	-989866.879	1.809
201.376	-973467.047	-975682.187	1.768
202.586	-996969.942	-999198.399	1.816
201.698	-964920.841	-967139.509	1.793
202.139	-926981.349	-929204.886	1.793
198.718	-960415.679	-962601.574	1.834
200.580	-981180.188	-983386.573	1.802
197.451	-964307.093	-966479.052	1.830
199.246	-982599.369	-984791.074	1.803
196.839	-933794.004	-935959.236	1.830
199.583	-908580.290	-910775.701	1.836
197.886	-917945.879	-920122.624	1.822
199.223	-1003600.762	-1005792.224	1.812
196.196	-998558.724	-1000716.883	1.828
199.784	-910488.743	-912686.375	1.838
201.746	-944065.986	-946285.186	1.836
200.219	-933767.155	-935969.564	1.809
200.246	-935187.676	-937390.381	1.793
201.816	-912905.536	-915125.511	1.817
202.924	-967897.798	-970129.969	1.783
200.515	-963273.584	-965479.264	1.841
198.457	-974144.769	-976327.801	1.818
200.947	-1010476.656	-1012687.062	1.863
202.814	-987704.512	-989935.466	1.745
199.990	-1016298.278	-1018498.169	1.860
203.084	-992766.946	-995000.864	1.795
202.237	-998171.903	-1000396.501	1.824
203.600	-1041420.952	-1043660.564	1.791
205.935	-972227.178	-974492.479	1.792
203.163	-950353.873	-952588.674	1.820
205.612	-1008619.346	-1010881.057	1.811
204.220	-1023844.905	-1026091.325	1.853
205.510	-1084205.963	-1086466.563	1.786
205.133	-1082165.809	-1084422.277	1.789
204.131	-1034489.051	-1036734.495	1.807
209.267	-1025339.418	-1027641.371	1.830
206.503	-1008290.375	-1010561.913	1.857
207.426	-973545.999	-975827.684	1.834
205.020	-965721.835	-967977.051	1.834
202.904	-958409.340	-960641.296	1.830
202.684	-957752.831	-959982.358	1.822
206.796	-966203.207	-968477.965	1.847
204.497	-1014711.881	-1016961.341	1.815
204.098	-981680.819	-983925.889	1.792
202.595	-926124.816	-928353.358	1.807
202.534	-975004.159	-977232.029	1.822
200.986	-970198.626	-972409.465	1.823
198.430	-976753.477	-978936.220	1.867
198.138	-962428.866	-964608.389	1.821
196.885	-952478.291	-954644.033	1.862
197.919	-948518.242	-950695.346	1.870
195.005	-934602.662	-936747.721	1.812
198.802	-976189.888	-978376.711	1.818
199.164	-951516.948	-953707.749	1.809
195.210	-915918.119	-918065.428	1.868
193.425	-879914.024	-882041.694	1.794
194.135	-906455.697	-908591.180	1.855
191.859	-883840.429	-885950.877	1.813
193.727	-874142.446	-876273.447	1.827
193.566	-843400.362	-845529.588	1.792
194.085	-838281.303	-840416.241	1.825
193.944	-821366.621	-823499.992	1.798
191.906	-814747.029	-816857.988	1.839
192.453	-821196.188	-823313.182	1.799
193.068	-844022.436	-846146.188	1.819
194.361	-867344.840	-869482.818	1.814
191.974	-844958.815	-847070.526	1.853
192.716	-859662.985	-861782.854	1.826
194.833	-826120.354	-828263.515	1.797
188.395	-820060.226	-822132.572	1.831
189.597	-823542.837	-825628.394	1.855
191.467	-838323.846	-840429.981	1.811
191.620	-857653.234	-859761.050	1.848
192.400	-842509.348	-844625.738	1.791
190.038	-824530.644	-826621.055	1.888
190.080	-822779.157	-824870.047	1.829
189.037	-814136.388	-816215.802	1.846
190.684	-795388.498	-797486.032	1.860
189.825	-814054.316	-816142.393	1.814
190.961	-816337.924	-818438.498	1.803
191.669	-828030.937	-830139.290	1.862
192.766	-828653.737	-830774.165	1.817
192.326	-817626.583	-819742.170	1.811
190.210	-833233.701	-835326.012	1.861
191.685	-827898.056	-830006.594	1.865
192.336	-813875.147	-815990.853	1.828
193.234	-817202.763	-819328.324	1.785
193.334	-813680.562	-815807.228	1.775
192.652	-785644.979	-787764.147	1.820
191.070	-793642.838	-795744.614	1.861
194.467	-790653.553	-792792.691	1.760
187.351	-824275.353	-826336.214	1.849
191.941	-778316.719	-780428.073	1.805
189.331	-777572.490	-779655.125	1.824
191.737	-794715.542	-796824.642	1.837
188.787	-803718.760	-805795.413	1.854
191.544	-806634.976	-808741.964	1.838
189.106	-803270.792	-805350.948	1.826
190.349	-794388.603	-796482.439	1.851
191.627	-801436.678	-803544.568	1.818
189.617	-774346.802	-776432.593	1.879
190.401	-775470.676	-777565.095	1.822
191.132	-769735.678	-771838.134	1.789
192.341	-783889.319	-786005.075	1.789
191.744	-800824.860	-802934.047	1.819
190.191	-795450.747	-797542.845	1.810
188.699	-818744.799	-820820.490	1.864
190.607	-829364.880	-831461.559	1.812
191.618	-826776.607	-828884.407	1.780
190.084	-836170.881	-838261.811	1.852
191.955	-844094.739	-846206.244	1.865
190.002	-832804.764	-834894.788	1.854
190.941	-820969.013	-823069.343	1.797
189.245	-827298.513	-829380.200	1.828
190.534	-815477.051	-817572.922	1.831
189.735	-828829.634	-830916.710	1.872
189.366	-799616.380	-801699.414	1.838
189.538	-785262.322	-787347.252	1.874
189.640	-786800.734	-788886.764	1.799
188.004	-809604.775	-811672.818	1.846
190.012	-790165.338	-792255.471	1.842
187.318	-777445.535	-779506.032	1.838
187.679	-760181.812	-762246.288	1.824
188.177	-786064.540	-788134.486	1.843
