EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-441.200	-564.719	1.300	363.663	1192.696
-441.754	-564.271	1.309	362.518	1185.835
-439.416	-561.674	1.290	361.239	1180.404
-439.139	-560.977	1.299	359.748	1175.589
-437.272	-559.082	1.309	358.333	1170.464
-434.450	-557.896	1.303	356.802	1165.512
-435.312	-556.561	1.311	355.227	1160.389
-431.839	-553.712	1.294	353.718	1154.697
-433.070	-553.528	1.296	352.324	1147.398
-432.934	-553.000	1.315	350.749	1141.823
-431.603	-551.366	1.303	349.204	1135.103
-428.545	-548.830	1.313	347.793	1127.869
-428.145	-548.232	1.316	346.432	1121.553
-427.497	-546.092	1.298	344.766	1115.845
-426.253	-543.142	1.308	342.862	1109.983
-424.666	-542.753	1.311	341.031	1103.989
-422.426	-539.350	1.298	339.660	1095.832
-423.065	-540.423	1.308	337.885	1088.512
-419.758	-536.681	1.300	336.172	1081.447
-419.977	-535.414	1.309	334.354	1074.622
-418.599	-534.218	1.306	332.384	1067.654
-416.164	-531.510	1.321	330.606	1060.038
-414.985	-529.394	1.319	328.709	1052.480
-413.955	-528.706	1.309	326.964	1043.865
-410.859	-525.530	1.311	324.905	1035.456
-410.877	-523.268	1.307	322.967	1027.490
-409.416	-521.394	1.310	321.010	1019.456
-407.527	-520.525	1.318	318.981	1011.577
-406.998	-517.937	1.318	316.779	1004.527
-405.248	-515.707	1.312	314.510	996.857
-402.977	-513.483	1.327	312.378	988.617
-402.821	-512.170	1.327	310.236	980.538
-401.140	-508.682	1.330	308.134	972.348
-400.347	-507.129	1.325	305.831	964.024
-397.612	-504.553	1.336	303.448	956.596
-397.000	-502.082	1.327	300.911	947.981
-395.265	-499.572	1.321	298.520	939.019
-392.468	-496.685	1.332	295.988	930.523
-391.492	-494.321	1.331	293.550	921.830
-388.973	-491.868	1.325	290.778	913.481
-388.218	-489.515	1.340	287.967	904.821
-386.278	-486.409	1.336	285.236	896.379
-383.631	-483.251	1.345	282.296	888.012
-382.062	-479.932	1.346	279.385	879.353
-379.090	-476.923	1.335	276.193	870.755
-378.560	-474.784	1.350	273.026	862.338
-376.367	-471.038	1.354	269.855	853.890
-374.845	-468.098	1.364	266.686	845.443
-372.408	-464.652	1.343	263.563	836.693
-370.197	-460.241	1.365	260.197	828.319
-367.289	-458.259	1.366	256.909	820.146
-365.794	-454.340	1.359	253.568	811.807
-363.227	-451.444	1.347	250.082	803.531
-361.007	-448.550	1.365	246.718	795.459
-359.503	-444.051	1.372	243.414	787.133
-357.840	-440.968	1.386	239.835	778.861
-355.372	-437.650	1.365	236.267	770.800
-352.041	-433.992	1.388	232.695	762.798
-350.173	-430.594	1.389	229.156	755.214
-347.511	-426.233	1.386	225.513	747.503
-345.238	-422.583	1.387	221.877	739.739
-343.305	-418.622	1.399	218.097	732.485
-340.948	-416.237	1.394	214.232	725.025
-337.910	-411.353	1.396	210.433	717.668
-334.950	-407.172	1.410	206.551	710.696
-334.184	-403.709	1.410	202.729	703.536
-331.172	-400.351	1.415	198.967	696.655
-328.457	-395.972	1.418	195.070	690.054
-326.053	-392.806	1.430	191.205	683.146
-323.300	-388.547	1.430	187.270	676.607
-320.088	-384.245	1.431	183.414	670.073
-318.229	-380.800	1.446	179.754	663.085
-315.616	-377.006	1.449	175.964	656.980
-313.398	-373.032	1.450	172.141	650.760
-310.526	-369.507	1.445	168.348	644.572
-308.704	-366.576	1.464	164.733	638.416
-305.978	-362.552	1.464	161.234	632.219
-303.856	-358.518	1.459	157.645	625.797
-301.796	-355.350	1.466	154.119	619.415
-298.859	-351.444	1.466	150.566	613.227
-297.039	-348.091	1.492	147.144	607.119
-294.924	-344.762	1.490	143.927	600.518
-293.153	-341.956	1.495	140.588	594.634
-290.694	-338.813	1.494	137.253	588.629
-288.430	-334.983	1.515	134.127	582.169
-286.849	-332.493	1.524	130.994	576.127
-284.949	-329.205	1.529	127.949	569.317
-282.687	-325.815	1.552	124.779	563.295
-280.558	-322.641	1.538	121.686	556.544
-278.830	-319.817	1.554	118.731	550.014
-277.725	-316.982	1.549	115.880	543.263
-275.509	-314.316	1.565	113.103	536.392
-273.504	-311.393	1.569	110.298	529.945
-271.678	-308.641	1.580	107.538	523.360
-270.416	-305.959	1.599	104.903	516.238
-268.914	-303.418	1.594	102.323	509.201
-266.938	-300.871	1.607	99.841	501.862
-265.152	-298.258	1.608	97.403	494.385
-264.273	-296.183	1.629	95.042	486.555
-262.551	-293.990	1.644	92.718	479.095
-261.251	-291.634	1.646	90.473	471.249
-259.876	-289.344	1.659	88.202	463.670
-258.282	-287.022	1.660	86.035	455.770
-256.945	-284.960	1.675	83.926	447.843
-255.752	-283.060	1.689	81.883	439.999
-254.404	-280.996	1.701	79.895	432.124
-253.248	-279.150	1.716	78.021	423.585
-251.787	-277.189	1.714	76.202	415.280
-250.980	-275.544	1.760	74.422	407.020
-249.693	-273.819	1.745	72.633	399.170
-248.589	-272.088	1.772	70.895	391.421
-247.588	-270.357	1.786	69.251	383.461
-246.687	-268.887	1.814	67.675	375.328
-245.703	-267.385	1.815	66.164	367.026
-244.687	-265.799	1.821	64.649	359.690
-243.793	-264.325	1.865	63.214	352.291
-242.866	-263.073	1.875	61.839	344.722
-241.709	-261.586	1.886	60.534	337.150
-240.963	-260.436	1.895	59.300	329.411
-240.416	-259.288	1.912	58.132	321.789
-239.535	-258.185	1.926	57.014	314.893
-238.675	-257.011	1.958	55.957	307.662
