EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-228.530	-373.964	1.400	172.545	28.592
-227.674	-372.124	1.392	170.943	28.663
-228.297	-372.576	1.399	171.843	28.397
-228.011	-372.166	1.392	171.323	28.517
-228.315	-373.162	1.393	172.030	28.380
-228.319	-372.910	1.408	172.030	28.251
-228.164	-372.356	1.426	170.294	28.371
-228.118	-369.886	1.411	168.821	28.305
-227.514	-370.518	1.403	170.212	27.938
-227.539	-370.717	1.408	168.585	28.268
-227.667	-368.733	1.419	167.320	28.396
-227.752	-366.616	1.414	166.151	28.429
-227.869	-366.013	1.439	164.634	28.653
-227.824	-367.960	1.420	166.720	28.439
-227.578	-367.710	1.420	165.183	28.402
-227.194	-366.254	1.413	164.918	28.136
-227.541	-368.916	1.419	167.692	27.875
-226.844	-370.181	1.419	169.643	27.401
-226.536	-367.789	1.415	166.147	27.936
-227.084	-364.503	1.433	163.107	27.955
-226.480	-363.265	1.439	162.392	27.824
-226.734	-364.380	1.439	164.237	27.874
-226.228	-362.572	1.444	160.895	28.047
-226.313	-363.537	1.454	162.346	27.613
-225.828	-361.801	1.449	161.074	27.420
-226.902	-361.633	1.455	159.726	27.407
-226.010	-360.162	1.454	159.334	27.517
-226.499	-359.405	1.452	158.559	27.804
-226.065	-358.286	1.466	156.383	27.407
-225.556	-356.605	1.456	155.013	27.546
-225.198	-357.958	1.454	156.594	27.247
-225.652	-358.183	1.462	159.356	26.809
-225.206	-360.118	1.473	159.300	26.714
-224.973	-359.912	1.466	158.552	26.631
-225.428	-356.239	1.479	155.635	26.833
-225.058	-353.967	1.472	153.242	27.034
-225.302	-356.216	1.471	153.642	26.633
-224.653	-353.934	1.479	154.035	26.363
-224.414	-356.197	1.485	153.500	26.134
-224.629	-351.004	1.479	151.255	26.501
-224.155	-353.630	1.484	151.102	26.288
-224.379	-355.712	1.483	153.485	25.977
-223.827	-352.652	1.491	152.467	26.135
-223.919	-352.638	1.504	152.663	26.222
-223.994	-358.119	1.499	157.016	25.554
-223.840	-354.968	1.493	153.707	25.610
-223.549	-353.272	1.511	152.276	25.717
-223.253	-352.831	1.496	152.602	25.251
-223.716	-354.929	1.505	151.763	25.297
-223.257	-353.389	1.516	152.353	25.091
-223.387	-349.322	1.507	149.394	25.335
-222.575	-353.428	1.526	152.249	25.043
-222.988	-352.178	1.519	150.061	25.068
-222.411	-349.407	1.521	149.474	24.928
-222.369	-350.795	1.505	150.093	24.948
-222.849	-352.555	1.524	150.373	25.039
-222.685	-350.765	1.520	148.750	24.831
-222.435	-351.669	1.535	149.957	24.449
-221.814	-346.990	1.524	147.043	24.768
-221.721	-348.014	1.539	146.318	24.676
-222.140	-348.848	1.539	147.456	24.361
-221.586	-349.347	1.543	148.302	24.114
-221.637	-347.574	1.546	146.835	24.226
-221.748	-349.777	1.544	146.192	24.090
-221.187	-345.974	1.549	146.354	24.012
-221.799	-345.570	1.552	146.468	23.797
-220.639	-345.265	1.553	145.366	23.860
-221.502	-348.196	1.542	146.674	23.705
-221.196	-349.052	1.562	148.548	23.448
-221.415	-349.322	1.563	146.531	23.684
-220.480	-341.885	1.571	142.336	24.035
-220.760	-346.856	1.557	144.719	23.544
-220.136	-344.332	1.576	142.542	23.769
-219.874	-345.290	1.567	143.217	23.516
-219.575	-346.751	1.561	145.092	23.149
-219.657	-346.805	1.568	145.255	23.080
-219.344	-345.238	1.592	144.104	22.980
-219.898	-349.296	1.586	145.586	22.877
-219.250	-343.300	1.584	142.809	23.237
-219.338	-343.465	1.594	142.147	23.090
-218.954	-344.886	1.595	141.903	22.837
-218.768	-345.164	1.589	144.129	22.598
-218.486	-340.524	1.597	141.015	22.952
-218.951	-341.377	1.578	139.411	22.897
-218.674	-341.230	1.588	140.484	22.730
-219.420	-344.740	1.605	141.731	22.450
-218.804	-342.365	1.594	141.901	22.384
-218.833	-343.170	1.604	141.257	22.428
-219.032	-343.325	1.596	141.796	22.234
-218.722	-342.312	1.608	140.744	22.359
-218.341	-340.901	1.608	139.567	22.299
-218.407	-341.954	1.599	141.084	22.210
-218.297	-340.560	1.600	140.446	22.373
-218.081	-342.630	1.612	140.330	22.304
-218.626	-343.298	1.607	140.120	22.368
-218.289	-339.202	1.617	138.236	22.472
-218.144	-339.449	1.617	137.919	22.486
-218.166	-339.524	1.608	138.258	22.224
-218.362	-343.416	1.624	142.219	21.562
-218.189	-338.405	1.626	136.755	22.146
-217.863	-338.464	1.636	137.779	21.905
-217.973	-337.454	1.623	137.390	22.352
-217.902	-337.887	1.621	137.071	21.685
-217.424	-337.443	1.625	136.040	21.771
-217.988	-337.394	1.629	135.486	21.671
-217.430	-335.763	1.633	135.120	21.642
-217.051	-339.350	1.624	136.209	21.473
-217.082	-338.305	1.637	137.019	21.214
-217.388	-336.757	1.633	135.399	21.293
