EUBO, ELBO, ESS, KLs_ex, KLs_in
-276.093	-400.576	1.039	302.506	27.216
-259.688	-394.208	1.041	296.131	22.255
-247.159	-386.399	1.044	287.275	19.234
-232.903	-371.693	1.040	273.389	17.462
-218.716	-356.710	1.050	257.778	16.320
-205.608	-339.834	1.053	241.719	15.283
-195.565	-322.169	1.062	224.014	14.670
-185.582	-303.970	1.066	205.116	14.418
-176.131	-287.248	1.081	188.397	14.057
-167.876	-272.477	1.083	173.417	13.767
-160.996	-257.514	1.093	158.630	13.607
-155.383	-243.051	1.109	144.107	13.835
-150.005	-232.949	1.125	134.389	13.572
-144.957	-224.368	1.135	126.329	13.266
-141.894	-217.769	1.156	119.011	13.219
-139.066	-210.962	1.156	112.457	13.038
-136.266	-206.207	1.173	107.810	12.676
-133.508	-201.970	1.180	103.598	12.477
-132.286	-198.805	1.200	100.255	12.317
-130.509	-197.269	1.202	98.390	11.952
-128.276	-193.792	1.215	95.707	11.652
-127.374	-190.823	1.226	92.786	11.532
-126.040	-189.973	1.241	91.738	11.092
-124.717	-188.542	1.257	89.999	10.933
-123.992	-187.350	1.246	88.707	10.581
-123.376	-186.700	1.257	88.283	9.985
-122.359	-185.696	1.266	87.244	9.506
-121.972	-183.790	1.273	85.473	9.361
-120.770	-182.588	1.292	84.105	9.052
-119.845	-181.314	1.312	82.435	8.788
-118.861	-179.199	1.313	81.178	8.409
-118.467	-177.807	1.328	79.472	8.193
-117.752	-175.960	1.340	77.730	8.090
-117.123	-174.655	1.360	76.075	7.999
-116.237	-174.715	1.372	75.885	7.613
-115.540	-172.027	1.380	74.012	7.401
-115.103	-170.703	1.376	72.320	7.242
-114.067	-168.570	1.408	70.737	7.114
-113.638	-168.157	1.420	69.670	6.871
-112.873	-166.447	1.446	68.038	6.739
-112.430	-165.232	1.442	67.183	6.522
-111.696	-163.958	1.466	65.248	6.360
-111.299	-162.053	1.491	63.659	6.255
-110.490	-161.048	1.504	62.799	6.122
-110.240	-160.591	1.518	61.949	6.058
-110.552	-158.818	1.535	60.499	5.966
-109.660	-157.529	1.550	58.683	5.901
-109.102	-155.470	1.566	57.159	5.839
-108.834	-154.361	1.581	56.086	5.769
-108.529	-152.866	1.592	54.483	5.653
-108.024	-151.537	1.604	53.460	5.561
-107.651	-151.539	1.617	53.204	5.387
-107.671	-149.773	1.623	51.375	5.328
-107.367	-148.798	1.637	50.139	5.265
-107.193	-147.252	1.651	48.520	5.229
-106.750	-146.682	1.657	48.259	5.079
-106.647	-146.007	1.660	46.977	5.045
-106.838	-144.424	1.696	45.733	5.033
-106.369	-143.208	1.728	45.018	4.975
-106.044	-141.696	1.722	43.233	4.973
-105.722	-141.513	1.750	42.793	4.892
-105.910	-141.144	1.743	42.099	4.810
-105.461	-140.582	1.764	41.576	4.739
-105.190	-139.239	1.759	40.569	4.666
-105.106	-138.490	1.777	39.997	4.598
-104.837	-137.390	1.785	39.064	4.608
-104.874	-136.761	1.810	38.132	4.567
-104.392	-136.224	1.802	37.819	4.461
-104.316	-135.222	1.855	36.644	4.484
-103.781	-134.797	1.835	36.643	4.350
-103.962	-134.275	1.853	35.695	4.334
-103.821	-133.432	1.876	34.810	4.305
-103.493	-133.676	1.861	35.114	4.203
-103.410	-133.329	1.880	34.759	4.134
-103.370	-132.543	1.883	33.887	4.112
-103.459	-132.065	1.921	33.361	4.052
-103.193	-131.217	1.929	32.614	4.061
-103.069	-130.826	1.942	32.478	4.008
-102.764	-129.912	1.974	31.749	3.990
-103.029	-130.082	1.988	31.512	3.972
