EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-207.711	-276.920	1.959	78.795	13.732	78.795	13.732
-207.700	-277.044	1.979	79.018	13.485	79.018	13.485
-207.770	-278.153	1.973	79.402	13.450	79.402	13.450
-208.109	-276.723	1.985	78.839	13.588	78.839	13.588
-207.869	-277.824	1.980	78.864	13.556	78.864	13.556
-207.604	-277.864	1.983	79.229	13.590	79.229	13.590
-207.539	-277.805	1.994	79.068	13.548	79.068	13.548
-207.687	-277.362	1.991	78.793	13.447	78.793	13.447
-207.892	-277.115	1.983	78.437	13.574	78.437	13.574
-207.697	-276.271	1.981	78.198	13.573	78.198	13.573
-207.589	-276.458	1.989	77.976	13.631	77.976	13.631
-207.277	-276.275	1.985	78.291	13.460	78.291	13.460
-207.631	-276.601	2.001	77.961	13.485	77.961	13.485
-207.448	-275.719	1.994	77.703	13.462	77.703	13.462
-207.423	-276.208	1.998	77.787	13.418	77.787	13.418
-207.394	-274.745	2.001	76.564	13.612	76.564	13.612
-207.097	-276.214	1.993	77.411	13.455	77.411	13.455
-207.342	-275.856	2.009	77.215	13.398	77.215	13.398
-207.482	-274.574	2.014	76.149	13.505	76.149	13.505
-206.674	-274.263	2.015	76.387	13.421	76.387	13.421
-207.263	-275.008	2.012	76.114	13.405	76.114	13.405
-207.109	-274.141	2.013	75.969	13.570	75.969	13.570
-206.889	-274.299	2.018	75.903	13.381	75.903	13.381
-207.092	-274.387	2.013	75.041	13.399	75.041	13.399
-207.155	-273.941	2.005	75.439	13.326	75.439	13.326
-206.946	-273.618	2.021	74.969	13.406	74.969	13.406
-206.822	-274.213	2.025	75.587	13.357	75.587	13.357
-207.188	-274.380	2.023	75.475	13.288	75.475	13.288
-207.007	-274.053	2.015	75.569	13.264	75.569	13.264
-206.819	-273.926	2.041	74.839	13.320	74.839	13.320
-206.688	-272.834	2.029	74.845	13.430	74.845	13.430
-206.870	-272.841	2.031	74.786	13.442	74.786	13.442
-206.810	-273.946	2.039	75.084	13.173	75.084	13.173
-206.648	-272.897	2.041	74.306	13.224	74.306	13.224
-206.942	-271.923	2.035	73.916	13.212	73.916	13.212
-206.798	-272.709	2.041	73.770	13.087	73.770	13.087
-206.810	-272.245	2.044	73.995	13.059	73.995	13.059
-206.628	-271.966	2.058	73.187	13.103	73.187	13.103
-206.382	-271.338	2.042	73.340	13.079	73.340	13.079
-206.528	-271.741	2.044	72.602	13.139	72.602	13.139
-206.593	-271.078	2.052	72.594	13.143	72.594	13.143
-206.666	-271.398	2.058	73.111	12.957	73.111	12.957
-206.709	-270.965	2.069	72.386	12.976	72.386	12.976
-206.487	-270.883	2.063	71.938	13.056	71.938	13.056
-206.603	-271.797	2.065	72.800	12.871	72.800	12.871
-206.261	-270.957	2.068	72.780	12.855	72.780	12.855
-206.191	-270.141	2.072	71.740	13.000	71.740	13.000
-206.448	-270.124	2.093	71.617	12.990	71.617	12.990
-206.283	-271.551	2.070	72.041	12.828	72.041	12.828
-206.309	-270.212	2.091	71.488	12.788	71.488	12.788
-206.196	-270.292	2.079	71.038	12.746	71.038	12.746
-206.331	-270.329	2.088	71.152	12.592	71.152	12.592
-206.136	-270.011	2.094	71.340	12.490	71.340	12.490
-206.144	-268.786	2.097	70.175	12.655	70.175	12.655
-205.731	-268.499	2.101	70.212	12.612	70.212	12.612
-205.968	-268.148	2.114	70.092	12.520	70.092	12.520
-205.859	-268.059	2.107	69.586	12.471	69.586	12.471
-206.149	-267.873	2.118	69.174	12.551	69.174	12.551
-206.246	-267.572	2.132	68.755	12.595	68.755	12.595
-205.907	-267.864	2.117	68.905	12.518	68.905	12.518
-205.903	-267.579	2.140	68.928	12.406	68.928	12.406
-205.569	-267.384	2.128	68.802	12.292	68.802	12.292
-206.151	-267.259	2.128	68.306	12.164	68.306	12.164
-205.839	-266.418	2.138	67.615	12.329	67.615	12.329
-205.365	-266.099	2.143	67.597	12.267	67.597	12.267
-205.759	-265.696	2.161	67.053	12.367	67.053	12.367
-205.983	-266.476	2.161	67.610	12.350	67.610	12.350
-205.509	-266.009	2.156	67.228	12.201	67.228	12.201
-205.376	-265.131	2.160	66.923	12.139	66.923	12.139
-205.205	-265.631	2.161	67.199	12.053	67.199	12.053
-205.598	-265.424	2.170	66.628	12.038	66.628	12.038
-205.055	-264.507	2.172	66.061	11.995	66.061	11.995
-205.370	-264.615	2.176	66.063	12.033	66.063	12.033
-205.578	-264.574	2.175	65.799	12.038	65.799	12.038
-205.737	-264.193	2.194	65.129	11.996	65.129	11.996
-205.084	-263.751	2.182	65.695	11.931	65.695	11.931
-205.177	-264.189	2.176	65.526	11.936	65.526	11.936
-205.176	-263.691	2.195	64.967	11.913	64.967	11.913
-205.123	-263.356	2.207	64.896	11.855	64.896	11.855
-205.041	-264.358	2.208	65.352	11.723	65.352	11.723
-205.396	-263.085	2.216	64.482	11.861	64.482	11.861
-205.334	-263.089	2.219	64.431	11.805	64.431	11.805
-205.154	-262.256	2.217	64.085	11.693	64.085	11.693
-205.280	-262.729	2.226	63.861	11.676	63.861	11.676
-204.544	-261.884	2.218	63.621	11.555	63.621	11.555
-205.215	-262.050	2.234	63.957	11.567	63.957	11.567
-205.082	-262.731	2.222	63.625	11.537	63.625	11.537
-205.067	-261.878	2.245	63.564	11.416	63.564	11.416
-204.649	-261.646	2.243	63.273	11.509	63.273	11.509
-205.063	-261.733	2.256	62.963	11.657	62.963	11.657
-205.194	-262.017	2.242	63.459	11.416	63.459	11.416
-205.015	-262.273	2.264	62.765	11.402	62.765	11.402
-205.096	-260.862	2.263	62.485	11.490	62.485	11.490
-204.906	-260.491	2.261	62.048	11.428	62.049	11.428
-204.875	-259.965	2.270	61.588	11.346	61.588	11.346
-204.814	-259.646	2.279	60.983	11.351	60.983	11.351
-204.812	-260.423	2.277	61.781	11.317	61.781	11.317
-204.771	-260.026	2.295	61.644	11.349	61.644	11.349
-204.955	-259.802	2.310	61.357	11.231	61.357	11.231
-204.737	-259.710	2.299	61.538	11.062	61.538	11.062
-204.758	-260.369	2.301	61.158	11.044	61.158	11.044
-204.511	-259.145	2.323	60.834	10.943	60.834	10.943
-204.717	-258.739	2.330	60.274	10.965	60.274	10.965
-204.365	-258.592	2.337	60.228	10.913	60.228	10.913
-204.647	-258.897	2.334	60.507	10.875	60.507	10.875
-204.248	-259.237	2.346	60.996	10.706	60.996	10.706
-204.399	-258.936	2.363	60.929	10.657	60.929	10.657
-204.483	-258.785	2.364	60.483	10.644	60.483	10.644
-204.529	-259.354	2.378	60.295	10.530	60.295	10.530
-204.404	-258.687	2.395	60.070	10.511	60.070	10.511
-204.305	-257.704	2.406	59.476	10.552	59.476	10.552
-204.498	-257.265	2.403	58.982	10.444	58.982	10.444
-204.323	-257.346	2.421	58.724	10.349	58.724	10.349
-204.117	-256.812	2.440	57.984	10.317	57.984	10.317
-203.904	-255.940	2.454	57.692	10.168	57.692	10.168
-204.003	-255.789	2.453	57.280	10.070	57.280	10.070
-204.018	-255.585	2.459	57.168	10.055	57.168	10.055
-203.902	-254.951	2.488	56.295	10.257	56.295	10.257
-203.904	-254.491	2.499	55.829	10.187	55.829	10.187
-203.576	-253.212	2.510	54.735	10.047	54.735	10.047
-203.717	-253.398	2.529	54.704	9.937	54.704	9.937
-203.783	-252.502	2.552	54.371	9.711	54.371	9.711
-203.781	-252.373	2.578	53.586	9.674	53.586	9.674
-203.587	-252.243	2.577	53.494	9.550	53.494	9.550
-203.595	-251.448	2.597	52.502	9.705	52.502	9.705
-203.344	-251.182	2.594	52.984	9.637	52.984	9.637
-203.307	-250.491	2.629	52.526	9.532	52.526	9.532
-203.188	-249.596	2.646	51.390	9.681	51.390	9.681
-203.175	-250.595	2.670	51.872	9.439	51.872	9.439
-203.799	-250.268	2.687	51.543	9.411	51.543	9.411
-203.526	-250.021	2.711	51.196	9.447	51.196	9.447
-203.382	-249.850	2.719	50.928	9.263	50.928	9.263
-203.143	-248.713	2.769	50.240	9.129	50.240	9.129
-203.519	-249.059	2.769	50.079	9.078	50.079	9.078
-203.341	-248.466	2.794	49.403	9.049	49.403	9.049
-203.033	-247.371	2.810	49.122	8.998	49.122	8.998
-203.047	-247.243	2.825	48.584	8.882	48.584	8.882
-202.681	-246.305	2.835	47.772	8.933	47.772	8.933
-202.640	-245.827	2.886	47.164	8.804	47.164	8.804
-202.792	-245.882	2.875	47.164	8.705	47.164	8.705
-202.644	-244.805	2.910	46.521	8.753	46.521	8.753
-202.539	-244.727	2.913	46.030	8.652	46.030	8.652
-202.353	-244.474	2.949	46.075	8.508	46.075	8.508
-202.432	-244.075	2.959	45.481	8.432	45.481	8.432
-202.519	-243.380	2.967	45.201	8.407	45.201	8.407
-202.106	-243.392	2.994	44.805	8.338	44.805	8.338
-202.478	-242.532	3.036	43.613	8.342	43.613	8.342
-202.181	-241.911	3.038	43.449	8.246	43.449	8.246
-202.500	-241.755	3.053	42.940	8.205	42.940	8.205
-202.135	-240.731	3.090	42.265	8.161	42.265	8.161
-202.110	-240.910	3.109	42.125	8.085	42.125	8.085
-202.075	-240.990	3.123	42.390	7.881	42.390	7.881
-201.575	-239.393	3.139	41.239	7.882	41.239	7.882
-202.007	-239.233	3.162	40.689	7.962	40.689	7.962
-201.715	-238.825	3.172	40.020	7.878	40.020	7.878
-201.721	-238.829	3.182	40.143	7.733	40.143	7.733
-201.864	-238.285	3.210	39.891	7.711	39.891	7.711
-201.883	-238.176	3.216	39.250	7.695	39.250	7.695
-201.668	-237.913	3.224	39.220	7.736	39.220	7.736
-201.547	-236.505	3.256	38.535	7.723	38.535	7.723
-201.858	-236.760	3.265	38.345	7.524	38.345	7.524
-201.537	-236.767	3.269	38.158	7.467	38.158	7.467
-201.379	-236.427	3.265	38.153	7.415	38.153	7.415
-201.379	-235.992	3.277	37.387	7.462	37.387	7.462
-201.419	-235.944	3.283	36.965	7.375	36.965	7.375
-201.621	-235.617	3.302	36.901	7.347	36.901	7.347
-201.625	-235.400	3.310	36.809	7.301	36.809	7.301
-201.521	-235.315	3.335	36.489	7.263	36.489	7.263
-201.335	-234.462	3.330	36.265	7.244	36.265	7.244
-201.637	-234.523	3.360	35.960	7.242	35.960	7.242
-201.492	-233.728	3.345	35.533	7.307	35.533	7.307
-201.468	-233.055	3.355	34.896	7.275	34.896	7.275
