EUBO, ELBO, ESS, KLs_ex, KLs_in
-378.804	-419.745	1.113	321.124	318.998
-372.814	-413.511	1.117	315.072	313.254
-366.851	-407.686	1.125	309.220	307.731
-361.833	-402.449	1.122	303.918	302.714
-356.622	-397.320	1.117	298.842	297.933
-351.970	-392.372	1.122	293.887	293.252
-346.927	-387.665	1.116	289.239	288.880
-342.361	-383.153	1.116	284.752	284.620
-338.226	-378.928	1.113	280.316	280.446
-334.009	-374.504	1.115	275.978	276.356
-329.461	-370.299	1.125	271.601	272.248
-325.155	-365.868	1.122	267.303	268.226
-320.734	-361.644	1.118	262.894	264.124
-315.647	-356.667	1.115	258.301	259.883
-311.256	-352.343	1.113	253.759	255.726
-306.617	-347.557	1.115	249.052	251.476
-302.141	-342.730	1.120	244.209	247.122
-296.942	-337.561	1.128	239.277	242.764
-292.584	-332.716	1.118	234.180	238.318
-286.917	-327.546	1.122	228.967	233.810
-282.083	-322.078	1.129	223.657	229.283
-276.956	-316.420	1.132	218.135	224.647
-271.574	-310.883	1.134	212.578	220.062
-266.271	-305.345	1.125	206.956	215.466
-260.880	-299.619	1.135	201.112	210.760
-255.659	-293.901	1.131	195.245	206.097
-249.938	-287.588	1.133	189.278	201.403
-245.155	-281.927	1.138	183.247	196.671
-239.463	-275.805	1.138	177.208	191.982
-234.018	-269.766	1.147	171.065	187.190
-228.338	-263.487	1.149	164.887	182.378
-223.291	-257.149	1.150	158.680	177.543
-218.236	-251.132	1.159	152.530	172.671
-213.044	-244.815	1.161	146.376	167.766
-207.537	-238.598	1.161	140.135	162.703
-202.809	-232.572	1.177	134.001	157.615
-197.795	-226.520	1.180	127.842	152.251
-192.655	-220.189	1.194	121.720	146.793
-187.807	-214.137	1.198	115.623	141.145
-183.079	-207.969	1.222	109.623	135.419
-178.452	-202.284	1.229	103.729	129.558
-173.826	-196.561	1.229	97.961	123.673
-169.206	-190.810	1.234	92.294	117.694
-164.810	-185.317	1.257	86.823	111.743
-160.450	-179.901	1.280	81.460	105.686
-156.192	-174.746	1.284	76.274	99.680
-152.046	-169.714	1.296	71.255	93.713
-148.033	-164.836	1.310	66.374	87.697
-144.492	-160.341	1.331	61.718	81.871
-140.699	-155.702	1.362	57.232	76.091
-137.243	-151.487	1.384	52.934	70.487
-133.898	-147.383	1.412	48.802	65.010
-130.585	-143.378	1.426	44.889	59.772
-127.513	-139.672	1.440	41.112	54.632
-124.580	-136.075	1.501	37.565	49.766
-121.829	-132.708	1.511	34.183	45.113
-119.159	-129.483	1.548	30.959	40.667
-116.684	-126.431	1.582	27.938	36.492
-114.439	-123.588	1.635	25.063	32.565
-112.325	-120.929	1.692	22.403	28.914
-110.320	-118.446	1.732	19.933	25.529
-108.680	-116.210	1.805	17.710	22.492
-107.116	-114.189	1.869	15.652	19.706
-105.744	-112.352	1.944	13.824	17.220
-104.455	-110.719	1.995	12.209	15.033
-103.528	-109.374	2.064	10.818	13.146
-102.694	-108.153	2.170	9.632	11.548
-101.949	-107.092	2.240	8.607	10.163
-101.400	-106.271	2.326	7.722	8.997
-100.873	-105.453	2.404	6.933	7.968
-100.415	-104.746	2.520	6.231	7.068
-100.077	-104.141	2.609	5.591	6.278
-99.638	-103.499	2.693	5.006	5.561
-99.436	-103.016	2.825	4.482	4.935
-99.164	-102.519	2.920	4.007	4.375
-98.980	-102.111	3.067	3.587	3.884
-98.779	-101.743	3.152	3.208	3.450
-98.620	-101.366	3.322	2.870	3.067
-98.542	-101.095	3.430	2.566	2.726
-98.394	-100.813	3.583	2.301	2.432
-98.332	-100.587	3.718	2.069	2.176
-98.346	-100.404	3.932	1.864	1.951
-98.277	-100.216	4.053	1.682	1.755
-98.243	-100.037	4.204	1.520	1.581
-98.196	-99.883	4.350	1.375	1.427
-98.178	-99.760	4.506	1.251	1.294
-98.218	-99.668	4.697	1.138	1.175
-98.224	-99.558	4.888	1.039	1.070
-98.187	-99.463	4.993	0.950	0.978
-98.227	-99.390	5.182	0.869	0.893
-98.215	-99.319	5.318	0.796	0.817
-98.202	-99.247	5.476	0.729	0.748
-98.231	-99.189	5.643	0.670	0.687
-98.249	-99.142	5.788	0.616	0.631
-98.257	-99.087	5.962	0.567	0.580
-98.260	-99.039	6.121	0.521	0.532
-98.276	-99.008	6.261	0.480	0.490
-98.282	-98.962	6.401	0.441	0.450
-98.293	-98.925	6.539	0.406	0.414
-98.320	-98.899	6.744	0.373	0.380
-98.333	-98.867	6.901	0.344	0.350
-98.340	-98.841	7.013	0.316	0.322
-98.346	-98.817	7.134	0.291	0.296
-98.355	-98.790	7.296	0.268	0.272
-98.359	-98.766	7.405	0.247	0.251
-98.368	-98.745	7.544	0.227	0.231
-98.383	-98.732	7.670	0.209	0.212
-98.388	-98.712	7.785	0.193	0.196
-98.406	-98.706	7.905	0.178	0.181
-98.407	-98.684	8.034	0.164	0.166
-98.421	-98.676	8.134	0.151	0.153
-98.425	-98.661	8.247	0.140	0.141
-98.428	-98.648	8.334	0.129	0.130
-98.442	-98.643	8.441	0.119	0.120
-98.441	-98.632	8.512	0.110	0.111
-98.451	-98.626	8.620	0.102	0.103
-98.453	-98.614	8.711	0.094	0.095
-98.455	-98.606	8.768	0.087	0.088
-98.462	-98.601	8.847	0.080	0.081
-98.469	-98.599	8.913	0.074	0.075
-98.474	-98.594	8.987	0.069	0.069
