(379s) Epoch=1, Group=6loss: 50392.210430,  ess_vae: 1.001039,  density: -50369.567461
(379s) Epoch=1, Group=7loss: 49988.301113,  ess_vae: 1.000792,  density: -49965.613555
(379s) Epoch=1, Group=8loss: 49722.980410,  ess_vae: 1.001882,  density: -49700.313984
(380s) Epoch=1, Group=9loss: 49961.958203,  ess_vae: 1.002421,  density: -49939.333125
(380s) Epoch=1, Group=10loss: 50348.631992,  ess_vae: 1.001904,  density: -50325.958262
(379s) Epoch=1, Group=11loss: 49861.248535,  ess_vae: 1.005722,  density: -49838.719824
(380s) Epoch=1, Group=12loss: 50097.770176,  ess_vae: 1.004155,  density: -50075.067441
(379s) Epoch=1, Group=13loss: 49292.031973,  ess_vae: 1.003994,  density: -49269.501289
(379s) Epoch=1, Group=14loss: 49844.622969,  ess_vae: 1.003413,  density: -49821.861406
(379s) Epoch=1, Group=15loss: 50190.257949,  ess_vae: 1.004002,  density: -50167.691152
(380s) Epoch=1, Group=16loss: 49940.875098,  ess_vae: 1.003558,  density: -49918.250918
(380s) Epoch=1, Group=17loss: 50546.863672,  ess_vae: 1.002894,  density: -50524.089512
(380s) Epoch=1, Group=18loss: 49974.607422,  ess_vae: 1.001715,  density: -49951.784941
(380s) Epoch=1, Group=19loss: 49853.933477,  ess_vae: 1.001113,  density: -49831.144531
(380s) Epoch=1, Group=20loss: 50038.789316,  ess_vae: 1.001767,  density: -50015.942793
(379s) Epoch=1, Group=21loss: 50038.177988,  ess_vae: 1.003334,  density: -50015.501035
(380s) Epoch=1, Group=22loss: 50040.828242,  ess_vae: 1.002797,  density: -50018.218145
(379s) Epoch=1, Group=23loss: 49946.078086,  ess_vae: 1.001710,  density: -49923.232187
(380s) Epoch=1, Group=24loss: 50092.853594,  ess_vae: 1.002083,  density: -50070.236172
(380s) Epoch=1, Group=25loss: 49927.114785,  ess_vae: 1.002888,  density: -49904.321113
(381s) Epoch=1, Group=26loss: 49828.677402,  ess_vae: 1.000799,  density: -49806.120156
(381s) Epoch=1, Group=27loss: 50257.968164,  ess_vae: 1.003724,  density: -50235.082715
(381s) Epoch=1, Group=28loss: 50417.149336,  ess_vae: 1.004831,  density: -50394.144492
(380s) Epoch=1, Group=29loss: 49942.898633,  ess_vae: 1.000848,  density: -49919.970918
(380s) Epoch=1, Group=30loss: 50132.471133,  ess_vae: 1.000707,  density: -50109.561758
(381s) Epoch=1, Group=31loss: 49899.249922,  ess_vae: 1.002189,  density: -49876.451191
(381s) Epoch=1, Group=32loss: 49695.615371,  ess_vae: 1.001926,  density: -49672.910898
(381s) Epoch=1, Group=33loss: 50137.492852,  ess_vae: 1.002485,  density: -50114.527383
(381s) Epoch=1, Group=34loss: 50469.997598,  ess_vae: 1.000497,  density: -50447.144570
(382s) Epoch=1, Group=35loss: 50067.911836,  ess_vae: 1.003396,  density: -50044.961563
(380s) Epoch=1, Group=36loss: 49270.025430,  ess_vae: 1.001165,  density: -49247.174551
(380s) Epoch=1, Group=37loss: 50534.033828,  ess_vae: 1.003227,  density: -50511.077598
(380s) Epoch=1, Group=38loss: 49497.843984,  ess_vae: 1.000126,  density: -49474.927031
(381s) Epoch=1, Group=39loss: 49885.745020,  ess_vae: 1.002952,  density: -49862.922852
(382s) Epoch=1, Group=40loss: 50150.474434,  ess_vae: 1.000164,  density: -50127.508125
(383s) Epoch=1, Group=41loss: 49730.497812,  ess_vae: 1.004278,  density: -49707.645625
(382s) Epoch=1, Group=42loss: 49934.367012,  ess_vae: 1.000629,  density: -49911.401270
