(438s) Epoch=0, Group=35, loss_phi: -196.475077,  loss_theta: 10379.633757,  ess_rws: 1.018327,  ess_what: 1.102962,  ess_where: 1.238457,  density: -5386.875066
(439s) Epoch=0, Group=36, loss_phi: -196.020960,  loss_theta: 10288.856577,  ess_rws: 1.010202,  ess_what: 1.105299,  ess_where: 1.237880,  density: -5342.901649
(439s) Epoch=0, Group=37, loss_phi: -196.510662,  loss_theta: 10229.361794,  ess_rws: 1.011440,  ess_what: 1.101087,  ess_where: 1.238841,  density: -5321.735099
(439s) Epoch=0, Group=38, loss_phi: -196.673352,  loss_theta: 10767.791777,  ess_rws: 1.017249,  ess_what: 1.104531,  ess_where: 1.238198,  density: -5597.285985
(439s) Epoch=0, Group=39, loss_phi: -198.284238,  loss_theta: 10435.748855,  ess_rws: 1.013182,  ess_what: 1.106375,  ess_where: 1.235021,  density: -5439.035322
(439s) Epoch=0, Group=40, loss_phi: -202.778906,  loss_theta: 9478.440928,  ess_rws: 1.014660,  ess_what: 1.108739,  ess_where: 1.249132,  density: -4966.410270
(439s) Epoch=0, Group=41, loss_phi: -199.154184,  loss_theta: 10295.412803,  ess_rws: 1.013773,  ess_what: 1.120265,  ess_where: 1.237865,  density: -5380.656649
(440s) Epoch=0, Group=42, loss_phi: -200.778838,  loss_theta: 10102.795134,  ess_rws: 1.019272,  ess_what: 1.111864,  ess_where: 1.240360,  density: -5267.757238
(438s) Epoch=0, Group=43, loss_phi: -201.255003,  loss_theta: 10347.161108,  ess_rws: 1.017072,  ess_what: 1.122652,  ess_where: 1.228993,  density: -5387.753116
(437s) Epoch=0, Group=44, loss_phi: -202.165308,  loss_theta: 10134.505010,  ess_rws: 1.015444,  ess_what: 1.131904,  ess_where: 1.247254,  density: -5283.311191
(438s) Epoch=0, Group=45, loss_phi: -200.982865,  loss_theta: 10140.119795,  ess_rws: 1.012178,  ess_what: 1.111168,  ess_where: 1.232624,  density: -5292.172350
(439s) Epoch=0, Group=46, loss_phi: -202.342813,  loss_theta: 10172.863042,  ess_rws: 1.019074,  ess_what: 1.102561,  ess_where: 1.238351,  density: -5302.540551
(440s) Epoch=0, Group=47, loss_phi: -204.507614,  loss_theta: 9911.929170,  ess_rws: 1.011152,  ess_what: 1.123522,  ess_where: 1.237204,  density: -5163.490181
(440s) Epoch=0, Group=48, loss_phi: -204.155945,  loss_theta: 10142.838103,  ess_rws: 1.021509,  ess_what: 1.133852,  ess_where: 1.234734,  density: -5283.916714
(439s) Epoch=0, Group=49, loss_phi: -206.218922,  loss_theta: 9715.710535,  ess_rws: 1.021490,  ess_what: 1.110172,  ess_where: 1.249548,  density: -5085.058489
(440s) Epoch=0, Group=50, loss_phi: -205.499694,  loss_theta: 9936.021030,  ess_rws: 1.020493,  ess_what: 1.117810,  ess_where: 1.236718,  density: -5183.090752
(436s) Epoch=0, Group=51, loss_phi: -208.296277,  loss_theta: 9954.300186,  ess_rws: 1.016873,  ess_what: 1.114117,  ess_where: 1.250450,  density: -5196.831532
(438s) Epoch=0, Group=52, loss_phi: -207.882924,  loss_theta: 9959.662959,  ess_rws: 1.017009,  ess_what: 1.121672,  ess_where: 1.230173,  density: -5201.770782
(439s) Epoch=0, Group=53, loss_phi: -208.697454,  loss_theta: 10092.661985,  ess_rws: 1.017035,  ess_what: 1.116986,  ess_where: 1.239029,  density: -5263.599302
(437s) Epoch=0, Group=54, loss_phi: -209.296736,  loss_theta: 9806.517556,  ess_rws: 1.013734,  ess_what: 1.118949,  ess_where: 1.240686,  density: -5121.131924
(439s) Epoch=0, Group=55, loss_phi: -208.430456,  loss_theta: 9998.135093,  ess_rws: 1.016007,  ess_what: 1.106215,  ess_where: 1.233059,  density: -5226.357869
(438s) Epoch=0, Group=56, loss_phi: -210.321279,  loss_theta: 9690.136440,  ess_rws: 1.017460,  ess_what: 1.130039,  ess_where: 1.240115,  density: -5068.758247
(438s) Epoch=0, Group=57, loss_phi: -211.313585,  loss_theta: 10084.489316,  ess_rws: 1.010876,  ess_what: 1.122324,  ess_where: 1.250408,  density: -5255.218490
(437s) Epoch=0, Group=58, loss_phi: -213.841400,  loss_theta: 9446.333984,  ess_rws: 1.018199,  ess_what: 1.137243,  ess_where: 1.247382,  density: -4922.114255
(440s) Epoch=0, Group=59, loss_phi: -210.651742,  loss_theta: 9932.919666,  ess_rws: 1.011665,  ess_what: 1.123869,  ess_where: 1.237156,  density: -5185.244904
(441s) Epoch=0, Group=60, loss_phi: -214.647418,  loss_theta: 9212.838606,  ess_rws: 1.014349,  ess_what: 1.130410,  ess_where: 1.254430,  density: -4814.543290
(440s) Epoch=0, Group=61, loss_phi: -213.876795,  loss_theta: 9643.656980,  ess_rws: 1.016281,  ess_what: 1.130660,  ess_where: 1.247089,  density: -5026.038737
(437s) Epoch=0, Group=62, loss_phi: -213.201974,  loss_theta: 9429.684209,  ess_rws: 1.012442,  ess_what: 1.140975,  ess_where: 1.258110,  density: -4926.419076
(436s) Epoch=0, Group=63, loss_phi: -213.254855,  loss_theta: 9811.250872,  ess_rws: 1.017197,  ess_what: 1.128983,  ess_where: 1.241927,  density: -5135.306423
(439s) Epoch=0, Group=64, loss_phi: -212.332309,  loss_theta: 9917.635637,  ess_rws: 1.013578,  ess_what: 1.114046,  ess_where: 1.246334,  density: -5183.266877
(437s) Epoch=0, Group=65, loss_phi: -215.047161,  loss_theta: 9388.035349,  ess_rws: 1.009605,  ess_what: 1.117153,  ess_where: 1.243731,  density: -4921.219431
(440s) Epoch=0, Group=66, loss_phi: -215.018505,  loss_theta: 9170.251487,  ess_rws: 1.012931,  ess_what: 1.122016,  ess_where: 1.264239,  density: -4813.372115
(439s) Epoch=0, Group=67, loss_phi: -214.761459,  loss_theta: 9298.027048,  ess_rws: 1.014505,  ess_what: 1.115067,  ess_where: 1.250223,  density: -4881.820079
(445s) Epoch=0, Group=68, loss_phi: -215.084460,  loss_theta: 8974.329309,  ess_rws: 1.012788,  ess_what: 1.120160,  ess_where: 1.238317,  density: -4705.811029
(441s) Epoch=0, Group=69, loss_phi: -213.688356,  loss_theta: 9924.053594,  ess_rws: 1.010617,  ess_what: 1.120247,  ess_where: 1.256071,  density: -5175.312679
(440s) Epoch=0, Group=70, loss_phi: -215.737958,  loss_theta: 9152.095496,  ess_rws: 1.015034,  ess_what: 1.120685,  ess_where: 1.256322,  density: -4788.672042
(439s) Epoch=0, Group=71, loss_phi: -215.789016,  loss_theta: 9002.188018,  ess_rws: 1.012188,  ess_what: 1.120246,  ess_where: 1.259585,  density: -4711.351316
(438s) Epoch=0, Group=72, loss_phi: -214.727006,  loss_theta: 9374.036841,  ess_rws: 1.013885,  ess_what: 1.117209,  ess_where: 1.246274,  density: -4901.408193
(438s) Epoch=0, Group=73, loss_phi: -213.536192,  loss_theta: 9445.566543,  ess_rws: 1.008717,  ess_what: 1.102779,  ess_where: 1.254786,  density: -4929.536025
(435s) Epoch=0, Group=74, loss_phi: -215.386270,  loss_theta: 8952.554307,  ess_rws: 1.012465,  ess_what: 1.134713,  ess_where: 1.257653,  density: -4697.338812
(437s) Epoch=0, Group=75, loss_phi: -215.870815,  loss_theta: 9286.577046,  ess_rws: 1.014209,  ess_what: 1.119269,  ess_where: 1.259392,  density: -4877.869254
(439s) Epoch=0, Group=76, loss_phi: -218.754068,  loss_theta: 9241.824792,  ess_rws: 1.013239,  ess_what: 1.127294,  ess_where: 1.250877,  density: -4857.396034
(437s) Epoch=0, Group=77, loss_phi: -217.088769,  loss_theta: 8876.823599,  ess_rws: 1.011397,  ess_what: 1.138064,  ess_where: 1.257908,  density: -4673.748053
(436s) Epoch=0, Group=78, loss_phi: -218.692484,  loss_theta: 8816.299854,  ess_rws: 1.015908,  ess_what: 1.145893,  ess_where: 1.258751,  density: -4639.689045
(440s) Epoch=0, Group=79, loss_phi: -216.230397,  loss_theta: 9482.309451,  ess_rws: 1.012775,  ess_what: 1.128065,  ess_where: 1.256887,  density: -4966.756608
(440s) Epoch=0, Group=80, loss_phi: -219.687139,  loss_theta: 9038.665815,  ess_rws: 1.012176,  ess_what: 1.143379,  ess_where: 1.256372,  density: -4734.645526
(436s) Epoch=0, Group=81, loss_phi: -219.700998,  loss_theta: 9020.711919,  ess_rws: 1.016077,  ess_what: 1.136724,  ess_where: 1.263414,  density: -4732.553209
(439s) Epoch=0, Group=82, loss_phi: -217.835505,  loss_theta: 9034.707131,  ess_rws: 1.008369,  ess_what: 1.134428,  ess_where: 1.260151,  density: -4740.061876
(439s) Epoch=0, Group=83, loss_phi: -219.295488,  loss_theta: 8744.473040,  ess_rws: 1.012576,  ess_what: 1.117856,  ess_where: 1.262366,  density: -4605.052915
(439s) Epoch=0, Group=84, loss_phi: -217.792362,  loss_theta: 8678.868569,  ess_rws: 1.007636,  ess_what: 1.123998,  ess_where: 1.261324,  density: -4557.626864
(438s) Epoch=0, Group=85, loss_phi: -219.672145,  loss_theta: 8671.527217,  ess_rws: 1.013264,  ess_what: 1.114567,  ess_where: 1.267939,  density: -4547.237267
(438s) Epoch=0, Group=86, loss_phi: -216.660731,  loss_theta: 9280.506809,  ess_rws: 1.013063,  ess_what: 1.131435,  ess_where: 1.268036,  density: -4843.474055
(440s) Epoch=0, Group=87, loss_phi: -220.190902,  loss_theta: 8676.580078,  ess_rws: 1.015131,  ess_what: 1.128079,  ess_where: 1.272277,  density: -4554.845172
(439s) Epoch=0, Group=88, loss_phi: -217.858694,  loss_theta: 8889.564646,  ess_rws: 1.012170,  ess_what: 1.119746,  ess_where: 1.259326,  density: -4659.927766
(439s) Epoch=0, Group=89, loss_phi: -219.889006,  loss_theta: 8670.592024,  ess_rws: 1.009935,  ess_what: 1.122720,  ess_where: 1.255717,  density: -4552.334707
