EUBO, ELBO, ESS, KLs_eta_ex, KLs_eta_in, KL_z_ex, KL_z_in
-365.4024658203125, -818.0921630859375, 1.0248931646347046, 598.2662353515625, 23.359865188598633, 187.20916748046875, 21.64272689819336
-336.10333251953125, -789.1842651367188, 1.0140457153320312, 587.0618896484375, 22.817649841308594, 171.43617248535156, 21.25324058532715
-368.7344970703125, -836.2213134765625, 1.0806461572647095, 591.7235107421875, 24.200904846191406, 177.90255737304688, 21.545574188232422
-357.4159851074219, -797.7572631835938, 1.0122734308242798, 546.26416015625, 23.120325088500977, 193.0584716796875, 20.936777114868164
-377.42852783203125, -845.4937133789062, 1.0492900609970093, 644.411865234375, 21.720556259155273, 206.10775756835938, 20.743820190429688
-362.615478515625, -876.5112915039062, 1.0075476169586182, 660.9459228515625, 22.285242080688477, 157.39373779296875, 20.961524963378906
-363.1805725097656, -799.2760620117188, 1.0142747163772583, 582.3728637695312, 21.370939254760742, 194.72299194335938, 20.295738220214844
-324.5745849609375, -716.5232543945312, 1.0435739755630493, 528.837890625, 21.694988250732422, 131.20582580566406, 20.133182525634766
-340.8710632324219, -785.7321166992188, 1.0350141525268555, 572.4671630859375, 20.692232131958008, 144.2064971923828, 20.283527374267578
-312.0941162109375, -669.604736328125, 1.0471500158309937, 455.47442626953125, 18.93262481689453, 115.33817291259766, 19.350116729736328
-313.3778076171875, -638.6663208007812, 1.0815865993499756, 437.5267333984375, 19.84554100036621, 157.1111297607422, 18.6141414642334
-312.9169616699219, -645.362060546875, 1.0327179431915283, 448.7723693847656, 19.743200302124023, 120.46676635742188, 18.897109985351562
-287.99041748046875, -621.9118041992188, 1.0234770774841309, 435.2904357910156, 20.11553192138672, 97.95789337158203, 18.594043731689453
-300.7413024902344, -597.4052124023438, 1.0777658224105835, 420.2845458984375, 18.565595626831055, 94.2032699584961, 16.720260620117188
-305.62225341796875, -821.379638671875, 1.0345419645309448, 571.5859985351562, 17.548866271972656, 146.5798797607422, 18.219247817993164
-247.28970336914062, -502.2502136230469, 1.0594581365585327, 312.7705993652344, 17.5377197265625, 81.19185638427734, 16.429122924804688
-317.5935363769531, -745.844482421875, 1.0390640497207642, 565.28857421875, 18.007762908935547, 158.84292602539062, 16.908374786376953
-279.92034912109375, -575.549560546875, 1.026100516319275, 369.4075012207031, 18.126846313476562, 111.18348693847656, 18.35246467590332
-295.77301025390625, -620.1851196289062, 1.0397897958755493, 427.0101623535156, 19.039960861206055, 125.09562683105469, 17.750995635986328
-304.97601318359375, -650.7521362304688, 1.073891043663025, 439.28265380859375, 18.906494140625, 109.75313568115234, 17.714645385742188
-262.8822937011719, -522.1870727539062, 1.0829136371612549, 363.0595703125, 17.65859603881836, 80.72793579101562, 16.0604305267334
-246.23312377929688, -469.56402587890625, 1.0926930904388428, 300.0891418457031, 18.261022567749023, 76.43053436279297, 16.67270851135254
-267.2485656738281, -554.6295166015625, 1.0900150537490845, 362.5969543457031, 18.562824249267578, 93.38241577148438, 15.9163236618042
-253.22720336914062, -501.1903076171875, 1.0757228136062622, 326.5138244628906, 17.034156799316406, 71.3762435913086, 15.48630142211914
-239.8314971923828, -469.22186279296875, 1.0363909006118774, 291.6628723144531, 15.777312278747559, 65.31974792480469, 15.79245376586914
-256.1468200683594, -479.3984375, 1.0459904670715332, 280.2105407714844, 17.432714462280273, 70.15017700195312, 16.37468719482422
-257.4266662597656, -522.2130126953125, 1.0988109111785889, 345.53375244140625, 17.613224029541016, 56.883750915527344, 14.384374618530273
-224.74017333984375, -404.0973205566406, 1.0668745040893555, 235.22225952148438, 17.005556106567383, 48.56715393066406, 13.630118370056152
-245.52166748046875, -484.6498107910156, 1.0865187644958496, 296.3968505859375, 17.742565155029297, 66.46476745605469, 15.890957832336426
-225.23309326171875, -405.4090881347656, 1.0572973489761353, 244.46142578125, 15.665168762207031, 48.44217300415039, 15.237977027893066
-221.8172607421875, -397.30364990234375, 1.0897135734558105, 218.03982543945312, 17.093923568725586, 50.77299499511719, 13.93626594543457
-242.81214904785156, -427.50506591796875, 1.0609573125839233, 249.49241638183594, 17.49248504638672, 59.04975509643555, 16.226900100708008
-221.8891143798828, -397.671142578125, 1.0629184246063232, 216.0595703125, 16.583393096923828, 49.247257232666016, 13.439848899841309
