EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-204.817	-265.176	1.958	65.342	11.883	65.342	11.883
-204.747	-264.616	1.968	65.229	11.870	65.229	11.870
-204.739	-265.170	1.969	65.802	11.768	65.802	11.768
-204.569	-263.243	1.982	64.460	11.831	64.460	11.831
-204.896	-263.376	1.988	63.985	11.844	63.985	11.844
-204.631	-263.968	1.981	64.908	11.671	64.908	11.671
-204.371	-263.023	1.976	63.854	11.717	63.854	11.717
-204.411	-263.253	1.991	64.485	11.584	64.485	11.584
-204.373	-262.653	2.002	63.707	11.619	63.707	11.619
-204.571	-262.634	2.005	63.084	11.621	63.084	11.621
-204.181	-261.955	1.996	63.514	11.509	63.514	11.509
-204.345	-262.478	2.012	63.432	11.468	63.432	11.468
-204.320	-261.752	2.018	63.103	11.448	63.103	11.448
-204.165	-261.340	2.033	62.659	11.424	62.659	11.424
-204.464	-262.317	2.036	62.131	11.402	62.131	11.402
-204.162	-260.913	2.043	61.740	11.404	61.740	11.404
-203.950	-259.717	2.052	61.135	11.339	61.135	11.339
-203.948	-259.053	2.067	60.483	11.333	60.483	11.333
-204.399	-259.769	2.077	60.019	11.326	60.019	11.326
-203.715	-259.116	2.071	59.999	11.212	59.999	11.212
-204.011	-259.251	2.077	59.760	11.159	59.760	11.159
-203.916	-258.074	2.087	59.145	11.109	59.145	11.109
-203.783	-258.384	2.080	58.931	11.053	58.931	11.053
-203.782	-258.243	2.104	59.209	11.015	59.209	11.015
-203.551	-257.685	2.109	58.855	11.004	58.855	11.004
-203.809	-257.311	2.117	58.806	10.969	58.806	10.969
-203.712	-257.277	2.126	58.301	10.882	58.301	10.882
-203.693	-257.001	2.145	57.690	10.865	57.690	10.865
-203.604	-256.575	2.149	57.293	10.835	57.293	10.835
-203.466	-255.667	2.152	56.600	10.772	56.600	10.772
-203.530	-255.199	2.159	56.249	10.772	56.249	10.772
-203.214	-254.551	2.173	55.917	10.743	55.917	10.743
-203.296	-255.043	2.169	55.848	10.686	55.848	10.686
-203.539	-254.570	2.179	55.788	10.596	55.788	10.596
-203.283	-254.119	2.198	54.877	10.624	54.877	10.624
-203.222	-254.270	2.193	55.216	10.502	55.216	10.502
-203.315	-253.555	2.209	54.489	10.507	54.489	10.507
-203.104	-253.173	2.202	53.741	10.504	53.741	10.504
-203.097	-252.954	2.204	53.802	10.395	53.802	10.395
-203.085	-252.388	2.218	53.200	10.374	53.200	10.374
-203.219	-251.727	2.213	52.787	10.316	52.787	10.316
-202.915	-251.591	2.212	52.505	10.302	52.505	10.302
-202.788	-251.245	2.233	51.985	10.249	51.985	10.249
-202.778	-250.995	2.245	51.892	10.233	51.892	10.233
-202.902	-251.208	2.243	51.683	10.228	51.683	10.228
-202.654	-250.682	2.236	51.578	10.130	51.578	10.130
-202.796	-250.456	2.265	51.489	10.084	51.489	10.084
-202.554	-249.147	2.254	50.849	10.038	50.849	10.038
-202.550	-248.709	2.254	50.428	10.041	50.428	10.041
-202.699	-249.644	2.267	50.671	9.927	50.671	9.927
-202.634	-248.732	2.296	49.899	9.936	49.899	9.936
-202.531	-247.798	2.281	48.918	9.967	48.918	9.967
-202.557	-247.346	2.311	48.338	9.939	48.338	9.939
-202.540	-246.757	2.307	48.076	9.965	48.076	9.965
-202.271	-246.938	2.298	48.172	9.810	48.172	9.810
-202.481	-246.711	2.315	47.713	9.791	47.713	9.791
-202.252	-246.303	2.301	47.066	9.802	47.066	9.802
-202.166	-246.896	2.307	47.356	9.782	47.356	9.782
-202.262	-246.380	2.329	47.056	9.722	47.056	9.722
-202.234	-245.858	2.335	46.958	9.667	46.958	9.667
-202.261	-245.847	2.331	46.924	9.625	46.924	9.625
-202.340	-245.813	2.335	46.558	9.627	46.558	9.627
-202.415	-245.773	2.344	46.478	9.554	46.478	9.554
-202.070	-245.440	2.343	46.277	9.545	46.277	9.545
-202.104	-245.222	2.358	46.047	9.532	46.047	9.532
-202.120	-245.334	2.361	46.284	9.486	46.284	9.486
-202.031	-245.381	2.366	46.052	9.441	46.052	9.441
-202.127	-244.713	2.356	45.679	9.476	45.679	9.476
