EUBO, ELBO, ESS, KLs_ex, KLs_in
-277.5662808227539, -396.903109375, 1.040721730709076, 298.24765393066406, 28.001377487182616
-261.1847041015625, -392.7429013671875, 1.0410061345100403, 294.7692243652344, 23.56188772201538
-248.4436071166992, -391.2450789794922, 1.0418295350074769, 293.3591834106445, 20.453761093139647
-238.34975854492188, -391.4418195800781, 1.0420094013214112, 291.9651612548828, 18.500401695251465
-227.53485583496095, -386.1475377197266, 1.0366433153152466, 288.7012551879883, 17.55811964416504
-219.0934736328125, -384.3064453125, 1.0428402123451233, 285.88334075927736, 16.95616415023804
-211.66295666503908, -382.5598200683594, 1.0383895134925842, 283.7612554321289, 16.572407028198242
-204.63120880126954, -379.5397108154297, 1.0421733365058898, 281.45579760742186, 16.46910386657715
-199.88326580810548, -378.5677193603516, 1.0485664916038513, 279.88394342041016, 16.575827404022217
-195.2675796508789, -375.9985264892578, 1.044176504611969, 277.0878137817383, 16.636813430786134
-190.967720703125, -373.70999768066406, 1.0499661149978639, 274.59651922607424, 17.00038945388794
-189.209177734375, -372.3002177734375, 1.0523579378128052, 271.4388732910156, 17.669625534057616
-184.96865380859376, -365.2106856689453, 1.051333424091339, 267.0061817016602, 17.966527961730957
-181.51794366455078, -362.44852001953126, 1.0551943163871764, 263.72773236083987, 17.953302532196044
-179.81893438720704, -359.92981274414063, 1.0544480266571046, 260.7973947753906, 18.331018646240235
-177.8327371826172, -356.97560144042967, 1.0574319739341735, 258.5898248291016, 18.678881927490234
-176.37404370117187, -353.8613664550781, 1.0610449805259705, 254.4598787841797, 19.04322325515747
-174.04847430419923, -349.37948846435546, 1.06529354429245, 250.16461749267577, 19.528664382934572
-172.03895123291016, -345.013958984375, 1.0730383625030517, 246.62890539550781, 19.95290012741089
-170.28600506591798, -342.7565577392578, 1.0638189120292663, 243.00926318359376, 20.353419261932373
-167.94892272949218, -338.63196069335936, 1.0707565808296204, 239.8249884033203, 20.922137203216554
-167.99918981933592, -336.69218731689455, 1.0728709197044373, 237.29992553710937, 21.182792610168455
