EUBO	ELBO	ESS	KLs_mu_ex	KLs_mu_in	KLs_tau_ex	KLs_tau_in
-115.087	-190.398	2.167	145.602	6.589	21.917	5.456
-114.934	-189.353	2.178	145.838	6.615	21.885	5.445
-115.302	-185.958	2.171	145.107	6.745	22.115	5.511
-115.101	-185.896	2.173	143.552	6.643	21.755	5.454
-114.866	-188.008	2.170	143.743	6.549	22.030	5.475
-115.075	-187.321	2.188	142.184	6.573	21.883	5.456
-115.001	-185.509	2.191	142.682	6.526	21.922	5.469
-115.092	-185.074	2.173	142.735	6.608	22.016	5.482
-115.110	-188.217	2.186	141.718	6.569	21.956	5.448
-114.971	-190.445	2.183	142.040	6.576	22.077	5.449
-114.764	-186.899	2.192	140.919	6.620	21.978	5.449
-114.891	-188.454	2.186	142.480	6.645	22.158	5.472
-114.919	-184.804	2.169	141.052	6.649	21.958	5.458
-114.852	-183.689	2.190	139.681	6.535	21.955	5.451
-114.953	-184.597	2.183	139.492	6.600	21.968	5.452
-114.814	-184.691	2.189	139.304	6.553	21.933	5.447
-114.848	-184.150	2.200	138.541	6.567	22.012	5.464
-114.886	-187.427	2.196	139.850	6.581	21.898	5.426
-114.762	-182.063	2.186	136.745	6.615	22.125	5.478
-114.912	-182.435	2.196	136.693	6.593	22.077	5.475
-114.945	-183.851	2.189	134.786	6.486	22.012	5.462
-114.812	-184.370	2.200	136.896	6.537	22.025	5.461
-114.918	-183.709	2.182	136.039	6.614	22.079	5.473
-114.737	-184.987	2.186	136.785	6.475	22.385	5.519
-114.872	-184.659	2.210	135.917	6.469	22.383	5.511
-114.623	-183.170	2.209	135.218	6.490	22.138	5.480
-114.622	-185.561	2.208	135.329	6.444	22.081	5.456
-114.589	-183.947	2.216	134.452	6.417	22.367	5.509
-114.785	-183.333	2.214	133.488	6.458	22.303	5.505
-114.732	-184.334	2.209	134.829	6.506	22.334	5.500
-114.690	-182.886	2.210	133.247	6.453	22.064	5.464
-114.731	-181.052	2.204	131.407	6.434	22.453	5.535
-114.557	-183.475	2.212	133.207	6.453	22.242	5.479
-114.607	-184.931	2.217	130.371	6.351	22.174	5.450
-114.739	-183.845	2.217	131.088	6.532	22.250	5.470
-114.425	-181.990	2.211	131.632	6.347	22.247	5.463
-114.454	-185.295	2.199	131.612	6.299	22.281	5.455
-114.501	-182.512	2.232	130.874	6.469	22.164	5.434
-114.665	-180.222	2.221	130.932	6.346	22.047	5.442
-114.680	-182.364	2.208	131.095	6.400	22.213	5.464
-114.423	-181.700	2.219	129.172	6.272	22.368	5.482
-114.581	-180.136	2.221	129.077	6.322	22.296	5.476
-114.492	-181.371	2.207	128.826	6.350	22.324	5.474
-114.442	-180.841	2.210	129.280	6.318	22.522	5.508
-114.589	-182.278	2.224	126.930	6.266	22.425	5.472
-114.300	-179.784	2.234	127.055	6.302	22.420	5.497
-114.463	-182.336	2.221	127.407	6.391	22.203	5.455
-114.303	-181.926	2.220	126.239	6.276	22.562	5.504
-114.341	-179.206	2.244	124.214	6.252	22.410	5.477
-114.207	-179.629	2.239	126.095	6.280	22.360	5.470
-114.377	-181.090	2.227	126.391	6.342	22.581	5.509
-114.471	-180.889	2.231	125.495	6.312	22.292	5.464
-114.404	-180.400	2.253	124.267	6.248	22.398	5.476
-114.363	-182.867	2.241	125.421	6.245	22.460	5.478
-114.426	-179.677	2.251	124.465	6.174	22.148	5.449
-114.266	-180.849	2.265	123.917	6.138	22.468	5.498
-114.374	-182.021	2.217	124.509	6.344	22.369	5.474
-114.020	-180.596	2.231	124.269	6.214	22.157	5.441
-114.217	-180.721	2.249	122.901	6.221	22.259	5.453
-114.244	-180.968	2.247	123.243	6.158	22.421	5.480
-114.263	-180.423	2.245	123.565	6.142	22.479	5.488
-114.136	-180.361	2.249	121.028	6.147	22.544	5.498
-114.147	-178.657	2.231	123.524	6.277	22.269	5.466
-114.158	-179.489	2.246	121.106	6.206	22.545	5.506
-114.013	-178.225	2.246	121.420	6.157	22.876	5.567
-114.422	-177.898	2.237	122.392	6.157	22.651	5.536
-114.302	-178.005	2.240	119.926	6.289	22.336	5.465
-114.097	-182.131	2.256	119.294	6.118	22.360	5.465
-114.367	-177.808	2.255	120.376	6.205	22.640	5.533
-114.292	-177.035	2.263	118.598	6.216	22.471	5.499
-114.252	-177.932	2.268	118.234	6.092	22.697	5.529
-113.990	-178.308	2.252	119.680	6.141	22.711	5.530
-113.919	-179.137	2.277	119.435	6.063	22.813	5.548
-113.997	-176.706	2.281	117.614	6.061	22.524	5.510
-114.210	-179.195	2.278	118.259	6.074	22.616	5.513
-114.061	-178.512	2.271	117.850	6.028	22.773	5.544
-114.091	-176.534	2.283	116.582	6.033	22.679	5.536
-113.943	-174.893	2.310	116.744	6.048	22.589	5.517
-113.904	-176.056	2.281	115.970	6.053	22.731	5.535
-113.887	-174.670	2.282	116.017	6.054	22.659	5.523
-114.146	-173.159	2.306	113.324	6.039	22.510	5.501
-113.992	-174.695	2.313	114.722	5.962	22.833	5.553
-113.933	-173.554	2.318	113.180	5.913	22.892	5.568
-113.913	-177.408	2.302	115.339	5.921	22.836	5.543
-113.892	-177.613	2.303	112.734	5.964	22.953	5.545
-113.823	-177.868	2.301	114.570	5.880	22.538	5.482
-113.943	-174.422	2.317	115.475	5.959	22.934	5.571
-113.870	-174.505	2.320	114.257	5.867	22.838	5.548
-113.911	-176.156	2.308	114.194	5.906	22.743	5.523
-114.096	-175.175	2.324	115.158	5.888	22.764	5.531
-114.028	-174.285	2.310	112.797	5.901	22.719	5.512
-113.722	-173.872	2.309	113.959	5.846	23.083	5.579
-113.646	-176.377	2.326	112.619	5.744	23.084	5.564
-113.868	-174.195	2.324	110.824	5.800	23.013	5.555
-113.858	-173.970	2.324	111.515	5.857	23.266	5.603
-113.883	-174.604	2.337	110.036	5.777	23.249	5.586
-113.882	-178.246	2.328	111.576	5.894	23.223	5.567
-114.014	-172.932	2.330	110.420	5.880	22.903	5.517
-113.741	-173.181	2.334	110.756	5.837	23.025	5.545
-113.789	-172.265	2.350	109.775	5.829	23.246	5.582
-113.718	-174.866	2.360	110.185	5.731	23.185	5.562
-113.817	-175.317	2.338	110.489	5.759	22.801	5.496
-113.611	-175.722	2.336	109.393	5.706	23.249	5.568
-113.644	-175.774	2.349	108.869	5.743	23.180	5.559
-113.998	-174.640	2.336	108.158	5.891	23.188	5.559
-113.641	-177.323	2.341	109.250	5.706	23.203	5.537
-113.796	-172.787	2.357	108.308	5.788	23.176	5.547
-113.993	-173.354	2.326	107.071	5.778	23.398	5.570
-113.738	-174.346	2.355	107.606	5.714	23.188	5.534
-113.830	-177.072	2.331	108.239	5.835	23.136	5.523
-113.907	-175.736	2.330	108.320	5.847	23.235	5.540
-113.788	-172.883	2.347	106.784	5.845	23.312	5.566
-113.716	-173.483	2.355	107.229	5.759	23.355	5.576
-113.729	-173.586	2.374	107.226	5.666	23.320	5.567
-113.825	-173.467	2.384	106.013	5.768	23.300	5.559
-113.628	-172.297	2.360	107.340	5.777	23.072	5.539
-113.522	-174.761	2.352	108.847	5.648	23.393	5.588
-113.608	-174.027	2.366	106.163	5.640	23.126	5.534
-113.603	-172.196	2.367	106.215	5.669	23.174	5.557
-113.812	-175.231	2.367	104.672	5.728	23.381	5.576
-113.662	-171.496	2.389	104.158	5.668	23.128	5.539
-113.637	-171.996	2.388	105.023	5.704	23.190	5.550
-113.603	-169.502	2.372	104.886	5.697	23.244	5.570
-113.637	-173.080	2.387	105.403	5.693	23.373	5.571
-113.608	-172.534	2.382	103.949	5.556	23.313	5.559
-113.803	-174.430	2.377	103.281	5.746	23.259	5.529
-113.792	-173.171	2.364	103.569	5.734	23.389	5.559
-113.612	-175.977	2.369	105.257	5.791	23.242	5.530
-113.525	-171.464	2.371	104.945	5.554	23.409	5.569
-113.636	-171.086	2.360	103.759	5.780	23.366	5.547
-113.581	-171.257	2.374	105.257	5.552	23.487	5.579
-113.807	-175.034	2.375	103.924	5.692	23.125	5.496
-113.714	-173.143	2.377	103.072	5.667	23.345	5.531
-113.749	-172.455	2.383	103.758	5.564	23.431	5.545
-113.843	-174.016	2.369	103.619	5.815	23.267	5.510
-113.583	-172.722	2.380	102.655	5.635	23.587	5.567
-113.535	-171.711	2.389	103.827	5.649	23.418	5.542
-113.530	-170.585	2.418	103.354	5.503	23.666	5.585
-113.576	-171.646	2.400	102.715	5.587	23.618	5.585
-113.382	-168.850	2.420	101.904	5.600	23.494	5.570
-113.280	-171.331	2.416	100.532	5.521	23.573	5.569
-113.471	-174.199	2.388	105.199	5.613	23.478	5.550
-113.448	-169.787	2.418	103.518	5.552	23.296	5.537
-113.657	-173.932	2.396	104.372	5.621	23.340	5.520
-113.417	-171.064	2.410	104.476	5.556	23.427	5.557
-113.652	-171.987	2.408	102.992	5.629	23.492	5.571
-113.288	-172.226	2.409	102.768	5.476	23.586	5.582
-113.444	-171.673	2.421	102.000	5.503	23.516	5.567
-113.273	-168.368	2.405	101.809	5.479	23.573	5.592
-113.415	-168.365	2.421	100.897	5.482	23.501	5.572
-113.364	-172.453	2.422	102.092	5.451	23.390	5.525
-113.591	-170.749	2.413	100.737	5.559	23.679	5.578
-113.237	-167.569	2.420	100.517	5.531	23.482	5.558
-113.408	-169.239	2.431	100.667	5.436	23.595	5.562
-113.281	-169.299	2.428	100.666	5.488	23.550	5.561
-113.365	-170.345	2.410	101.807	5.481	23.515	5.551
-113.302	-173.361	2.412	101.029	5.432	23.469	5.532
-113.271	-172.856	2.434	99.851	5.388	23.786	5.593
-113.319	-174.450	2.430	98.793	5.508	23.811	5.578
-113.442	-171.896	2.425	101.351	5.499	23.552	5.534
-113.272	-170.878	2.442	99.591	5.418	23.622	5.549
-113.319	-169.155	2.439	98.018	5.433	23.756	5.573
-113.205	-169.095	2.442	98.203	5.382	23.681	5.565
-113.221	-167.022	2.454	97.578	5.425	23.883	5.610
-113.192	-168.755	2.438	99.901	5.470	23.557	5.548
-113.198	-170.041	2.446	99.113	5.449	23.548	5.540
-113.151	-170.962	2.431	98.771	5.452	23.862	5.586
-113.346	-169.325	2.438	98.406	5.359	23.680	5.566
-113.339	-170.554	2.457	96.599	5.431	24.212	5.650
-113.236	-170.515	2.426	97.247	5.499	23.722	5.547
-113.088	-171.693	2.458	97.644	5.259	23.445	5.501
-113.293	-172.785	2.457	98.713	5.346	23.902	5.581
-113.254	-167.510	2.481	97.854	5.277	23.472	5.518
-112.958	-169.928	2.456	97.972	5.308	23.719	5.556
-113.203	-167.764	2.442	96.722	5.522	23.636	5.556
-113.140	-170.182	2.467	97.304	5.235	23.855	5.588
-113.138	-170.418	2.462	95.590	5.301	23.922	5.594
-113.239	-170.085	2.456	96.040	5.448	23.824	5.576
-113.018	-165.743	2.491	94.925	5.263	23.934	5.608
-113.097	-167.537	2.464	97.034	5.373	23.716	5.565
-113.113	-169.342	2.439	97.013	5.344	23.707	5.555
-112.901	-167.703	2.470	96.340	5.248	23.723	5.565
-113.085	-168.130	2.450	95.976	5.331	23.845	5.582
-113.183	-168.825	2.469	94.768	5.324	23.579	5.527
-113.184	-168.760	2.469	94.792	5.248	23.754	5.553
-112.881	-169.033	2.480	94.187	5.248	23.963	5.585
-113.020	-167.993	2.469	94.074	5.241	23.749	5.549
-113.061	-168.334	2.485	93.931	5.335	23.505	5.514
-113.122	-171.178	2.468	94.401	5.307	24.016	5.583
-113.083	-169.982	2.489	93.662	5.191	23.744	5.554
-112.874	-168.542	2.483	93.668	5.169	23.865	5.572
-112.974	-167.068	2.481	92.921	5.219	23.976	5.596
-112.986	-165.574	2.487	92.102	5.275	24.030	5.612
-112.919	-166.400	2.468	90.478	5.260	24.112	5.606
-113.010	-166.082	2.483	91.002	5.278	23.980	5.592
-113.131	-166.828	2.513	91.813	5.097	23.686	5.544
-113.126	-167.834	2.457	92.107	5.377	23.842	5.571
-113.035	-166.145	2.503	90.099	5.213	24.008	5.593
-112.993	-168.100	2.479	91.245	5.210	23.875	5.564
-112.972	-168.700	2.471	90.992	5.320	23.801	5.544
-112.896	-167.591	2.490	89.928	5.175	23.759	5.543
-112.947	-163.665	2.513	89.642	5.201	23.962	5.597
-112.912	-165.996	2.500	88.741	5.148	24.022	5.590
-112.922	-166.751	2.512	89.628	5.175	24.250	5.633
-112.880	-166.800	2.488	90.618	5.181	24.145	5.617
-112.886	-170.362	2.489	90.101	5.119	23.987	5.573
-112.915	-167.209	2.515	89.715	5.179	23.832	5.554
-113.152	-167.783	2.514	88.830	5.154	23.993	5.583
-112.905	-165.587	2.507	87.970	5.156	24.031	5.586
-112.908	-166.018	2.508	90.438	5.162	23.876	5.566
-112.749	-166.000	2.492	89.445	5.194	24.010	5.591
-112.677	-166.805	2.493	89.821	5.126	24.257	5.633
-112.829	-166.482	2.501	88.452	5.152	24.008	5.585
-112.961	-167.083	2.497	88.322	5.204	24.159	5.604
-112.801	-164.506	2.501	88.276	5.039	24.178	5.619
-112.805	-165.135	2.519	87.983	5.085	23.897	5.571
-112.676	-167.631	2.509	89.207	5.137	24.242	5.628
-112.915	-168.287	2.529	88.124	5.107	23.910	5.564
-112.843	-165.320	2.506	88.605	5.102	23.710	5.544
-112.684	-166.504	2.510	88.860	5.085	23.999	5.579
