EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-207.313	-270.650	1.977	72.579	13.870	72.579	13.870
-207.239	-271.168	1.972	72.708	13.704	72.708	13.704
-207.260	-270.532	1.977	72.170	13.777	72.170	13.777
-207.431	-270.874	1.970	72.172	13.721	72.172	13.721
-207.055	-270.862	1.982	72.482	13.591	72.482	13.591
-207.385	-271.885	1.994	72.964	13.510	72.964	13.510
-207.568	-271.412	1.987	72.867	13.463	72.867	13.463
-207.137	-270.328	2.008	72.041	13.493	72.041	13.493
-207.332	-270.144	2.001	71.511	13.492	71.511	13.492
-207.207	-269.649	2.002	71.055	13.522	71.055	13.522
-207.137	-269.495	2.019	71.016	13.452	71.016	13.452
-207.056	-269.722	2.007	70.884	13.449	70.884	13.449
-206.811	-268.807	2.009	70.336	13.401	70.336	13.401
-206.777	-269.050	2.011	70.668	13.310	70.668	13.310
-206.801	-269.252	2.017	69.829	13.301	69.829	13.301
-206.412	-267.095	2.023	69.005	13.299	69.005	13.299
-206.790	-267.261	2.044	68.876	13.373	68.876	13.373
-206.453	-267.227	2.029	68.880	13.227	68.880	13.227
-206.201	-267.108	2.044	68.639	13.144	68.639	13.144
-206.530	-267.935	2.048	68.972	13.008	68.972	13.008
-206.469	-267.232	2.045	68.519	13.016	68.519	13.016
-206.397	-266.129	2.046	67.536	13.064	67.536	13.064
-206.480	-266.239	2.037	67.555	12.963	67.555	12.963
-206.138	-265.465	2.051	67.015	12.947	67.015	12.947
-206.056	-265.578	2.036	67.236	12.871	67.236	12.871
-205.909	-265.373	2.061	66.886	12.923	66.886	12.923
-205.988	-264.654	2.066	66.884	12.856	66.884	12.856
-206.265	-265.517	2.068	66.705	12.798	66.705	12.798
-205.678	-264.441	2.073	66.144	12.744	66.144	12.744
-206.386	-264.653	2.079	65.700	12.767	65.700	12.767
-206.134	-264.460	2.081	65.945	12.704	65.945	12.704
-205.943	-264.176	2.091	65.590	12.669	65.590	12.669
-206.092	-264.643	2.081	65.939	12.514	65.939	12.514
-205.700	-263.703	2.108	65.798	12.457	65.798	12.457
-205.453	-263.218	2.108	64.489	12.526	64.489	12.526
-205.650	-263.637	2.110	64.633	12.423	64.633	12.423
-205.416	-263.933	2.116	65.302	12.183	65.302	12.183
-205.187	-262.041	2.125	64.101	12.238	64.101	12.238
-205.479	-262.449	2.136	64.154	12.188	64.154	12.188
-205.452	-262.051	2.146	63.910	12.143	63.910	12.143
-205.187	-262.794	2.136	64.210	11.960	64.210	11.960
-205.309	-262.658	2.152	64.274	11.900	64.274	11.900
-205.264	-262.575	2.165	64.639	11.900	64.639	11.900
-205.296	-262.845	2.164	64.073	11.924	64.073	11.924
-205.187	-263.017	2.167	64.017	11.810	64.017	11.810
-204.906	-261.771	2.174	63.282	11.828	63.282	11.828
-205.164	-261.107	2.181	62.769	11.759	62.769	11.759
-204.568	-261.465	2.202	62.409	11.683	62.409	11.683
