snr: 4.433709, var: 3.678090, inckl_gen:232.612595, inckl_eta:70.104042, inckl_z:0.800617
snr: 5.053886, var: 4.185734, inckl_gen:218.462509, inckl_eta:56.096638, inckl_z:0.744106
snr: 4.645629, var: 3.798840, inckl_gen:235.078857, inckl_eta:56.382282, inckl_z:0.596877
snr: 3.582083, var: 2.795549, inckl_gen:172.118652, inckl_eta:45.866947, inckl_z:0.521048
snr: 3.069371, var: 2.383012, inckl_gen:200.910782, inckl_eta:44.557453, inckl_z:0.473891
snr: 2.805639, var: 2.124804, inckl_gen:193.273483, inckl_eta:45.887974, inckl_z:0.383458
snr: 2.616092, var: 1.956399, inckl_gen:166.440842, inckl_eta:27.894394, inckl_z:0.288227
snr: 2.544718, var: 1.876528, inckl_gen:193.882965, inckl_eta:47.233479, inckl_z:0.275627
snr: 2.503723, var: 1.825651, inckl_gen:301.208313, inckl_eta:45.220089, inckl_z:0.249558
snr: 2.286477, var: 1.592203, inckl_gen:256.672455, inckl_eta:38.779713, inckl_z:0.214668
snr: 2.207130, var: 1.514994, inckl_gen:129.671509, inckl_eta:30.220442, inckl_z:0.155544
snr: 2.046763, var: 1.378185, inckl_gen:203.210938, inckl_eta:44.161743, inckl_z:0.149416
snr: 2.041499, var: 1.362811, inckl_gen:152.638275, inckl_eta:19.127594, inckl_z:0.106318
snr: 2.092026, var: 1.401285, inckl_gen:161.873917, inckl_eta:24.535591, inckl_z:0.123084
snr: 2.066413, var: 1.354606, inckl_gen:198.795914, inckl_eta:24.736757, inckl_z:0.083318
snr: 2.120462, var: 1.422630, inckl_gen:178.504807, inckl_eta:11.426219, inckl_z:0.076936
snr: 2.047476, var: 1.376468, inckl_gen:233.686554, inckl_eta:14.920671, inckl_z:0.087915
snr: 2.024292, var: 1.373936, inckl_gen:182.299438, inckl_eta:14.125041, inckl_z:0.056775
snr: 1.989072, var: 1.367983, inckl_gen:178.457016, inckl_eta:14.489435, inckl_z:0.058989
snr: 1.992096, var: 1.359996, inckl_gen:145.278442, inckl_eta:7.888165, inckl_z:0.045565
snr: 1.932822, var: 1.323689, inckl_gen:124.368484, inckl_eta:11.436716, inckl_z:0.042780
snr: 1.850677, var: 1.234517, inckl_gen:184.442001, inckl_eta:7.275006, inckl_z:0.047143
snr: 1.714736, var: 1.130473, inckl_gen:174.609085, inckl_eta:8.066529, inckl_z:0.054123
snr: 1.630573, var: 1.030366, inckl_gen:156.195877, inckl_eta:4.614499, inckl_z:0.054057
snr: 1.502318, var: 0.937794, inckl_gen:200.406723, inckl_eta:6.820662, inckl_z:0.071260
snr: 1.493731, var: 0.920309, inckl_gen:272.018219, inckl_eta:11.340199, inckl_z:0.062944
snr: 1.459444, var: 0.888816, inckl_gen:133.344559, inckl_eta:8.868232, inckl_z:0.046212
snr: 1.422498, var: 0.848893, inckl_gen:100.615211, inckl_eta:4.312890, inckl_z:0.054824
snr: 1.393401, var: 0.821852, inckl_gen:145.312546, inckl_eta:7.408823, inckl_z:0.055580
snr: 1.364093, var: 0.792047, inckl_gen:175.430130, inckl_eta:3.821674, inckl_z:0.046094
snr: 1.318480, var: 0.755262, inckl_gen:94.216949, inckl_eta:2.841249, inckl_z:0.059064
snr: 1.263141, var: 0.699984, inckl_gen:156.831573, inckl_eta:3.022090, inckl_z:0.042235
snr: 1.265836, var: 0.744179, inckl_gen:107.139275, inckl_eta:6.772643, inckl_z:0.047626
snr: 1.241792, var: 0.699625, inckl_gen:185.726349, inckl_eta:7.444893, inckl_z:0.245240
snr: 1.210929, var: 0.668178, inckl_gen:207.325836, inckl_eta:5.492490, inckl_z:0.065546
snr: 1.186437, var: 0.650334, inckl_gen:137.868301, inckl_eta:3.636663, inckl_z:0.052740
snr: 1.107414, var: 0.556526, inckl_gen:106.775932, inckl_eta:4.083306, inckl_z:0.105934
snr: 1.101012, var: 0.560963, inckl_gen:108.747879, inckl_eta:4.828331, inckl_z:0.044339
snr: 1.054623, var: 0.495537, inckl_gen:75.064926, inckl_eta:1.090641, inckl_z:0.063580
snr: 1.055614, var: 0.512166, inckl_gen:130.859604, inckl_eta:2.829895, inckl_z:0.063093
snr: 0.993104, var: 0.451845, inckl_gen:38.316067, inckl_eta:1.388093, inckl_z:0.042785
snr: 0.994373, var: 0.493382, inckl_gen:234.126511, inckl_eta:1.340175, inckl_z:0.148622
snr: 0.992647, var: 0.462394, inckl_gen:46.207752, inckl_eta:5.706520, inckl_z:0.121804
snr: 0.951389, var: 0.414482, inckl_gen:24.992098, inckl_eta:2.358660, inckl_z:0.063695
snr: 0.941423, var: 0.415370, inckl_gen:171.527222, inckl_eta:1.728308, inckl_z:0.135552
snr: 0.902785, var: 0.356841, inckl_gen:210.199753, inckl_eta:2.091762, inckl_z:0.131127
snr: 0.918071, var: 0.386203, inckl_gen:14.394173, inckl_eta:1.298098, inckl_z:0.361213
snr: 0.897653, var: 0.350689, inckl_gen:72.421562, inckl_eta:2.739887, inckl_z:0.170244
snr: 0.903045, var: 0.356398, inckl_gen:79.781067, inckl_eta:0.724290, inckl_z:0.052913
snr: 0.915172, var: 0.361867, inckl_gen:82.384819, inckl_eta:3.085251, inckl_z:0.172612
snr: 0.939166, var: 0.381404, inckl_gen:18.838497, inckl_eta:2.791331, inckl_z:0.311385
snr: 0.931916, var: 0.356208, inckl_gen:16.253239, inckl_eta:2.068321, inckl_z:0.385090
snr: 0.926348, var: 0.347390, inckl_gen:207.051346, inckl_eta:1.764709, inckl_z:0.395547
snr: 0.911844, var: 0.325917, inckl_gen:162.414047, inckl_eta:0.767063, inckl_z:0.225329
snr: 0.913304, var: 0.319976, inckl_gen:48.059841, inckl_eta:0.595433, inckl_z:0.061601
snr: 0.882303, var: 0.273481, inckl_gen:54.646938, inckl_eta:0.774927, inckl_z:0.182577
snr: 0.875643, var: 0.275752, inckl_gen:53.732704, inckl_eta:0.681929, inckl_z:0.148132
snr: 0.868022, var: 0.267314, inckl_gen:32.334824, inckl_eta:0.565047, inckl_z:0.045746
snr: 0.843190, var: 0.235751, inckl_gen:9.616435, inckl_eta:1.058114, inckl_z:0.116720
snr: 0.833521, var: 0.239314, inckl_gen:53.616425, inckl_eta:0.196802, inckl_z:0.250155
snr: 0.839405, var: 0.234964, inckl_gen:72.349854, inckl_eta:0.572881, inckl_z:0.316168
snr: 0.821908, var: 0.218698, inckl_gen:42.387104, inckl_eta:0.189920, inckl_z:0.077386
snr: 0.816346, var: 0.202204, inckl_gen:24.157833, inckl_eta:0.105761, inckl_z:0.128918
snr: 0.805908, var: 0.208506, inckl_gen:120.930298, inckl_eta:0.124388, inckl_z:0.524984
snr: 0.807702, var: 0.203853, inckl_gen:5.215002, inckl_eta:0.188086, inckl_z:0.036973
snr: 0.791753, var: 0.179351, inckl_gen:153.308334, inckl_eta:0.289408, inckl_z:0.638004
snr: 0.791990, var: 0.186450, inckl_gen:48.583782, inckl_eta:0.059260, inckl_z:0.202307
snr: 0.789000, var: 0.193318, inckl_gen:13.006232, inckl_eta:0.088434, inckl_z:0.110309
snr: 0.777800, var: 0.165749, inckl_gen:15.376937, inckl_eta:0.088767, inckl_z:0.020299
snr: 0.764222, var: 0.147239, inckl_gen:127.154724, inckl_eta:0.341364, inckl_z:1.269760
snr: 0.768358, var: 0.159427, inckl_gen:65.690094, inckl_eta:0.092043, inckl_z:0.436411
snr: 0.757680, var: 0.168504, inckl_gen:4.231800, inckl_eta:0.397127, inckl_z:0.016284
snr: 0.753919, var: 0.162288, inckl_gen:63.736919, inckl_eta:0.166373, inckl_z:0.216977
snr: 0.756685, var: 0.149892, inckl_gen:19.501644, inckl_eta:0.358836, inckl_z:0.382990
snr: 0.753045, var: 0.165066, inckl_gen:11.029964, inckl_eta:0.067695, inckl_z:0.842387
snr: 0.745666, var: 0.159941, inckl_gen:50.209156, inckl_eta:0.162925, inckl_z:0.336463
snr: 0.743482, var: 0.168656, inckl_gen:12.996552, inckl_eta:0.052285, inckl_z:0.834697
snr: 0.747510, var: 0.168677, inckl_gen:33.962105, inckl_eta:0.032137, inckl_z:0.442727
snr: 0.742050, var: 0.149460, inckl_gen:15.719164, inckl_eta:0.034456, inckl_z:0.126334
snr: 0.734309, var: 0.147646, inckl_gen:19.665785, inckl_eta:0.027292, inckl_z:0.167435
snr: 0.734911, var: 0.154390, inckl_gen:15.599116, inckl_eta:0.019601, inckl_z:0.586438
snr: 0.735516, var: 0.153813, inckl_gen:3.715439, inckl_eta:0.015763, inckl_z:0.248497
snr: 0.745861, var: 0.160264, inckl_gen:23.264414, inckl_eta:0.135043, inckl_z:0.428749
snr: 0.733951, var: 0.151068, inckl_gen:34.535572, inckl_eta:0.018795, inckl_z:0.861001
snr: 0.738492, var: 0.152487, inckl_gen:9.111707, inckl_eta:0.014328, inckl_z:0.599595
snr: 0.729786, var: 0.157432, inckl_gen:14.188744, inckl_eta:0.007122, inckl_z:0.055175
snr: 0.733192, var: 0.151437, inckl_gen:104.268913, inckl_eta:0.235255, inckl_z:0.743154
snr: 0.733443, var: 0.155827, inckl_gen:13.999193, inckl_eta:0.015039, inckl_z:0.308542
snr: 0.733616, var: 0.136067, inckl_gen:11.174727, inckl_eta:0.012951, inckl_z:0.478503
snr: 0.731242, var: 0.140241, inckl_gen:17.485538, inckl_eta:0.087790, inckl_z:0.334279
snr: 0.723101, var: 0.134344, inckl_gen:17.428959, inckl_eta:0.015868, inckl_z:0.382672
snr: 0.726000, var: 0.147492, inckl_gen:33.340885, inckl_eta:0.147599, inckl_z:0.206017
snr: 0.727913, var: 0.135848, inckl_gen:1.948500, inckl_eta:0.006740, inckl_z:0.381231
snr: 0.736981, var: 0.131088, inckl_gen:10.205343, inckl_eta:0.008225, inckl_z:0.223302
snr: 0.738006, var: 0.136931, inckl_gen:32.806881, inckl_eta:0.010653, inckl_z:0.301572
snr: 0.724313, var: 0.139810, inckl_gen:9.626903, inckl_eta:0.054848, inckl_z:0.347533
snr: 0.729471, var: 0.134793, inckl_gen:12.338012, inckl_eta:0.010713, inckl_z:0.544147
