snr: 153.204025, var: 5.109555, inckl_gen:0.030235
snr: 140.934723, var: 5.159081, inckl_gen:0.006780
snr: 144.923508, var: 5.120120, inckl_gen:0.001620
snr: 156.179459, var: 5.294634, inckl_gen:0.004080
snr: 147.968536, var: 5.334466, inckl_gen:0.007174
snr: 154.889465, var: 5.455910, inckl_gen:0.005604
snr: 156.178879, var: 5.467984, inckl_gen:0.002096
snr: 160.637619, var: 5.331209, inckl_gen:0.003930
snr: 197.304367, var: 5.432285, inckl_gen:0.004079
snr: 165.848862, var: 5.075914, inckl_gen:0.005499
snr: 191.254120, var: 5.437003, inckl_gen:0.002080
snr: 184.954605, var: 5.421825, inckl_gen:0.004324
snr: 129.005661, var: 5.399974, inckl_gen:0.031167
snr: 132.334274, var: 5.883005, inckl_gen:0.004953
snr: 171.413422, var: 5.450491, inckl_gen:0.015289
snr: 129.007217, var: 5.118171, inckl_gen:0.004568
snr: 150.744202, var: 5.536112, inckl_gen:0.005483
snr: 133.592438, var: 5.394204, inckl_gen:0.002150
snr: 158.827759, var: 5.494255, inckl_gen:0.186648
snr: 143.087234, var: 5.275225, inckl_gen:0.001818
snr: 137.841064, var: 5.622561, inckl_gen:0.016740
snr: 159.733963, var: 5.560483, inckl_gen:0.001670
snr: 167.836578, var: 5.340781, inckl_gen:0.002198
snr: 160.648438, var: 5.444588, inckl_gen:0.002823
snr: 160.647110, var: 5.684196, inckl_gen:0.030347
snr: 183.154404, var: 5.821074, inckl_gen:0.055746
snr: 183.161118, var: 5.532089, inckl_gen:0.644704
snr: 144.569443, var: 5.099249, inckl_gen:0.014780
snr: 161.576843, var: 5.196755, inckl_gen:0.001178
snr: 134.234848, var: 5.529596, inckl_gen:0.000959
snr: 159.739029, var: 5.700651, inckl_gen:0.006978
snr: 175.182419, var: 5.895817, inckl_gen:0.003681
snr: 165.885315, var: 5.604926, inckl_gen:0.006545
snr: 134.920410, var: 6.166638, inckl_gen:0.016094
snr: 189.995346, var: 5.770998, inckl_gen:0.003717
snr: 166.878448, var: 5.511433, inckl_gen:0.001242
snr: 131.752991, var: 5.405390, inckl_gen:0.007667
snr: 157.100250, var: 5.401490, inckl_gen:0.000839
snr: 196.004227, var: 5.847787, inckl_gen:0.017138
snr: 170.498947, var: 5.472246, inckl_gen:0.003006
snr: 179.756088, var: 5.926091, inckl_gen:0.406243
snr: 174.703720, var: 5.498924, inckl_gen:0.027558
snr: 143.971832, var: 5.641871, inckl_gen:0.014537
snr: 146.590652, var: 5.486632, inckl_gen:0.047897
snr: 198.938904, var: 5.578214, inckl_gen:0.047397
snr: 135.767838, var: 5.730085, inckl_gen:0.002819
snr: 142.687607, var: 5.836943, inckl_gen:0.006002
snr: 167.123428, var: 5.940405, inckl_gen:0.004916
snr: 144.299377, var: 6.514447, inckl_gen:0.007065
snr: 149.133072, var: 5.999914, inckl_gen:0.004267
snr: 168.282944, var: 5.730797, inckl_gen:0.017703
snr: 168.443954, var: 5.778069, inckl_gen:0.013156
snr: 167.408752, var: 5.544766, inckl_gen:0.002744
snr: 159.627396, var: 5.956019, inckl_gen:0.020823
snr: 171.154678, var: 5.451396, inckl_gen:0.004324
snr: 152.343857, var: 6.109153, inckl_gen:0.003852
snr: 180.756241, var: 5.843352, inckl_gen:0.001075
snr: 150.031967, var: 6.051408, inckl_gen:0.004611
snr: 157.644577, var: 5.777788, inckl_gen:0.003825
snr: 142.851425, var: 5.923705, inckl_gen:0.001162
snr: 164.530884, var: 6.012571, inckl_gen:0.034048
snr: 161.567917, var: 5.540255, inckl_gen:0.002476
snr: 175.931000, var: 5.873010, inckl_gen:0.002378
snr: 185.136307, var: 5.556430, inckl_gen:0.020165
snr: 160.846085, var: 5.280708, inckl_gen:0.001283
snr: 173.137253, var: 5.836325, inckl_gen:0.004290
snr: 172.730789, var: 5.823808, inckl_gen:0.008258
snr: 164.710785, var: 6.077872, inckl_gen:0.458928
snr: 170.592590, var: 5.990041, inckl_gen:0.803235
snr: 64.490196, var: 13.987056, inckl_gen:0.000696
snr: 63.140125, var: 14.309297, inckl_gen:0.000522
snr: 66.128143, var: 12.767331, inckl_gen:0.000388
snr: 66.128212, var: 12.362453, inckl_gen:0.001360
snr: 57.804527, var: 13.166680, inckl_gen:0.000553
snr: 66.588547, var: 15.298264, inckl_gen:0.000859
snr: 66.127785, var: 13.808936, inckl_gen:0.000707
snr: 64.855194, var: 15.305590, inckl_gen:0.000407
snr: 56.443825, var: 14.586424, inckl_gen:0.000551
snr: 58.568787, var: 12.965385, inckl_gen:0.000652
snr: 57.687641, var: 14.343166, inckl_gen:0.000657
snr: 59.477745, var: 13.346274, inckl_gen:0.000641
snr: 69.080910, var: 13.939137, inckl_gen:0.000326
snr: 69.753868, var: 12.931420, inckl_gen:0.000473
snr: 68.013290, var: 13.488066, inckl_gen:0.000524
snr: 72.314941, var: 13.670461, inckl_gen:0.000419
snr: 83.179832, var: 14.649163, inckl_gen:0.000746
snr: 67.850906, var: 16.009001, inckl_gen:0.000259
snr: 74.290169, var: 14.326530, inckl_gen:0.000436
snr: 63.279446, var: 13.142021, inckl_gen:0.000392
snr: 68.174934, var: 13.715083, inckl_gen:0.001338
snr: 74.290062, var: 13.546697, inckl_gen:0.000648
snr: 62.726295, var: 13.533373, inckl_gen:0.000391
snr: 70.010468, var: 13.438090, inckl_gen:0.000714
snr: 82.218307, var: 13.817396, inckl_gen:0.000263
snr: 62.862995, var: 14.186749, inckl_gen:0.001885
snr: 68.913963, var: 15.827316, inckl_gen:0.000764
