tensor(5.8329, grad_fn=<MeanBackward1>)
tensor(5.9436, grad_fn=<MeanBackward1>)
tensor(5.9660, grad_fn=<MeanBackward1>)
tensor(5.9683, grad_fn=<MeanBackward1>)
tensor(5.6037, grad_fn=<MeanBackward1>)
tensor(5.8796, grad_fn=<MeanBackward1>)
tensor(5.7374, grad_fn=<MeanBackward1>)
tensor(6.1505, grad_fn=<MeanBackward1>)
tensor(5.6459, grad_fn=<MeanBackward1>)
tensor(5.5121, grad_fn=<MeanBackward1>)
tensor(5.8572, grad_fn=<MeanBackward1>)
tensor(5.6066, grad_fn=<MeanBackward1>)
tensor(5.7616, grad_fn=<MeanBackward1>)
tensor(5.6436, grad_fn=<MeanBackward1>)
tensor(5.4260, grad_fn=<MeanBackward1>)
tensor(5.8769, grad_fn=<MeanBackward1>)
tensor(5.6237, grad_fn=<MeanBackward1>)
tensor(5.9377, grad_fn=<MeanBackward1>)
tensor(5.4029, grad_fn=<MeanBackward1>)
tensor(5.2977, grad_fn=<MeanBackward1>)
tensor(5.5639, grad_fn=<MeanBackward1>)
tensor(5.5244, grad_fn=<MeanBackward1>)
tensor(5.6329, grad_fn=<MeanBackward1>)
tensor(5.6807, grad_fn=<MeanBackward1>)
tensor(5.3667, grad_fn=<MeanBackward1>)
tensor(5.7727, grad_fn=<MeanBackward1>)
tensor(5.3170, grad_fn=<MeanBackward1>)
tensor(5.8330, grad_fn=<MeanBackward1>)
tensor(5.3264, grad_fn=<MeanBackward1>)
tensor(5.1653, grad_fn=<MeanBackward1>)
tensor(5.3385, grad_fn=<MeanBackward1>)
tensor(5.4386, grad_fn=<MeanBackward1>)
tensor(5.4408, grad_fn=<MeanBackward1>)
tensor(5.4490, grad_fn=<MeanBackward1>)
tensor(5.0736, grad_fn=<MeanBackward1>)
tensor(5.4707, grad_fn=<MeanBackward1>)
tensor(5.1920, grad_fn=<MeanBackward1>)
tensor(5.7184, grad_fn=<MeanBackward1>)
tensor(5.0309, grad_fn=<MeanBackward1>)
tensor(4.9245, grad_fn=<MeanBackward1>)
tensor(5.3135, grad_fn=<MeanBackward1>)
tensor(5.3970, grad_fn=<MeanBackward1>)
tensor(5.3085, grad_fn=<MeanBackward1>)
tensor(5.2427, grad_fn=<MeanBackward1>)
tensor(4.9398, grad_fn=<MeanBackward1>)
tensor(5.3075, grad_fn=<MeanBackward1>)
tensor(5.1287, grad_fn=<MeanBackward1>)
tensor(5.5629, grad_fn=<MeanBackward1>)
tensor(5.0470, grad_fn=<MeanBackward1>)
tensor(4.8121, grad_fn=<MeanBackward1>)
tensor(5.0940, grad_fn=<MeanBackward1>)
tensor(5.1500, grad_fn=<MeanBackward1>)
tensor(5.1775, grad_fn=<MeanBackward1>)
tensor(5.2139, grad_fn=<MeanBackward1>)
tensor(4.8341, grad_fn=<MeanBackward1>)
tensor(5.3334, grad_fn=<MeanBackward1>)
tensor(4.9785, grad_fn=<MeanBackward1>)
tensor(5.4863, grad_fn=<MeanBackward1>)
tensor(4.8868, grad_fn=<MeanBackward1>)
tensor(4.6565, grad_fn=<MeanBackward1>)
tensor(5.1173, grad_fn=<MeanBackward1>)
tensor(5.0911, grad_fn=<MeanBackward1>)
tensor(5.0732, grad_fn=<MeanBackward1>)
