TrueKL=0.003309, loss: 11.184409,  ess_rws: 7.201537,  inckl_eta: 0.003283,  inckl_z: 0.258577
TrueKL=0.364344, loss: 11.178164,  ess_rws: 7.240649,  inckl_eta: 0.003831,  inckl_z: 0.256363
TrueKL=0.057486, loss: 11.203029,  ess_rws: 7.268061,  inckl_eta: 20.812292,  inckl_z: 0.247304
TrueKL=0.057029, loss: 11.192261,  ess_rws: 7.312803,  inckl_eta: 0.002824,  inckl_z: 0.241682
TrueKL=0.003937, loss: 11.171656,  ess_rws: 7.337938,  inckl_eta: 0.002883,  inckl_z: 0.246064
TrueKL=0.829663, loss: 11.194254,  ess_rws: 7.377001,  inckl_eta: 0.002750,  inckl_z: 0.243269
TrueKL=9.447879, loss: 11.146252,  ess_rws: 7.379557,  inckl_eta: 0.002742,  inckl_z: 0.227279
TrueKL=18.541140, loss: 11.169198,  ess_rws: 7.407608,  inckl_eta: 0.002645,  inckl_z: 0.233462
TrueKL=11.838902, loss: 11.136618,  ess_rws: 7.440115,  inckl_eta: 0.002954,  inckl_z: 0.219266
TrueKL=23.004795, loss: 11.164070,  ess_rws: 7.458313,  inckl_eta: 0.002490,  inckl_z: 0.226331
TrueKL=3.851142, loss: 11.173040,  ess_rws: 7.454924,  inckl_eta: 0.005841,  inckl_z: 0.229907
TrueKL=0.167971, loss: 11.136657,  ess_rws: 7.463459,  inckl_eta: 0.002339,  inckl_z: 0.225028
TrueKL=0.025288, loss: 11.127202,  ess_rws: 7.472195,  inckl_eta: 0.002822,  inckl_z: 0.228131
TrueKL=0.063322, loss: 11.212323,  ess_rws: 7.482466,  inckl_eta: 0.002656,  inckl_z: 0.221398
TrueKL=1.216239, loss: 11.182508,  ess_rws: 7.482609,  inckl_eta: 0.002749,  inckl_z: 0.223844
TrueKL=0.065780, loss: 11.120788,  ess_rws: 7.519282,  inckl_eta: 0.002356,  inckl_z: 0.221461
TrueKL=0.072780, loss: 11.134150,  ess_rws: 7.579297,  inckl_eta: 0.003453,  inckl_z: 0.225241
TrueKL=0.030597, loss: 11.187420,  ess_rws: 7.583289,  inckl_eta: 0.002129,  inckl_z: 0.219063
TrueKL=0.112098, loss: 11.161325,  ess_rws: 7.596410,  inckl_eta: 0.002410,  inckl_z: 0.212958
TrueKL=0.454626, loss: 11.141068,  ess_rws: 7.600483,  inckl_eta: 0.002099,  inckl_z: 0.207256
TrueKL=3.786196, loss: 11.169198,  ess_rws: 7.606967,  inckl_eta: 0.002325,  inckl_z: 0.209819
TrueKL=3.781575, loss: 11.156295,  ess_rws: 7.609520,  inckl_eta: 0.002583,  inckl_z: 0.212289
TrueKL=11.437315, loss: 11.147065,  ess_rws: 7.606188,  inckl_eta: 0.002208,  inckl_z: 0.217036
TrueKL=0.055224, loss: 11.090085,  ess_rws: 7.670824,  inckl_eta: 0.002103,  inckl_z: 0.210956
TrueKL=20.455725, loss: 11.166379,  ess_rws: 7.650411,  inckl_eta: 0.002089,  inckl_z: 0.206529
TrueKL=22.262936, loss: 11.126406,  ess_rws: 7.643907,  inckl_eta: 0.002607,  inckl_z: 0.197756
TrueKL=26.205391, loss: 11.122367,  ess_rws: 7.702204,  inckl_eta: 0.002510,  inckl_z: 0.197380
TrueKL=25.385085, loss: 11.128992,  ess_rws: 7.694549,  inckl_eta: 0.002244,  inckl_z: 0.201918
TrueKL=25.833661, loss: 11.115968,  ess_rws: 7.722925,  inckl_eta: 0.002289,  inckl_z: 0.194513
TrueKL=22.120608, loss: 11.112309,  ess_rws: 7.744349,  inckl_eta: 0.002366,  inckl_z: 0.191722
TrueKL=21.182940, loss: 11.116484,  ess_rws: 7.722009,  inckl_eta: 0.002318,  inckl_z: 0.197950
TrueKL=25.352641, loss: 11.128937,  ess_rws: 7.752905,  inckl_eta: 0.002280,  inckl_z: 0.188646
TrueKL=35.019815, loss: 11.181089,  ess_rws: 7.733611,  inckl_eta: 0.002455,  inckl_z: 0.190540
TrueKL=27.909626, loss: 11.142373,  ess_rws: 7.776854,  inckl_eta: 0.002240,  inckl_z: 0.185279
TrueKL=26.415886, loss: 11.171886,  ess_rws: 7.752867,  inckl_eta: 0.002162,  inckl_z: 0.194475
TrueKL=27.181130, loss: 11.129438,  ess_rws: 7.791241,  inckl_eta: 0.002157,  inckl_z: 0.186153
TrueKL=28.261675, loss: 11.120200,  ess_rws: 7.830581,  inckl_eta: 0.002132,  inckl_z: 0.176874
TrueKL=28.862290, loss: 11.131122,  ess_rws: 7.808359,  inckl_eta: 0.002321,  inckl_z: 0.183771
TrueKL=30.741947, loss: 11.118742,  ess_rws: 7.832422,  inckl_eta: 0.001909,  inckl_z: 0.172373
TrueKL=31.717506, loss: 11.134549,  ess_rws: 7.825459,  inckl_eta: 0.001993,  inckl_z: 0.180509
TrueKL=28.911268, loss: 11.182622,  ess_rws: 7.796067,  inckl_eta: 0.002368,  inckl_z: 0.175631
TrueKL=27.196642, loss: 11.118852,  ess_rws: 7.836567,  inckl_eta: 0.002115,  inckl_z: 0.183356
TrueKL=28.766968, loss: 11.135806,  ess_rws: 7.826951,  inckl_eta: 0.002218,  inckl_z: 0.185536
TrueKL=28.128007, loss: 11.147723,  ess_rws: 7.873530,  inckl_eta: 0.002202,  inckl_z: 0.177292
TrueKL=28.685465, loss: 11.141708,  ess_rws: 7.839657,  inckl_eta: 0.002207,  inckl_z: 0.172507
TrueKL=32.154715, loss: 11.172141,  ess_rws: 7.878980,  inckl_eta: 0.002024,  inckl_z: 0.180907
TrueKL=31.779824, loss: 11.187626,  ess_rws: 7.881649,  inckl_eta: 0.002295,  inckl_z: 0.173631
TrueKL=31.586085, loss: 11.124601,  ess_rws: 7.881796,  inckl_eta: 0.004243,  inckl_z: 0.178746
