TrueKL=0.000774, loss: 10.946753,  ess_rws: 1.097317,  ess_eta: 9.967579,  ess_z: 7.303511,  inckl_eta: 0.002546,  inckl_z: 0.172706
TrueKL=0.000602, loss: 10.938917,  ess_rws: 1.102178,  ess_eta: 9.973420,  ess_z: 7.363731,  inckl_eta: 0.001551,  inckl_z: 0.171612
TrueKL=0.000618, loss: 10.988175,  ess_rws: 1.097715,  ess_eta: 9.973032,  ess_z: 7.397957,  inckl_eta: 0.001445,  inckl_z: 0.164814
TrueKL=0.000574, loss: 10.956963,  ess_rws: 1.093790,  ess_eta: 9.975019,  ess_z: 7.409468,  inckl_eta: 0.001500,  inckl_z: 0.163635
TrueKL=0.000591, loss: 10.921757,  ess_rws: 1.099797,  ess_eta: 9.973569,  ess_z: 7.447845,  inckl_eta: 0.002328,  inckl_z: 0.156993
TrueKL=0.000569, loss: 10.912829,  ess_rws: 1.094744,  ess_eta: 9.974267,  ess_z: 7.477308,  inckl_eta: 0.001730,  inckl_z: 0.152887
TrueKL=0.000650, loss: 10.924836,  ess_rws: 1.098811,  ess_eta: 9.971736,  ess_z: 7.538189,  inckl_eta: 0.021690,  inckl_z: 0.152482
TrueKL=0.000589, loss: 10.905875,  ess_rws: 1.095859,  ess_eta: 9.972589,  ess_z: 7.554923,  inckl_eta: 0.001989,  inckl_z: 0.148043
TrueKL=0.000660, loss: 10.918741,  ess_rws: 1.096244,  ess_eta: 9.973516,  ess_z: 7.575865,  inckl_eta: 0.001895,  inckl_z: 0.145940
TrueKL=0.000643, loss: 10.901827,  ess_rws: 1.094775,  ess_eta: 9.973898,  ess_z: 7.618366,  inckl_eta: 0.001662,  inckl_z: 0.143594
TrueKL=0.001029, loss: 10.884407,  ess_rws: 1.099564,  ess_eta: 9.971360,  ess_z: 7.644029,  inckl_eta: 0.001972,  inckl_z: 0.138387
TrueKL=0.000598, loss: 10.909585,  ess_rws: 1.095875,  ess_eta: 9.971870,  ess_z: 7.671881,  inckl_eta: 0.002008,  inckl_z: 0.139521
TrueKL=0.000578, loss: 10.903945,  ess_rws: 1.098885,  ess_eta: 9.975143,  ess_z: 7.690494,  inckl_eta: 0.001760,  inckl_z: 0.134885
TrueKL=0.000644, loss: 10.946837,  ess_rws: 1.101609,  ess_eta: 9.971039,  ess_z: 7.699499,  inckl_eta: 0.002252,  inckl_z: 0.134588
TrueKL=0.000585, loss: 10.946617,  ess_rws: 1.099797,  ess_eta: 9.973535,  ess_z: 7.750327,  inckl_eta: 0.001765,  inckl_z: 0.131442
TrueKL=0.000919, loss: 10.934234,  ess_rws: 1.100875,  ess_eta: 9.973749,  ess_z: 7.756101,  inckl_eta: 0.001592,  inckl_z: 0.129346
TrueKL=0.000594, loss: 10.951259,  ess_rws: 1.104879,  ess_eta: 9.972556,  ess_z: 7.776136,  inckl_eta: 0.001568,  inckl_z: 0.124771
TrueKL=0.000531, loss: 10.916365,  ess_rws: 1.104336,  ess_eta: 9.974441,  ess_z: 7.815023,  inckl_eta: 0.001533,  inckl_z: 0.120749
TrueKL=0.000595, loss: 10.906291,  ess_rws: 1.114906,  ess_eta: 9.973074,  ess_z: 7.835620,  inckl_eta: 0.001590,  inckl_z: 0.121411
TrueKL=0.000703, loss: 10.899585,  ess_rws: 1.113214,  ess_eta: 9.974274,  ess_z: 7.874725,  inckl_eta: 0.001470,  inckl_z: 0.116809
TrueKL=0.000663, loss: 10.931086,  ess_rws: 1.120503,  ess_eta: 9.971184,  ess_z: 7.884992,  inckl_eta: 0.001480,  inckl_z: 0.112817
TrueKL=0.000567, loss: 10.983875,  ess_rws: 1.127953,  ess_eta: 9.973462,  ess_z: 7.864941,  inckl_eta: 0.001387,  inckl_z: 0.115162
TrueKL=0.000610, loss: 11.061395,  ess_rws: 1.134604,  ess_eta: 9.971794,  ess_z: 7.900945,  inckl_eta: 0.001257,  inckl_z: 0.110713
