snr: 1.058459, var: 2.421010, inckl_gen:190.170151
snr: 1.063513, var: 2.932362, inckl_gen:213.193527
snr: 1.049072, var: 2.631319, inckl_gen:135.507751
snr: 1.038843, var: 2.259079, inckl_gen:165.017654
snr: 1.046381, var: 2.177896, inckl_gen:230.623093
snr: 1.038119, var: 2.125569, inckl_gen:210.936813
snr: 1.033931, var: 2.075563, inckl_gen:286.037415
snr: 1.030079, var: 1.799210, inckl_gen:218.371262
snr: 1.024626, var: 1.789074, inckl_gen:260.126312
snr: 1.020596, var: 1.756918, inckl_gen:203.932327
snr: 1.018519, var: 1.791073, inckl_gen:296.794250
snr: 1.014941, var: 1.720865, inckl_gen:276.359131
snr: 1.015822, var: 1.689473, inckl_gen:228.689606
snr: 1.016860, var: 1.647588, inckl_gen:198.236740
snr: 1.012772, var: 1.706578, inckl_gen:169.713318
snr: 1.013635, var: 1.726735, inckl_gen:226.875031
snr: 1.017654, var: 1.698623, inckl_gen:267.876678
snr: 1.016362, var: 1.545862, inckl_gen:200.770355
snr: 1.019035, var: 1.642011, inckl_gen:325.617004
snr: 1.013895, var: 1.620151, inckl_gen:325.228363
snr: 1.015720, var: 1.695892, inckl_gen:226.535690
snr: 1.012096, var: 1.716580, inckl_gen:195.041336
snr: 1.016184, var: 1.721053, inckl_gen:201.536880
snr: 1.015329, var: 1.618287, inckl_gen:219.131516
snr: 1.022019, var: 1.704203, inckl_gen:364.683685
snr: 1.022293, var: 1.772498, inckl_gen:237.925003
snr: 1.028573, var: 1.708336, inckl_gen:189.672440
snr: 1.035267, var: 1.946880, inckl_gen:263.659729
snr: 1.041586, var: 1.732722, inckl_gen:160.549774
snr: 1.045533, var: 1.826714, inckl_gen:164.858322
snr: 1.065395, var: 1.977660, inckl_gen:272.386963
snr: 1.060599, var: 1.815496, inckl_gen:132.356735
snr: 1.067513, var: 1.751347, inckl_gen:204.673859
snr: 1.076413, var: 1.695061, inckl_gen:330.503601
snr: 1.071188, var: 1.660536, inckl_gen:348.240967
snr: 1.076509, var: 1.527682, inckl_gen:89.520737
snr: 1.077753, var: 1.524807, inckl_gen:129.807953
snr: 1.074163, var: 1.508383, inckl_gen:259.737793
snr: 1.065091, var: 1.425835, inckl_gen:261.426270
snr: 1.059820, var: 1.406254, inckl_gen:347.771698
snr: 1.054438, var: 1.490688, inckl_gen:252.460281
snr: 1.044866, var: 1.393074, inckl_gen:284.552917
snr: 1.041297, var: 1.421660, inckl_gen:351.971710
snr: 1.034131, var: 1.380683, inckl_gen:178.360519
snr: 1.031401, var: 1.375957, inckl_gen:255.211349
snr: 1.026446, var: 1.396155, inckl_gen:303.233734
snr: 1.025716, var: 1.376166, inckl_gen:87.791100
snr: 1.027317, var: 1.386071, inckl_gen:134.701813
snr: 1.025219, var: 1.436472, inckl_gen:262.280579
snr: 1.022473, var: 1.365850, inckl_gen:261.155731
snr: 1.021248, var: 1.452288, inckl_gen:160.700958
snr: 1.016034, var: 1.440971, inckl_gen:198.915405
snr: 1.017457, var: 1.399894, inckl_gen:131.431305
snr: 1.015481, var: 1.445132, inckl_gen:204.243805
snr: 1.013688, var: 1.556532, inckl_gen:80.901100
snr: 1.013565, var: 1.495023, inckl_gen:195.290573
snr: 1.011685, var: 1.433881, inckl_gen:226.944244
snr: 1.010797, var: 1.453418, inckl_gen:281.228516
snr: 1.010444, var: 1.454574, inckl_gen:55.950447
snr: 1.010697, var: 1.491907, inckl_gen:17.662136
snr: 1.011056, var: 1.462916, inckl_gen:221.963577
snr: 1.008404, var: 1.477860, inckl_gen:69.906250
snr: 1.009449, var: 1.473601, inckl_gen:213.030197
snr: 1.010061, var: 1.485646, inckl_gen:147.906219
snr: 1.006817, var: 1.406484, inckl_gen:54.864075
snr: 1.008627, var: 1.436265, inckl_gen:186.027313
snr: 1.007946, var: 1.434013, inckl_gen:73.175743
snr: 1.007044, var: 1.475213, inckl_gen:172.983047
snr: 1.007546, var: 1.432063, inckl_gen:92.280785
snr: 1.006855, var: 1.538128, inckl_gen:69.830376
snr: 1.006900, var: 1.460451, inckl_gen:140.694199
snr: 1.006388, var: 1.478210, inckl_gen:68.111916
snr: 1.007689, var: 1.461260, inckl_gen:29.637262
snr: 1.009019, var: 1.380421, inckl_gen:107.462379
snr: 1.008796, var: 1.477448, inckl_gen:83.202835
snr: 1.005532, var: 1.397961, inckl_gen:29.565128
snr: 1.007431, var: 1.405514, inckl_gen:305.613403
snr: 1.006760, var: 1.519437, inckl_gen:58.998421
snr: 1.006219, var: 1.426501, inckl_gen:79.331017
snr: 1.005497, var: 1.534552, inckl_gen:103.110008
snr: 1.006120, var: 1.479672, inckl_gen:18.214376
snr: 1.005561, var: 1.432248, inckl_gen:46.139141
snr: 1.006559, var: 1.481218, inckl_gen:178.124756
snr: 1.004169, var: 1.482092, inckl_gen:4.932978
snr: 1.005642, var: 1.397841, inckl_gen:157.422745
snr: 1.006542, var: 1.493123, inckl_gen:225.562698
snr: 1.006906, var: 1.426697, inckl_gen:114.655762
snr: 1.004432, var: 1.438418, inckl_gen:103.677788
snr: 1.005715, var: 1.515481, inckl_gen:121.331627
snr: 1.004215, var: 1.496546, inckl_gen:143.562714
snr: 1.004969, var: 1.459715, inckl_gen:55.116249
snr: 1.004585, var: 1.488688, inckl_gen:32.228405
snr: 1.006638, var: 1.418833, inckl_gen:23.487595
snr: 1.004435, var: 1.443978, inckl_gen:24.899616
snr: 1.004948, var: 1.495481, inckl_gen:17.644060
snr: 1.005300, var: 1.463417, inckl_gen:37.894012
snr: 1.007145, var: 1.447890, inckl_gen:22.485209
snr: 1.006704, var: 1.483324, inckl_gen:20.372286
snr: 1.004478, var: 1.459256, inckl_gen:30.582762
