snr: 1.096300, var: 1.813104, inckl_gen:182.389404
snr: 1.091950, var: 2.095973, inckl_gen:218.313583
snr: 1.075755, var: 1.962554, inckl_gen:246.626617
snr: 1.053653, var: 1.974808, inckl_gen:329.472687
snr: 1.044362, var: 2.005872, inckl_gen:340.852386
snr: 1.045709, var: 1.806458, inckl_gen:378.973114
snr: 1.030371, var: 1.807386, inckl_gen:369.435699
snr: 1.035448, var: 1.663277, inckl_gen:246.633102
snr: 1.028015, var: 1.526369, inckl_gen:503.877502
snr: 1.026642, var: 1.590599, inckl_gen:292.817230
snr: 1.020489, var: 1.571830, inckl_gen:365.022614
snr: 1.021251, var: 1.546892, inckl_gen:593.288391
snr: 1.022615, var: 1.570444, inckl_gen:608.472107
snr: 1.021487, var: 1.569332, inckl_gen:379.404999
snr: 1.018140, var: 1.617474, inckl_gen:448.811249
snr: 1.018823, var: 1.642427, inckl_gen:410.322418
snr: 1.017938, var: 1.680931, inckl_gen:438.829315
snr: 1.022936, var: 1.585465, inckl_gen:325.508972
snr: 1.016439, var: 1.603826, inckl_gen:473.639374
snr: 1.017562, var: 1.555267, inckl_gen:418.027252
snr: 1.013850, var: 1.487965, inckl_gen:341.381165
snr: 1.013287, var: 1.525513, inckl_gen:435.367004
snr: 1.012263, var: 1.505008, inckl_gen:380.784882
snr: 1.011797, var: 1.504144, inckl_gen:497.700012
snr: 1.014729, var: 1.509216, inckl_gen:358.579498
snr: 1.011889, var: 1.460702, inckl_gen:356.679749
snr: 1.013652, var: 1.597940, inckl_gen:372.522003
snr: 1.011317, var: 1.538608, inckl_gen:375.112915
snr: 1.013532, var: 1.558067, inckl_gen:271.368317
snr: 1.013520, var: 1.570152, inckl_gen:506.044891
snr: 1.016340, var: 1.522815, inckl_gen:324.675140
snr: 1.011459, var: 1.546495, inckl_gen:427.067139
snr: 1.011968, var: 1.491221, inckl_gen:383.416107
snr: 1.011007, var: 1.529530, inckl_gen:433.726562
snr: 1.012247, var: 1.386824, inckl_gen:374.993408
snr: 1.009882, var: 1.527283, inckl_gen:416.552399
snr: 1.010861, var: 1.597489, inckl_gen:365.679993
snr: 1.011955, var: 1.556712, inckl_gen:358.187561
snr: 1.011468, var: 1.506215, inckl_gen:328.224792
snr: 1.008858, var: 1.430161, inckl_gen:400.948822
snr: 1.009793, var: 1.446190, inckl_gen:288.638763
snr: 1.012200, var: 1.427991, inckl_gen:275.553284
snr: 1.010627, var: 1.505011, inckl_gen:441.233612
snr: 1.010963, var: 1.495408, inckl_gen:275.286102
snr: 1.007981, var: 1.476647, inckl_gen:254.810623
snr: 1.009800, var: 1.471854, inckl_gen:310.135071
snr: 1.007526, var: 1.376215, inckl_gen:260.626465
snr: 1.010154, var: 1.421195, inckl_gen:412.694061
snr: 1.010148, var: 1.442438, inckl_gen:436.648529
snr: 1.010406, var: 1.523548, inckl_gen:318.215332
snr: 1.007915, var: 1.472674, inckl_gen:285.581329
snr: 1.009226, var: 1.398791, inckl_gen:298.341644
snr: 1.007930, var: 1.374503, inckl_gen:286.401611
snr: 1.008297, var: 1.406105, inckl_gen:275.788666
snr: 1.009439, var: 1.400526, inckl_gen:355.556976
snr: 1.010140, var: 1.356765, inckl_gen:250.507736
snr: 1.011108, var: 1.351435, inckl_gen:249.303345
snr: 1.010219, var: 1.386890, inckl_gen:659.111511
snr: 1.013594, var: 1.354019, inckl_gen:254.150711
snr: 1.011727, var: 1.471961, inckl_gen:288.021851
snr: 1.010059, var: 1.338570, inckl_gen:214.799667
snr: 1.013177, var: 1.398264, inckl_gen:319.535492
snr: 1.012372, var: 1.453604, inckl_gen:287.598236
snr: 1.012251, var: 1.373433, inckl_gen:222.684860
snr: 1.010447, var: 1.447245, inckl_gen:299.408112
snr: 1.013561, var: 1.458136, inckl_gen:254.733261
snr: 1.012724, var: 1.569428, inckl_gen:244.013626
snr: 1.017888, var: 1.443485, inckl_gen:256.037170
snr: 1.012930, var: 1.460993, inckl_gen:290.546295
snr: 1.015483, var: 1.561596, inckl_gen:260.278046
snr: 1.018894, var: 1.601308, inckl_gen:321.107513
snr: 1.019542, var: 1.639702, inckl_gen:247.051300
snr: 1.026505, var: 1.530368, inckl_gen:168.026611
snr: 1.023992, var: 1.550210, inckl_gen:200.926834
snr: 1.022701, var: 1.552462, inckl_gen:163.698608
snr: 1.023264, var: 1.478529, inckl_gen:166.157455
