(272s) loss_phi: -563.636114,  loss_theta: 528.086387,  ess_rws: 1.016433,  ess_mu: 1.822995,  ess_local: 7.896063,  density: -937.199609
(269s) loss_phi: -564.763623,  loss_theta: 524.395331,  ess_rws: 1.016438,  ess_mu: 1.829743,  ess_local: 7.903720,  density: -931.726368
(276s) loss_phi: -564.952833,  loss_theta: 519.431214,  ess_rws: 1.016255,  ess_mu: 1.823176,  ess_local: 7.922982,  density: -926.600243
(274s) loss_phi: -563.892007,  loss_theta: 513.743848,  ess_rws: 1.016621,  ess_mu: 1.819913,  ess_local: 7.934631,  density: -920.042714
(268s) loss_phi: -564.366686,  loss_theta: 510.881285,  ess_rws: 1.018213,  ess_mu: 1.823093,  ess_local: 7.953244,  density: -914.326926
(266s) loss_phi: -563.165484,  loss_theta: 497.161084,  ess_rws: 1.016850,  ess_mu: 1.845537,  ess_local: 8.007647,  density: -906.258256
(272s) loss_phi: -563.315233,  loss_theta: 494.229942,  ess_rws: 1.017332,  ess_mu: 1.839420,  ess_local: 8.010995,  density: -900.324976
(274s) loss_phi: -563.114398,  loss_theta: 490.797704,  ess_rws: 1.015892,  ess_mu: 1.843232,  ess_local: 8.029950,  density: -895.730066
(272s) loss_phi: -562.425802,  loss_theta: 483.759314,  ess_rws: 1.017179,  ess_mu: 1.846742,  ess_local: 8.049929,  density: -888.856808
(273s) loss_phi: -562.463976,  loss_theta: 481.119840,  ess_rws: 1.017705,  ess_mu: 1.850954,  ess_local: 8.073957,  density: -884.516051
(271s) loss_phi: -561.507097,  loss_theta: 475.630337,  ess_rws: 1.017944,  ess_mu: 1.846517,  ess_local: 8.069016,  density: -878.908882
(269s) loss_phi: -560.499664,  loss_theta: 467.536504,  ess_rws: 1.018458,  ess_mu: 1.859678,  ess_local: 8.114039,  density: -872.610292
(273s) loss_phi: -560.072785,  loss_theta: 462.819666,  ess_rws: 1.017745,  ess_mu: 1.858901,  ess_local: 8.112966,  density: -867.130430
(267s) loss_phi: -559.501910,  loss_theta: 459.369824,  ess_rws: 1.018766,  ess_mu: 1.858665,  ess_local: 8.136946,  density: -863.843519
(270s) loss_phi: -558.513941,  loss_theta: 455.796335,  ess_rws: 1.018776,  ess_mu: 1.871902,  ess_local: 8.162798,  density: -857.543551
(269s) loss_phi: -557.760323,  loss_theta: 451.011645,  ess_rws: 1.018452,  ess_mu: 1.870677,  ess_local: 8.170551,  density: -853.664587
(267s) loss_phi: -557.128746,  loss_theta: 446.405203,  ess_rws: 1.018069,  ess_mu: 1.875772,  ess_local: 8.187506,  density: -848.438591
(266s) loss_phi: -557.109465,  loss_theta: 449.599539,  ess_rws: 1.019301,  ess_mu: 1.866014,  ess_local: 8.205502,  density: -847.909379
(267s) loss_phi: -555.028558,  loss_theta: 441.926064,  ess_rws: 1.019109,  ess_mu: 1.875246,  ess_local: 8.207751,  density: -842.441445
(267s) loss_phi: -554.147896,  loss_theta: 433.295288,  ess_rws: 1.018336,  ess_mu: 1.884025,  ess_local: 8.254352,  density: -834.971200
(272s) loss_phi: -553.563014,  loss_theta: 429.811868,  ess_rws: 1.018269,  ess_mu: 1.891686,  ess_local: 8.259988,  density: -831.113935
(268s) loss_phi: -553.595588,  loss_theta: 429.104538,  ess_rws: 1.018311,  ess_mu: 1.894100,  ess_local: 8.269217,  density: -828.246448
(273s) loss_phi: -552.376423,  loss_theta: 424.767992,  ess_rws: 1.020247,  ess_mu: 1.890107,  ess_local: 8.284659,  density: -824.030458
