EUBOs, ELBOs, ESS, MCKls_exclusive, TrueKls_exclusive, MCKls_inclusive, TrueKls_inclusive

-2678.6437219238283, -40206.61987182617, 1.0098234498500824, 25289.49219482422, 4603.581395568847, -1807.3872305297853, 212313825.32583985
-1077.6836560058593, -2790.4769677734375, 1.010731406211853, 1865.0790771484376, 308.0836088562012, -641.6743185424805, 463877049.4452112
-983.1151992797852, -1777.7567761230468, 1.0201069009304047, 1108.137618408203, 186.18272857666017, -563.5546014404297, 478043177.92823
-946.056432800293, -1548.5959375, 1.0148561239242553, 941.1252423095704, 155.47242095947266, -538.2457144165039, 105371754.13119751
-890.3606030273437, -1460.0497308349609, 1.0193421852588653, 873.1129956054688, 144.53619956970215, -501.0821990966797, 60131924.65119659
-847.1832949829102, -1422.5936688232423, 1.0194973492622375, 845.4728741455078, 140.60217834472655, -473.0627571105957, 8225028.22307251
-800.6827661132812, -1385.197890625, 1.017012859582901, 822.4946118164063, 137.55556167602538, -444.0127284240723, 4895644.213194885
-772.5953955078126, -1350.942426147461, 1.02193164229393, 791.66796875, 131.36953758239747, -423.0568765258789, 1474833.449152832
-736.9055780029297, -1373.6375561523437, 1.024814121723175, 812.6005102539062, 137.11174446105957, -405.09463790893557, 1499451.8062031174
-726.708950805664, -1375.5507116699218, 1.0213665223121644, 812.6865393066406, 135.72753242492675, -401.1317712402344, 1467330.3004339219
-721.088342590332, -1366.205718383789, 1.0195488107204438, 805.909548034668, 133.69955879211426, -396.9136265563965, 1177511.6532233811
-694.1146762084961, -1429.5922106933594, 1.0142896211147308, 847.3152825927734, 140.00791618347168, -380.01851791381836, 736242.6220553399
-689.0282070922851, -1399.5521649169923, 1.0218782830238342, 827.3903594970703, 137.5208285522461, -376.540231628418, 383276.5692854309
-678.1802749633789, -1338.22466796875, 1.0187284767627716, 787.5502017211915, 132.90333435058594, -368.4819494628906, 252056.45615703583
-676.4010491943359, -1288.1161444091797, 1.0203296661376953, 753.8129971313476, 126.26690032958984, -364.42647033691406, 224849.10536417007
-670.5333145141601, -1304.8096075439453, 1.0221617484092713, 761.1553860473633, 125.70049026489258, -363.8499354553223, 202542.50541797638
-651.7105413818359, -1307.843744506836, 1.018698570728302, 760.3668420410156, 125.14242950439453, -352.1633967590332, 166405.34465522767
-657.9012057495117, -1251.0919171142577, 1.0186242365837097, 732.390146484375, 121.60200805664063, -356.1536195373535, 88885.05662471772
-646.7560919189453, -1212.199165649414, 1.025138190984726, 700.8919583129883, 116.85690238952637, -348.64075561523435, 98579.99501911164
-636.6138244628906, -1182.358794555664, 1.0247895181179048, 677.787038269043, 113.53727897644043, -341.6339335632324, 67635.54552490235
-636.8891146850586, -1167.059140625, 1.0207439410686492, 671.5643902587891, 113.57176891326904, -338.5418327331543, 69882.7760882473
-615.6756988525391, -1205.9866320800782, 1.0260312843322754, 691.0069030761719, 114.53182579040528, -326.38651672363284, 36516.701132736205
-622.3566809082031, -1197.2757189941406, 1.018812861442566, 687.0983514404297, 113.8790905380249, -330.11466400146486, 49183.48800771713
-617.6450686645508, -1141.5754064941407, 1.025113317966461, 656.0435235595703, 109.5815950012207, -323.47701431274413, 42643.05504802704
-618.5321725463867, -1150.343896484375, 1.0271064233779907, 655.6158880615235, 109.23017303466797, -327.8402526855469, 125731.15855052948
-609.1781170654297, -1130.2844482421874, 1.0225853955745696, 641.7090365600586, 106.45423934936524, -321.07479064941407, 79537.51728452682
-612.2217700195313, -1112.0523901367187, 1.0295185875892638, 635.4210974121094, 105.38296730041503, -327.48320571899416, 82391.71860629081
-596.1359078979492, -1113.202724609375, 1.0213484740257264, 630.7373522949218, 105.6065285873413, -315.71663452148437, 54527.346669597624
-592.1962997436524, -1103.249935913086, 1.021099112033844, 624.8028244018554, 104.94529815673827, -308.97941268920897, 31754.836386699677
-579.6581698608398, -1097.7944354248048, 1.026850357055664, 621.9562503051758, 103.98447124481201, -303.0109321594238, 20027.236034975052
-584.6531292724609, -1081.4850708007812, 1.0187874567508697, 613.7705429077148, 102.25114379882812, -306.57698471069335, 22949.192564697267
-581.748014831543, -1111.3155139160156, 1.0197012400627137, 628.7743258666992, 103.63378917694092, -306.7228765869141, 14497.833990211488
-572.365609741211, -1104.357374267578, 1.0200950884819031, 623.5540063476562, 103.168833694458, -300.32596466064456, 26570.48050725937
-570.3554608154296, -1093.2964416503905, 1.0204055714607239, 612.287504272461, 100.96067306518555, -292.6760807800293, 20899.881253700256
-556.7506600952148, -1056.9731427001952, 1.0205914664268494, 595.8265957641602, 98.60688404083253, -287.2340573120117, 8239.876663484574
-561.0253207397461, -1022.67134765625, 1.02192577958107, 567.9362893676757, 93.94923728942871, -290.0097114562988, 11433.456197633743
-567.2639401245117, -963.0700225830078, 1.027622721195221, 532.2350076293945, 89.4630269241333, -289.66631240844725, 7838.4145807886125
-560.8690106201171, -985.1864587402343, 1.032416706085205, 546.2702221679688, 90.95504684448242, -287.75828430175784, 5149.519304618835
-537.9255172729493, -990.9276513671875, 1.023491632938385, 546.0178619384766, 91.56939498901367, -275.47077239990233, 4609.57180809021
-537.5441778564453, -1001.4958587646485, 1.0164491498470307, 557.7805474853516, 92.64565036773682, -276.9678796386719, 4923.605599236488
-533.9649810791016, -978.1426058959961, 1.0231861066818237, 541.7375360107421, 90.16439205169678, -274.70725540161135, 3904.0135500097276
-543.5319332885742, -974.1042443847656, 1.025625594854355, 536.5183645629883, 88.63135368347167, -275.57171676635744, 5492.670243868828
-532.7682440185547, -943.6183581542969, 1.0185066163539886, 517.1010479736328, 87.34561130523682, -272.2693928527832, 2259.6583335113523
-528.8441619873047, -940.5638220214844, 1.0254874336719513, 516.5719665527344, 86.86432456970215, -268.08896377563474, 2366.5394372701644
-511.9884506225586, -942.8468853759765, 1.026806457042694, 517.742419128418, 87.10195201873779, -259.0933622741699, 1501.5943661117553
-513.6126983642578, -922.2557446289062, 1.023655663728714, 508.1945294189453, 84.83948818206787, -258.0289117431641, 718.4481108903885
-504.1080242919922, -918.1445364379883, 1.024691517353058, 503.3373089599609, 84.31058624267578, -254.53390396118164, 1107.1911760520934
-506.09073547363283, -922.6016943359375, 1.0188671743869782, 503.2886294555664, 84.05081748962402, -251.63801361083983, 1201.8894327449798
-504.7438430786133, -906.4182275390625, 1.0202971112728119, 495.19541534423826, 82.85018775939942, -250.6324433898926, 828.5805375623703
-512.0134375, -904.6175836181641, 1.0312825787067412, 487.74818145751954, 81.36463985443115, -256.8638269042969, 590.6064531803131
-500.6457141113281, -914.4813967895508, 1.0241944324970245, 497.6196478271484, 82.42411376953125, -250.8177195739746, 289.87497757911683
-498.8173861694336, -928.7384808349609, 1.0314405941963196, 506.12743286132815, 83.89500118255616, -249.4404911804199, 177.71515526771546
-486.3540267944336, -906.2618377685546, 1.0246363878250122, 493.99734771728515, 82.65101509094238, -240.06125961303712, 208.90123995304108
-493.49284393310546, -924.386831665039, 1.0259497845172882, 502.62820220947265, 83.53631069183349, -245.56745681762695, 160.38868504047394
-491.052809753418, -870.6137173461914, 1.033559582233429, 467.8456283569336, 77.97577270507813, -243.75100204467773, 304.9694567203522
-489.72737854003907, -866.588268737793, 1.0282278323173524, 467.6248025512695, 78.23862049102783, -240.8364242553711, 320.89717047691346
-487.240661315918, -890.1351403808594, 1.0303538787364959, 481.94386016845704, 80.17815933227538, -243.80396224975587, 265.6914701128006
-488.1165072631836, -876.7379498291016, 1.026947808265686, 472.8158932495117, 78.9258166885376, -241.03593856811523, 165.97785316944123
-480.6851531982422, -900.3262707519531, 1.0225636768341064, 491.8375799560547, 81.9431974029541, -237.60846771240233, 122.44158384561538
-479.40092834472654, -885.2440744018554, 1.0356883883476258, 478.11544036865234, 79.73385753631592, -236.30871215820312, 100.2173802804947
-473.350832824707, -881.2835949707031, 1.0186830973625183, 478.4654840087891, 80.48115982055664, -232.66791023254393, 63.50120930194855
-485.45581604003905, -874.2646133422852, 1.0295825481414795, 470.8611924743652, 78.79246788024902, -237.02926940917968, 85.14463252544402
-488.01076843261717, -869.5754458618164, 1.03392227768898, 465.685322265625, 77.35629642486572, -238.67922744750976, 95.7787291765213
-472.4296499633789, -879.8654473876953, 1.0288406753540038, 475.4269085693359, 79.40881225585937, -230.650439453125, 100.23433211326599
-472.233828125, -893.5506506347656, 1.0243794465065001, 480.8847889709473, 80.10235683441162, -230.859981842041, 41.30122782707215
-472.5696963500977, -880.0441265869141, 1.0310879635810852, 480.15565307617186, 80.60509929656982, -231.63764114379882, 30.036355874538422
-471.37910888671877, -888.9617987060547, 1.024322999715805, 479.56791229248046, 79.95393733978271, -230.4643179321289, 17.9767475605011
