EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-398.399	-429.672	1.341	102.161	145.576	15.163	8.257
-397.980	-429.186	1.340	101.630	145.457	15.028	8.314
-397.749	-428.885	1.346	101.360	145.272	14.957	8.227
-397.174	-428.390	1.345	100.734	144.696	14.557	8.132
-397.302	-428.118	1.346	100.680	144.045	14.940	8.210
-396.704	-427.793	1.353	100.353	143.632	14.927	8.207
-396.509	-427.420	1.347	100.101	143.538	14.995	8.229
-396.246	-427.212	1.352	99.600	143.177	14.720	8.213
-395.970	-426.793	1.354	99.461	142.878	14.650	8.196
-395.802	-426.530	1.356	98.731	142.590	14.561	8.203
-395.377	-426.193	1.358	98.752	142.196	14.590	8.179
-395.073	-425.738	1.359	98.465	141.951	14.663	8.181
-395.154	-425.638	1.353	97.823	141.521	14.459	8.170
-394.944	-425.572	1.357	97.838	141.332	14.639	8.150
-394.647	-425.139	1.364	97.646	141.312	14.432	8.145
-394.642	-425.038	1.362	97.626	141.018	14.406	8.208
-394.419	-424.855	1.362	97.343	140.779	14.545	8.191
-394.308	-424.740	1.358	97.245	140.648	14.474	8.178
-394.132	-424.523	1.359	96.718	140.266	14.509	8.170
-393.772	-424.256	1.360	96.808	139.933	14.439	8.163
-393.665	-424.087	1.364	96.434	139.779	14.328	8.163
-393.621	-424.002	1.364	96.052	139.565	14.135	8.127
-393.327	-423.513	1.364	96.003	139.154	14.153	8.127
-393.134	-423.290	1.362	95.857	138.932	14.204	8.112
-393.190	-423.307	1.367	95.827	139.093	14.351	8.137
-392.957	-423.172	1.370	95.383	138.483	14.377	8.119
-392.650	-422.930	1.369	95.314	138.442	14.227	8.114
-392.777	-422.733	1.371	95.154	137.956	14.057	8.139
-392.719	-422.706	1.377	95.179	137.995	13.853	8.062
-392.200	-422.362	1.372	94.855	137.833	14.473	8.229
-392.276	-422.352	1.371	94.702	137.515	14.016	8.085
-392.181	-422.094	1.379	94.602	137.396	14.002	8.053
