(387s) loss_phi: -495.328229,  loss_theta: 498.187986,  ess_rws: 1.018653,  ess_mu: 1.240484,  ess_local: 1.025750,  density: -836.999345
(387s) loss_phi: -495.054696,  loss_theta: 494.432930,  ess_rws: 1.017149,  ess_mu: 1.245060,  ess_local: 1.027813,  density: -832.495708
(388s) loss_phi: -494.838483,  loss_theta: 488.596928,  ess_rws: 1.017323,  ess_mu: 1.249902,  ess_local: 1.026162,  density: -826.682819
(389s) loss_phi: -493.720154,  loss_theta: 482.536088,  ess_rws: 1.016441,  ess_mu: 1.242114,  ess_local: 1.027709,  density: -821.864802
(387s) loss_phi: -493.494992,  loss_theta: 483.184987,  ess_rws: 1.018617,  ess_mu: 1.245677,  ess_local: 1.024923,  density: -819.071065
(387s) loss_phi: -492.854976,  loss_theta: 479.203195,  ess_rws: 1.017484,  ess_mu: 1.248353,  ess_local: 1.026756,  density: -815.349146
(387s) loss_phi: -492.393785,  loss_theta: 474.830633,  ess_rws: 1.017844,  ess_mu: 1.251852,  ess_local: 1.027304,  density: -811.857710
(387s) loss_phi: -491.756497,  loss_theta: 470.847042,  ess_rws: 1.017741,  ess_mu: 1.250584,  ess_local: 1.028071,  density: -807.430549
(387s) loss_phi: -490.982747,  loss_theta: 465.160860,  ess_rws: 1.017896,  ess_mu: 1.255603,  ess_local: 1.026313,  density: -802.511393
(387s) loss_phi: -490.560808,  loss_theta: 463.052920,  ess_rws: 1.020172,  ess_mu: 1.253773,  ess_local: 1.028647,  density: -799.420956
(388s) loss_phi: -489.658150,  loss_theta: 462.130112,  ess_rws: 1.018717,  ess_mu: 1.248999,  ess_local: 1.028927,  density: -796.955978
(387s) loss_phi: -489.514538,  loss_theta: 455.949945,  ess_rws: 1.017869,  ess_mu: 1.254741,  ess_local: 1.028720,  density: -791.352687
(386s) loss_phi: -488.822647,  loss_theta: 454.699052,  ess_rws: 1.018510,  ess_mu: 1.257900,  ess_local: 1.029686,  density: -788.858392
(386s) loss_phi: -487.893052,  loss_theta: 451.457244,  ess_rws: 1.018251,  ess_mu: 1.250849,  ess_local: 1.029027,  density: -786.308024
(388s) loss_phi: -487.197304,  loss_theta: 442.737408,  ess_rws: 1.017222,  ess_mu: 1.251688,  ess_local: 1.027633,  density: -780.200678
(387s) loss_phi: -486.530278,  loss_theta: 438.739129,  ess_rws: 1.019593,  ess_mu: 1.257340,  ess_local: 1.029595,  density: -776.345718
(386s) loss_phi: -485.813069,  loss_theta: 437.969451,  ess_rws: 1.018999,  ess_mu: 1.255108,  ess_local: 1.028759,  density: -773.280403
(387s) loss_phi: -485.371894,  loss_theta: 437.838905,  ess_rws: 1.018078,  ess_mu: 1.262495,  ess_local: 1.029460,  density: -771.362889
(387s) loss_phi: -484.272110,  loss_theta: 430.695504,  ess_rws: 1.019438,  ess_mu: 1.262573,  ess_local: 1.028273,  density: -766.226363
(387s) loss_phi: -483.720844,  loss_theta: 426.585943,  ess_rws: 1.020679,  ess_mu: 1.262458,  ess_local: 1.029172,  density: -762.214051
(386s) loss_phi: -482.831946,  loss_theta: 421.709852,  ess_rws: 1.019871,  ess_mu: 1.262889,  ess_local: 1.028382,  density: -757.849831
(388s) loss_phi: -481.716543,  loss_theta: 421.549313,  ess_rws: 1.018656,  ess_mu: 1.269362,  ess_local: 1.030991,  density: -756.437825
(387s) loss_phi: -481.048892,  loss_theta: 417.586772,  ess_rws: 1.018663,  ess_mu: 1.269236,  ess_local: 1.030070,  density: -752.820101
(387s) loss_phi: -480.209916,  loss_theta: 413.022251,  ess_rws: 1.018598,  ess_mu: 1.260884,  ess_local: 1.029430,  density: -748.245134
(387s) loss_phi: -479.510191,  loss_theta: 406.501982,  ess_rws: 1.021048,  ess_mu: 1.268569,  ess_local: 1.030476,  density: -743.703491
(387s) loss_phi: -478.493585,  loss_theta: 403.903975,  ess_rws: 1.019322,  ess_mu: 1.270882,  ess_local: 1.029383,  density: -739.929569
(387s) loss_phi: -477.741076,  loss_theta: 401.105294,  ess_rws: 1.021051,  ess_mu: 1.269551,  ess_local: 1.029451,  density: -737.287374
(387s) loss_phi: -476.890963,  loss_theta: 396.870355,  ess_rws: 1.020823,  ess_mu: 1.273210,  ess_local: 1.029469,  density: -733.734483
(387s) loss_phi: -475.716615,  loss_theta: 393.102527,  ess_rws: 1.017576,  ess_mu: 1.271320,  ess_local: 1.029597,  density: -730.060780
