snr: 1.435887, var: 1.212803, inckl_gen:154.195999, inckl_eta:17.844357, inckl_z:0.033408
snr: 1.461525, var: 1.252803, inckl_gen:177.004211, inckl_eta:15.546931, inckl_z:0.030904
snr: 1.427259, var: 1.167335, inckl_gen:166.903076, inckl_eta:18.781666, inckl_z:0.030603
snr: 1.442474, var: 1.222966, inckl_gen:280.314941, inckl_eta:20.441227, inckl_z:0.028658
snr: 1.497090, var: 1.212359, inckl_gen:127.299721, inckl_eta:18.865677, inckl_z:0.037213
snr: 1.506486, var: 1.243593, inckl_gen:162.413406, inckl_eta:22.101925, inckl_z:0.025859
snr: 1.434485, var: 1.188120, inckl_gen:267.285645, inckl_eta:14.202323, inckl_z:0.032717
snr: 1.446615, var: 1.195430, inckl_gen:239.344894, inckl_eta:24.693102, inckl_z:0.063250
snr: 1.455173, var: 1.215245, inckl_gen:136.352753, inckl_eta:17.253893, inckl_z:0.024136
snr: 1.444470, var: 1.277884, inckl_gen:95.314934, inckl_eta:13.327370, inckl_z:0.043447
snr: 1.499777, var: 1.400103, inckl_gen:76.116508, inckl_eta:14.026583, inckl_z:0.023710
snr: 1.514054, var: 1.302044, inckl_gen:151.511475, inckl_eta:17.887432, inckl_z:0.033628
snr: 1.466020, var: 1.235589, inckl_gen:136.702026, inckl_eta:13.431726, inckl_z:0.020804
snr: 1.477938, var: 1.279211, inckl_gen:187.127960, inckl_eta:25.143812, inckl_z:0.032612
snr: 1.480858, var: 1.287988, inckl_gen:135.703857, inckl_eta:12.695463, inckl_z:0.036755
snr: 1.513717, var: 1.315583, inckl_gen:150.635971, inckl_eta:17.029503, inckl_z:0.017261
snr: 1.457768, var: 1.301646, inckl_gen:177.918671, inckl_eta:18.223734, inckl_z:0.023793
snr: 1.494291, var: 1.395471, inckl_gen:118.091797, inckl_eta:9.675980, inckl_z:0.038648
snr: 1.424109, var: 1.227511, inckl_gen:72.666466, inckl_eta:7.449595, inckl_z:0.022806
snr: 1.381158, var: 1.151908, inckl_gen:79.926720, inckl_eta:10.642060, inckl_z:0.024375
snr: 1.473861, var: 1.231614, inckl_gen:61.098827, inckl_eta:7.988740, inckl_z:0.026272
