(402s) Epoch=10, Group=2, loss_phi: -115.9140,  loss_theta: 1159.6539,  ess: 1.3615,  density: -734.6986
(402s) Epoch=10, Group=3, loss_phi: -115.0769,  loss_theta: 1160.3293,  ess: 1.3704,  density: -736.2386
(400s) Epoch=10, Group=4, loss_phi: -114.1556,  loss_theta: 1112.3576,  ess: 1.3401,  density: -722.4362
(399s) Epoch=11, Group=0, loss_phi: -113.8500,  loss_theta: 1106.7758,  ess: 1.3249,  density: -716.7112
(400s) Epoch=11, Group=1, loss_phi: -114.4921,  loss_theta: 1103.1246,  ess: 1.3365,  density: -717.1573
(401s) Epoch=11, Group=2, loss_phi: -116.3691,  loss_theta: 1100.9397,  ess: 1.3201,  density: -725.1060
(401s) Epoch=11, Group=3, loss_phi: -116.3511,  loss_theta: 1121.2301,  ess: 1.3138,  density: -732.3185
(400s) Epoch=11, Group=4, loss_phi: -115.9201,  loss_theta: 1114.0488,  ess: 1.2972,  density: -723.9852
(401s) Epoch=12, Group=0, loss_phi: -114.5880,  loss_theta: 1102.2101,  ess: 1.3137,  density: -711.8662
(399s) Epoch=12, Group=1, loss_phi: -113.2373,  loss_theta: 1117.1528,  ess: 1.3057,  density: -720.5630
(400s) Epoch=12, Group=2, loss_phi: -112.5201,  loss_theta: 1101.1553,  ess: 1.3157,  density: -716.3745
(398s) Epoch=12, Group=3, loss_phi: -110.7117,  loss_theta: 1104.0615,  ess: 1.2868,  density: -732.5268
(398s) Epoch=12, Group=4, loss_phi: -112.0586,  loss_theta: 1086.5311,  ess: 1.2794,  density: -730.2722
(400s) Epoch=13, Group=0, loss_phi: -114.5254,  loss_theta: 1072.6150,  ess: 1.2510,  density: -736.1014
(400s) Epoch=13, Group=1, loss_phi: -117.4170,  loss_theta: 1049.9880,  ess: 1.2349,  density: -737.2369
(401s) Epoch=13, Group=2, loss_phi: -119.1251,  loss_theta: 1036.4960,  ess: 1.2342,  density: -733.8814
(399s) Epoch=13, Group=3, loss_phi: -120.4192,  loss_theta: 1000.4122,  ess: 1.2423,  density: -711.2098
(400s) Epoch=13, Group=4, loss_phi: -123.3749,  loss_theta: 865.5397,  ess: 1.2832,  density: -636.1738
