(20s) Epoch=5, Group=1, loss_phi: -50.7586,  loss_theta: 2667.5557,  ess: 1.0324,  density: -3415.2738
(20s) Epoch=5, Group=2, loss_phi: -50.9367,  loss_theta: 2691.5647,  ess: 1.0401,  density: -3414.9616
(20s) Epoch=5, Group=3, loss_phi: -48.4151,  loss_theta: 2702.3935,  ess: 1.0322,  density: -3450.8827
(20s) Epoch=5, Group=4, loss_phi: -49.4938,  loss_theta: 2635.4991,  ess: 1.0283,  density: -3381.7042
(20s) Epoch=5, Group=5, loss_phi: -49.3266,  loss_theta: 2796.0189,  ess: 1.0342,  density: -3583.4287
(20s) Epoch=5, Group=6, loss_phi: -51.7340,  loss_theta: 2695.2671,  ess: 1.0317,  density: -3423.6929
(20s) Epoch=5, Group=7, loss_phi: -49.8358,  loss_theta: 2576.5805,  ess: 1.0420,  density: -3338.6315
(20s) Epoch=5, Group=8, loss_phi: -49.8512,  loss_theta: 2743.0827,  ess: 1.0323,  density: -3536.4570
(20s) Epoch=5, Group=9, loss_phi: -53.9357,  loss_theta: 2326.6407,  ess: 1.0386,  density: -3027.7638
(20s) Epoch=6, Group=0, loss_phi: -51.5718,  loss_theta: 2652.8819,  ess: 1.0328,  density: -3428.2271
(20s) Epoch=6, Group=1, loss_phi: -55.7406,  loss_theta: 2254.5990,  ess: 1.0475,  density: -2939.2765
(20s) Epoch=6, Group=2, loss_phi: -54.5078,  loss_theta: 2519.9542,  ess: 1.0267,  density: -3252.4975
(20s) Epoch=6, Group=3, loss_phi: -56.0965,  loss_theta: 2455.3063,  ess: 1.0349,  density: -3158.7551
(20s) Epoch=6, Group=4, loss_phi: -56.9987,  loss_theta: 2422.9043,  ess: 1.0305,  density: -3111.2728
(20s) Epoch=6, Group=5, loss_phi: -59.2110,  loss_theta: 2405.3302,  ess: 1.0333,  density: -3089.4323
(20s) Epoch=6, Group=6, loss_phi: -54.3853,  loss_theta: 2301.7065,  ess: 1.0281,  density: -3024.6354
(20s) Epoch=6, Group=7, loss_phi: -53.7048,  loss_theta: 2303.5850,  ess: 1.0354,  density: -3033.3286
(20s) Epoch=6, Group=8, loss_phi: -54.2963,  loss_theta: 2352.1165,  ess: 1.0317,  density: -3098.7180
(20s) Epoch=6, Group=9, loss_phi: -53.5136,  loss_theta: 2498.0823,  ess: 1.0314,  density: -3287.7136
(20s) Epoch=7, Group=0, loss_phi: -54.1010,  loss_theta: 2443.7252,  ess: 1.0257,  density: -3218.0826
(20s) Epoch=7, Group=1, loss_phi: -54.0967,  loss_theta: 2274.9292,  ess: 1.0395,  density: -3021.3749
(20s) Epoch=7, Group=2, loss_phi: -56.3280,  loss_theta: 2233.5813,  ess: 1.0312,  density: -2976.0770
(20s) Epoch=7, Group=3, loss_phi: -58.5794,  loss_theta: 2201.6534,  ess: 1.0438,  density: -2904.3077
(20s) Epoch=7, Group=4, loss_phi: -58.7085,  loss_theta: 2146.5516,  ess: 1.0267,  density: -2862.8292
(20s) Epoch=7, Group=5, loss_phi: -59.8736,  loss_theta: 2299.1351,  ess: 1.0376,  density: -3015.0846
(20s) Epoch=7, Group=6, loss_phi: -57.3290,  loss_theta: 2400.3402,  ess: 1.0379,  density: -3148.2040
(20s) Epoch=7, Group=7, loss_phi: -63.4509,  loss_theta: 2039.3530,  ess: 1.0498,  density: -2686.9830
(20s) Epoch=7, Group=8, loss_phi: -59.7436,  loss_theta: 2203.2341,  ess: 1.0417,  density: -2885.4573
(20s) Epoch=7, Group=9, loss_phi: -61.2456,  loss_theta: 2202.2187,  ess: 1.0355,  density: -2883.7961
(20s) Epoch=8, Group=0, loss_phi: -59.7374,  loss_theta: 2221.7693,  ess: 1.0411,  density: -2915.1223
(20s) Epoch=8, Group=1, loss_phi: -64.2285,  loss_theta: 2110.2495,  ess: 1.0467,  density: -2744.6551
(20s) Epoch=8, Group=2, loss_phi: -63.5621,  loss_theta: 2340.5065,  ess: 1.0479,  density: -3017.5007
(20s) Epoch=8, Group=3, loss_phi: -62.1615,  loss_theta: 2166.2431,  ess: 1.0403,  density: -2835.2613
(20s) Epoch=8, Group=4, loss_phi: -63.8308,  loss_theta: 2145.6416,  ess: 1.0517,  density: -2793.9411
(20s) Epoch=8, Group=5, loss_phi: -63.9698,  loss_theta: 2010.4781,  ess: 1.0473,  density: -2685.0153
(20s) Epoch=8, Group=6, loss_phi: -67.8456,  loss_theta: 2103.1877,  ess: 1.0471,  density: -2742.2077
(20s) Epoch=8, Group=7, loss_phi: -67.5143,  loss_theta: 2292.7503,  ess: 1.0306,  density: -2974.2853
(20s) Epoch=8, Group=8, loss_phi: -65.8112,  loss_theta: 2089.4935,  ess: 1.0398,  density: -2749.7271
(20s) Epoch=8, Group=9, loss_phi: -66.4086,  loss_theta: 1907.5121,  ess: 1.0570,  density: -2527.6081
(20s) Epoch=9, Group=0, loss_phi: -68.3896,  loss_theta: 2038.6041,  ess: 1.0573,  density: -2670.8839
(20s) Epoch=9, Group=1, loss_phi: -68.8961,  loss_theta: 1860.0535,  ess: 1.0585,  density: -2471.0814
