EUBO	ELBO	ESS
438.380	425.759	4.964
438.207	425.903	4.969
438.458	425.237	4.782
438.241	426.428	5.128
438.388	425.967	4.961
438.264	426.072	5.054
438.401	425.596	4.925
438.279	426.032	5.082
438.282	426.552	5.244
438.406	426.417	4.989
438.354	426.963	4.930
438.343	426.400	4.883
438.282	427.517	5.067
438.401	427.322	4.938
438.386	425.105	4.922
438.360	427.220	5.041
438.359	426.816	5.040
438.361	427.640	5.179
438.418	427.106	4.850
438.365	428.000	5.185
438.287	428.258	5.197
438.259	427.632	5.195
438.409	427.543	5.121
438.479	428.173	5.024
438.400	426.862	4.884
438.335	428.357	5.238
438.387	427.454	4.954
438.430	428.416	5.294
438.305	427.488	5.032
438.457	428.034	5.108
438.412	427.490	4.988
438.495	427.722	4.804
438.292	428.237	5.072
438.308	427.043	5.060
438.382	428.276	5.153
438.348	428.300	5.103
438.362	428.932	5.270
438.399	428.535	5.126
438.383	428.553	5.118
438.431	429.185	5.143
438.387	428.791	5.121
438.469	428.929	5.098
438.400	428.995	5.287
438.365	428.364	5.134
438.458	428.450	5.099
438.529	429.058	5.102
438.410	429.293	5.135
438.398	429.470	5.161
438.464	429.480	5.157
438.332	428.647	5.094
438.423	428.892	5.053
438.424	429.370	5.247
438.388	429.380	5.137
438.433	428.701	5.035
438.369	430.064	5.350
438.408	428.976	5.211
438.408	429.305	5.254
438.431	429.393	5.230
438.367	429.246	5.267
438.439	429.085	5.046
438.411	429.848	5.404
438.345	428.799	4.972
438.293	429.956	5.394
438.434	429.674	5.170
438.396	430.154	5.296
438.429	429.691	5.403
438.382	429.714	5.244
438.324	430.535	5.422
438.493	429.471	5.047
438.350	429.648	5.223
438.365	429.761	5.135
438.357	429.928	5.336
438.384	430.283	5.406
438.512	428.948	4.974
438.377	430.461	5.446
438.376	429.903	5.220
438.463	429.697	5.161
438.423	428.629	5.054
438.444	430.255	5.140
438.417	430.448	5.306
438.382	430.570	5.317
438.468	430.093	5.203
438.542	430.436	5.113
438.307	430.691	5.437
438.459	430.056	5.168
438.309	430.851	5.318
438.533	430.031	5.223
438.522	430.192	5.013
438.496	430.594	5.252
438.388	430.714	5.335
438.351	431.064	5.383
438.444	430.970	5.299
438.439	430.692	5.399
438.453	430.797	5.417
438.393	430.747	5.400
438.469	430.606	5.213
438.369	430.668	5.354
438.494	430.249	5.090
438.510	430.389	5.114
438.374	431.505	5.557
438.509	430.757	5.176
438.434	431.104	5.357
438.497	430.766	5.187
438.410	430.877	5.312
438.389	430.716	5.379
438.453	430.609	5.082
438.484	430.811	5.188
438.357	431.360	5.392
438.467	430.852	5.221
438.325	430.877	5.405
438.472	430.835	5.229
438.428	431.248	5.397
438.430	430.816	5.277
438.394	431.513	5.292
438.437	430.599	5.171
438.364	431.244	5.416
438.458	431.193	5.335
438.363	431.739	5.600
438.382	431.124	5.424
438.391	430.925	5.339
438.322	431.167	5.509
438.486	430.744	5.099
438.328	431.415	5.575
438.370	431.686	5.399
438.463	431.129	5.299
438.403	431.691	5.505
438.457	431.186	5.338
438.304	432.008	5.557
438.400	431.368	5.327
438.522	431.071	5.134
438.439	431.459	5.362
438.400	431.040	5.200
438.477	430.984	5.144
