EUBO	ELBO	ESS
-1462.978	-94162.781	3.717
-1548.779	-94120.857	3.720
-1541.118	-93332.407	3.749
-1487.800	-92194.980	3.807
-1400.563	-90744.769	3.883
-1289.892	-89088.752	3.977
-1166.594	-87424.698	4.078
-1068.023	-85378.938	4.199
-970.987	-83130.217	4.321
-897.589	-80961.648	4.448
-817.087	-78558.894	4.584
-758.744	-75959.990	4.728
-713.429	-73534.246	4.868
-698.186	-71715.717	5.052
-673.565	-68904.936	5.302
-640.863	-65585.049	5.523
-633.191	-62091.208	5.740
-622.012	-58671.150	5.958
-618.916	-55015.246	6.180
-616.901	-51460.503	6.401
-614.177	-47991.461	6.621
-611.483	-44396.814	6.840
-611.288	-41042.850	7.056
-611.363	-37689.746	7.269
-611.283	-34518.481	7.471
-611.295	-31496.633	7.666
-611.251	-28515.017	7.851
-611.227	-25766.412	8.029
-611.189	-23198.949	8.197
-611.145	-20854.452	8.350
-611.125	-18777.950	8.489
-611.070	-16789.399	8.620
-611.030	-15083.873	8.733
-610.980	-13634.511	8.834
-610.949	-12231.749	8.929
-610.901	-11083.573	9.011
-610.863	-9986.101	9.087
-610.837	-9021.753	9.154
-610.785	-8174.576	9.215
-610.743	-7430.538	9.271
-610.691	-6817.885	9.318
-610.670	-6258.224	9.360
-610.621	-5728.695	9.401
-610.601	-5293.694	9.435
-610.549	-4848.180	9.473
-610.514	-4496.460	9.501
-610.480	-4181.052	9.529
-610.433	-3840.990	9.556
-610.390	-3605.017	9.580
-610.367	-3363.580	9.600
-610.342	-3129.975	9.620
-610.298	-2912.261	9.641
-610.274	-2720.994	9.657
-610.237	-2548.428	9.676
-610.218	-2392.326	9.689
-610.176	-2234.222	9.704
-610.154	-2106.853	9.720
-610.116	-1997.415	9.731
-610.091	-1883.545	9.743
-610.071	-1788.056	9.753
-610.033	-1690.050	9.763
-609.992	-1610.656	9.774
-609.973	-1519.114	9.783
-609.944	-1453.380	9.791
-609.925	-1395.924	9.798
-609.898	-1321.537	9.807
-609.874	-1282.755	9.814
-609.849	-1221.002	9.821
