EUBO	ELBO	ESS
-507.315	-507.396	9.998
-507.306	-507.395	9.997
-507.315	-507.395	9.998
-507.308	-507.390	9.998
-507.312	-507.395	9.998
-507.304	-507.390	9.997
-507.310	-507.392	9.998
-507.310	-507.388	9.998
-507.310	-507.384	9.998
-507.313	-507.386	9.998
-507.309	-507.387	9.998
-507.310	-507.387	9.998
-507.315	-507.389	9.998
-507.315	-507.389	9.998
-507.313	-507.387	9.998
-507.315	-507.386	9.998
-507.314	-507.390	9.998
-507.313	-507.387	9.998
-507.315	-507.388	9.998
-507.314	-507.375	9.998
-507.317	-507.391	9.998
-507.320	-507.379	9.998
-507.319	-507.382	9.998
-507.320	-507.379	9.998
-507.319	-507.379	9.998
-507.317	-507.377	9.998
-507.319	-507.372	9.998
-507.316	-507.380	9.998
-507.323	-507.376	9.998
-507.320	-507.379	9.998
-507.323	-507.377	9.998
-507.323	-507.375	9.998
-507.321	-507.381	9.998
-507.321	-507.377	9.998
-507.320	-507.372	9.998
-507.323	-507.372	9.998
-507.325	-507.377	9.998
-507.321	-507.376	9.998
-507.326	-507.373	9.999
-507.320	-507.375	9.998
-507.320	-507.376	9.998
-507.322	-507.374	9.998
-507.323	-507.375	9.998
-507.320	-507.376	9.998
-507.324	-507.372	9.999
-507.325	-507.376	9.998
-507.317	-507.379	9.998
-507.325	-507.371	9.999
-507.322	-507.378	9.998
-507.323	-507.368	9.999
-507.322	-507.379	9.998
-507.328	-507.368	9.999
-507.325	-507.377	9.998
-507.326	-507.373	9.999
-507.326	-507.379	9.998
-507.324	-507.369	9.999
-507.328	-507.368	9.999
-507.326	-507.372	9.999
-507.329	-507.366	9.999
-507.325	-507.371	9.999
-507.327	-507.372	9.999
-507.329	-507.366	9.999
-507.324	-507.376	9.998
-507.329	-507.365	9.999
-507.331	-507.367	9.999
-507.327	-507.366	9.999
-507.323	-507.368	9.999
-507.325	-507.374	9.998
-507.325	-507.368	9.999
-507.328	-507.369	9.999
-507.325	-507.369	9.999
-507.324	-507.371	9.999
-507.329	-507.373	9.999
-507.331	-507.366	9.999
-507.330	-507.369	9.999
-507.325	-507.363	9.999
-507.327	-507.371	9.999
-507.330	-507.362	9.999
-507.331	-507.362	9.999
-507.333	-507.364	9.999
-507.332	-507.362	9.999
-507.330	-507.365	9.999
-507.329	-507.361	9.999
-507.331	-507.366	9.999
-507.327	-507.364	9.999
-507.331	-507.366	9.999
-507.328	-507.366	9.999
-507.330	-507.362	9.999
-507.331	-507.364	9.999
-507.329	-507.362	9.999
-507.332	-507.362	9.999
-507.330	-507.360	9.999
-507.331	-507.363	9.999
-507.328	-507.367	9.999
-507.331	-507.360	9.999
-507.330	-507.363	9.999
-507.332	-507.361	9.999
-507.333	-507.362	9.999
-507.327	-507.365	9.999
-507.330	-507.366	9.999
-507.333	-507.361	9.999
-507.331	-507.362	9.999
-507.327	-507.365	9.999
-507.329	-507.364	9.999
-507.331	-507.366	9.999
-507.331	-507.360	9.999
-507.329	-507.364	9.999
-507.330	-507.364	9.999
-507.332	-507.360	9.999
-507.328	-507.361	9.999
-507.332	-507.359	9.999
-507.333	-507.359	9.999
-507.332	-507.361	9.999
-507.332	-507.361	9.999
-507.332	-507.360	9.999
-507.331	-507.365	9.999
-507.333	-507.359	9.999
-507.327	-507.365	9.999
-507.334	-507.358	9.999
-507.328	-507.367	9.999
-507.330	-507.364	9.999
-507.333	-507.365	9.999
-507.331	-507.363	9.999
-507.332	-507.365	9.999
-507.332	-507.361	9.999
-507.335	-507.359	9.999
-507.331	-507.362	9.999
-507.324	-507.361	9.999
-507.333	-507.362	9.999
-507.328	-507.370	9.999
-507.335	-507.361	9.999
-507.331	-507.362	9.999
-507.333	-507.363	9.999
-507.334	-507.355	9.999
-507.336	-507.358	9.999
-507.331	-507.363	9.999
-507.336	-507.359	9.999
-507.332	-507.360	9.999
-507.329	-507.361	9.999
-507.333	-507.358	9.999
-507.332	-507.366	9.999
-507.333	-507.356	9.999
-507.330	-507.365	9.999
-507.336	-507.356	9.999
-507.332	-507.362	9.999
-507.332	-507.364	9.999
-507.331	-507.357	9.999
-507.335	-507.365	9.999
-507.335	-507.361	9.999
-507.335	-507.361	9.999
-507.330	-507.362	9.999
-507.335	-507.356	9.999
-507.324	-507.376	9.998
-507.332	-507.361	9.999
-507.336	-507.360	9.999
-507.334	-507.361	9.999
-507.335	-507.355	9.999
-507.337	-507.357	9.999
-507.330	-507.359	9.999
-507.335	-507.356	9.999
-507.336	-507.359	9.999
-507.335	-507.357	9.999
-507.335	-507.358	9.999
-507.335	-507.362	9.999
-507.336	-507.358	9.999
-507.330	-507.363	9.999
-507.335	-507.356	9.999
-507.328	-507.367	9.999
-507.335	-507.359	9.999
-507.335	-507.360	9.999
-507.331	-507.362	9.999
-507.332	-507.357	9.999
-507.332	-507.367	9.999
-507.332	-507.366	9.999
-507.332	-507.363	9.999
-507.332	-507.363	9.999
-507.334	-507.360	9.999
-507.334	-507.362	9.999
-507.329	-507.366	9.999
-507.336	-507.356	9.999
-507.336	-507.358	9.999
-507.335	-507.359	9.999
-507.332	-507.359	9.999
-507.335	-507.355	9.999
-507.336	-507.357	9.999
-507.330	-507.362	9.999
-507.329	-507.365	9.999
-507.330	-507.356	9.999
-507.336	-507.357	9.999
-507.334	-507.364	9.999
-507.334	-507.365	9.999
-507.333	-507.363	9.999
-507.334	-507.355	9.999
-507.334	-507.363	9.999
-507.332	-507.365	9.999
-507.329	-507.364	9.999
-507.335	-507.358	9.999
-507.330	-507.361	9.999
-507.330	-507.360	9.999
-507.331	-507.363	9.999
-507.334	-507.354	9.999
-507.336	-507.360	9.999
-507.335	-507.359	9.999
