EUBO	ELBO	ESS
-1197.293	-149766.331	4.410
-583.415	-61515.700	6.134
-618.342	-23488.660	7.259
-661.099	-11090.929	7.834
-683.067	-6534.787	8.143
-685.483	-4690.907	8.313
-686.808	-3755.717	8.434
-683.641	-3235.298	8.520
-680.535	-2883.498	8.593
-679.074	-2638.494	8.654
-676.417	-2449.590	8.709
-670.506	-2278.775	8.761
-667.645	-2110.381	8.818
-661.971	-1932.479	8.878
-658.813	-1733.189	8.951
-657.514	-1532.771	9.030
-658.932	-1348.016	9.117
-659.067	-1198.121	9.195
-661.339	-1082.418	9.269
-663.581	-997.159	9.334
-665.200	-933.342	9.388
-666.881	-886.502	9.436
-668.398	-852.856	9.475
-669.678	-825.213	9.511
-670.828	-804.821	9.543
-671.824	-788.679	9.570
-672.728	-775.185	9.594
-673.501	-765.289	9.616
-674.195	-756.257	9.634
-674.795	-749.139	9.652
-675.340	-743.302	9.666
-675.844	-738.042	9.681
-676.258	-733.581	9.693
-676.652	-729.804	9.705
-677.040	-726.507	9.715
-677.385	-723.604	9.724
-677.698	-720.985	9.735
-678.007	-718.682	9.742
-678.301	-716.642	9.750
-678.558	-714.418	9.759
-678.816	-712.798	9.766
-679.051	-710.969	9.773
-679.264	-709.475	9.780
-679.473	-708.256	9.787
-679.684	-706.815	9.793
-679.881	-705.510	9.799
-680.068	-704.372	9.806
-680.258	-703.465	9.812
-680.448	-702.218	9.818
-680.614	-701.442	9.822
-680.787	-700.630	9.827
-680.958	-699.772	9.833
-681.089	-698.800	9.838
-681.239	-698.074	9.843
-681.354	-697.675	9.847
