EUBO_ave, ELBO_ave, ESS, EUBO_ag, ELBO_ag, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-467.1125793457031, -924.7962646484375, 1.0219286680221558, -493.1571044921875, -959.62646484375, 732.74072265625, 22.415809631347656, 270.7366638183594, 24.974287033081055
-433.2377624511719, -842.7384643554688, 1.0222575664520264, -386.6871032714844, -860.4114990234375, 656.6825561523438, 21.167654037475586, 181.06903076171875, 22.283628463745117
-492.0789794921875, -1007.9929809570312, 1.0152859687805176, -492.90692138671875, -1049.6312255859375, 837.0296630859375, 22.43072509765625, 198.10205078125, 21.302934646606445
-388.3892517089844, -742.0953369140625, 1.018209457397461, -374.3919677734375, -734.0665893554688, 557.6234741210938, 20.028100967407227, 163.35643005371094, 21.530263900756836
-336.7226257324219, -623.2997436523438, 1.0266554355621338, -316.6067199707031, -619.4083862304688, 437.41387939453125, 19.127748489379883, 109.14379119873047, 19.847917556762695
-305.041015625, -590.5204467773438, 1.0314154624938965, -289.7032470703125, -553.93359375, 393.6864013671875, 18.752666473388672, 125.74888610839844, 17.592864990234375
-356.1255187988281, -671.1195678710938, 1.034710168838501, -324.7373962402344, -644.0396118164062, 474.2480773925781, 18.684070587158203, 115.99990844726562, 19.160171508789062
-295.3730163574219, -552.6903686523438, 1.0497878789901733, -280.3598937988281, -533.5906372070312, 361.5779724121094, 16.92046356201172, 88.4313735961914, 18.003524780273438
-258.5679931640625, -453.114501953125, 1.0587629079818726, -236.02774047851562, -419.9130859375, 261.0660400390625, 16.236454010009766, 60.643035888671875, 14.79633903503418
