11990s, 0.030237, loss: 20.380552,  ess_rws: 1.159991,  ess_eta: 9.966279,  ess_z: 2.859050,  inckl_eta: 0.002209,  inckl_z: 0.583585
12297s, 0.005872, loss: 20.215431,  ess_rws: 1.162930,  ess_eta: 9.966889,  ess_z: 2.915889,  inckl_eta: 0.001838,  inckl_z: 0.566685
12605s, 0.039287, loss: 20.005226,  ess_rws: 1.155467,  ess_eta: 9.967844,  ess_z: 2.988825,  inckl_eta: 0.001798,  inckl_z: 0.546150
12914s, 0.034664, loss: 19.826077,  ess_rws: 1.152530,  ess_eta: 9.967460,  ess_z: 3.014181,  inckl_eta: 0.001942,  inckl_z: 0.534759
13221s, 0.008261, loss: 19.734050,  ess_rws: 1.150907,  ess_eta: 9.968184,  ess_z: 3.041499,  inckl_eta: 0.002007,  inckl_z: 0.523858
13530s, 0.010397, loss: 19.628768,  ess_rws: 1.148354,  ess_eta: 9.970170,  ess_z: 3.095288,  inckl_eta: 0.001952,  inckl_z: 0.512448
13840s, 0.011864, loss: 19.459927,  ess_rws: 1.144693,  ess_eta: 9.970854,  ess_z: 3.137952,  inckl_eta: 0.002410,  inckl_z: 0.502329
14149s, 0.036905, loss: 19.394356,  ess_rws: 1.147640,  ess_eta: 9.973240,  ess_z: 3.160851,  inckl_eta: 0.002144,  inckl_z: 0.498708
14457s, 0.002271, loss: 19.291441,  ess_rws: 1.146640,  ess_eta: 9.974077,  ess_z: 3.178062,  inckl_eta: 0.002042,  inckl_z: 0.489524
14765s, 0.001824, loss: 19.113911,  ess_rws: 1.136974,  ess_eta: 9.972978,  ess_z: 3.245931,  inckl_eta: 0.002596,  inckl_z: 0.473657
15073s, 0.015946, loss: 19.227171,  ess_rws: 1.143224,  ess_eta: 9.975311,  ess_z: 3.258649,  inckl_eta: 0.002837,  inckl_z: 0.468303
15382s, 0.005736, loss: 19.067092,  ess_rws: 1.144305,  ess_eta: 9.974681,  ess_z: 3.293368,  inckl_eta: 0.002408,  inckl_z: 0.459345
15689s, 0.005076, loss: 19.099798,  ess_rws: 1.140334,  ess_eta: 9.973877,  ess_z: 3.322560,  inckl_eta: 0.002354,  inckl_z: 0.453377
15998s, 0.002478, loss: 19.025714,  ess_rws: 1.138016,  ess_eta: 9.974606,  ess_z: 3.329042,  inckl_eta: 0.002854,  inckl_z: 0.448663
16307s, 0.003489, loss: 18.903666,  ess_rws: 1.141190,  ess_eta: 9.975131,  ess_z: 3.379419,  inckl_eta: 0.002490,  inckl_z: 0.436511
16615s, 0.011845, loss: 18.738482,  ess_rws: 1.131114,  ess_eta: 9.974584,  ess_z: 3.410540,  inckl_eta: 0.002901,  inckl_z: 0.432558
16922s, 0.008053, loss: 18.773369,  ess_rws: 1.133082,  ess_eta: 9.974208,  ess_z: 3.420263,  inckl_eta: 0.002852,  inckl_z: 0.428176
17229s, 0.009748, loss: 18.710717,  ess_rws: 1.131212,  ess_eta: 9.976034,  ess_z: 3.440521,  inckl_eta: 0.002979,  inckl_z: 0.423564
17539s, 0.012503, loss: 18.595303,  ess_rws: 1.134646,  ess_eta: 9.976235,  ess_z: 3.460771,  inckl_eta: 0.002878,  inckl_z: 0.414213
17848s, 0.006816, loss: 18.568858,  ess_rws: 1.136328,  ess_eta: 9.974666,  ess_z: 3.486356,  inckl_eta: 0.002931,  inckl_z: 0.405017
18156s, 0.003878, loss: 18.633364,  ess_rws: 1.129740,  ess_eta: 9.975586,  ess_z: 3.500113,  inckl_eta: 0.004492,  inckl_z: 0.400138
18463s, 0.003194, loss: 18.532507,  ess_rws: 1.134451,  ess_eta: 9.976034,  ess_z: 3.520278,  inckl_eta: 0.007412,  inckl_z: 0.396935
18771s, 0.002468, loss: 18.571724,  ess_rws: 1.133352,  ess_eta: 9.975856,  ess_z: 3.545403,  inckl_eta: 0.002858,  inckl_z: 0.392639
19080s, 0.004459, loss: 18.544176,  ess_rws: 1.134203,  ess_eta: 9.976891,  ess_z: 3.560676,  inckl_eta: 0.002864,  inckl_z: 0.387709
19388s, 0.001443, loss: 18.441038,  ess_rws: 1.136128,  ess_eta: 9.976571,  ess_z: 3.594438,  inckl_eta: 0.003347,  inckl_z: 0.384923
19696s, 0.002089, loss: 18.440820,  ess_rws: 1.131040,  ess_eta: 9.976048,  ess_z: 3.589837,  inckl_eta: 0.003118,  inckl_z: 0.383659
20003s, 0.002983, loss: 18.441629,  ess_rws: 1.136569,  ess_eta: 9.974516,  ess_z: 3.617106,  inckl_eta: 0.003139,  inckl_z: 0.376673
20310s, 0.001783, loss: 18.396441,  ess_rws: 1.133694,  ess_eta: 9.976161,  ess_z: 3.622206,  inckl_eta: 0.003257,  inckl_z: 0.371013
20617s, 0.002368, loss: 18.374978,  ess_rws: 1.134226,  ess_eta: 9.977940,  ess_z: 3.650088,  inckl_eta: 0.002981,  inckl_z: 0.371509
20925s, 0.002296, loss: 18.373427,  ess_rws: 1.132326,  ess_eta: 9.974957,  ess_z: 3.659855,  inckl_eta: 0.003251,  inckl_z: 0.363220
21234s, 0.002416, loss: 18.328389,  ess_rws: 1.132201,  ess_eta: 9.977915,  ess_z: 3.678548,  inckl_eta: 0.003509,  inckl_z: 0.361316
21543s, 0.015589, loss: 18.302595,  ess_rws: 1.133994,  ess_eta: 9.974870,  ess_z: 3.708253,  inckl_eta: 0.003577,  inckl_z: 0.356848
21852s, 0.002764, loss: 18.202790,  ess_rws: 1.129367,  ess_eta: 9.976812,  ess_z: 3.713370,  inckl_eta: 0.003505,  inckl_z: 0.352427
22159s, 0.000757, loss: 18.272044,  ess_rws: 1.131674,  ess_eta: 9.977544,  ess_z: 3.730287,  inckl_eta: 0.003702,  inckl_z: 0.351880
