EUBO	ELBO	ESS
5644.367	-1436637.871	-1442282.241	1.261
5677.248	-1434799.709	-1440476.969	1.264
5582.078	-1432184.101	-1437766.182	1.274
5539.013	-1428925.176	-1434464.186	1.273
5498.896	-1425379.600	-1430878.487	1.278
5409.268	-1422151.128	-1427560.397	1.282
5418.070	-1417603.897	-1423021.968	1.290
5335.683	-1414856.296	-1420191.982	1.296
5214.834	-1410826.969	-1416041.798	1.294
5216.623	-1408902.135	-1414118.758	1.301
5159.892	-1405196.759	-1410356.641	1.310
5156.991	-1399208.182	-1404365.155	1.304
5074.044	-1394047.028	-1399121.071	1.316
5059.425	-1389477.680	-1394537.089	1.320
4972.660	-1383678.827	-1388651.501	1.323
4974.702	-1378618.485	-1383593.200	1.324
4917.877	-1373454.749	-1378372.636	1.325
4933.609	-1368652.339	-1373585.964	1.334
4831.931	-1363565.366	-1368397.302	1.334
4794.281	-1359449.999	-1364244.286	1.336
4833.773	-1353454.987	-1358288.759	1.341
4766.034	-1345493.482	-1350259.521	1.340
4725.589	-1342716.228	-1347441.803	1.347
4699.215	-1338984.462	-1343683.692	1.346
4734.291	-1333784.549	-1338518.851	1.349
4728.256	-1328757.552	-1333485.801	1.344
4648.444	-1325400.407	-1330048.850	1.358
4637.333	-1318202.953	-1322840.274	1.358
4575.985	-1309875.484	-1314451.488	1.357
4582.814	-1303186.990	-1307769.811	1.361
4604.264	-1295724.590	-1300328.860	1.364
4550.927	-1288012.591	-1292563.510	1.367
4563.187	-1282488.770	-1287051.963	1.367
4484.027	-1274198.982	-1278683.007	1.371
4460.100	-1263800.009	-1268260.101	1.372
4453.352	-1254184.165	-1258637.532	1.384
4491.033	-1249732.978	-1254224.015	1.382
4482.749	-1242874.246	-1247356.981	1.383
4407.655	-1237073.907	-1241481.564	1.390
4442.967	-1227423.795	-1231866.750	1.387
4371.184	-1216708.847	-1221080.038	1.383
4337.490	-1208690.643	-1213028.136	1.390
4338.360	-1197962.323	-1202300.700	1.398
4324.249	-1182003.034	-1186327.278	1.400
4321.394	-1171647.913	-1175969.313	1.402
