EUBO	ELBO	ESS
4429859.008	-1183270.514	-5613129.480	1.009
3923664.005	-1178412.700	-5102076.675	1.008
3507555.570	-1157400.458	-4664956.015	1.006
3117300.460	-1174395.104	-4291695.577	1.004
2765154.000	-1171141.146	-3936295.175	1.004
2483182.192	-1172011.711	-3655193.890	1.004
2205780.740	-1182085.619	-3387866.360	1.003
1955195.119	-1202395.047	-3157590.167	1.002
1753471.603	-1199813.319	-2953284.913	1.003
1549478.849	-1216440.211	-2765919.025	1.003
1382320.434	-1236118.778	-2618439.216	1.003
1220654.358	-1260433.558	-2481087.917	1.003
1084841.688	-1278817.325	-2363659.006	1.003
955631.902	-1294492.901	-2250124.797	1.003
847490.309	-1303791.491	-2151281.777	1.005
752667.216	-1302387.754	-2055054.982	1.004
657692.008	-1301868.678	-1959560.663	1.005
578093.137	-1294266.613	-1872359.750	1.006
517904.145	-1283522.070	-1801426.210	1.005
463219.085	-1266224.593	-1729443.686	1.007
417439.797	-1254419.959	-1671859.764	1.006
371866.310	-1245413.647	-1617279.931	1.006
339511.283	-1233427.284	-1572938.575	1.007
309990.393	-1225155.719	-1535146.097	1.007
280936.619	-1217800.344	-1498736.966	1.006
257826.243	-1214191.101	-1472017.344	1.007
234563.655	-1214090.847	-1448654.499	1.008
217588.637	-1212657.527	-1430246.169	1.008
196586.192	-1215342.093	-1411928.284	1.008
181591.782	-1216444.043	-1398035.809	1.009
166228.997	-1219650.042	-1385879.037	1.010
153143.097	-1222696.609	-1375839.712	1.010
141145.814	-1225659.938	-1366805.759	1.012
129489.144	-1230873.272	-1360362.411	1.012
119575.488	-1232981.715	-1352557.194	1.013
109408.243	-1237001.023	-1346409.261	1.013
101124.147	-1238432.995	-1339557.138	1.014
93345.133	-1238942.665	-1332287.802	1.015
85692.549	-1240791.052	-1326483.581	1.015
79101.671	-1242419.468	-1321521.133	1.016
72355.675	-1244799.070	-1317154.744	1.017
66755.445	-1247056.170	-1313811.599	1.020
61410.297	-1248025.484	-1309435.769	1.020
56941.059	-1247608.348	-1304549.403	1.021
52286.644	-1248045.624	-1300332.276	1.022
48315.796	-1248454.567	-1296770.357	1.025
44660.713	-1247320.941	-1291981.651	1.027
41150.877	-1245864.442	-1287015.321	1.029
38624.551	-1243492.414	-1282116.971	1.031
35449.639	-1240377.627	-1275827.278	1.033
32866.191	-1236064.282	-1268930.475	1.032
30545.621	-1228531.322	-1259076.941	1.036
28226.859	-1219439.349	-1247666.212	1.038
26200.543	-1210701.992	-1236902.533	1.039
24669.139	-1201211.898	-1225881.058	1.040
22782.919	-1195536.694	-1218319.631	1.044
21592.454	-1189781.234	-1211373.693	1.052
20090.707	-1183016.903	-1203107.616	1.051
18649.992	-1178071.278	-1196721.280	1.054
17643.512	-1173690.184	-1191333.720	1.057
16587.860	-1166528.491	-1183116.331	1.058
15578.871	-1161796.372	-1177375.238	1.059
14769.343	-1157947.846	-1172717.200	1.061
13823.234	-1155079.191	-1168902.433	1.060
13173.221	-1153377.366	-1166550.581	1.064
12302.085	-1150822.541	-1163124.621	1.064
11510.408	-1149626.083	-1161136.495	1.064
11064.915	-1147614.874	-1158679.784	1.067
10467.972	-1146442.613	-1156910.590	1.066
10005.245	-1145116.761	-1155121.999	1.068
9437.144	-1142329.079	-1151766.232	1.069
8986.675	-1140982.181	-1149968.849	1.070
8523.508	-1137606.887	-1146130.396	1.070
8180.942	-1136728.621	-1144909.532	1.071
7718.546	-1136478.337	-1144196.893	1.072
7386.476	-1137033.811	-1144420.296	1.075
7154.151	-1136044.509	-1143198.659	1.075
6948.059	-1135371.189	-1142319.248	1.076
6750.399	-1135153.814	-1141904.214	1.077
6462.511	-1133130.798	-1139593.298	1.074
6197.520	-1133973.273	-1140170.792	1.079
6144.723	-1131846.671	-1137991.394	1.078
5941.236	-1129646.299	-1135587.526	1.076
5771.228	-1127077.921	-1132849.145	1.080
5535.523	-1127852.812	-1133388.332	1.081
5326.672	-1126563.510	-1131890.183	1.082
5433.288	-1123650.156	-1129083.444	1.085
5143.912	-1120917.136	-1126061.048	1.086
4966.854	-1118269.942	-1123236.804	1.083
4899.750	-1117439.688	-1122339.434	1.085
4762.267	-1115970.406	-1120732.664	1.090
4666.227	-1115558.058	-1120224.281	1.088
4610.394	-1112871.663	-1117482.070	1.089
4567.572	-1110615.909	-1115183.489	1.093
4528.387	-1109172.809	-1113701.192	1.094
4594.479	-1106027.733	-1110622.207	1.096
4479.243	-1102021.094	-1106500.334	1.094
4301.130	-1099230.349	-1103531.472	1.102
4209.646	-1098569.271	-1102778.917	1.101
4116.006	-1099387.564	-1103503.563	1.103
4215.330	-1098456.073	-1102671.411	1.104
4098.878	-1095415.542	-1099514.426	1.109
4067.575	-1093132.167	-1097199.760	1.107
4011.026	-1091114.014	-1095125.049	1.113
4113.809	-1088217.564	-1092331.379	1.116
3838.619	-1085718.823	-1089557.443	1.117
3971.114	-1084027.047	-1087998.177	1.118
3756.643	-1083724.206	-1087480.854	1.122
3783.294	-1082924.964	-1086708.267	1.127
3780.986	-1081073.416	-1084854.420	1.135
3662.541	-1079789.977	-1083452.519	1.139
3799.045	-1078000.676	-1081799.720	1.140
3792.131	-1077927.234	-1081719.364	1.147
3890.746	-1075088.142	-1078978.897	1.152
3771.190	-1071944.505	-1075715.693	1.152
3760.988	-1068732.796	-1072493.781	1.162
3867.511	-1068143.344	-1072010.867	1.161
3757.742	-1065614.645	-1069372.374	1.168
3748.686	-1062963.521	-1066712.214	1.173
3596.614	-1061979.883	-1065576.489	1.171
3691.477	-1060903.899	-1064595.382	1.181
3664.299	-1059270.451	-1062934.744	1.186
3634.513	-1058908.334	-1062542.851	1.188
3734.506	-1058212.446	-1061946.951	1.192
3630.706	-1058047.831	-1061678.527	1.205
3561.889	-1055767.444	-1059329.326	1.207
3610.288	-1053691.220	-1057301.505	1.214
3681.372	-1050872.936	-1054554.314	1.220
3660.734	-1049287.173	-1052947.914	1.221
3630.280	-1048054.677	-1051684.952	1.226
3602.038	-1045537.969	-1049140.013	1.229
3587.215	-1042108.938	-1045696.151	1.239
3582.864	-1039008.091	-1042590.969	1.238
3662.422	-1037503.711	-1041166.140	1.244
3543.297	-1036319.797	-1039863.098	1.253
3560.216	-1034967.076	-1038527.294	1.261
3597.000	-1034031.428	-1037628.427	1.262
3406.582	-1032444.665	-1035851.243	1.265
3490.490	-1032187.493	-1035677.976	1.266
3534.902	-1030978.797	-1034513.686	1.266
3536.958	-1029586.761	-1033123.704	1.273
3596.746	-1028035.390	-1031632.144	1.272
3552.090	-1025963.271	-1029515.361	1.273
3535.703	-1026537.354	-1030073.056	1.273
3519.220	-1026205.213	-1029724.424	1.280
3508.149	-1026931.426	-1030439.578	1.277
3462.464	-1026338.233	-1029800.697	1.287
3452.272	-1028462.041	-1031914.314	1.286
3490.248	-1029551.917	-1033042.157	1.285
3433.255	-1030073.141	-1033506.391	1.281
3489.737	-1028674.317	-1032164.054	1.285
3466.965	-1030690.956	-1034157.923	1.288
3444.952	-1031785.628	-1035230.588	1.288
3473.331	-1031870.256	-1035343.591	1.298
