symKL_DB_eta: 52.809,  symKL_DB_z: 297.109,  gap_eta: 40.476,  gap_z: 299.944,  loss: -2817.107,  ess: 6.365
symKL_DB_eta: 52.141,  symKL_DB_z: 270.821,  gap_eta: 40.360,  gap_z: 267.313,  loss: -2932.824,  ess: 6.384
symKL_DB_eta: 117.120,  symKL_DB_z: 247.392,  gap_eta: 41.651,  gap_z: 245.645,  loss: -2839.411,  ess: 6.370
symKL_DB_eta: 53.299,  symKL_DB_z: 221.289,  gap_eta: 40.376,  gap_z: 224.253,  loss: -2849.836,  ess: 6.385
symKL_DB_eta: 60.551,  symKL_DB_z: 207.635,  gap_eta: 40.492,  gap_z: 206.813,  loss: -2974.583,  ess: 6.379
symKL_DB_eta: 76.780,  symKL_DB_z: 189.310,  gap_eta: 40.333,  gap_z: 192.256,  loss: -2871.200,  ess: 6.409
symKL_DB_eta: 51.643,  symKL_DB_z: 174.179,  gap_eta: 39.876,  gap_z: 176.969,  loss: -2718.987,  ess: 6.407
symKL_DB_eta: 90.304,  symKL_DB_z: 179.993,  gap_eta: 40.575,  gap_z: 180.643,  loss: -2740.785,  ess: 6.417
symKL_DB_eta: 52.852,  symKL_DB_z: 153.686,  gap_eta: 39.636,  gap_z: 156.782,  loss: -2728.074,  ess: 6.423
symKL_DB_eta: 56.505,  symKL_DB_z: 146.564,  gap_eta: 39.674,  gap_z: 148.694,  loss: -2786.533,  ess: 6.433
symKL_DB_eta: 176.066,  symKL_DB_z: 138.147,  gap_eta: 40.090,  gap_z: 139.068,  loss: -2619.762,  ess: 6.451
symKL_DB_eta: 51.390,  symKL_DB_z: 139.109,  gap_eta: 39.285,  gap_z: 141.668,  loss: -2893.897,  ess: 6.452
symKL_DB_eta: 51.478,  symKL_DB_z: 123.193,  gap_eta: 39.608,  gap_z: 126.425,  loss: -2717.217,  ess: 6.463
symKL_DB_eta: 51.789,  symKL_DB_z: 117.132,  gap_eta: 39.823,  gap_z: 120.226,  loss: -2755.816,  ess: 6.460
symKL_DB_eta: 52.447,  symKL_DB_z: 118.577,  gap_eta: 39.649,  gap_z: 121.555,  loss: -2778.888,  ess: 6.461
symKL_DB_eta: 62.992,  symKL_DB_z: 118.938,  gap_eta: 40.687,  gap_z: 121.112,  loss: -2981.799,  ess: 6.455
