symKL_DB_eta: 60.987,  symKL_DB_z: 2.996,  gap: 56.376,  loss: -1287.982,  ess: 5.870
symKL_DB_eta: 60.617,  symKL_DB_z: 2.468,  gap: 55.839,  loss: -1294.610,  ess: 5.870
symKL_DB_eta: 61.065,  symKL_DB_z: 3.000,  gap: 56.155,  loss: -1288.351,  ess: 5.870
symKL_DB_eta: 60.994,  symKL_DB_z: 2.886,  gap: 56.285,  loss: -1294.350,  ess: 5.869
symKL_DB_eta: 59.975,  symKL_DB_z: 2.637,  gap: 55.472,  loss: -1283.622,  ess: 5.872
symKL_DB_eta: 60.565,  symKL_DB_z: 2.724,  gap: 55.830,  loss: -1297.015,  ess: 5.872
symKL_DB_eta: 60.839,  symKL_DB_z: 2.814,  gap: 56.193,  loss: -1299.678,  ess: 5.871
symKL_DB_eta: 60.337,  symKL_DB_z: 3.156,  gap: 55.824,  loss: -1286.376,  ess: 5.871
symKL_DB_eta: 60.224,  symKL_DB_z: 2.610,  gap: 55.444,  loss: -1292.708,  ess: 5.875
symKL_DB_eta: 60.127,  symKL_DB_z: 2.849,  gap: 55.334,  loss: -1300.923,  ess: 5.878
symKL_DB_eta: 59.292,  symKL_DB_z: 2.515,  gap: 54.715,  loss: -1285.263,  ess: 5.880
symKL_DB_eta: 59.280,  symKL_DB_z: 2.590,  gap: 54.691,  loss: -1279.137,  ess: 5.878
symKL_DB_eta: 59.082,  symKL_DB_z: 2.705,  gap: 54.490,  loss: -1286.651,  ess: 5.881
symKL_DB_eta: 59.446,  symKL_DB_z: 2.661,  gap: 55.011,  loss: -1281.528,  ess: 5.877
symKL_DB_eta: 59.758,  symKL_DB_z: 3.139,  gap: 54.736,  loss: -1294.421,  ess: 5.878
symKL_DB_eta: 60.165,  symKL_DB_z: 2.753,  gap: 55.354,  loss: -1303.055,  ess: 5.871
symKL_DB_eta: 59.850,  symKL_DB_z: 2.742,  gap: 55.366,  loss: -1306.017,  ess: 5.874
symKL_DB_eta: 59.642,  symKL_DB_z: 2.676,  gap: 55.063,  loss: -1289.756,  ess: 5.876
symKL_DB_eta: 59.725,  symKL_DB_z: 2.629,  gap: 54.968,  loss: -1303.646,  ess: 5.877
symKL_DB_eta: 59.543,  symKL_DB_z: 2.697,  gap: 54.869,  loss: -1304.671,  ess: 5.875
symKL_DB_eta: 58.887,  symKL_DB_z: 2.788,  gap: 54.035,  loss: -1287.994,  ess: 5.879
symKL_DB_eta: 59.322,  symKL_DB_z: 2.786,  gap: 54.705,  loss: -1293.509,  ess: 5.877
symKL_DB_eta: 58.495,  symKL_DB_z: 2.492,  gap: 54.045,  loss: -1295.177,  ess: 5.881
symKL_DB_eta: 58.115,  symKL_DB_z: 2.741,  gap: 53.436,  loss: -1288.346,  ess: 5.885
symKL_DB_eta: 59.012,  symKL_DB_z: 2.641,  gap: 54.249,  loss: -1289.860,  ess: 5.887
symKL_DB_eta: 58.933,  symKL_DB_z: 2.668,  gap: 54.292,  loss: -1279.505,  ess: 5.883
symKL_DB_eta: 58.202,  symKL_DB_z: 2.675,  gap: 53.409,  loss: -1280.838,  ess: 5.881
symKL_DB_eta: 59.354,  symKL_DB_z: 2.938,  gap: 54.500,  loss: -1294.279,  ess: 5.875
symKL_DB_eta: 58.770,  symKL_DB_z: 2.607,  gap: 54.174,  loss: -1293.481,  ess: 5.879
symKL_DB_eta: 58.048,  symKL_DB_z: 2.861,  gap: 53.417,  loss: -1285.708,  ess: 5.889
symKL_DB_eta: 58.235,  symKL_DB_z: 2.889,  gap: 53.101,  loss: -1294.390,  ess: 5.883
