snr: 1.004944, var: 2.915052, inckl_gen:310.554871
snr: 1.005411, var: 2.656717, inckl_gen:294.793182
snr: 1.005245, var: 2.630421, inckl_gen:243.077637
snr: 1.005488, var: 2.746256, inckl_gen:290.659332
snr: 1.006002, var: 2.689966, inckl_gen:166.813232
snr: 1.006407, var: 2.689020, inckl_gen:278.167694
snr: 1.010449, var: 2.583127, inckl_gen:213.634033
snr: 1.007480, var: 2.620301, inckl_gen:180.408844
snr: 1.007991, var: 2.517248, inckl_gen:272.402710
snr: 1.008492, var: 2.670524, inckl_gen:261.477600
snr: 1.007576, var: 2.759194, inckl_gen:285.798065
snr: 1.008300, var: 2.965553, inckl_gen:305.525360
snr: 1.008248, var: 2.794727, inckl_gen:301.522369
snr: 1.005765, var: 2.785110, inckl_gen:291.688690
snr: 1.007802, var: 2.687766, inckl_gen:231.773361
snr: 1.006333, var: 2.889716, inckl_gen:178.925034
snr: 1.008046, var: 2.946323, inckl_gen:350.947693
snr: 1.012172, var: 3.081277, inckl_gen:219.382233
snr: 1.006087, var: 3.010429, inckl_gen:388.912018
snr: 1.008681, var: 2.974587, inckl_gen:314.900391
snr: 1.004575, var: 3.005365, inckl_gen:234.416794
snr: 1.004691, var: 3.081732, inckl_gen:274.340271
snr: 1.005847, var: 3.164959, inckl_gen:203.051437
snr: 1.004514, var: 3.234588, inckl_gen:183.025101
snr: 1.007688, var: 3.381448, inckl_gen:178.217621
snr: 1.007056, var: 3.098271, inckl_gen:270.474579
snr: 1.006927, var: 3.344400, inckl_gen:361.488922
snr: 1.005131, var: 3.168603, inckl_gen:285.244354
snr: 1.006075, var: 3.190852, inckl_gen:243.849899
snr: 1.005319, var: 3.144007, inckl_gen:243.449219
snr: 1.006767, var: 3.262426, inckl_gen:281.280365
snr: 1.008191, var: 3.092940, inckl_gen:299.225494
snr: 1.006970, var: 3.197259, inckl_gen:260.458496
snr: 1.006091, var: 3.142254, inckl_gen:187.486221
snr: 1.004743, var: 3.349952, inckl_gen:255.287262
snr: 1.006689, var: 3.131896, inckl_gen:218.087265
snr: 1.006988, var: 3.318804, inckl_gen:221.691269
snr: 1.008282, var: 3.494728, inckl_gen:237.705734
snr: 1.006936, var: 3.574551, inckl_gen:209.488815
snr: 1.007720, var: 3.587036, inckl_gen:169.396957
snr: 1.009144, var: 3.292367, inckl_gen:186.440018
snr: 1.007454, var: 3.296344, inckl_gen:186.754181
snr: 1.007271, var: 3.402711, inckl_gen:239.144684
snr: 1.009253, var: 3.580443, inckl_gen:337.099152
snr: 1.007084, var: 3.586469, inckl_gen:264.133209
snr: 1.009755, var: 3.522754, inckl_gen:159.228394
snr: 1.009328, var: 3.519051, inckl_gen:177.837631
snr: 1.009582, var: 3.570486, inckl_gen:161.431076
snr: 1.007917, var: 3.582868, inckl_gen:234.810577
snr: 1.010503, var: 3.699802, inckl_gen:200.423264
snr: 1.009623, var: 3.753685, inckl_gen:179.095993
snr: 1.006479, var: 3.621396, inckl_gen:185.827423
snr: 1.006698, var: 3.473528, inckl_gen:223.793945
snr: 1.007600, var: 3.643599, inckl_gen:168.475677
snr: 1.006078, var: 3.440212, inckl_gen:178.869141
snr: 1.010000, var: 3.677326, inckl_gen:172.339127
snr: 1.006520, var: 3.729969, inckl_gen:401.907440
snr: 1.007234, var: 3.806598, inckl_gen:131.616425
snr: 1.009611, var: 3.687798, inckl_gen:135.132355
snr: 1.011028, var: 3.738243, inckl_gen:161.413986
snr: 1.007263, var: 3.664615, inckl_gen:175.002380
snr: 1.007046, var: 3.701952, inckl_gen:100.065147
snr: 1.007023, var: 3.892967, inckl_gen:169.257355
snr: 1.006670, var: 3.821470, inckl_gen:205.824997
snr: 1.007065, var: 4.047083, inckl_gen:185.887939
snr: 1.007153, var: 4.077184, inckl_gen:188.397263
snr: 1.007283, var: 3.846171, inckl_gen:150.756943
snr: 1.007358, var: 3.819020, inckl_gen:191.994095
snr: 1.004884, var: 4.121413, inckl_gen:132.968567
snr: 1.007472, var: 3.921403, inckl_gen:148.138367
snr: 1.005165, var: 4.012864, inckl_gen:123.420288
snr: 1.005238, var: 4.121408, inckl_gen:145.716507
snr: 1.006991, var: 4.322771, inckl_gen:128.841904
snr: 1.007660, var: 4.249908, inckl_gen:209.093704
snr: 1.005834, var: 4.166088, inckl_gen:114.446465
snr: 1.008441, var: 4.185408, inckl_gen:208.717514
snr: 1.004842, var: 4.212189, inckl_gen:225.212067
snr: 1.006649, var: 4.141394, inckl_gen:102.341087
snr: 1.008390, var: 4.368269, inckl_gen:128.876434
snr: 1.007085, var: 4.294437, inckl_gen:206.566605
snr: 1.006404, var: 4.100531, inckl_gen:226.533600
snr: 1.006496, var: 4.408815, inckl_gen:136.351395
snr: 1.005607, var: 4.234582, inckl_gen:221.210678
snr: 1.007198, var: 4.050700, inckl_gen:210.193756
snr: 1.007072, var: 4.199599, inckl_gen:243.116287
snr: 1.004286, var: 4.273235, inckl_gen:356.162628
snr: 1.006336, var: 4.270395, inckl_gen:137.406387
snr: 1.006128, var: 4.128122, inckl_gen:193.679047
snr: 1.005358, var: 4.313146, inckl_gen:197.449463
snr: 1.007890, var: 4.242231, inckl_gen:113.953323
snr: 1.005497, var: 4.350383, inckl_gen:189.237595
snr: 1.005723, var: 4.387943, inckl_gen:140.160324
snr: 1.004150, var: 4.297345, inckl_gen:225.599609
snr: 1.004766, var: 4.370410, inckl_gen:138.492447
snr: 1.005548, var: 4.560515, inckl_gen:246.337723
snr: 1.005650, var: 4.428894, inckl_gen:174.164413
snr: 1.005507, var: 4.284003, inckl_gen:168.835922
snr: 1.005724, var: 4.232520, inckl_gen:101.240379
snr: 1.008692, var: 4.481009, inckl_gen:162.652817
snr: 1.007011, var: 4.422579, inckl_gen:235.283646
snr: 1.007457, var: 4.569806, inckl_gen:160.508911
snr: 1.008563, var: 4.445703, inckl_gen:139.702820
snr: 1.007968, var: 4.491732, inckl_gen:175.206024
snr: 1.005511, var: 4.486288, inckl_gen:100.354065
snr: 1.005361, var: 4.261990, inckl_gen:141.962540
snr: 1.005587, var: 4.545835, inckl_gen:70.886940
snr: 1.006287, var: 4.682765, inckl_gen:95.721001
snr: 1.004885, var: 4.678035, inckl_gen:150.029770
snr: 1.007067, var: 4.679463, inckl_gen:171.015488
snr: 1.006706, var: 4.465949, inckl_gen:191.536682
snr: 1.005704, var: 4.379623, inckl_gen:143.366379
snr: 1.005583, var: 4.784604, inckl_gen:72.452148
