(245s) phi_loss: -816.541,  theta_loss: 2795.054,  ess: 3.378
(244s) phi_loss: -820.754,  theta_loss: 2763.448,  ess: 3.360
(242s) phi_loss: -820.597,  theta_loss: 2743.181,  ess: 3.364
(244s) phi_loss: -827.617,  theta_loss: 2753.791,  ess: 3.415
(244s) phi_loss: -824.144,  theta_loss: 2666.549,  ess: 3.399
(244s) phi_loss: -818.511,  theta_loss: 2648.725,  ess: 3.373
(244s) phi_loss: -805.792,  theta_loss: 2591.018,  ess: 3.246
(242s) phi_loss: -805.457,  theta_loss: 2502.777,  ess: 3.269
(244s) phi_loss: -805.621,  theta_loss: 2425.448,  ess: 3.258
(244s) phi_loss: -803.993,  theta_loss: 3141.836,  ess: 3.266
(243s) phi_loss: -791.309,  theta_loss: 3002.378,  ess: 3.011
(244s) phi_loss: -764.540,  theta_loss: 2770.873,  ess: 2.913
(243s) phi_loss: -770.967,  theta_loss: 2649.120,  ess: 3.056
(244s) phi_loss: -684.066,  theta_loss: 3973.916,  ess: 2.622
(242s) phi_loss: -694.491,  theta_loss: 2867.118,  ess: 2.823
(242s) phi_loss: -736.192,  theta_loss: 2387.397,  ess: 3.033
(243s) phi_loss: -701.233,  theta_loss: 2300.548,  ess: 2.920
(244s) phi_loss: -696.903,  theta_loss: 2144.244,  ess: 2.913
(243s) phi_loss: -710.557,  theta_loss: 1993.245,  ess: 3.084
(245s) phi_loss: -702.726,  theta_loss: 1950.568,  ess: 3.061
(242s) phi_loss: -687.470,  theta_loss: 1918.019,  ess: 3.008
(244s) phi_loss: -674.571,  theta_loss: 1948.089,  ess: 2.927
(245s) phi_loss: -675.032,  theta_loss: 1941.606,  ess: 2.903
(244s) phi_loss: -679.791,  theta_loss: 1918.043,  ess: 2.900
(244s) phi_loss: -679.548,  theta_loss: 1934.912,  ess: 2.901
(242s) phi_loss: -678.219,  theta_loss: 1936.085,  ess: 2.883
(243s) phi_loss: -679.490,  theta_loss: 1913.495,  ess: 2.903
(243s) phi_loss: -677.221,  theta_loss: 1957.937,  ess: 2.882
(242s) phi_loss: -681.748,  theta_loss: 1972.243,  ess: 2.924
(242s) phi_loss: -682.036,  theta_loss: 1975.812,  ess: 2.916
(242s) phi_loss: -679.200,  theta_loss: 1921.203,  ess: 2.939
(242s) phi_loss: -678.785,  theta_loss: 1947.509,  ess: 2.938
(243s) phi_loss: -683.301,  theta_loss: 1966.987,  ess: 2.967
(243s) phi_loss: -680.499,  theta_loss: 2002.267,  ess: 2.968
(245s) phi_loss: -683.357,  theta_loss: 1959.568,  ess: 2.978
(243s) phi_loss: -684.622,  theta_loss: 1941.155,  ess: 3.006
(244s) phi_loss: -679.988,  theta_loss: 1905.875,  ess: 3.018
