(53s) phi_loss: 503.392,  theta_loss: 6914.847,  ess: 1.124
(50s) phi_loss: 211.287,  theta_loss: 1039.380,  ess: 1.594
(50s) phi_loss: -2.562,  theta_loss: 597.246,  ess: 2.876
(50s) phi_loss: -35.678,  theta_loss: 574.472,  ess: 3.426
(52s) phi_loss: -36.121,  theta_loss: 552.782,  ess: 3.621
(53s) phi_loss: -35.278,  theta_loss: 537.976,  ess: 3.755
(53s) phi_loss: -31.221,  theta_loss: 553.109,  ess: 3.805
(51s) phi_loss: -31.711,  theta_loss: 548.177,  ess: 3.826
(52s) phi_loss: -29.578,  theta_loss: 560.540,  ess: 3.823
(53s) phi_loss: -27.749,  theta_loss: 554.373,  ess: 3.833
(50s) phi_loss: -28.041,  theta_loss: 559.551,  ess: 3.827
(54s) phi_loss: -27.108,  theta_loss: 590.057,  ess: 3.791
(54s) phi_loss: -27.522,  theta_loss: 628.925,  ess: 3.784
