time:4932, inckl:5.608415
time:4952, inckl:6.995316
time:4973, inckl:5.549161
time:4995, inckl:5.096023
time:5016, inckl:5.997232
time:5037, inckl:5.578574
time:5058, inckl:5.322374
time:5078, inckl:5.100513
time:5099, inckl:4.961693
time:5120, inckl:5.490121
time:5141, inckl:5.007481
time:5163, inckl:6.151483
time:5184, inckl:4.928874
time:5206, inckl:6.782037
time:5227, inckl:5.434400
time:5249, inckl:6.523408
time:5271, inckl:5.671854
time:5291, inckl:5.352145
time:5312, inckl:4.865255
time:5333, inckl:4.114015
time:5353, inckl:6.321953
time:5374, inckl:5.999563
time:5395, inckl:4.999198
time:5416, inckl:4.444952
time:5439, inckl:5.489725
time:5460, inckl:4.582399
time:5482, inckl:5.224412
time:5504, inckl:4.252915
time:5524, inckl:4.762070
time:5545, inckl:4.485277
time:5565, inckl:5.480150
time:5587, inckl:4.616216
time:5608, inckl:5.720054
time:5629, inckl:6.176417
time:5650, inckl:5.508901
time:5670, inckl:4.571799
time:5691, inckl:7.545910
time:5712, inckl:5.993604
time:5734, inckl:5.587773
time:5755, inckl:5.609470
time:5777, inckl:5.999616
time:5798, inckl:5.006598
time:5820, inckl:7.451007
time:5840, inckl:5.414061
time:5862, inckl:4.764316
time:5883, inckl:6.842454
time:5904, inckl:4.490921
time:5925, inckl:4.199736
time:5946, inckl:6.651210
time:5967, inckl:6.641167
time:5988, inckl:5.832062
time:6009, inckl:4.562116
time:6030, inckl:4.962860
time:6051, inckl:5.693381
time:6073, inckl:5.752544
time:6095, inckl:5.696615
time:6117, inckl:5.660141
time:6139, inckl:4.868368
time:6160, inckl:5.767620
time:6181, inckl:4.789973
time:6202, inckl:4.751235
time:6224, inckl:4.788153
time:6246, inckl:4.795427
time:6266, inckl:5.781652
time:6288, inckl:5.865605
time:6309, inckl:4.429938
time:6331, inckl:4.000176
time:6353, inckl:4.118883
time:6374, inckl:3.984675
time:6396, inckl:3.692071
time:6417, inckl:5.442479
time:6437, inckl:5.006117
time:6459, inckl:4.059974
time:6480, inckl:4.463398
time:6502, inckl:4.275608
time:6524, inckl:6.205372
time:6545, inckl:4.471688
time:6567, inckl:3.785767
time:6589, inckl:4.161505
time:6611, inckl:3.498357
time:6632, inckl:3.857584
time:6654, inckl:5.023475
time:6675, inckl:4.266251
time:6696, inckl:5.099766
time:6717, inckl:4.130503
time:6738, inckl:4.215976
time:6760, inckl:4.195538
time:6782, inckl:5.914309
time:6803, inckl:4.409716
time:6824, inckl:4.882124
time:6846, inckl:4.545232
time:6868, inckl:4.770253
time:6889, inckl:5.202837
time:6909, inckl:5.843410
time:6930, inckl:5.307058
time:6951, inckl:4.076400
time:6972, inckl:5.198096
time:6993, inckl:5.047179
time:7015, inckl:5.138939
time:7037, inckl:4.732159
time:7058, inckl:4.186148
time:7079, inckl:5.676669
time:7100, inckl:3.774422
time:7121, inckl:4.664962
time:7142, inckl:5.494831
time:7162, inckl:4.863738
time:7183, inckl:4.294756
time:7205, inckl:3.879989
time:7225, inckl:4.226846
time:7246, inckl:4.043824
time:7267, inckl:3.919498
time:7289, inckl:5.209199
time:7311, inckl:4.999042
time:7331, inckl:5.003035
time:7352, inckl:5.752195
time:7373, inckl:4.201522
time:7395, inckl:4.100401
time:7415, inckl:4.219090
time:7437, inckl:3.964357
time:7458, inckl:5.349856
time:7479, inckl:3.958669
time:7500, inckl:3.853194
time:7522, inckl:4.693006
time:7543, inckl:3.640103
time:7564, inckl:5.672900
time:7585, inckl:5.136747
time:7607, inckl:4.136950
time:7629, inckl:3.844728
time:7650, inckl:4.290871
time:7672, inckl:4.021950
time:7692, inckl:4.859252
time:7713, inckl:4.903693
time:7734, inckl:3.783213
time:7755, inckl:4.463282
time:7777, inckl:4.261027
time:7799, inckl:4.778599
time:7819, inckl:5.735838
time:7841, inckl:3.647910
time:7862, inckl:4.282968
time:7883, inckl:4.583786
time:7904, inckl:4.379021
time:7925, inckl:3.828573
time:7946, inckl:4.837193
time:7968, inckl:3.675403
time:7988, inckl:3.927009
time:8009, inckl:4.464218
time:8030, inckl:3.464001
time:8053, inckl:4.438253
time:8073, inckl:3.400864
time:8094, inckl:3.544637
time:8115, inckl:3.769348
time:8136, inckl:5.570638
time:8158, inckl:3.433039
time:8179, inckl:2.988591
time:8200, inckl:3.891894
time:8221, inckl:4.824778
time:8242, inckl:3.604505
time:8263, inckl:3.537542
time:8284, inckl:3.132330
time:8306, inckl:3.298854
time:8327, inckl:3.432731
time:8348, inckl:5.212744
time:8368, inckl:3.746397
time:8389, inckl:3.543005
time:8410, inckl:5.754395
time:8431, inckl:3.411151
time:8452, inckl:3.902080
