symKL_DB_eta: 2.882,  symKL_DB_z: 2.314,  loss: -458.942,  ess: 8.060,  kl_eta_ex: 0.243,  kl_eta_in: 0.284,  kl_z_ex: 0.468,  kl_z_in: 0.187
symKL_DB_eta: 2.435,  symKL_DB_z: 2.284,  loss: -458.849,  ess: 8.253,  kl_eta_ex: 0.019,  kl_eta_in: 0.020,  kl_z_ex: 0.446,  kl_z_in: 0.175
symKL_DB_eta: 2.389,  symKL_DB_z: 2.074,  loss: -459.123,  ess: 8.277,  kl_eta_ex: 0.009,  kl_eta_in: 0.009,  kl_z_ex: 0.417,  kl_z_in: 0.163
symKL_DB_eta: 2.377,  symKL_DB_z: 2.539,  loss: -458.943,  ess: 8.295,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.380,  kl_z_in: 0.151
symKL_DB_eta: 2.359,  symKL_DB_z: 2.108,  loss: -459.095,  ess: 8.296,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.369,  kl_z_in: 0.145
symKL_DB_eta: 2.404,  symKL_DB_z: 2.043,  loss: -459.308,  ess: 8.302,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.350,  kl_z_in: 0.137
symKL_DB_eta: 2.369,  symKL_DB_z: 1.756,  loss: -459.016,  ess: 8.309,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.326,  kl_z_in: 0.129
symKL_DB_eta: 2.376,  symKL_DB_z: 1.844,  loss: -459.092,  ess: 8.306,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.306,  kl_z_in: 0.123
symKL_DB_eta: 2.348,  symKL_DB_z: 1.658,  loss: -459.193,  ess: 8.307,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.297,  kl_z_in: 0.125
symKL_DB_eta: 2.413,  symKL_DB_z: 1.662,  loss: -459.207,  ess: 8.308,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.296,  kl_z_in: 0.122
symKL_DB_eta: 2.328,  symKL_DB_z: 1.793,  loss: -459.031,  ess: 8.315,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.284,  kl_z_in: 0.121
symKL_DB_eta: 2.371,  symKL_DB_z: 1.674,  loss: -459.285,  ess: 8.312,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.269,  kl_z_in: 0.115
