EUBO, ELBO, ESS, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os
-309.2613220214844, -565.5130004882812, 1.0959997177124023, 372.35980224609375, 17.547903060913086, 127.07382202148438, 20.544925689697266
-344.4049987792969, -702.3327026367188, 1.0218894481658936, 492.9880065917969, 18.12721824645996, 157.47801208496094, 19.80254554748535
-292.5268249511719, -550.8367919921875, 1.0217739343643188, 368.63983154296875, 17.685985565185547, 100.92086029052734, 18.423105239868164
-343.2793273925781, -758.4966430664062, 1.0249260663986206, 507.7806091308594, 18.54886817932129, 166.8085479736328, 19.0241641998291
-309.2185974121094, -569.258056640625, 1.040935754776001, 375.0443420410156, 17.65257453918457, 101.1766586303711, 18.201642990112305
-300.7276916503906, -562.6456298828125, 1.0533698797225952, 382.8751220703125, 18.087963104248047, 80.59645080566406, 16.664531707763672
-291.4951171875, -548.7135009765625, 1.0455275774002075, 351.716796875, 17.156694412231445, 108.88996124267578, 17.98381233215332
-279.8330383300781, -496.5193176269531, 1.0096091032028198, 323.0799865722656, 17.95591926574707, 97.95152282714844, 17.84510612487793
-251.6862030029297, -433.3213806152344, 1.0583384037017822, 255.78440856933594, 16.46854019165039, 58.3088264465332, 15.686614990234375
-246.761474609375, -393.8311462402344, 1.0305395126342773, 217.52099609375, 15.679144859313965, 57.700809478759766, 17.024831771850586
-310.0479736328125, -513.2672729492188, 1.1192660331726074, 336.4388122558594, 17.504070281982422, 99.43795013427734, 15.14160442352295
-249.7859649658203, -403.4836120605469, 1.062234878540039, 231.79945373535156, 16.358503341674805, 49.60243225097656, 16.521175384521484
-233.1189422607422, -388.3859558105469, 1.0542240142822266, 224.8758087158203, 16.718503952026367, 43.69157028198242, 14.041558265686035
-258.3407287597656, -463.4482116699219, 1.0424442291259766, 270.6620788574219, 15.772500991821289, 78.88648986816406, 14.715764045715332
-255.5136260986328, -434.5478210449219, 1.0526554584503174, 243.69210815429688, 15.17678165435791, 87.7545166015625, 15.245553016662598
-241.52362060546875, -411.47784423828125, 1.1178690195083618, 244.43040466308594, 15.699787139892578, 50.9172248840332, 14.164250373840332
-285.5832214355469, -514.4373779296875, 1.030827283859253, 329.3851623535156, 16.01580238342285, 94.29988098144531, 15.345576286315918
-236.1214141845703, -366.4563293457031, 1.0403660535812378, 197.00350952148438, 15.398337364196777, 41.80193328857422, 13.53190803527832
-268.8371887207031, -486.61627197265625, 1.0893948078155518, 323.14605712890625, 16.35492706298828, 74.58860778808594, 16.2946720123291
-250.816650390625, -409.12109375, 1.1045640707015991, 210.05186462402344, 15.071874618530273, 47.613826751708984, 14.956276893615723
-236.95285034179688, -387.6258239746094, 1.109655737876892, 209.38946533203125, 14.909201622009277, 38.99740982055664, 13.328892707824707
-222.63233947753906, -343.059326171875, 1.0587273836135864, 161.8090057373047, 14.579201698303223, 45.27699661254883, 14.916592597961426
-229.86065673828125, -335.3487548828125, 1.0932508707046509, 158.2381591796875, 14.325648307800293, 43.35692596435547, 14.178633689880371
-238.84657287597656, -374.7449951171875, 1.0741550922393799, 198.22296142578125, 16.122011184692383, 49.888240814208984, 13.276220321655273
-214.6854248046875, -315.5789489746094, 1.0874042510986328, 145.79324340820312, 14.574494361877441, 35.41465377807617, 13.58932113647461
-224.5556640625, -324.0080261230469, 1.1251134872436523, 153.38204956054688, 14.545316696166992, 42.87318420410156, 13.458147048950195
-210.49644470214844, -294.4847412109375, 1.1014879941940308, 124.27204895019531, 14.326178550720215, 28.66996955871582, 12.601066589355469
-213.02093505859375, -297.5505676269531, 1.1364344358444214, 130.58819580078125, 14.575356483459473, 33.897918701171875, 12.205811500549316
