EUBO, ELBO, ESS, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os
-433.6339111328125, -871.6507568359375, 1.0154184103012085, 632.2234497070312, 20.492877960205078, 234.3060760498047, 21.950841903686523
-365.1812744140625, -718.2627563476562, 1.0397746562957764, 514.430908203125, 18.878408432006836, 177.9510955810547, 20.507226943969727
-335.70184326171875, -631.9177856445312, 1.0197280645370483, 463.0252990722656, 18.778417587280273, 155.1696319580078, 18.32733154296875
-287.32391357421875, -524.5579833984375, 1.0153688192367554, 338.3654479980469, 16.707717895507812, 124.34141540527344, 20.072229385375977
-338.5215148925781, -629.8246459960938, 1.0448368787765503, 451.7217102050781, 18.21091651916504, 139.8607635498047, 21.240392684936523
-396.1953430175781, -859.6734008789062, 1.0348966121673584, 660.4336547851562, 19.995288848876953, 217.03941345214844, 20.963973999023438
-316.8047180175781, -587.150390625, 1.0053997039794922, 376.71099853515625, 17.541166305541992, 122.3563232421875, 18.02202033996582
-284.1368408203125, -519.3353881835938, 1.0657058954238892, 332.14947509765625, 17.569149017333984, 90.66909790039062, 18.357133865356445
-351.8581237792969, -817.4078979492188, 1.0684704780578613, 745.3482055664062, 16.896411895751953, 135.8297882080078, 18.918060302734375
-301.8399658203125, -519.9464111328125, 1.0442547798156738, 323.15484619140625, 17.081857681274414, 110.69824981689453, 18.037750244140625
-282.4740905761719, -517.2705078125, 1.0681809186935425, 326.9722900390625, 16.75696563720703, 96.41925811767578, 17.074304580688477
-246.5479278564453, -413.0033264160156, 1.0258718729019165, 243.3293914794922, 14.928305625915527, 62.15806579589844, 16.813507080078125
-259.0044250488281, -458.2317810058594, 1.04105806350708, 262.7203063964844, 15.3977689743042, 95.484375, 19.004518508911133
-268.6589050292969, -504.1333312988281, 1.0257458686828613, 314.4775390625, 16.44409942626953, 86.04290771484375, 16.917449951171875
-264.33612060546875, -461.699951171875, 1.0233696699142456, 269.8665771484375, 15.820540428161621, 73.3778305053711, 17.51350212097168
-264.42303466796875, -460.3163146972656, 1.0582894086837769, 278.33843994140625, 14.985678672790527, 67.1706314086914, 15.481014251708984
-254.9988250732422, -431.82037353515625, 1.0268263816833496, 223.39175415039062, 15.27217960357666, 61.906639099121094, 16.047792434692383
-247.3114471435547, -455.83465576171875, 1.011204481124878, 258.767822265625, 15.502493858337402, 64.25777435302734, 14.950109481811523
-268.1049499511719, -437.20654296875, 1.023853063583374, 255.59585571289062, 15.262967109680176, 70.41358947753906, 16.085311889648438
-240.6874542236328, -388.4695739746094, 1.057826042175293, 203.4640350341797, 14.970611572265625, 51.590126037597656, 15.342424392700195
-238.7559051513672, -401.3388671875, 1.0334464311599731, 255.49365234375, 14.095133781433105, 54.72120666503906, 14.41392993927002
-234.2471466064453, -381.9143371582031, 1.0770690441131592, 193.00816345214844, 14.63603401184082, 44.06942367553711, 15.388002395629883
-251.12124633789062, -408.5240783691406, 1.0967540740966797, 220.64659118652344, 15.07176399230957, 59.599822998046875, 16.968486785888672
-248.88804626464844, -413.4192810058594, 1.0608744621276855, 234.2940216064453, 14.863473892211914, 50.14279556274414, 14.979798316955566
-227.0124969482422, -384.3330383300781, 1.0321496725082397, 197.1982421875, 13.895137786865234, 53.996864318847656, 13.78072452545166
-221.16311645507812, -340.2743225097656, 1.0409748554229736, 164.99276733398438, 14.714993476867676, 39.03519821166992, 14.595348358154297
-226.5184326171875, -356.3179626464844, 1.0564370155334473, 159.31211853027344, 14.47270393371582, 37.358524322509766, 13.569436073303223
