EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-304.772	-421.992	4.717	234.496	242.129	201.596	423.152
-304.672	-417.230	4.740	233.933	239.834	194.751	422.044
-311.254	-423.515	4.735	233.405	231.653	202.511	416.813
-302.376	-417.687	4.715	245.528	245.671	211.099	428.742
-320.362	-437.220	4.716	256.511	247.565	216.730	438.685
-315.482	-437.057	4.715	249.315	250.412	211.650	425.876
-308.321	-426.175	4.736	245.201	247.075	207.989	435.223
-304.821	-419.741	4.741	227.564	236.874	196.156	418.021
-311.531	-422.672	4.733	244.728	234.145	208.604	429.508
-308.626	-425.607	4.720	239.686	253.478	206.058	427.744
-310.930	-421.760	4.735	234.081	248.271	197.571	420.239
-305.411	-419.297	4.728	232.344	241.620	197.062	429.576
-307.771	-424.877	4.734	237.081	229.032	202.459	413.985
-313.434	-431.343	4.721	263.437	261.620	217.191	433.870
-309.781	-428.694	4.744	246.991	233.602	209.179	428.752
-309.710	-426.365	4.735	243.133	240.075	209.887	431.554
-309.544	-425.948	4.729	248.986	252.514	207.114	423.165
-310.839	-428.943	4.723	243.189	246.256	204.914	430.371
-309.804	-423.391	4.724	247.885	241.734	208.172	429.042
-310.624	-428.963	4.723	249.257	253.527	210.688	440.877
-308.237	-425.193	4.721	252.186	242.916	211.589	429.908
-303.793	-414.283	4.725	225.703	233.621	192.548	417.214
-315.281	-426.456	4.728	241.811	246.355	203.544	422.244
-310.263	-427.304	4.727	249.034	247.227	209.357	430.343
-311.983	-428.219	4.726	245.483	240.954	209.635	422.768
-312.127	-428.652	4.717	248.181	246.981	211.203	440.391
-312.052	-432.684	4.724	252.390	245.141	211.409	442.254
-308.864	-426.710	4.735	245.425	243.866	205.882	430.315
-305.849	-421.158	4.726	241.515	246.071	204.813	424.803
-315.245	-435.266	4.702	249.475	251.137	210.803	438.775
-320.420	-437.514	4.706	245.101	255.783	213.371	437.408
