(245s) loss: 21.477,  ess: 7.040,  kl_eta_ex: 0.650,  kl_eta_in: 0.363,  kl_z_ex: 0.018,  kl_z_in: 0.006
(233s) loss: 21.436,  ess: 7.046,  kl_eta_ex: 0.638,  kl_eta_in: 0.356,  kl_z_ex: 0.019,  kl_z_in: 0.006
(232s) loss: 21.394,  ess: 7.062,  kl_eta_ex: 0.620,  kl_eta_in: 0.352,  kl_z_ex: 0.017,  kl_z_in: 0.005
(234s) loss: 21.368,  ess: 7.069,  kl_eta_ex: 0.610,  kl_eta_in: 0.346,  kl_z_ex: 0.017,  kl_z_in: 0.005
(239s) loss: 21.404,  ess: 7.071,  kl_eta_ex: 0.609,  kl_eta_in: 0.342,  kl_z_ex: 0.016,  kl_z_in: 0.005
(241s) loss: 21.459,  ess: 7.076,  kl_eta_ex: 0.603,  kl_eta_in: 0.340,  kl_z_ex: 0.016,  kl_z_in: 0.005
(236s) loss: 21.314,  ess: 7.089,  kl_eta_ex: 0.588,  kl_eta_in: 0.334,  kl_z_ex: 0.015,  kl_z_in: 0.005
(236s) loss: 21.420,  ess: 7.094,  kl_eta_ex: 0.587,  kl_eta_in: 0.330,  kl_z_ex: 0.015,  kl_z_in: 0.005
(230s) loss: 21.397,  ess: 7.103,  kl_eta_ex: 0.582,  kl_eta_in: 0.328,  kl_z_ex: 0.015,  kl_z_in: 0.005
(232s) loss: 21.360,  ess: 7.104,  kl_eta_ex: 0.567,  kl_eta_in: 0.324,  kl_z_ex: 0.014,  kl_z_in: 0.005
(242s) loss: 21.360,  ess: 7.119,  kl_eta_ex: 0.562,  kl_eta_in: 0.320,  kl_z_ex: 0.015,  kl_z_in: 0.005
(240s) loss: 21.373,  ess: 7.122,  kl_eta_ex: 0.557,  kl_eta_in: 0.318,  kl_z_ex: 0.014,  kl_z_in: 0.005
(250s) loss: 21.322,  ess: 7.130,  kl_eta_ex: 0.547,  kl_eta_in: 0.314,  kl_z_ex: 0.014,  kl_z_in: 0.004
(237s) loss: 21.383,  ess: 7.129,  kl_eta_ex: 0.544,  kl_eta_in: 0.312,  kl_z_ex: 0.013,  kl_z_in: 0.004
(231s) loss: 21.351,  ess: 7.124,  kl_eta_ex: 0.545,  kl_eta_in: 0.310,  kl_z_ex: 0.014,  kl_z_in: 0.004
(232s) loss: 21.277,  ess: 7.140,  kl_eta_ex: 0.529,  kl_eta_in: 0.306,  kl_z_ex: 0.013,  kl_z_in: 0.004
(232s) loss: 21.321,  ess: 7.147,  kl_eta_ex: 0.524,  kl_eta_in: 0.304,  kl_z_ex: 0.013,  kl_z_in: 0.004
(231s) loss: 21.329,  ess: 7.147,  kl_eta_ex: 0.517,  kl_eta_in: 0.301,  kl_z_ex: 0.012,  kl_z_in: 0.004
(231s) loss: 21.303,  ess: 7.155,  kl_eta_ex: 0.510,  kl_eta_in: 0.297,  kl_z_ex: 0.012,  kl_z_in: 0.004
(238s) loss: 21.318,  ess: 7.161,  kl_eta_ex: 0.504,  kl_eta_in: 0.296,  kl_z_ex: 0.013,  kl_z_in: 0.004
(242s) loss: 21.351,  ess: 7.157,  kl_eta_ex: 0.496,  kl_eta_in: 0.293,  kl_z_ex: 0.012,  kl_z_in: 0.004
(233s) loss: 21.280,  ess: 7.171,  kl_eta_ex: 0.490,  kl_eta_in: 0.290,  kl_z_ex: 0.012,  kl_z_in: 0.004
(231s) loss: 21.315,  ess: 7.169,  kl_eta_ex: 0.479,  kl_eta_in: 0.287,  kl_z_ex: 0.011,  kl_z_in: 0.004
(232s) loss: 21.269,  ess: 7.179,  kl_eta_ex: 0.471,  kl_eta_in: 0.284,  kl_z_ex: 0.011,  kl_z_in: 0.004
(233s) loss: 21.273,  ess: 7.187,  kl_eta_ex: 0.464,  kl_eta_in: 0.280,  kl_z_ex: 0.011,  kl_z_in: 0.004
(231s) loss: 21.244,  ess: 7.190,  kl_eta_ex: 0.456,  kl_eta_in: 0.277,  kl_z_ex: 0.011,  kl_z_in: 0.004
(246s) loss: 21.269,  ess: 7.192,  kl_eta_ex: 0.448,  kl_eta_in: 0.272,  kl_z_ex: 0.011,  kl_z_in: 0.003
(242s) loss: 21.256,  ess: 7.202,  kl_eta_ex: 0.436,  kl_eta_in: 0.269,  kl_z_ex: 0.011,  kl_z_in: 0.003
(240s) loss: 21.272,  ess: 7.208,  kl_eta_ex: 0.426,  kl_eta_in: 0.265,  kl_z_ex: 0.011,  kl_z_in: 0.003
(232s) loss: 21.266,  ess: 7.229,  kl_eta_ex: 0.412,  kl_eta_in: 0.259,  kl_z_ex: 0.011,  kl_z_in: 0.003
(237s) loss: 21.243,  ess: 7.228,  kl_eta_ex: 0.400,  kl_eta_in: 0.253,  kl_z_ex: 0.010,  kl_z_in: 0.003
(237s) loss: 21.265,  ess: 7.243,  kl_eta_ex: 0.394,  kl_eta_in: 0.248,  kl_z_ex: 0.010,  kl_z_in: 0.003
(232s) loss: 21.283,  ess: 7.243,  kl_eta_ex: 0.383,  kl_eta_in: 0.242,  kl_z_ex: 0.011,  kl_z_in: 0.003
(238s) loss: 21.195,  ess: 7.263,  kl_eta_ex: 0.373,  kl_eta_in: 0.237,  kl_z_ex: 0.010,  kl_z_in: 0.003
(241s) loss: 21.244,  ess: 7.278,  kl_eta_ex: 0.362,  kl_eta_in: 0.231,  kl_z_ex: 0.010,  kl_z_in: 0.003
(236s) loss: 21.238,  ess: 7.277,  kl_eta_ex: 0.354,  kl_eta_in: 0.225,  kl_z_ex: 0.010,  kl_z_in: 0.003
(231s) loss: 21.211,  ess: 7.294,  kl_eta_ex: 0.344,  kl_eta_in: 0.219,  kl_z_ex: 0.010,  kl_z_in: 0.003
(231s) loss: 21.199,  ess: 7.302,  kl_eta_ex: 0.337,  kl_eta_in: 0.214,  kl_z_ex: 0.010,  kl_z_in: 0.003
(232s) loss: 21.202,  ess: 7.311,  kl_eta_ex: 0.324,  kl_eta_in: 0.209,  kl_z_ex: 0.009,  kl_z_in: 0.003
(231s) loss: 21.184,  ess: 7.328,  kl_eta_ex: 0.319,  kl_eta_in: 0.203,  kl_z_ex: 0.009,  kl_z_in: 0.003
(231s) loss: 21.212,  ess: 7.330,  kl_eta_ex: 0.312,  kl_eta_in: 0.198,  kl_z_ex: 0.009,  kl_z_in: 0.003
(239s) loss: 21.246,  ess: 7.339,  kl_eta_ex: 0.306,  kl_eta_in: 0.194,  kl_z_ex: 0.009,  kl_z_in: 0.003
(244s) loss: 21.187,  ess: 7.353,  kl_eta_ex: 0.298,  kl_eta_in: 0.187,  kl_z_ex: 0.009,  kl_z_in: 0.003
(235s) loss: 21.219,  ess: 7.364,  kl_eta_ex: 0.292,  kl_eta_in: 0.183,  kl_z_ex: 0.009,  kl_z_in: 0.003
(242s) loss: 21.184,  ess: 7.367,  kl_eta_ex: 0.287,  kl_eta_in: 0.179,  kl_z_ex: 0.008,  kl_z_in: 0.003
(240s) loss: 21.173,  ess: 7.387,  kl_eta_ex: 0.283,  kl_eta_in: 0.175,  kl_z_ex: 0.008,  kl_z_in: 0.003
(231s) loss: 21.187,  ess: 7.397,  kl_eta_ex: 0.276,  kl_eta_in: 0.169,  kl_z_ex: 0.008,  kl_z_in: 0.003
(240s) loss: 21.132,  ess: 7.409,  kl_eta_ex: 0.273,  kl_eta_in: 0.166,  kl_z_ex: 0.008,  kl_z_in: 0.003
(234s) loss: 21.149,  ess: 7.425,  kl_eta_ex: 0.264,  kl_eta_in: 0.161,  kl_z_ex: 0.008,  kl_z_in: 0.002
(234s) loss: 21.153,  ess: 7.430,  kl_eta_ex: 0.264,  kl_eta_in: 0.158,  kl_z_ex: 0.008,  kl_z_in: 0.002
(241s) loss: 21.118,  ess: 7.438,  kl_eta_ex: 0.256,  kl_eta_in: 0.154,  kl_z_ex: 0.008,  kl_z_in: 0.002
(237s) loss: 21.148,  ess: 7.459,  kl_eta_ex: 0.253,  kl_eta_in: 0.151,  kl_z_ex: 0.007,  kl_z_in: 0.002
(235s) loss: 21.108,  ess: 7.461,  kl_eta_ex: 0.247,  kl_eta_in: 0.148,  kl_z_ex: 0.007,  kl_z_in: 0.002
(234s) loss: 21.118,  ess: 7.460,  kl_eta_ex: 0.244,  kl_eta_in: 0.145,  kl_z_ex: 0.007,  kl_z_in: 0.002
(237s) loss: 21.159,  ess: 7.465,  kl_eta_ex: 0.242,  kl_eta_in: 0.143,  kl_z_ex: 0.007,  kl_z_in: 0.002
(232s) loss: 21.085,  ess: 7.478,  kl_eta_ex: 0.236,  kl_eta_in: 0.139,  kl_z_ex: 0.007,  kl_z_in: 0.002
(233s) loss: 21.128,  ess: 7.485,  kl_eta_ex: 0.231,  kl_eta_in: 0.137,  kl_z_ex: 0.007,  kl_z_in: 0.002
(237s) loss: 21.132,  ess: 7.486,  kl_eta_ex: 0.226,  kl_eta_in: 0.134,  kl_z_ex: 0.006,  kl_z_in: 0.002
(231s) loss: 21.130,  ess: 7.490,  kl_eta_ex: 0.223,  kl_eta_in: 0.132,  kl_z_ex: 0.006,  kl_z_in: 0.002
(236s) loss: 21.090,  ess: 7.500,  kl_eta_ex: 0.217,  kl_eta_in: 0.130,  kl_z_ex: 0.006,  kl_z_in: 0.002
(231s) loss: 21.088,  ess: 7.507,  kl_eta_ex: 0.213,  kl_eta_in: 0.128,  kl_z_ex: 0.006,  kl_z_in: 0.002
(239s) loss: 21.051,  ess: 7.519,  kl_eta_ex: 0.214,  kl_eta_in: 0.127,  kl_z_ex: 0.006,  kl_z_in: 0.002
